"","Plant_species","Id","Pollinator_species","Interaction","Unique_id","Locality","Latitude","Longitude","Order_all","Family_all","Genus_all","Species_all","Subspecies","Sex_or_flower_type","Breeding_system","Breeding_system_info","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","Compatibility","Self_compatible_author","Self_compatible_reference","Self_compatible_doi","Compatibility_genus","Info_level","Asexual_reproduction","Asexual_reproduction_type","Agamospermy/apomixis (yes/no/some_populations)","Flower_colour","Flower_morphology","Flower_symmetry","Corolla_diameter_mean","Corolla_diameter_min","Corolla_diameter_max","Corolla_length_mean","Corolla_length_min","Corolla_length_max","Tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_N","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","References","Reference_info","DOI","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n"
"1","Aetheorrina bulbosa","1_1_bartomeus_spain_2008_batca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","NA","bisexual","hermaphrodite","NA","medium","quantitative","31.66","NA","60","self_compatible","manjula & nair","journal: the international journal of plant reproductive biology","10.14787/ijprb.2018 10.1.52-58","NA","flower","yes","bulb","no","white","dish","actinomorphic","20","NA","NA","5","NA","NA","NA","6","5","7","NA","NA","15","6","24","NA","NA","herb","perennial","0.15","0.45","0.45","goldblatt & snow 1991; manjula & nair 2018; prameela,s wamy  & venkaiah 2018","journal: annals of the issouri botanical garden; journal: the international journal of plant reproductive biology; journal: tropical plant research"," https://doi.org/10.2307/2399735 ","https://doi.org/10.22271/tpr.2018.v5.i3.038","NA","NA","NA","NA","NA","NA","30","60","NA","NA","NA","NA","30","60","NA","NA"
"2","Alyssum maritimum","1_1_bartomeus_spain_2008_batca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Brassicales","Brassicaceae","Lobularia","Lobularia maritima","NA","bisexual","hermaphrodite","NA","medium","quantitative","35","NA","35","self_compatible","gomez 2000","journal: oecologia","https://doi.org/10.1007/pl00008840","NA","flower","NA","NA","NA","white","bowl","actinomorphic","4","3","5","NA","NA","NA","NA","0.45","0.4","0.5","NA","NA","2","NA","NA","NA","NA","herb","perennial","0.1","0.4","0.25","Gomez 2000; Gomez 2000; NA","Journal of Evolutionary Biology; journal: Oecologia; online: http://ucjeps.berkeley.edu/","https://doi.org/10.1046/j.1420-9101.2000.00196.x","https://doi.org/10.1007/pl00008840","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3","Carpobrotus affinis","1_1_bartomeus_spain_2008_batca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Caryophyllales","Aizoaceae","Carpobrotus","Carpobrotus acinaciformis","NA","bisexual","hermaphrodite","NA","low","quantitative","NA","0.2","498","partially_self_compatible","bartomeus & vila 2009","journal: australian journal of botany"," https://doi.org/10.1071/bt08169 ",NA,"flower","yes","vegetative reproduction","NA","pink_purple","dish","actinomorphic","125","100","150","30","NA","NA","NA","NA","7","15","11","NA","1200","800","1800","NA","14","herb","perennial","NA","NA","0.1","NA; bartomeus & vila 2009","oline: https://keyserver.lucidcentral.org/; journal: australian journal of botany","NA;  https://doi.org/10.1071/bt08169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Convolvulus althaeoides","1_1_bartomeus_spain_2008_batca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Solanales","Convolvulaceae","Convolvulus","Convolvulus althaeoides","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","pink","campanulate","actinomorphic","22.5","20","25","17.5","15","20","NA","7.5","5","10","NA","NA","4","NA","NA","NA","NA","herb","perennial","NA","NA","1","NA; wood et a., 2015","online: http://www.maltawildplants.com/; journal: phytokeys","NA","http://dx.doi.org/10.3897/phytokeys.51.7104","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5","Convolvulus althaeoides","1_1_bartomeus_spain_2008_batca_1_2.csv","Adelidae sp.",0,"bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Solanales","Convolvulaceae","Convolvulus","Convolvulus althaeoides","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","pink","campanulate","actinomorphic","22.5","20","25","17.5","15","20","NA","7.5","5","10","NA","NA","4","NA","NA","NA","NA","herb","perennial","NA","NA","1","NA; wood et a., 2015","online: http://www.maltawildplants.com/; journal: phytokeys","NA","http://dx.doi.org/10.3897/phytokeys.51.7104","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6","Euphorbea segatalis","1_1_bartomeus_spain_2008_batca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia segetalis","NA","separated & bisexual","andromonoecious","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","green","exposed","actinomorphic","2","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","annual","NA","NA","0.35","NA","http://www.maltawildplants.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"7","Lathirus clymenum","1_1_bartomeus_spain_2008_batca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Fabales","Fabaceae","Lathyrus","Lathyrus clymenum","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_compatible","flower","NA","NA","NA","purple","papilionaceous","zygomorphic","18","16","20","18","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","annual","0.3","1","0.65","NA; abdullah 2011","online: http://www.cretanflora.com/ *height, life form*; thesis: ecogeographic, genetic and taxanomic studies of the genus lathyrus *compatibility genus*","NA","http://etheses.bham.ac.uk/id/eprint/3061","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"8","Lavandula stoechas","1_1_bartomeus_spain_2008_batca_1_2.csv","Adelidae sp.",1,"bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Lamiales","Lamiaceae","Lavandula","Lavandula stoechas","NA","bisexual","hermaphrodite","NA","low","qualitative","NA","NA","NA","NA","herrera 1991","journal: american journal of botany"," https://doi.org/10.2307/2445069 ","self_compatible","flower","no","NA","NA","purple","tube","zygomorphic","7","NA","NA","6.5","5","8","6.5","4","NA","NA","NA","NA","2","NA","NA","NA","NA","shrub","perennial","0.6","0.9","0.75","NA","online: https://keyserver.lucidcentral.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","Lavandula stoechas","1_1_bartomeus_spain_2008_batca_1_2.csv","Adelidae sp.",1,"bartomeus_2015.csv","donana np, spain",37.23316,-6.555236,"Lamiales","Lamiaceae","Lavandula","Lavandula stoechas","NA","bisexual","hermaphrodite","NA","low","qualitative","NA","NA","NA","partially_self_compatible","herrera 1991; magrach, molina & bartomeus 2019","journal: american journal of botany; journal: preprint biorxiv"," https://doi.org/10.2307/2445069 ; 10.1101/629931","self_compatible","flower","no","NA","NA","purple","tube","zygomorphic","7","NA","NA","6.5","5","8","6.5","4","NA","NA","NA","NA","4","NA","NA","NA","NA","shrub","perennial","0.23","1","0.61499999999999999","NA; NA; NA","online: http://www.floraiberica.es/; online: http://www.nzpcn.org.nz/ *ovule number, all lamiaceae the same*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","Sonchus tenerrinus","1_1_bartomeus_spain_2008_batca_1_2.csv","Adelidae sp.",0,"bartomeus_2008_bat1ca.csv","Spain",42.315336,3.296797,"Asterales","Asteraceae","Sonchus","Sonchus tenerrimus","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","14","NA","NA","6.5","NA","NA","NA","9.5","9","10","NA","NA","100","NA","NA","NA","NA","herb","annual_short_lived_perennial","0.2","0.4","0.3","NA; NA; NA","online: http://www.maltawildplants.com/; online: https://www.floravascular.com/; online: https://www.gbif.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
