"","order","family","species"
"1","Malpighiales","Euphorbiaceae","Croton scouleri"
"2",NA,NA,NA
"3",NA,NA,NA
"4","Sapindales","Burseraceae","Bursera graveolens"
"5","Boraginales","Heliotropiaceae","Tournefortia psilostachya"
"6",NA,NA,NA
"7","Malvales","Malvaceae","Gossypium darwinii"
"8","Malvales","Malvaceae","Gossypium darwinii"
"9",NA,NA,NA
"10","Boraginales","Cordiaceae","Cordia leucophlyctis"
"11",NA,NA,NA
"12","Fabales","Fabaceae","Desmanthus virgatus"
"13","Gentianales","Rubiaceae","Chiococca alba"
"14",NA,NA,NA
"15",NA,NA,NA
"16","Caryophyllales","Cactaceae","Opuntia echios"
"17","Boraginales","Cordiaceae","Cordia lutea"
"18","Fabales","Fabaceae","Prosopis juliflora"
"19","Caryophyllales","Cactaceae","Opuntia galapageia"
"20","Zygophyllales","Zygophyllaceae","Tribulus cistoides"
"21",NA,NA,NA
"22",NA,NA,NA
"23",NA,NA,NA
"24",NA,NA,NA
"25",NA,NA,NA
"26",NA,NA,NA
"27","Fabales","Fabaceae","Parkinsonia aculeata"
"28","Fabales","Fabaceae","Crotalaria pumila"
"29","Fabales","Polygalaceae","Polygala galapageia"
"30","Fabales","Fabaceae","Tamarindus indica"
"31",NA,NA,NA
"32","Asterales","Asteraceae","Blainvillea rhomboidea"
"33","Sapindales","Simaroubaceae","Castela galapageia"
"34","Fabales","Fabaceae","Rhynchosia minima"
"35","Cornales","Loasaceae","Mentzelia aspera"
"36",NA,NA,NA
"37",NA,NA,NA
"38",NA,NA,NA
"39",NA,NA,NA
"40","Caryophyllales","Portulacaceae","Portulaca oleracea"
"41",NA,NA,NA
"42","Asterales","Asteraceae","Pectis tenuifolia"
"43","Cucurbitales","Cucurbitaceae","Momordica charantia"
"44","Caryophyllales","Nyctaginaceae","Boerhavia erecta"
"45","Boraginales","Heliotropiaceae","Heliotropium angiospermum"
"46",NA,NA,NA
"47",NA,NA,NA
"48",NA,NA,NA
"49","Fabales","Fabaceae","Galactia striata"
"50","Caryophyllales","Plumbaginaceae","Plumbago scandens"
"51","Caryophyllales","Molluginaceae","Mollugo flavescens"
"52","Brassicales","Cleomaceae","Corynandra viscosa"
"53","Caryophyllales","Cactaceae","Jasminocereus thouarsii"
"54",NA,NA,NA
"55","Boraginales","Ehretiaceae","Tiquilia fusca"
"56","Caryophyllales","Amaranthaceae","Alternanthera filifolia"
"57","Boraginales","Cordiaceae","Cordia revoluta"
"58",NA,NA,NA
"59","Boraginales","Ehretiaceae","Tiquilia darwinii"
"60","Caryophyllales","Molluginaceae","Mollugo snodgrassii"
"61","Asterales","Asteraceae","Darwiniothamnus lancifolius"
"62",NA,NA,NA
"63","Crossosomatales","Aphloiaceae","Aphloia theiformis"
"64","Asterales","Rousseaceae","Roussea simplex"
"65",NA,NA,NA
"66","Sapindales","Rutaceae","Toddalia asiatica"
"67","Malpighiales","Euphorbiaceae","Stillingia lineata"
"68",NA,NA,NA
"69","Malpighiales","Euphorbiaceae","Croton fothergillifolius"
"70","Asterales","Asteraceae","Psiadia terebinthina"
"71","Gentianales","Rubiaceae","Chassalia coriacea"
"72","Sapindales","Sapindaceae","Dodonaea viscosa"
"73","Gentianales","Rubiaceae","Bertiera zaluzania"
"74","Gentianales","Rubiaceae","Antirhea borbonica"
"75",NA,NA,NA
"76",NA,NA,NA
"77","Solanales","Solanaceae","Petunia axillaris"
"78",NA,NA,NA
"79","Sapindales","Rutaceae","Ruta chalepensis"
"80",NA,NA,NA
"81","Caryophyllales","Cactaceae","Opuntia sulphurea"
"82","Lamiales","Verbenaceae","Dipyrena glaberrima"
"83","Fabales","Fabaceae","Senna aphylla"
"84","Rosales","Rhamnaceae","Condalia microphylla"
"85",NA,NA,NA
"86","Zygophyllales","Zygophyllaceae","Larrea nitida"
"87","Lamiales","Scrophulariaceae","Buddleja mendozensis"
"88","Ranunculales","Papaveraceae","Argemone subfusiformis"
"89","Zygophyllales","Zygophyllaceae","Larrea cuneifolia"
"90",NA,NA,NA
"91",NA,NA,NA
"92","Asterales","Asteraceae","Thymophylla pentachaeta"
"93","Fabales","Fabaceae","Zuccagnia punctata"
"94","Brassicales","Capparaceae","Atamisquea emarginata"
"95",NA,NA,NA
"96","Zygophyllales","Zygophyllaceae","Larrea divaricata"
"97","Fabales","Fabaceae","Spartium junceum"
"98",NA,NA,NA
"99","Lamiales","Verbenaceae","Lippia turbinata"
"100",NA,NA,NA
"101",NA,NA,NA
"102","Lamiales","Scrophulariaceae","Verbascum thapsus"
"103",NA,NA,NA
"104","Rosales","Elaeagnaceae","Elaeagnus angustifolia"
"105",NA,NA,NA
"106",NA,NA,NA
"107","Fabales","Fabaceae","Prosopis flexuosa"
"108",NA,NA,NA
"109","Lamiales","Plantaginaceae","Monttea aphylla"
"110",NA,NA,NA
"111","Cornales","Loasaceae","Mentzelia albescens"
"112","Malvales","Malvaceae","Lecanophora heterophylla"
"113",NA,NA,NA
"114","Asterales","Asteraceae","Proustia cuneifolia"
"115",NA,NA,NA
"116","Solanales","Solanaceae","Lycium chilense"
"117","Caryophyllales","Cactaceae","Echinopsis candicans"
"118","Ranunculales","Papaveraceae","Fumaria capreolata"
"119","Gentianales","Apocynaceae","Philibertia gilliesii"
"120","Caryophyllales","Caryophyllaceae","Cerastium arvense"
"121","Fabales","Fabaceae","Hoffmannseggia eremophila"
"122",NA,NA,NA
"123",NA,NA,NA
"124","Lamiales","Verbenaceae","Mulguraea aspera"
"125","Lamiales","Plantaginaceae","Veronica polita"
"126",NA,NA,NA
"127","Caryophyllales","Nyctaginaceae","Bougainvillea spinosa"
"128","Solanales","Solanaceae","Lycium tenuispinosum"
"129","Lamiales","Verbenaceae","Junellia crithmifolia"
"130",NA,NA,NA
"131","Solanales","Solanaceae","Lycium gilliesianum"
"132",NA,NA,NA
"133","Fabales","Polygalaceae","Bredemeyera microphylla"
"134",NA,NA,NA
"135","Lamiales","Lamiaceae","Vitex rotundifolia"
"136","Malpighiales","Euphorbiaceae","Mallotus japonicus"
"137","Poales","Cyperaceae","Scleria terrestris"
"138","Malpighiales","Phyllanthaceae","Phyllanthus meghalayensis"
"139","Apiales","Pittosporaceae","Pittosporum tobira"
"140","Myrtales","Melastomataceae","Melastoma candidum"
"141","Ericales","Primulaceae","Ardisia sieboldii"
"142",NA,NA,NA
"143","Ericales","Theaceae","Schima wallichii"
"144","Fagales","Fagaceae","Castanopsis sieboldii"
"145","Ericales","Primulaceae","Ardisia quinquegona"
"146","Crossosomatales","Staphyleaceae","Euscaphis japonica"
"147","Oxalidales","Elaeocarpaceae","Elaeocarpus japonicus"
"148","Laurales","Lauraceae","Litsea japonica"
"149","Apiales","Araliaceae","Dendropanax trifidus"
"150",NA,NA,NA
"151","Lamiales","Lamiaceae","Callicarpa japonica"
"152","Sapindales","Rutaceae","Tetradium glabrifolium"
"153",NA,NA,NA
"154","Asterales","Asteraceae","Youngia japonica"
"155","Asterales","Asteraceae","Youngia japonica"
"156","Ranunculales","Ranunculaceae","Ranunculus sieboldii"
"157","Malpighiales","Phyllanthaceae","Glochidion zeylanicum"
"158","Myrtales","Lythraceae","Lagerstroemia subcostata"
"159",NA,NA,NA
"160","Lamiales","Lamiaceae","Clerodendrum trichotomum"
"161",NA,NA,NA
"162",NA,NA,NA
"163","Ericales","Primulaceae","Maesa tenera"
"164","Rosales","Cannabaceae","Trema orientale"
"165","Rosales","Cannabaceae","Trema orientale"
"166","Proteales","Sabiaceae","Meliosma rigida"
"167",NA,NA,NA
"168",NA,NA,NA
"169",NA,NA,NA
"170","Malvales","Malvaceae","Heritiera littoralis"
"171","Laurales","Lauraceae","Cinnamomum doederleinii"
"172","Zingiberales","Zingiberaceae","Alpinia intermedia"
"173","Asterales","Asteraceae","Crepidiastrum lanceolatum"
"174","Asterales","Asteraceae","Crepidiastrum lanceolatum"
"175",NA,NA,NA
"176",NA,NA,NA
"177","Oxalidales","Elaeocarpaceae","Elaeocarpus sylvestris"
"178",NA,NA,NA
"179","Ericales","Styracaceae","Styrax japonicus"
"180","Rosales","Rhamnaceae","Rhamnella franguloides"
"181",NA,NA,NA
"182","Malpighiales","Phyllanthaceae","Glochidion obovatum"
"183","Lamiales","Lamiaceae","Mosla dianthera"
"184",NA,NA,NA
"185","Asterales","Goodeniaceae","Scaevola taccada"
"186","Lamiales","Orobanchaceae","Aeginetia indica"
"187",NA,NA,NA
"188","Rosales","Rosaceae","Rubus croceacanthus"
"189","Gentianales","Rubiaceae","Psychotria homalosperma"
"190","Gentianales","Rubiaceae","Psychotria homalosperma"
"191",NA,NA,NA
"192",NA,NA,NA
"193","Aquifoliales","Aquifoliaceae","Ilex integra"
"194","Aquifoliales","Aquifoliaceae","Ilex integra"
"195",NA,NA,NA
"196","Caryophyllales","Polygonaceae","Persicaria chinensis"
"197","Rosales","Rosaceae","Rhaphiolepis indica"
"198","Apiales","Araliaceae","Schefflera heptaphylla"
"199","Apiales","Araliaceae","Schefflera heptaphylla"
"200","Myrtales","Melastomataceae","Bredia hirsuta"
"201","Pandanales","Stemonaceae","Croomia japonica"
"202","Lamiales","Lamiaceae","Premna microphylla"
"203",NA,NA,NA
"204","Ranunculales","Ranunculaceae","Clematis grata"
"205","Pandanales","Pandanaceae","Pandanus odoratissimus"
"206","Pandanales","Pandanaceae","Pandanus odoratissimus"
"207",NA,NA,NA
"208","Pinales","Pinaceae","Pinus luchuensis"
"209",NA,NA,NA
"210",NA,NA,NA
"211",NA,NA,NA
"212",NA,NA,NA
"213",NA,NA,NA
"214","Saxifragales","Crassulaceae","Sedum formosanum"
"215","Alismatales","Araceae","Alocasia odora"
"216","Fabales","Fabaceae","Vigna marina"
"217","Commelinales","Commelinaceae","Pollia japonica"
"218",NA,NA,NA
"219",NA,NA,NA
"220","Ericales","Ericaceae","Rhododendron tashiroi"
"221",NA,NA,NA
"222",NA,NA,NA
"223",NA,NA,NA
"224","Gentianales","Apocynaceae","Cerbera manghas"
"225","Ranunculales","Lardizabalaceae","Stauntonia hexaphylla"
"226","Malpighiales","Phyllanthaceae","Securinega suffruticosa"
"227","Malpighiales","Phyllanthaceae","Securinega suffruticosa"
"228",NA,NA,NA
"229",NA,NA,NA
"230","Asterales","Asteraceae","Ageratum houstonianum"
"231","Zingiberales","Zingiberaceae","Alpinia formosana"
"232",NA,NA,NA
"233",NA,NA,NA
"234","Rosales","Rosaceae","Rubus grayanus"
"235","Ranunculales","Ranunculaceae","Clematis terniflora"
"236","Fabales","Fabaceae","Bauhinia japonica"
"237","Fabales","Fabaceae","Maackia tashiroi"
"238","Malvales","Malvaceae","Talipariti hamabo"
"239","Fabales","Fabaceae","Canavalia lineata"
"240",NA,NA,NA
"241","Ericales","Pentaphylacaceae","Eurya japonica"
"242","Malvales","Malvaceae","Talipariti tiliaceum"
"243","Solanales","Convolvulaceae","Ipomoea indica"
"244","Caryophyllales","Polygonaceae","Reynoutria japonica"
"245","Ericales","Primulaceae","Ardisia pusilla"
"246","Gentianales","Rubiaceae","Lasianthus japonicus"
"247","Ericales","Actinidiaceae","Actinidia rufa"
"248","Proteales","Sabiaceae","Meliosma oldhamii"
"249","Gentianales","Rubiaceae","Gynochthodes umbellata"
"250","Ericales","Ericaceae","Vaccinium wrightii"
"251","Caryophyllales","Chenopodiaceae","Salsola komarovii"
"252","Zingiberales","Musaceae","Musa balbisiana"
"253","Ericales","Lecythidaceae","Barringtonia racemosa"
"254","Asparagales","Iridaceae","Iris domestica"
"255","Myrtales","Melastomataceae","Blastus cochinchinensis"
"256",NA,NA,NA
"257","Asterales","Asteraceae","Bidens pilosa"
"258","Lamiales","Gesneriaceae","Rhynchotechum discolor"
"259","Ericales","Diapensiaceae","Diapensia lapponica"
"260","Malpighiales","Violaceae","Viola biflora"
"261","Saxifragales","Saxifragaceae","Saxifraga oppositifolia"
"262","Rosales","Rosaceae","Dryas octopetala"
"263","Saxifragales","Saxifragaceae","Saxifraga aizoides"
"264","Ranunculales","Ranunculaceae","Trollius europaeus"
"265","Caryophyllales","Caryophyllaceae","Cerastium alpinum"
"266","Lamiales","Lentibulariaceae","Pinguicula alpina"
"267","Celastrales","Celastraceae","Parnassia palustris"
"268","Caryophyllales","Caryophyllaceae","Silene acaulis"
"269","Rosales","Rosaceae","Potentilla crantzii"
"270","Caryophyllales","Polygonaceae","Bistorta vivipara"
"271","Malpighiales","Salicaceae","Salix reticulata"
"272","Saxifragales","Crassulaceae","Rhodiola rosea"
"273","Ericales","Ericaceae","Rhododendron lapponicum"
"274","Asterales","Asteraceae","Antennaria alpina"
"275","Malpighiales","Salicaceae","Salix lanata"
"276","Asterales","Asteraceae","Taraxacum officinale"
"277","Ericales","Ericaceae","Harrimanella hypnoides"
"278","Ericales","Ericaceae","Cassiope tetragona"
"279","Fabales","Fabaceae","Astragalus alpinus"
"280","Brassicales","Brassicaceae","Arabis alpina"
"281","Malpighiales","Salicaceae","Salix polaris"
"282","Lamiales","Orobanchaceae","Bartsia alpina"
"283","Ranunculales","Papaveraceae","Macleaya cordata"
"284","Malpighiales","Violaceae","Viola verecunda"
"285",NA,NA,NA
"286","Apiales","Apiaceae","Angelica pubescens"
"287","Cornales","Hydrangeaceae","Deutzia maximowicziana"
"288","Lamiales","Lamiaceae","Leucosceptrum stellipilum"
"289","Apiales","Araliaceae","Aralia cordata"
"290","Apiales","Apiaceae","Angelica polymorpha"
"291","Cornales","Hydrangeaceae","Deutzia crenata"
"292",NA,NA,NA
"293","Ericales","Symplocaceae","Symplocos chinensis"
"294","Rosales","Rosaceae","Kerria japonica"
"295","Sapindales","Simaroubaceae","Brucea javanica"
"296","Crossosomatales","Stachyuraceae","Stachyurus praecox"
"297","Rosales","Rosaceae","Rubus palmatus"
"298","Laurales","Lauraceae","Lindera umbellata"
"299",NA,NA,NA
"300","Poales","Cyperaceae","Carex curvicollis"
"301","Dipsacales","Adoxaceae","Viburnum plicatum"
"302","Ranunculales","Papaveraceae","Corydalis pallida"
"303","Cornales","Hydrangeaceae","Hydrangea paniculata"
