"","species"
"1","Aetheorrina bulbosa"
"2","Alyssum maritimum"
"3","Convolvulus althaeoides"
"4","Euphorbea segatalis"
"5","Lathirus clymenum"
"6","Lavandula stoechas"
"7","Sonchus tenerrinus"
"8","Thymelaea hirusta"
"9","Urospermum picrioides"
"10","Cistus albidus"
"11","Cistus monspeliensis"
"12","Cistus salvifolius"
"13","Dorichnium pentaphylum"
"14","Linum sp."
"15","Rosmarinus officinalis"
"16","Vicea lutea"
"17","Galactites tomentosa"
"18","Psoralea bituminosa"
"19","Achillea wilsoniana"
"20","Adenophora capillaris"
"21","Adenophora jasionifolia"
"22","Adenophora khasiana"
"23","Agrimonia pilosa"
"24","Ajuga forrestii"
"25","Allium atrosanguineum"
"26","Allium cyathophorum"
"27","Allium wallichii"
"28","Anaphalis nepalensis"
"29","Anemone rivularis"
"30","Arctium lappa"
"31","Arenaria yunnanensis"
"32","Aster diplostephioides"
"33","Aster oreophilus"
"34","Aster souliei"
"35","Aster vestitus"
"36","Aster yunnanensis"
"37","Astragalus pullus"
"38","Carduus crispus"
"39","Chamaenerion angustifolium"
"40","Cimicifuga yunnanensis"
"41","Cirsium eriophoroides"
"42","Clematis akebioides"
"43","Clinopodium repens"
"44","Codonopsis convolvulacea"
"45","Cyananthus delavayi"
"46","Cynoglossum amabile"
"47","Daucus catota"
"48","Dipsacus asperoides"
"49","Dipsacus chinensis"
"50","Dubyaea bhotanica"
"51","Epilobium tibetanum"
"52","Euphrasia regelii"
"53","Galeopsis bifida"
"54","Gentiana chungtienensis"
"55","Gentiana crassicaulis"
"56","Geranium delavaryi"
"57","Gnaphalium affine"
"58","Halenia elliptica"
"59","Herpetospermum pedunculosum"
"60","Impatiens chungtienensis"
"61","Ixeridium biparum"
"62","Juncus allioides"
"63","Ligularia cymbulifera"
"64","Ligularia dictyoneura"
"65","Ligularia lankongensis"
"66","Lilium duchartrei"
"67","Lotus cornculatus"
"68","Mentha haplocalyx"
"69","Microula sikkimensis"
"70","Myosotis alpestris"
"71","Nepeta stewartiana"
"72","Onosma confertum"
"73","Origanum vulgare"
"74","Pedicularis cephalantha"
