Species_geonet,Unique_id,Locality,Latitude,Longitude,Order_all,Family_all,Genus_all,Species_all,Subspecies,Sex_or_flower_type,Breeding_system,Autonomous_selfing_level,Autonomous_selfing_level_data_type,Autonomous_selfing_level_fruit_set,Autonomous_selfing_level_seed_set,autonomous_selfing_sample_size,Compatibility,Self_compatible_author,Self_compatible_reference,Self_compatible_doi,Compatibility_genus,Info_level,Asexual_reproduction,Asexual_reproduction_type,Agamospermy/apomixis (yes/no/some_populations),Flower_colour,Flower_morphology,Flower_symmetry,Corolla_diameter_mean,Corolla_diameter_min,Corolla_diameter_max,Corolla_length_mean,Corolla_length_min,Corolla_length_max,Tube_length,style_length_mm,style_length_min_mm,style_length_max_mm,style_length_max_sd,style_length_max_N,ovules_mean,ovules_min,ovules max,ovules_sd,ovules_n,life_form,lifespan,plant_height_min_m,plant_height_max_m,plant_height_mean_m,References,Reference_info,DOI,doi__1,doi__2,doi__3,doi__4,type_of_proxy_seed _or_fruit,open_pollination_percentage,open_pollination_n,hand_poll_outcrossing_percentage,hand_poll_outcrossing_percentage_n,hand_poll_self_percentage,hand_poll_self_n,spontaneus_selfing_percentage,spontaneus_selfing_n,geitonogamy_percentage,geitonogamy_n,apomixis_percentage,apomixis_n,intramorph_percentage,intramorph_n,stamen_length_mm,stamen_length_min_mm,stamen_length_max_mm,style_length_mm,style_length_min_mm,style_length_max_mm,style_length_max_sd,style_length_max_N,ovary_length_mm,ovary_min_mm,ovary_max_mm,stigma_length_mm,stigma_min_mm,stigma_max_mm,pistil_length_mm,pistil_min_mm,pistil_max_mm,inflorescence_form,inflorescence_arrangement,inflorescence_length_mm,inflorescence_width_mean_mm,inflorescence_width_min_mm,inflorescence_width_max_mm,inflorescence_comment,pollen_anther_mean,pollen_anther_min,pollen_anther_max,pollen_anther_sd,pollen_anther_n,pollen_flower_mean,pollen_flower_min,pollen_flower_max,pollen_flower_sd,pollen_flower_n,pollen_ovule_ratio,pollen_ovule_ratio_sd,ovules_mean,ovules_min,ovules max,ovules_sd,ovules_n,stamen_mean,stamen_min,stamen_max,anthers_exerted_yes_or_no,anthers_exerted_mm,pistil_mean,stigma_mean,stigma_exerted_yes_or_no,stigma_exerted_mm,flowers_inflorescences_min,flowers_inflorescences_max,flowers_inflorescences_mean,inflorescences_plant_min,inflorescences_plant_max,inflorescences_plant_mean,flower_plant_min,flower_plant_max,flower_plant_mean,flower_lifespan_days,flowering_time_days,nectar_yes_or_no,nectar_ul_day_mean,nectar_ul_day_sd,nectar_ul_day_n,total_nectar_ul_mean,total_nectar_ul_sd,total_nectar_ul_n,sugar_nectar_mg_mean,sugar_nectar_mg_sd,sugar_nectar_mg_n,sugar_concentration_mean,sugar_concentration_sd,sugar_concentration_n,fruit_type,fruit_colour,fruit_length_mm,fruit_width_mm,pollen_polar_length_um_mean,pollen_polar_length_um_min,pollen_polar_length_um_max,pollen_equatorial_length_mean_um,pollen_equatorial_length_min_um,pollen_equatorial_length_max_um,pollen_polar_equatorial,mean_pollen_tube_growth_um_min,chromosome number,ploidy,location,country,references__1,reference_journal__1,doi__5,doi__6,doi__7,doi__8,doi__9
Aetheorrina bulbosa,bartomeus_2008_bat1ca.csv,Spain,42.315336,3.296797,Asparagales,Iridaceae,Eleutherine,Eleutherine bulbosa,NA,bisexual,hermaphrodite,medium,quantitative,31.66,NA,60,self_compatible,manjula & nair,journal: the international journal of plant reproductive biology,10.14787/ijprb.2018 10.1.52-58,NA,flower,yes,bulb,no,white,disk,actinomorphic,20,NA,NA,5,NA,NA,NA,6,5,7,NA,NA,15,6,24,NA,NA,herb,perennial,0.15,0.45,0.45,"goldblatt & snow 1991; manjula & nair 2018; prameela,s wamy  & venkaiah 2018",journal: annals of the issouri botanical garden; journal: the international journal of plant reproductive biology; journal: tropical plant research, https://doi.org/10.2307/2399735 ,https://doi.org/10.22271/tpr.2018.v5.i3.038,,,,,,,30,60,,,,,30,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyssum maritimum,bartomeus_2008_bat1ca.csv,Spain,42.315336,3.296797,Brassicales,Brassicaceae,Lobularia,Lobularia maritima,NA,bisexual,hermaphrodite,medium,quantitative,35,NA,35,self_compatible,gomez 2000,journal: oecologia,https://doi.org/10.1007/pl00008840,NA,flower,NA,NA,NA,white,bowl,actinomorphic,4,3,5,NA,NA,NA,NA,0.45,0.4,0.5,NA,NA,2,NA,NA,NA,NA,herb,perennial,0.1,0.4,0.25,Gomez 2000; Gomez 2000; NA,Journal of Evolutionary Biology; journal: Oecologia; online: http://ucjeps.berkeley.edu/,https://doi.org/10.1046/j.1420-9101.2000.00196.x,https://doi.org/10.1007/pl00008840,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convolvulus althaeoides,bartomeus_2008_bat1ca.csv,Spain,42.315336,3.296797,Solanales,Convolvulaceae,Convolvulus,Convolvulus althaeoides,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,pink,campanulate,actinomorphic,22.5,20,25,17.5,15,20,NA,7.5,5,10,NA,NA,4,NA,NA,NA,NA,herb,perennial,NA,NA,1,"NA; wood et a., 2015",online: http://www.maltawildplants.com/; journal: phytokeys,NA,http://dx.doi.org/10.3897/phytokeys.51.7104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbea segatalis,bartomeus_2008_bat1ca.csv,Spain,42.315336,3.296797,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia segetalis,NA,separated & bisexual,andromonoecious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,green,exposed,actinomorphic,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,annual,NA,NA,0.35,NA,http://www.maltawildplants.com/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lathirus clymenum,bartomeus_2008_bat1ca.csv,Spain,42.315336,3.296797,Fabales,Fabaceae,Lathyrus,Lathyrus clymenum,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,self_compatible,flower,NA,NA,NA,purple,papilionaceous,zygomorphic,18,16,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,annual,0.3,1,0.65,NA; abdullah 2011,"online: http://www.cretanflora.com/ *height, life form*; thesis: ecogeographic, genetic and taxanomic studies of the genus lathyrus *compatibility genus*",NA,http://etheses.bham.ac.uk/id/eprint/3061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavandula stoechas,bartomeus_2008_bat1ca.csv,Spain,42.315336,3.296797,Lamiales,Lamiaceae,Lavandula,Lavandula stoechas,NA,bisexual,hermaphrodite,low,qualitative,NA,NA,NA,NA,herrera 1991,journal: american journal of botany, https://doi.org/10.2307/2445069 ,self_compatible,flower,no,NA,NA,purple,tube,zygomorphic,7,NA,NA,6.5,5,8,6.5,4,NA,NA,NA,NA,2,NA,NA,NA,NA,shrub,perennial,0.6,0.9,0.75,NA,online: https://keyserver.lucidcentral.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonchus tenerrinus,bartomeus_2008_bat1ca.csv,Spain,42.315336,3.296797,Asterales,Asteraceae,Sonchus,Sonchus tenerrimus,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capitulum,NA,NA,NA,yellow,capitulum,actinomorphic,14,NA,NA,6.5,NA,NA,NA,9.5,9,10,NA,NA,100,NA,NA,NA,NA,herb,annual_perennial,0.2,0.4,0.3,NA; NA; NA,online: http://www.maltawildplants.com/; online: https://www.floravascular.com/; online: https://www.gbif.org/,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonchus tenerrinus,bartomeus_2008_bat1ca.csv,Spain,42.315336,3.296797,Asterales,Asteraceae,Sonchus,Sonchus tenerrimus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,disc_floret,NA,NA,NA,yellow,exposed,actinomorphic,0.5,NA,NA,6.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,annual_perennial,0.2,0.4,0.3,NA,online: http://www.maltawildplants.com/; online: https://www.floravascular.com/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonchus tenerrinus,bartomeus_2008_bat1ca.csv,Spain,42.315336,3.296797,Asterales,Asteraceae,Sonchus,Sonchus tenerrimus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ray_floret,NA,NA,NA,yellow,exposed,zygomorphic,1.5,NA,NA,8.5,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,annual_perennial,0.2,0.4,0.3,NA,online: http://www.maltawildplants.com/; online: https://www.floravascular.com/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thymelaea hirusta,bartomeus_2008_bat1ca.csv,Spain,42.315336,3.296797,Malvales,Thymelaeaceae,Thymelaea,Thymelaea hirsuta,NA,separated & bisexual,subdioecious,low,qualitative,NA,NA,NA,self_compatible,cornara 2005,journal: plant systematics and evolution,10.1007/s00606-004-0236-x,NA,flower,yes,apomixis but low,yes,yellow,campanulate,actinomorphic,3.75,3.5,4,2.5,NA,NA,NA,0.25,NA,NA,0.098,NA,1,NA,NA,NA,NA,shrub,perennial,1,2,1.5,"NA; zahran & willis 1992; cornara et al., 2005","online: http://powo.science.kew.org/ *life form*; book: the vegetation of egypt *height*; journal: Plant systematics and evolution *compatibility, breeding system, apomixis, flower size* ",NA,ISBN :412315106,10.1007/s00606-004-0236-x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,26.15,25.6,26.7,26.15,25.6,26.7,1,,,,,,,,,,,,
