plant_code,species_name
aca.ser,acantholippia_seriphioides
alo.gra,aloyssia_gratissima
arg.sub,argemone_subfusiformis
arj.lon,arjona_longifolia
bou.spi,bougainvillea_spinosa
bre.mic,bredemeyera_microphylla
bud.men,buddleja_mendozensis
cap.ata,capparis_atamisquea
cen.sol,centaurea_solstialis
cer.arv,cerastium_arvense
cle.mon,clematis_montevidensis
con.mic,condalia_microphylla
des.sp1,descurainia_sp
dyp.gla,dipyrena_glaberrima
ero.cic,erodium_cicatarium
fum.cap,fumaria_capreolata
hel.don,helenium_donianum
hof.ere,hoffmannseggia_eremophila
hys.jas,hysterionica_jassionoide
lar.cun,larrea_cuneifolia
lar.div,larrea_divaricata
lar.nit,larrea_nitida
lec.het,lecanophora_heterophylla
lip.tur,lippia_turbinata
lyc.chi,lycium_chilense
lyc.gil,lycium_gilliesianum
men.dec,menodora_decemfida
mon.aph,monttea_aphylla
opu.sul,opuntia_sulphurea
oxy.ova,oxybaphus_obatus
pet.axi,petunia_axillaris
phi.gil,philibertia_gilliesii
phr.pac,pyrrhocactus_pachacoensis
pro.fle,prosopis_flexuosa
rut.cha,ruta_chalepensis
sal.gil,salvia_gilliesii
sch.fas,schinus_fasciculata
sen.aph,senna_aphylla
sen.pin,senecio_pinnatus
spa.jun,spartium_junceum
sph.min,spharealcea_miniata
thy.pen,thymophylla_pentachaeta
tri.can,trichocereus_candicans
ver.pol,veronica_polita
zuc.pun,zuccagnia_punctata
