"","Acromyrmex lobicornis","Alloscirtetica brethesi","Ammophila sp","Anthidium friesei","Apis mellifera","Aristosyrphus sp","Audre sp","Augochloropsis sp","Babia elongata","Bombus opifex","Caenohalictus sp","Camponotus mus","Centris brethesi","Chrysanthrax sp1","Chrysanthrax sp2","Coccinelidae sp1","Coelioxys jorgenseni","Colletes araucariae","Colletes brethesi","Colletes cognatus","Compsomyiops fulvicrura","Copestilum aricia","Copestilum sp2","Copestilum sp3","Cosmosatyrus chilensis","Crabronidae sp1","Diabrotica sp","Dialictus sp","Empididae sp1","Exoprosopa sp1","Exoprosopa sp2","Hirmoneura sp","Leioproctus abdominalis","Lepidoptera sp3","Lepidoptera sp4","Leptometriella nigra","Megachile leucographa","Megachile nigella","Megachile obscurior","Melectoides cockerelli","Mesonychium jenseni","Nitidulidae sp1","Platycheirus sp","Poecilognathus sp","Polistes cavapyta","Pompilidae sp2","Psaenythia rufipes","Sciomyzidae","Sphecidae sp1","Strymon eurytulus","Syrphidae sp2","Syrphidae sp3","Syrphus sp1","Tachipompillus sp","Tatochila autodice","Thynnidae sp","Toxomerus sp1","Villa sp","Xylocopa atamisquensis","Zeta sp"
"Acantholippia seriphioides",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Aloyssia gratissima",0,0,0,0,368,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0
"Buddleja mendozensis",0,0,2,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capparis atamisquea",0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
"Clematis montevidensis",0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Condalia microphylla",0,0,3,0,263,1,0,0,0,0,0,115,0,69,32,0,0,0,0,0,157,125,0,0,0,1,0,0,1,4,1,554,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,1,0,0,1,1,62,0,0,53,0,1,0,30
"Helenium donianum",0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Larrea divaricata",0,0,0,31,244,0,0,7,0,48,0,0,38,2,0,0,0,0,0,1,6,12,0,0,0,0,0,0,0,0,0,21,3,0,1,0,121,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,109,0
"Larrea nitida",0,2,0,0,66,0,2,13,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Lecanophora heterophylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
