"","","Acalyptratae sp2","Alloscirtetica brethesi","Alloscirtetica sp1","Ammophila sp","Anthidium friesei","Anthidium rubripes","Anthrax oedipus","Apis mellifera","Arhysosage bifasciata","Aristosyrphus sp","Ascia monuste","Asilidae sp1","Asilidae sp2","Audre sp","Augochloropsis sp","Babia elongata","Bombus opifex","Bombyliidae sp12","Bombyliidae sp9","Caenohalictus sp","Calliopsini sp1","Camponotus mus","Camponotus punctulatus","Centris brethesi","Centris lyngbyei","Centris vardyorum","Chaetocrania sp","Chrysanthrax sp1","Chrysanthrax sp2","Coelioxys chilensis","Coelioxys sp6","Colletes araucariae","Colletes brethesi","Colletes cognatus","Colletes lycii","Compsomyiops fulvicrura","Copestilum aricia","Copestilum sp2","Cosmosatyrus chilensis","Diabrotica sp","Diadasia patagonica","Dialictus sp","Epitragus sp","Eumenidae sp","Exoprosopa sp1","Exoprosopa sp2","Hirmoneura sp","Hypalastroides sp","Isepeolus viperinus","Leioproctus abdominalis","Leioproctus friesei","Lepidoptera sp11","Lepidoptera sp3","Lonchopria robertsi","Megachile leucographa","Megachile obscurior","Megachile pseudocentron2","Mesonychium jenseni","Nitidulidae sp1","Parasystoechus sp","Poecilognathus sp","Pompilidae sp2","Psaenythia rufipes","Pseudagapostemon sp","Rubrica nasuta","Sarcophagidae sp1","Sphecidae sp1","Sphex sp2","Strymon eurytulus","Svastra sp","Svastrides zebra","Syrphidae sp6","Syrphus sp1","Tachinidae sp10","Tachinidae sp17","Tachipompillus sp","Tachytes sp","Tephritidae sp2","Thynnidae sp","Trichothurgus laticeps","Trichoturgus sp2","Villa sp","Willinkapis chalybaea","Xylocopa atamisquensis","Xylocopa splendidula","Zeta sp"
"Acantholippia seriphioides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aloyssia gratissima",0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,113,70,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Arjona longifolia",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"Buddleja mendozensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capparis atamisquea",0,0,0,0,0,0,1,0,38,0,0,0,0,0,2,11,0,4,0,0,0,0,0,0,95,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,7,0,34,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0
"Centaurea solstialis",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cerastium arvense",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clematis montevidensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,4,0,0,0,0,0,5,0,0,0,0
"Condalia microphylla",2,0,0,0,4,0,0,0,146,0,3,0,1,4,0,27,0,0,0,4,0,0,61,1,0,0,0,0,30,1,0,0,0,0,3,0,23,17,3,0,0,0,6,0,0,24,1,117,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,9,19,1,0,0,0,7,0,0,15,0,0,0,0
"Descurainia sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
