"","","Alloscirtetica brethesi","Alloscirtetica sp.1","Ammophila sp.","Ananthidium inerme","Anthidium friesei","Anthidium rubripes","Anthrax oedipus","Apis mellifera","Arhysosage bifasciata","Aristosyrphus sp.","Ascia monuste","Asilidae sp.1","Audre sp.","Augochloropsis sp.","Babia elongata","Bibionidae sp.","Bombus opifex","Caenohalictus sp.","Camponotus mus","Camponotus punctulatus","Centris brethesi","Centris lyngbyei","Centris vardyorum","Chaetocrania sp.","Chrysanthrax sp.1","Chrysanthrax sp.2","Coelioxys jorgenseni","Colletes araucariae","Colletes brethesi","Colletes cognatus","Colletes lycii","Compsomyiops fulvicrura","Copestilum aricia","Copestilum sp.2","Cosmosatyrus chilensis","Diabrotica sp.","Diadasia patagonica","Dialictus sp.","Empididae sp.2","Eumenidae sp.","Exoprosopa sp.1","Exoprosopa sp.2","Hirmoneura sp.","Hypalastroides sp.","Isepeolus vachali","Leioproctus abdominalis","Leioproctus friesei","Lepidoptera sp.11","Lepidoptera sp.12","Lepidoptera sp.3","Leptometriella nigra","Liphantus inornatus","Liphantus nigritus","Lonchopria robertsi","Megachile leucographa","Megachile nigella","Megachile obscurior","Megachile pseudocentron2","Mesonychium jenseni","Parasystoechus sp.","Platycheirus sp.","Poecilognathus sp.","Polistes cavapyta","Psaenythia rufipes","Pseudagapostemon sp.","Pyrgus communis","Sarcophagidae sp.1","Sphecidae sp.1","Strymon eurytulus","Svastra sp.","Svastrides zebra","Syrphidae sp.5","Syrphidae sp.6","Syrphus sp.1","Tachinidae sp.10","Tachinidae sp.15","Tachipompillus sp.","Tatochila autodice","Tephritidae sp.1","Thynnidae sp.","Trichothurgus laticeps","Villa sp.","Willinkapis chalybaea","Xylocopa atamisquensis","Xylocopa splendidula","Zeta sp."
"Descurainia sp.",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Dipyrena glaberrima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erodium cicatarium",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helenium donianum",0,0,0,17,0,0,0,0,0,0,0,0,0,4,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hysterionica jassionoide",0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Larrea cuneifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Larrea divaricata",0,3,7,3,0,25,31,0,0,0,0,11,0,14,13,0,0,32,0,0,0,10,3,0,0,1,0,0,1,0,5,9,0,20,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,30,10,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,92,9,1
"Larrea nitida",0,23,0,0,0,0,0,0,25,0,0,0,0,0,50,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,153,14,0
"Lecanophora heterophylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lippia turbinata",0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
