"","Andrena sp","Anthophora atroalba","Apidae NA","Apis mellifera","Cerceris morpho1","Chasmatopterus illigeri","Dasypoda sp","Episyrphus balteatus","Eucera collaris","Halictus tridivisus","Lasioglossum bimaculatus","Lasioglossum leucozonium","Lasioglossum malachurum","Lasioglossum morpho1","Osmia fulviventris","Pieris rapae","Tenthredo sp","Usia morpho1"
"Armeria velutina",0,0,1,0,2,0,0,0,0,4,0,0,2,0,3,0,1,1
"Chamaemelum fuscatum",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Cistus libanotis",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Cistus salvifolius",1,0,0,0,0,2,0,0,0,0,3,3,1,0,0,0,0,0
"Halimium commutatum",0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Lavandula pedunculata",0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"Lavandula stoechas",0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Scabiosa atropurpurea",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
