"","species_geonet","column_label","unique.id","Order_all","Family_all","Genus_all","Species_all","subspecies","sex_or_flower_type","breeding_system","autonomous_selfing_level (none/low/medium/high)","compatibility","compatibility_genus","info_level","asexual_reproduction","asexual_reproduction_type","agamospermy/apomixis (yes/no/some_populations)","parasitic (yes/no)","flower_colour","flower_morphology","flower_pollinator_morphology","flower_symmetry","corolla_diameter_mean_mm","corolla_diameter_min_mm","corolla_diameter_max_mm","corolla_length_mean_mm","corolla_length_min_mm","corolla_length_max_mm","tube_length_mm","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","references","reference_journal","doi","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n","intramorph_percentage","intramorph_n","stamen_length_mm","stamen_length_min_mm","stamen_length_max_mm","style_length_mm","style_length_min_mm","style_length_max_mm","ovary_length_mm","ovary_min_mm","ovary_max_mm","stigma_length_mm","stigma_min_mm","stigma_max_mm","pistil_length_mm","pistil_min_mm","pistil_max_mm","inflorescence_form","inflorescence_arrangement","inflorescence_length_mm","inflorescence_width_mean_mm","inflorescence_width_min_mm","inflorescence_width_max_mm","inflorescence_comment","pollen_anther_mean","pollen_anther_sd","pollen_anther_n","pollen_flower_mean","pollen_flower_min","pollen_flower_max","pollen_flower_sd","pollen_flower_n","pollen_ovule_ratio","pollen_ovule_ratio_sd","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","stamen_mean","stamen_min","stamen_max","anthers_exerted_yes_or_no","anthers_exerted_mm","pistil_mean","stigma_mean","stigma_exerted_yes_or_no","stigma_exerted_mm","flowers_inflorescences_min","flowers_inflorescences_max","flowers_inflorescences_mean","inflorescences_plant_min","inflorescences_plant_max","inflorescences_plant_mean","flower_plant_min","flower_plant_max","flower_plant_mean","flower_lifespan_days","flowering_time_days","nectar_yes_or_no","nectar_ul_day_mean","nectar_ul_day_sd","nectar_ul_day_n","total_nectar_ul_mean","total_nectar_ul_sd","total_nectar_ul_n","sugar_nectar_mg_mean","sugar_nectar_mg_sd","sugar_nectar_mg_n","sugar_concentration_mean","sugar_concentration_sd","sugar_concentration_n","fruit_type","fruit_colour","fruit_length_mm","fruit_width_mm","pollen_polar_length_um_mean","pollen_polar_length_um_min","pollen_polar_length_um_max","pollen_equatorial_length_mean_um","pollen_equatorial_length_min_um","pollen_equatorial_length_max_um","pollen_polar_equatorial","mean_pollen_tube_growth_um_min","chromosome number","ploidy","location","country","references__1","reference_journal__1","doi__5","doi__6","doi__7","doi__8","doi__9"
"198","Anemonella thalictroides","148","robertson_1929.csv","Ranunculales","Ranunculaceae","Anemonella","Anemonella thalictroides","NA","bisexual","protogynous","NA","self_compatible","NA","flower","NA","NA","NA",,"white","bowl","bowl","actinomorphic","18.5","12","25","5","NA","NA","NA","herb","perennial","0.1","0.3","0.2","NA; lubbers & christensen 1986","online: https://www.illinoiswildflowers.info; journal: american journal of botany","NA","10.2307/2444172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"199","Anemopaegma_acutifolium","158","souza_2018_cerrado.csv","Lamiales","Bignoniaceae","Anemopaegma","Anemopaegma acutifolium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200","Anethum graveolens","148","robertson_1929.csv","Apiales","Apiaceae","Anethum","Anethum graveolens","NA","bisexual","hermaphrodite","NA","NA","NA","flower","NA","NA","NA","no","yellow","bowl","bowl","actinomorphic","1","NA","NA","2","NA","NA","NA","herb","annual","NA","1.5","0.75","NA","online: https://www.cabi.org *life form, height*","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"201","Angelica archangelica","18","bundgaard_2003.csv","Apiales","Apiaceae","Angelica","Angelica archangelica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"202","Angelica cartilagino-marginata","186","yamazaki_2003.csv","Apiales","Apiaceae","Apiaceae","Angelica cartilaginomarginata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"203","Angelica longeradiata","186","yamazaki_2003.csv","Apiales","Apiaceae","Angelica","Angelica longeradiata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"204","Angelica polymorpha","37","Inoue_1990.csv","Apiales","Apiaceae","Angelica","Angelica polymorpha","NA","bisexual","hermaphrodite","NA","NA","NA","flower","NA","NA","NA",,"white","bowl","bowl","actinomorphic","1","NA","NA","1","NA","NA","NA","herb","perennial","0.4","1","0.7","NA","online: efloras.org","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"205","Angelica pubescens","37","Inoue_1990.csv","Apiales","Apiaceae","Angelica","Angelica pubescens","NA","bisexual","hermaphrodite","NA","NA","NA","flower","yes","rizhomes","NA",,"white","bowl","bowl","actinomorphic","1","NA","NA","1","NA","NA","NA","herb","perennial","1","2","1.5","NA","online: http://temperate.theferns.info","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"206","Angelica sylvestris","11","beck_2006.csv","Apiales","Apiaceae","Angelica","Angelica sylvestris","NA","bisexual","hermaphrodite","NA","NA","self_compatible","flower","yes","rhizomes","NA","no","white","disk","disk","actinomorphic","4.5","4","5","0.5","NA","NA","NA","herb","perennial","1.5","2","1.75","NA; niemirski & zych 2011","online: http://www.luontoportti.com; journal: plant systematics and evolution","NA","https://doi.org/10.1007/s00606-011-0454-y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"207","Angelonia_hirta","160","souza_2018_pantanal.csv","Lamiales","Plantaginaceae","Angelonia","Angelonia hirta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
