Table S1: SI-SC and D-P Character State Table,,,,
Taxon,SI-SC State,D-P State,SI-SC Source,D-P Source
Nicotiana exigua,SC,P,[74],[34]
Nicotiana forgetiana,SI,D,[74],[36]
Nicotiana glauca,"SI ,SC",D,"[74, 35]",[36]
Nicotiana glutinosa,SC,D,[74],[36]
Nicotiana goodspeedii,SC,P,[74],[36]
Nicotiana gossei,SC,P,[74],[36]
Nicotiana knightiana,SC,D,[36],[36]
Nicotiana langsdor i,"SI , SC",D,[74],[36]
Nicotiana linearis,SC,D,[36],[36]
Nicotiana longi ora,SC,D,[35],[36]
Nicotiana maritima,SC,P,[74],[36]
Nicotiana megalosiphon,SC,P,[74],[36]
Nicotiana miersii,SC,D,[36],[36]
Nicotiana nocti ora,SI,D,[74],[36]
Nicotiana nudicaulis,SC,P,[36],[36]
Nicotiana obtusifolia,SC,D,[36],[36]
Nicotiana occidentalis,SC,P,[74],[36]
Nicotiana otophora,SC,D,[36],[36]
Nicotiana paniculata,SC,D,[74],[36]
Nicotiana petunioides,SI,D,[30],[36]
Nicotiana plumbaginifolia,SC,D,[30],[36]
Nicotiana quadrivalvis,SC,P,[89],[36]
Nicotiana repanda,SC,P,[74],[36]
Nicotiana rosulata,SC,P,[74],[24]
Nicotiana rotundifolia,SC,P,[74],[36]
Nicotiana rustica,SC,P,[74],[36]
Nicotiana solanifolia,SC,D,[36],[36]
Nicotiana stocktonii,SC,P,[36],[36]
Nicotiana suaveolens,SC,P,[74],[36]
Nicotiana sylvestris,SC,D,[74],[36]
Nicotiana tabacum,SC,P,[74],[36]
Nicotiana tomentosa,SI,D,[74],[36]
Nicotiana tomentosiformis,SC,D,[35],[36]
Nicotiana undulata,SC,D,[36],[36]
Nicotiana velutina,SC,P,[74],[36]
Nicotiana wigandioides,SC,D,[36],[36]
Nicotiana sandrae,SI,D,[29],[34]
Petunia altiplana,SI,D,[91],[34]
Petunia axillaris,"SI , SC",D,[91],[34]
