,Allograpta sp2,Allograpta sp4,Allograpta sp5,Allograpta sp7,Ancistrocerus gazella ,Apis mellifera ,Bombus hortorum,Bombus sp,Bombus terrestris,Calliphora quadrimaculata,Calliphora stygia,Calliphora vicina,Campylia sp.,Chalcidoidea,Chironomidae,Coccinella tasmania,Dasytes sp,Dilophus sp,Dixidae,Dolichopodidae,Helophilus hochstetteri,Heterocera,Hybopygia varia,Hylaeus asperithorax,Hylaeus capitosus,Hylaeus relegatus,Lasioglossum mataroa,Lasioglossum maunga,Lasioglossum sordidum,Lasioglossum sp,Leioproctus boltoni,Leioproctus fulvescens,Leioproctus maritimus,Leioproctus waipounamu,Lycaena feredayi,Lycaena sp,Lycaena salustis,Melangyna  novaezelandiae,Heterocera,Muscidae,Oscinosoma speighti,Pales sp.,Peremptor modicus,Pieris sp,Pieris rapae,Pipunculidae,Pollenia sp,Proscissio albiceps,Psilopa sp,Psilopa mettalica,Pyronota festiva,Scaptia adrel ,Sciomyzidae,Simuliidae,Syrphidae,Tachinidae sp6,Tachinidae sp7,Tachinidae sp8,Tachinidae sp9,Tachinidae sp10,Tachinidae sp11,Tachinidae,Tachysphex nigerrimus,Xenocalliphora hortona,Xenosciomyza subalpina,Zealandotachina sp
Achillea millefolium,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cirsium arvense,0,3,0,0,1,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,1,0,1,1,8,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Corokia cotoneaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0
Crepis capillaris,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,4,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dianthus armeria,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digitalis purpurea,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hieracium pilosella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypochaeris radicata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucanthemum vulgare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimulus moschatus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
