"","Plant_species","Pollinator_species","Interaction","NA","NA"
"1","Leucanthemum vulgare","Bombus terrestris lucorum","Interaction",NA,33
"2","Lotus corniculatus","Bombus terrestris lucorum","Interaction",NA,965
"3","Lathyrus pratensis","Bombus terrestris lucorum","Interaction",NA,175
"4","Vicia cracca","Bombus terrestris lucorum","Interaction",NA,69
"5","Hypochoeris radicata","Bombus terrestris lucorum","Interaction",NA,15
"6","Ranunculus acris","Bombus terrestris lucorum","Interaction",NA,1
"7","Trifolium dubium","Bombus terrestris lucorum","Interaction",NA,7
"8","Prunella vulgaris","Bombus terrestris lucorum","Interaction",NA,1
"9","Achillea millefolium","Bombus terrestris lucorum","Interaction",NA,0
"10","Centaurea nigra","Bombus terrestris lucorum","Interaction",NA,0
"11","Trifolium repens","Bombus terrestris lucorum","Interaction",NA,7
"12","Vicia sativa","Bombus terrestris lucorum","Interaction",NA,3
"13","Lychnis flos-cuculi","Bombus terrestris lucorum","Interaction",NA,0
"14","Plantago lanceolata","Bombus terrestris lucorum","Interaction",NA,0
"15","Trifolium pratense","Bombus terrestris lucorum","Interaction",NA,0
"16","Cirsium arvense","Bombus terrestris lucorum","Interaction",NA,0
"17","Taraxacum officinale","Bombus terrestris lucorum","Interaction",NA,0
"18","Leucanthemum vulgare","Phaonia incarna","Interaction",NA,426
"19","Lotus corniculatus","Phaonia incarna","Interaction",NA,3
"20","Lathyrus pratensis","Phaonia incarna","Interaction",NA,1
"21","Vicia cracca","Phaonia incarna","Interaction",NA,1
"22","Hypochoeris radicata","Phaonia incarna","Interaction",NA,12
"23","Ranunculus acris","Phaonia incarna","Interaction",NA,3
"24","Trifolium dubium","Phaonia incarna","Interaction",NA,0
"25","Prunella vulgaris","Phaonia incarna","Interaction",NA,0
"26","Achillea millefolium","Phaonia incarna","Interaction",NA,1
"27","Centaurea nigra","Phaonia incarna","Interaction",NA,1
"28","Trifolium repens","Phaonia incarna","Interaction",NA,0
"29","Vicia sativa","Phaonia incarna","Interaction",NA,0
"30","Lychnis flos-cuculi","Phaonia incarna","Interaction",NA,0
"31","Plantago lanceolata","Phaonia incarna","Interaction",NA,0
"32","Trifolium pratense","Phaonia incarna","Interaction",NA,0
