"","ID","Species","Success1","Success2","Success3","Success4","Success5","Success6","Success7","Success.test","n.of.success","Brain.weight","IT..mm.","brain.IT","Genus","Success.test.as.numeric","residuals","PER.sugar.test","PER.sugar.test.censored","success.test.logi","log.brain.it","phylo","total_successes","newResidLBrain","Family","newResidBrain"
"1","D106","Bombus_terrestris","1","0","1","0","1","0","0","1",4,2.59,3.853,0.672203477809499,"Bombus",1,-0.0407213840421793,2,2,TRUE,0.705531688723084,"Bombus_terrestris",3,-0.0443442490696053,"Apidae",-0.041778691489106
"2","D107","Bombus_terrestris","0","0","0","0","1","0","1","1",3,3.425,3.766,0.909453000531067,"Bombus",1,0.286595736595241,3,3,TRUE,0.928423079015154,"Bombus_terrestris",2,0.0852303076641007,"Apidae",0.0885996564965781
"3","D108","Bombus_terrestris","1","0","0","0","0","1","0","0",2,3.52,4.336,0.811808118081181,"Bombus",0,0.0185243490994058,12,12,FALSE,0.857874533736144,"Bombus_terrestris",2,0.0464247942537203,"Apidae",0.0448338904386252
"4","D109","Lasioglossum_immunitum","0","0","0","0","1","1","0","1",3,0.35,1.69,0.207100591715976,"Lasioglossum",1,-0.314703320992128,8,8,TRUE,-2.00069572475782,"Lasioglossum_immunitum",2,-0.101338978950589,"Halictidae",-0.101129789231549
"5","D110","Lasioglossum_immunitum","0","0","0","1","1","1","0","1",4,0.609,1.693,0.359716479621973,"Lasioglossum",1,0.235464089867198,75,75,TRUE,-0.941946876003281,"Lasioglossum_immunitum",3,0.138572416585378,"Halictidae",0.138719186487558
"6","D112","Lasioglossum_immunitum","0","0","0","0","1","1","0","0",2,0.409,1.778,0.230033745781777,"Lasioglossum",0,-0.265323877271175,27,27,FALSE,-1.55353084066443,"Lasioglossum_immunitum",2,-0.0519393896493702,"Halictidae",-0.0535166872598353
"7","D113","Osmia_latreillei","0","0","0","0","0","1","1","1",3,1.494,3.052,0.489515072083879,"Osmia",1,-0.102400779510093,11,11,TRUE,0.359793982150872,"Osmia_latreillei",2,0.0213363873562197,"Megachilidae",0.020970028283699
"8","D114","Osmia_latreillei","0","1","1","1","1","1","0","0",5,1.231,2.925,0.420854700854701,"Osmia",0,-0.206938531704875,NA,121,FALSE,0.193634506598697,"Osmia_latreillei",5,-0.0474704021405554,"Megachilidae",-0.0463409080778399
"9","D115","Rhodanthidium_sticticum","1","0","1","1","0","0","0","0",3,2.14,3.623,0.590670714877174,"Rhodanthidium",0,-0.102555264293789,17,17,FALSE,0.591007848655544,"Rhodanthidium_sticticum",3,-0.0733339033661939,"Megachilidae",-0.0748845722582467
"10","D116","Bombus_terrestris","1","1","1","0","0","1","1","1",6,6.37,4.896,1.30106209150327,"Bombus",1,0.357049587298588,3,3,TRUE,1.16568739087546,"Bombus_terrestris",5,0.260337120528378,"Apidae",0.254471288181528
"11","D117","Bombus_terrestris","0","1","1","1","0","1","1","1",6,3.47,4.336,0.800276752767528,"Bombus",1,0.00421795344816809,11,11,TRUE,0.84812207211828,"Bombus_terrestris",5,0.0402116055664631,"Apidae",0.038620701751368
"12","D118","Bombus_terrestris","0","1","1","0","0","0","0","0",2,3.542,4.45,0.795955056179775,"Bombus",0,-0.0296443963910184,12,12,FALSE,0.847135152618488,"Bombus_terrestris",2,0.0397973046801792,"Apidae",0.0372930426370821
"13","D119","Bombus_terrestris","0","1","1","1","1","1","1","1",7,1.718,4.012,0.428215353938185,"Bombus",1,-0.535982704857665,7,7,TRUE,0.389523335056947,"Bombus_terrestris",6,-0.237164008606196,"Apidae",-0.23602163384238
"14","D120","Bombus_terrestris","1","0","1","0","1","0","1","1",5,3.569,3.912,0.912321063394683,"Bombus",1,0.248051438012328,5,5,TRUE,0.932727252219987,"Bombus_terrestris",4,0.0894371597703572,"Apidae",0.0914678796308298
"15","D121","Bombus_terrestris","1","0","1","0","0","0","1","1",4,3.988,4.232,0.94234404536862,"Bombus",1,0.19424297818869,7,7,TRUE,0.958836983361185,"Bombus_terrestris",3,0.109368527351021,"Apidae",0.108632057161196
"16","D122","Bombus_terrestris","1","0","0","1","1","1","1","1",6,4.234,3.927,1.07817672523555,"Bombus",1,0.410891097610364,5,5,TRUE,1.05502794804887,"Bombus_terrestris",5,0.162265105050393,"Apidae",0.164161135254777
"17","D123","Megachile_willughbiella","0","0","0","1","1","0","0","0",2,1.966,3.694,0.532214401732539,"Megachile",0,-0.228041310651889,24,24,FALSE,0.517330611141972,"Megachile_willughbiella",2,-0.00513206122683884,"Megachilidae",-0.00932060035122951
"19","D125","Rhodanthidium_sticticum","0","1","1","1","1","1","1","1",7,2.716,3.382,0.80307510348906,"Rhodanthidium",1,0.280088901539576,10,10,TRUE,0.820014004730783,"Rhodanthidium_sticticum",6,0.0549381416089534,"Megachilidae",0.0558100824569401
"20","D126","Rhodanthidium_sticticum","1","0","0","1","0","1","1","1",5,2.491,3.411,0.730284374083846,"Rhodanthidium",1,0.175715349914042,7,7,TRUE,0.743830597111311,"Rhodanthidium_sticticum",4,0.0143113845037146,"Megachilidae",0.0148828269675554
"21","D127","Rhodanthidium_sticticum","1","1","0","1","1","0","1","1",6,2.03,3.476,0.584004602991945,"Rhodanthidium",1,-0.0685017600116212,7,7,TRUE,0.568300750140328,"Rhodanthidium_sticticum",5,-0.0813551709949173,"Megachilidae",-0.0814480821250108
"22","D128","Rhodanthidium_sticticum","1","0","1","1","0","1","1","1",6,3.094,3.728,0.829935622317596,"Rhodanthidium",1,0.20621733395491,5,5,TRUE,0.858339443890794,"Rhodanthidium_sticticum",5,0.0764978303558351,"Megachilidae",0.0739416766073887
"23","D129","Rhodanthidium_sticticum","0","1","0","0","1","1","1","1",5,2.295,3.319,0.69147333534197,"Rhodanthidium",1,0.151077210953438,11,11,TRUE,0.692471531260631,"Rhodanthidium_sticticum",4,-0.0114463172037867,"Megachilidae",-0.00991259146575714
"24","D130","Rhodanthidium_sticticum","0","0","0","1","1","1","1","1",5,2.519,3.251,0.774838511227315,"Rhodanthidium",1,0.287598827514048,7,7,TRUE,0.783622792605799,"Rhodanthidium_sticticum",4,0.0364440817151463,"Megachilidae",0.0387063621645394
"25","D131","Rhodanthidium_sticticum","0","0","0","0","0","1","0","0",1,1.804,3.047,0.592057761732852,"Rhodanthidium",0,0.0895854539901686,NA,121,FALSE,0.529553875137528,"Rhodanthidium_sticticum",1,-0.0852408665571134,"Megachilidae",-0.0806978103633819
"29","D136","Bombus_terrestris","0","1","1","0","1","1","1","0",5,3.558,3.84,0.9265625,"Bombus",0,0.283903732851301,13,13,FALSE,0.943310781217487,"Bombus_terrestris",5,0.0947774141662089,"Apidae",0.0974619181056977
"33","D142","Bombus_terrestris","0","1","1","1","1","1","1","1",7,3.806,4.92,0.773577235772358,"Bombus",1,-0.168221324391812,3,3,TRUE,0.838870026291132,"Bombus_terrestris",6,0.0349078253827447,"Apidae",0.0288698931126126
"34","D143","Rhodanthidium_sticticum","0","0","1","1","1","1","1","1",6,2.707,3.68,0.735597826086956,"Rhodanthidium",1,0.09975808449868,5,5,TRUE,0.764319029777939,"Rhodanthidium_sticticum",5,0.0231264365366784,"Megachilidae",0.0210263716442515
"35","D144","Rhodanthidium_sticticum","0","0","1","0","1","1","1","1",5,2.966,3.63,0.817079889807163,"Rhodanthidium",1,0.219807058471623,7,7,TRUE,0.843303375204588,"Rhodanthidium_sticticum",4,0.0677292748566423,"Megachilidae",0.0661106725230463
"36","D146","Rhodanthidium_sticticum","0","0","1","1","1","1","1","1",6,2.842,3.9,0.728717948717949,"Rhodanthidium",1,0.0267138561046374,2,2,TRUE,0.767469525664076,"Rhodanthidium_sticticum",5,0.0233800411496969,"Megachilidae",0.0192364577007488
"37","D148","Rhodanthidium_sticticum","0","1","1","1","1","0","1","1",6,2.451,3.9,0.628461538461539,"Rhodanthidium",1,-0.121298069024296,5,5,TRUE,0.658715319143822,"Rhodanthidium_sticticum",5,-0.0409007211896761,"Megachilidae",-0.0450443046386242
"38","D149","Lasioglossum_immunitum","0","1","0","1","1","0","1","0",4,0.588,1.743,0.337349397590361,"Lasioglossum",0,0.139362527184416,NA,121,FALSE,-0.955761173736765,"Lasioglossum_immunitum",4,0.1128648151441,"Halictidae",0.111987229729319
"39","D150","Lasioglossum_immunitum","0","1","1","1","1","1","0","0",5,0.505,1.755,0.287749287749288,"Lasioglossum",0,-0.0271879618780633,NA,121,FALSE,-1.21463942635065,"Lasioglossum_immunitum",5,0.0443113271737934,"Halictidae",0.0431922700455035
"40","D151","Lasioglossum_immunitum","1","1","1","1","1","1","1","0",7,0.593,1.827,0.324575807334428,"Lasioglossum",0,0.0491687579349993,NA,121,FALSE,-0.867068717738633,"Lasioglossum_immunitum",7,0.0996147029916585,"Halictidae",0.0970806064586597
"41","D152","Rhodanthidium_sticticum","0","1","1","1","1","1","1","1",7,2.839,3.3,0.86030303030303,"Rhodanthidium",1,0.375830456985869,57,57,TRUE,0.873969545799636,"Rhodanthidium_sticticum",6,0.0830011164181591,"Megachilidae",0.0847368952627304
