"","PCAscreeM","PCAscreesd"
"PCA 1",48.7391472387696,NA
"PCA 2",19.1553661195824,NA
"PCA 3",9.94295722749246,NA
"PCA 4",7.10771676492971,NA
"PCA 5",5.85066672195228,NA
"PCA 6",4.87436947023472,NA
"PCA 7",3.69336312599817,NA
"PCA 8",0.636413331040626,NA
