"","plant_species","interaction","unique_id","order_all","family","genus","species","sex_or_flower_type","breeding_system","autonomous_selfing_level","autonomous_selfing_level_data_type","autonomous_selfing_level_fruit_set","autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","compatibility","self_compatible_author","self_compatible_reference","self_compatible_doi","compatibility_genus","info_level","asexual_reproduction","asexual_reproduction_type","agamospermy/apomixis (yes/no/some_populations)","flower_colour","flower_morphology","flower_symmetry","floral_unit_width","corolla_diameter_mean","corolla_diameter_min","corolla_diameter_max","corolla_length_mean","corolla_length_min","corolla_length_max","tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_n","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","references","reference_info","doi","doi__1","doi__2","doi__3","net_id","net_id.1","visits","z_score_sum","phylo"
"10","Adenophora capillaris",0,"fang_2008","Asterales","Campanulaceae","Adenophora","Adenophora capillaris","bisexual","hermaphrodite","low","quantitative","8","0.08",">4","self_incompatible","liu & huang 2013","journal: oecologia","10.1007/s00442-013-2723-7","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","12.5",12.5,"NA","NA","14","10","18","NA","20","15","25","NA","NA",152,"NA","NA","NA","NA","herb","perennial","0.5","1",0.75,"liu & huang 2013; gao, xiong & huang 2015","journal: oecologia *autogamy*, *flower size*; journal: journal of plant ecology *ovule number*","10.1007/s00442-013-2723-7","https://doi.org/10.1093/jpe/rtv011","NA","NA","NA","5_1_fang_2008_china.csv",81,-0.0129387043402479,"Adenophora capillaris"
"11","Adenophora jasionifolia",0,"fang_2008","Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","bisexual","hermaphrodite","low","quantitative","12","0.12",">4","self_incompatible","liu & huang 2013","journal: oecologia","10.1007/s00442-013-2723-7","NA","flower","NA","NA","no","blue","campanulate","actinomorphic","20",20,"NA","NA","18.440000000000001","NA","NA","NA","20","NA","NA","NA","NA",194.5,"193","196","NA","NA","herb","perennial","NA","0.9",0.45,"liu & huang 2013; liu & huang 2012","journal: oecologia *autogamy*, *flower size*; journal: journal of systematics and evolution","10.1007/s00442-013-2723-7","10.1111/j.1759-6831.2011.00175.x","NA","NA","NA","5_1_fang_2008_china.csv",96,0.18114186076347,"Adenophora jasionifolia"
"12","Adenophora khasiana",0,"fang_2008","Asterales","Campanulaceae","Adenophora","Adenophora khasiana","bisexual","hermaphrodite","low","quantitative","12","0.12",">4","self_incompatible","liu & huang 2013","journal: oecologia","10.1007/s00442-013-2723-7","NA","flower","NA","NA","no","blue","campanulate","actinomorphic","35",35,"NA","NA","20.59","NA","NA","NA","24","NA","NA","NA","NA",356,"NA","NA","NA","NA","herb","perennial","0.6","1.2",0.9,"liu & huang 2013; gao, xiong & huang 2015","journal: oecologia *autogamy*, *flower size*; journal: journal of plant ecology *ovule number*","10.1007/s00442-013-2723-7","https://doi.org/10.1093/jpe/rtv011","NA","NA","NA","5_1_fang_2008_china.csv",90,0.103509634721983,"Adenophora khasiana"
"14","Aetheorrina bulbosa",0,"bartomeus_2008","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","bisexual","hermaphrodite","medium","quantitative","31.66","NA","60","self_compatible","manjula & nair","journal: the international journal of plant reproductive biology","10.14787/ijprb.2018 10.1.52-58","NA","flower","yes","bulb","no","white","dish","actinomorphic","20",20,"NA","NA","5","NA","NA","NA","6","5","7","NA","NA",15,"6","24","NA","NA","herb","perennial","0.15","0.45",0.45,"goldblatt & snow 1991; manjula & nair 2018; prameela,s wamy & venkaiah 2018","journal: annals of the issouri botanical garden; journal: the international journal of plant reproductive biology; journal: tropical plant research","https://doi.org/10.2307/2399735","https://doi.org/10.22271/tpr.2018.v5.i3.038","NA","NA","NA","1_1_bartomeus_spain_2008_batca_1_2.csv",32,0.281796026818899,"Eleutherine bulbosa"
"15","Aetheorrina bulbosa",0,"bartomeus_2008","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","bisexual","hermaphrodite","medium","quantitative","31.66","NA","60","self_compatible","manjula & nair","journal: the international journal of plant reproductive biology","10.14787/ijprb.2018 10.1.52-58","NA","flower","yes","bulb","no","white","dish","actinomorphic","20",20,"NA","NA","5","NA","NA","NA","6","5","7","NA","NA",15,"6","24","NA","NA","herb","perennial","0.15","0.45",0.45,"goldblatt & snow 1991; manjula & nair 2018; prameela,s wamy & venkaiah 2018","journal: annals of the issouri botanical garden; journal: the international journal of plant reproductive biology; journal: tropical plant research","https://doi.org/10.2307/2399735","https://doi.org/10.22271/tpr.2018.v5.i3.038","NA","NA","NA","1_3_bartomeus_spain_2008_medca_1_2.csv",2,-0.772104708455992,"Eleutherine bulbosa"
"17","Agrimonia pilosa",0,"fang_2008","Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","self_compatible","flower","yes","rhizomes","NA","yellow","dish","actinomorphic","7.5",7.5,"6","9","1","NA","NA","NA","NA","NA","NA","NA","NA",2,"NA","NA","NA","NA","herb","perennial","0.3","1.2",0.75,"macroberts & macroberts 1997; NA; mochizuki et al; 2019","journal: phytologia; online: efloras.org; journal: aobplants","NA","NA","https://doi.org/10.1093/aobpla/plz061","NA","NA","5_1_fang_2008_china.csv",19,-0.815138373435615,"Agrimonia pilosa"
"18","Ajuga forrestii",0,"fang_2008","Lamiales","Lamiaceae","Ajuga","Ajuga forrestii","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","yes","stolons","NA","yellow","tube","zygomorphic","9",9,"NA","NA","8.1","7","11","NA","NA","NA","NA","NA","NA",4,"NA","NA","NA","NA","herb","annual_short_lived_perennial","0.06","0.3",0.18,"NA; NA; NA","online: http://www.plantsoftheworldonline.org/ *life form*; online: http://midatlanticherbaria.org/ *ovule number*; online: http://www.efloras.org/ *flower size*","NA","NA","NA","NA","NA","5_1_fang_2008_china.csv",329,3.19585997204122,"Ajuga forrestii"
"19","Allium ampeloprasum",0,"bartomeus_2008","Asparagales","Amaryllidaceae","Allium","Allium ampeloprasum","bisexual","hermaphrodite","low","quantitative","20","NA","NA","self_compatible","guenaoui et al., 2013","journal: genetic resources and crop evolution","10.1007/s10722-012-9819-5","NA","flower","NA","NA","NA","pink","bowl","actinomorphic","6",6,"NA","NA","5","4","6","NA","3.5","3","4","NA","NA",6,"NA","NA","NA","NA","herb","perennial","NA","NA",1.25,"NA; khorasani, mhervarz & zarre 2018; NA; NA","online: http://w3.biosci.utexas.edu/; journal: nova biologica reperta; online: https://uses.plantnet-project.org/; online: https://foodb.ca/","NA; https://doi.org/10.29252/nbr.5.3.299; NA; NA",NA,NA,NA,NA,"1_2_bartomeus_spain_2008_fraop_1_2.csv",1,-0.893694537154114,"Allium ampeloprasum"
"20","Allium atrosanguineum",0,"fang_2008","Asparagales","Amaryllidaceae","Allium","Allium atrosanguineum","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","purple","tube","actinomorphic","NA",NA,"NA","NA","NA","NA","NA","NA","5.25","3.5","7","NA","NA",6,"NA","NA","NA","NA","herb","perennial","NA","0.6",0.3,"NA; NA","online: http://efloras.org/; online: http://swbiodiversity.org/ *ovule number*","NA","NA","NA","NA","NA","5_1_fang_2008_china.csv",10,-0.931586712497846,"Allium atrosanguineum"
"21","Allium cyathophorum",0,"fang_2008","Asparagales","Amaryllidaceae","Allium","Allium cyathophorum","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","purple","tube","actinomorphic","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.1,"NA","NA","NA","20","herb","perennial","0.15","0.3",225,"gao, xiong & huang 2015","journal: journal plant of ecology","https://doi.org/10.1093/jpe/rtv011","NA","NA","NA","NA","5_1_fang_2008_china.csv",7,-0.97040282551859,"Allium cyathophorum"
"22","Allium wallichii",0,"fang_2008","Asparagales","Amaryllidaceae","Allium","Allium wallichii","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","yes","tillers","NA","purple","dish","actinomorphic","18",18,"NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA",6,"NA","NA","NA","20","herb","perennial","0.4","0.65",525,"gao, xiong & huang 2015; NA; huang et al., 2014; kumar et al., 2014","journal: journal plant of ecology; online: https://www.flowersofindia.net/; journal: journal of systematics and evolution; journal: notulae scientia biologicae","https://doi.org/10.1093/jpe/rtv011","NA","10.1111/jse.12050","10.15835/nsb.6.2.9308","NA","5_1_fang_2008_china.csv",107,0.323467608506197,"Allium wallichii"
"33","Alyssum maritimum",0,"bartomeus_2008","Brassicales","Brassicaceae","Lobularia","Lobularia maritima","bisexual","hermaphrodite","medium","quantitative","35","NA","35","self_compatible","gomez 2000","journal: oecologia","https://doi.org/10.1007/pl00008840","NA","flower","NA","NA","NA","white","bowl","actinomorphic","20",4,"3","5","NA","NA","NA","NA","0.45","0.4","0.5","NA","NA",2,"NA","NA","NA","NA","herb","perennial","0.1","0.4",0.25,"Gomez 2000; Gomez 2000; NA","Journal of Evolutionary Biology; journal: Oecologia; online: http://ucjeps.berkeley.edu/","https://doi.org/10.1046/j.1420-9101.2000.00196.x","https://doi.org/10.1007/pl00008840","NA","NA","NA","1_1_bartomeus_spain_2008_batca_1_2.csv",5,-0.888741315351913,"Lobularia maritima"
"35","Anchusa azurea",4,"bartomeus_2015","Boraginales","Boraginaceae","Anchusa","Anchusa azurea","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","blue","tube","actinomorphic","11.5",11.5,"8","15","8","5.0999999999999996","10","7.1","4.5","4","5","NA","NA",4,"NA","NA","NA","NA","herb","perennial","0.2","1.5",0.85,"bacchetta et al., 2008; NA; aro et al., 2004","journal: systematics nd biodiversity; online: http://www.bgflora.eu/ *flower size, style length*; journal: future for medicinal and aromatic plants","10.1017/S1477200008002673","NA","NA","NA","NA","12_9_bartomeus_spain_2008_LaRocina_unp.csv",7,-0.507784569066109,"Anchusa azurea"
"43","Anemone rivularis",0,"fang_2008","Ranunculales","Ranunculaceae","Anemone","Anemone rivularis","bisexual","hermaphrodite","medium","quantitative","25","0.25","25","self_compatible","zhang et al., 2010","journal: plant ecology","10.2307/40666624","NA","flower","NA","NA","NA","white","dish","actinomorphic","20",20,"NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA",100,"NA","NA","NA","NA","herb","perennial","0.4","1.2",0.8,"zhang et al., 2010; NA","journal: plant ecology; online: http://www.efloras.org/","10.1007/sl 1258-010-9739-4","NA","NA","NA","NA","5_1_fang_2008_china.csv",30,-0.672812625692889,"Anemone rivularis"
"45","Angelica archangelica",0,"bundgaard_2003","Apiales","Apiaceae","Angelica","Angelica archangelica","bisexual","hermaphrodite","NA","NA","NA","NA","NA","partially_self_compatible","ojala 1986","journal: annales botanici fennici","NA","NA","flower","NA","NA","NA","green","dish","actinomorphic","4.5",4.5,"4","5","0.5","NA","NA","NA","1.5","1","2","NA","NA",2,"NA","NA","NA","NA","herb","perennial","0.5","1.2",0.85,"NA; NA","online: http://www.luontoportti.com/; online: http://www.floranordica.org/","NA","NA","NA","NA","NA","18_1_bundgaard_2003_denmark.csv",244,1.79276681105342,"Angelica archangelica"
"49","Antirhea borbonica",0,"kaiser_bunbury_2010","Gentianales","Rubiaceae","Antirhea","Antirhea borbonica","bisexual","hermaphrodite","NA","NA","NA","NA","NA","self_compatible","litrico, pailler & thompson 2005","journal: journal of ecology","10.1111/j.1365-2745.2005.01009.x","NA","flower","NA","NA","NA","white","tube","actinomorphic","0.75",0.75,"0.5","1","5.0999999999999996","4.5","7.5","5.0999999999999996","2.5","NA","NA","NA","NA",2,"NA","NA","0.04","NA","shrub","perennial","NA","8",4,"litrico et al., 2005; jansen 1984","journal: journal of ecology; journal: blumea vol 29 no 2","https://doi.org/10.1111/j.1365-2745.2005.01009.x","NA","NA","NA","NA","14_1_kaiser-bunbury_2010_mauritius_control.csv",41,-0.229000383058553,"Antirhea borbonica"
"50","Antirhea borbonica",0,"kaiser_bunbury_2010","Gentianales","Rubiaceae","Antirhea","Antirhea borbonica","bisexual","hermaphrodite","NA","NA","NA","NA","NA","self_compatible","litrico, pailler & thompson 2005","journal: journal of ecology","10.1111/j.1365-2745.2005.01009.x","NA","flower","NA","NA","NA","white","tube","actinomorphic","0.75",0.75,"0.5","1","5.0999999999999996","4.5","7.5","5.0999999999999996","2.5","NA","NA","NA","NA",2,"NA","NA","0.04","NA","shrub","perennial","NA","8",4,"litrico et al., 2005; jansen 1984","journal: journal of ecology; journal: blumea vol 29 no 2","https://doi.org/10.1111/j.1365-2745.2005.01009.x","NA","NA","NA","NA","14_2_kaiser-bunbury_2010_mauritius_restored.csv",49,-0.0924994054197975,"Antirhea borbonica"
"51","Aphloia theiformis",0,"kaiser_bunbury_2010","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","brush","actinomorphic","20",20,"NA","NA","9.1","NA","NA","NA","NA","NA","NA","NA","NA",6,"NA","NA","NA","NA","tree","perennial","NA","10",5,"roux 2003; byng 2014","journal: flora of southern africa; book: the flowering plants handbook","NA","ISBN: 0992999316","NA","NA","NA","14_2_kaiser-bunbury_2010_mauritius_restored.csv",445,4.88970994857068,"Aphloia theiformis"
"52","Aphloia theiformis",0,"kaiser_bunbury_2010","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","brush","actinomorphic","20",20,"NA","NA","9.1","NA","NA","NA","NA","NA","NA","NA","NA",6,"NA","NA","NA","NA","tree","perennial","NA","10",5,"roux 2003; byng 2014","journal: flora of southern africa; book: the flowering plants handbook","NA","ISBN: 0992999316","NA","NA","NA","11_5_kaiser-bunbury_2017_seychelles_rosebelle.csv",23,-0.285843079364521,"Aphloia theiformis"
"53","Aphloia theiformis",0,"kaiser_bunbury_2010","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","brush","actinomorphic","20",20,"NA","NA","9.1","NA","NA","NA","NA","NA","NA","NA","NA",6,"NA","NA","NA","NA","tree","perennial","NA","10",5,"roux 2003; byng 2014","journal: flora of southern africa; book: the flowering plants handbook","NA","ISBN: 0992999316","NA","NA","NA","14_1_kaiser-bunbury_2010_mauritius_control.csv",186,1.62492096333771,"Aphloia theiformis"
"54","Aphloia theiformis",0,"kaiser_bunbury_2010","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","brush","actinomorphic","20",20,"NA","NA","9.1","NA","NA","NA","NA","NA","NA","NA","NA",6,"NA","NA","NA","NA","tree","perennial","NA","10",5,"roux 2003; byng 2014","journal: flora of southern africa; book: the flowering plants handbook","NA","ISBN: 0992999316","NA","NA","NA","11_1_kaiser-bunbury_2017_seychelles_bernica.csv",68,-0.137095813428616,"Aphloia theiformis"
"55","Aphloia theiformis",0,"kaiser_bunbury_2010","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","brush","actinomorphic","20",20,"NA","NA","9.1","NA","NA","NA","NA","NA","NA","NA","NA",6,"NA","NA","NA","NA","tree","perennial","NA","10",5,"roux 2003; byng 2014","journal: flora of southern africa; book: the flowering plants handbook","NA","ISBN: 0992999316","NA","NA","NA","13_3_kaiser-bunbury_2011_seychelles_copolia.csv",14,-0.774434072426152,"Aphloia theiformis"
"57","Arabis alpina",0,"elberling_1999","Brassicales","Brassicaceae","Arabis","Arabis alpina","bisexual","hermaphrodite","high","qualitative","NA","NA","NA","self_compatible","buehler et al., 2012","journal: annals of botany","https://doi.org/10.1371/journal.pone.0126618","NA","flower","yes","stolons","NA","white","tube","actinomorphic","9.1",9.1,"NA","NA","7.5","NA","NA","7.5","0.3","0.6","NA","NA","NA",2.5,"1","5","NA","NA","herb","perennial","0.1","0.3",0.2,"buehler et al., 2012; NA; NA; tedder et al., 2015","journal: annals of botany; online: https://www.paldat.org; online: efloras.org; plosone","https://doi.org/10.1093/aob/mcs066","NA","NA","https://doi.org/10.1371/journal.pone.0126618","NA","4_1_elberling_sweeden_1999.csv",4,-0.823301659862621,"Arabis alpina"
"62","Argusia argentea",57,"mauritius_valerie_unpublished_data","Boraginales","Boraginaceae","Argusia","Argusia argentea","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","no","NA","NA","white","bowl","actinomorphic","7",7,"NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA",4,"NA","NA","NA","NA","shrub","perennial","NA","5",2.5,"NA","online: http://keys.trin.org.au/; online: http://flora.huh.harvard.edu/","NA","NA","NA","NA","NA","8_2_olesen_2002_mauritius.csv",81,-0.33189475005388,"Argusia argentea"
"66","Aronia melanocarpa",0,"small_1976","Rosales","Rosaceae","Aronia","Aronia melanocarpa","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","yes","rhizomes","NA","white","dish","actinomorphic","9.1",9.1,"8","12","3.3","NA","NA","NA","4","NA","NA","NA","NA",1.1,"NA","NA","NA","NA","shrub","perennial","0.9","1.8",1.35,"NA; NA","online: http://www.missouriplants.com/ *style length*; online: http://www.efloras.org/ *ovule number*","NA","NA","NA","NA","NA","9_1_small_1976_canada.csv",69,-0.143807894268754,"Aronia melanocarpa"
"77","Astragalus alpinus",0,"elberling_1999","Fabales","Fabaceae","Astragalus","Astragalus alpinus","bisexual","hermaphrodite","none","quantitative","0","0","NA","self_incompatible","kudo & molau 1999","journal: plant species biology","https://doi.org/10.1046/j.1442-1984.1999.00012.x","NA","flower","NA","NA","NA","purple_white","tube","zygomorphic","9",9,"NA","NA","12","10","14","NA","NA","NA","NA","NA","NA",7,"6.7","7.2","0.3","140","herb","perennial","0.08","0.2",0.14,"kudo & molau 1999; NA","journal: plant species biology; online: http://www.luontoportti.com","https://doi.org/10.1046/j.1442-1984.1999.00012.x","NA","NA","NA","NA","4_1_elberling_sweeden_1999.csv",5,-0.757322781197673,"Astragalus alpinus"
"78","Astragalus lusitanicus",0,"bartomeus_2015","Fabales","Fabaceae","Erophaca","Erophaca baetica","separated & bisexual","andromonoecious","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","papilionaceous","zygomorphic","30",30,"NA","NA","14.1","NA","NA","NA","14","NA","NA","NA","NA",9.6,"NA","NA","1.8","50","herb","perennial","NA","1",0.5,"casimiro-soriguer, herrera & talavera 2012; NA","journal: plant biology; online: https://www.floravascular.com/","https://doi.org/10.1111/j.1438-8677.2012.00648.x","NA","NA","NA","NA","12_11_bartomeus_spain_2008_Niebla_unp.csv",16,0.676359044029069,"Erophaca baetica"
"79","Astragalus lusitanicus",0,"bartomeus_2015","Fabales","Fabaceae","Erophaca","Erophaca baetica","separated & bisexual","andromonoecious","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","papilionaceous","zygomorphic","30",30,"NA","NA","14.1","NA","NA","NA","14","NA","NA","NA","NA",9.6,"NA","NA","1.8","50","herb","perennial","NA","1",0.5,"casimiro-soriguer, herrera & talavera 2012; NA","journal: plant biology; online: https://www.floravascular.com/","https://doi.org/10.1111/j.1438-8677.2012.00648.x","NA","NA","NA","NA","12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp.csv",29,0.0629625982083849,"Erophaca baetica"
"81","Ayenia tomentosa",0,"souza_2018","Malvales","Malvaceae","Ayenia","Ayenia tomentosa","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","purple","bowl","actinomorphic","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10,"NA","NA","NA","NA","herb","perennial","0.5","0.6",0.55,"ribeiro cruz 2007; NA","thesis: sterculiaceae vent.no estado de sao paulo; online: http://powo.science.kew.org/","NA","NA","NA","NA","NA","10_1_souza_2017_brazil_chaco.csv",3,-0.298876773406111,"Ayenia tomentosa"
"92","Beta maritima",0,"olesen_2002","Caryophyllales","Chenopodiaceae","Beta","Beta vulgaris","separated & bisexual","gynodioecious","low","qualitative","NA","NA","NA","partially_self_compatible","Biancardi, Panella & lewellen","book: beta maritima","https://doi.org/10.1007/978-1-4614-0842-0","NA","flower","no","NA","NA","green","tube","actinomorphic","2.5",2.5,"2","3","4","3","5",NA,"2.0099999999999998","1.1000000000000001","3.1","NA","1",1,"1","4","NA","NA","herb","perennial","0.2","0.8",0.5,"leys et al 2014","journal:ecology and evolution 4(2014):1828-1852","https://doi.org/10.1002/ece3.1061",NA,NA,NA,NA,"8_1_olesen_2002_azores.csv",8,-0.926721889516735,"Beta vulgaris"
"93","Borreria eryngioides",0,"souza_2018","Gentianales","Rubiaceae","Spermacoce","Spermacoce eryngioides","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","2",2,"NA","NA","1.9","1.1000000000000001","2.7","NA","0.35","0.2","0.5","NA","NA",2,"NA","NA","NA","NA","herb","perennial","0.1","0.3",0.2,"florentin et al., 2016; NA","journal: boletin de la sociedad argentina de botanica *style length*; online: http://worldfloraonline.org/ *ovule number*","NA","NA","NA","NA","NA","10_1_souza_2017_brazil_chaco.csv",447,1.30086653173164,"Spermacoce eryngioides"
"100","Brassica fruticulosa",0,"bartomeus_2008","Brassicales","Brassicaceae","Brassica","Brassica fruticulosa","bisexual","hermaphrodite","none","quantitative","0","NA","42","self_incompatible","niemann, kotlarski & wojciechowski 2014","journal: acta scientiarum polonorum seria agricultura","NA","NA","flower","no","NA","no","yellow","tube","actinomorphic","30",15,"NA","NA","5.5","NA","NA","5.5","NA","NA","NA","NA","NA",20.2,"NA","NA","NA","NA","shrub","perennial","NA","NA",2,"NA; NA","online: http://plantnet.rbgsyd.nsw.gov.au/; online: https://www2.palomar.edu/; journal: plosone","NA","NA","10.1371/journal.pone.0174176","NA","NA","1_5_bartomeus_spain_2008_miqop_1_2.csv",1,-0.860893147842614,"Brassica fruticulosa"
"104","Calluna vulgaris",0,"dupont_2009","Ericales","Ericaceae","Calluna","Calluna vulgaris","bisexual","hermaphrodite","low","quantitative","10.9","21","7;9","partially_self_compatible","mahy & jacquemart 1998","journal: canadian journal of botany","https://doi.org/10.1139/b97-148","NA","flower","yes","layering","NA","pink","campanulate","actinomorphic","6",6,"NA","NA","6","NA","NA","NA","5","4","6","NA","NA",3.1,"NA","NA","3.3","NA","shrub","perennial","NA","1",0.5,"NA; NA; NA; jacqemart 2003; NA","online: https://keyserver.lucidcentral.org/; online: https://landscapeplants.oregonstate.edu/; online: http://visual-flora.org.uk/; journal: belgium journal of botany; online: https://www.fs.fed.us/","NA","NA","NA","NA","NA","3_3_dupont_2009_denmark_so.csv",3,-0.534157096091781,"Calluna vulgaris"
"105","Calluna vulgaris",0,"dupont_2009","Ericales","Ericaceae","Calluna","Calluna vulgaris","bisexual","hermaphrodite","low","quantitative","10.9","21","7;9","partially_self_compatible","mahy & jacquemart 1998","journal: canadian journal of botany","https://doi.org/10.1139/b97-148","NA","flower","yes","layering","NA","pink","campanulate","actinomorphic","6",6,"NA","NA","6","NA","NA","NA","5","4","6","NA","NA",3.1,"NA","NA","3.3","NA","shrub","perennial","NA","1",0.5,"NA; NA; NA; jacqemart 2003; NA","online: https://keyserver.lucidcentral.org/; online: https://landscapeplants.oregonstate.edu/; online: http://visual-flora.org.uk/; journal: belgium journal of botany; online: https://www.fs.fed.us/","NA","NA","NA","NA","NA","3_1_dupont_2009_denmark_hl.csv",127,-0.167635318297389,"Calluna vulgaris"
"106","Calluna vulgaris",0,"dupont_2009","Ericales","Ericaceae","Calluna","Calluna vulgaris","bisexual","hermaphrodite","low","quantitative","10.9","21","7;9","partially_self_compatible","mahy & jacquemart 1998","journal: canadian journal of botany","https://doi.org/10.1139/b97-148","NA","flower","yes","layering","NA","pink","campanulate","actinomorphic","6",6,"NA","NA","6","NA","NA","NA","5","4","6","NA","NA",3.1,"NA","NA","3.3","NA","shrub","perennial","NA","1",0.5,"NA; NA; NA; jacqemart 2003; NA","online: https://keyserver.lucidcentral.org/; online: https://landscapeplants.oregonstate.edu/; online: http://visual-flora.org.uk/; journal: belgium journal of botany; online: https://www.fs.fed.us/","NA","NA","NA","NA","NA","3_2_dupont_2009_denmark_ib.csv",88,-0.244857952794503,"Calluna vulgaris"
"110","Camassia scilloides",0,"burkle_usa_2013","Asparagales","Asparagaceae","Camassia","Camassia scilloides","bisexual","hermaphrodite","NA","NA","NA","NA","NA","self_compatible","best, kyra 2016","journal:botany","http://2016.botanyconference.org/engine/search/index.php?func=detail&aid=318",NA,"flower","yes","NA","NA","blue","exposed","actinomorphic","20",20,"17","23","13.5","10","17","NA","0.5","0.2","0.8","0.5","NA",30,"NA","NA","NA","NA","herb","perennial","0.3","1",0.6,"steyermark,1961","journal: britonnia","10.2307/2805353",NA,NA,NA,NA,"16_1_burkle_usa_2013.csv",33,-0.397774361921179,"Camassia scilloides"
"118","Canthium bibracteatum",81,"kaiser_bunbury_2017","Gentianales","Rubiaceae","Canthium","Canthium bibracteatum","separated & bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","no","NA","no","cream","campanulate","actinomorphic","5.0999999999999996",5.1,"5","8","3","2","4","1.1000000000000001","3","2","4","NA","NA",2,"2","2","NA","2","shrub","perennial","2","10",6,"verdcourt&bridson,1991;bridson,1987","book:flora of tropical east africa.rubiaceae vol.3; journal;kew bulletin,42(3):611-639","10.2307/4110068",NA,NA,NA,NA,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres.csv",29,-0.448197883861294,"Canthium bibracteatum"
"119","Canthium bibracteatum",81,"kaiser_bunbury_2017","Gentianales","Rubiaceae","Canthium","Canthium bibracteatum","separated & bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","no","NA","no","cream","campanulate","actinomorphic","5.0999999999999996",5.1,"5","8","3","2","4","1.1000000000000001","3","2","4","NA","NA",2,"2","2","NA","2","shrub","perennial","2","10",6,"verdcourt&bridson,1991;bridson,1987","book:flora of tropical east africa.rubiaceae vol.3; journal;kew bulletin,42(3):611-639","10.2307/4110068",NA,NA,NA,NA,"13_1_kaiser-bunbury_2011_seychelles_bernica.csv",145,0.331125639440209,"Canthium bibracteatum"
"120","Canthium bibracteatum",81,"kaiser_bunbury_2017","Gentianales","Rubiaceae","Canthium","Canthium bibracteatum","separated & bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","no","NA","no","cream","campanulate","actinomorphic","5.0999999999999996",5.1,"5","8","3","2","4","1.1000000000000001","3","2","4","NA","NA",2,"2","2","NA","2","shrub","perennial","2","10",6,"verdcourt&bridson,1991;bridson,1987","book:flora of tropical east africa.rubiaceae vol.3; journal;kew bulletin,42(3):611-639","10.2307/4110068",NA,NA,NA,NA,"13_4_kaiser-bunbury_2011_seychelles_la_reserve.csv",298,1.80379130546446,"Canthium bibracteatum"
