"","plant_species","interaction","unique_id","order_all","family","genus","species","sex_or_flower_type","breeding_system","autonomous_selfing_level","autonomous_selfing_level_data_type","autonomous_selfing_level_fruit_set","autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","compatibility","self_compatible_author","self_compatible_reference","self_compatible_doi","compatibility_genus","info_level","asexual_reproduction","asexual_reproduction_type","agamospermy/apomixis (yes/no/some_populations)","flower_colour","flower_morphology","flower_symmetry","floral_unit_width","corolla_diameter_mean","corolla_diameter_min","corolla_diameter_max","corolla_length_mean","corolla_length_min","corolla_length_max","tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_n","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","references","reference_info","doi","doi__1","doi__2","doi__3","net_id","net_id.1","visits","z_score_sum","phylo"
"199","Cistus libanotis",0,"bartomeus_2015","Malvales","Cistaceae","Cistus","Cistus libanotis","bisexual","hermaphrodite","none","qualitative","NA","NA","NA","self_incompatible","talavera et al., 2001","journal: international journal of plant sciences","10.1086/319573","NA","flower","NA","NA","NA","white","dish","actinomorphic","29.1",29.1,"NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA",22,"NA","NA","NA","NA","shrub","perennial","0.6","1.5",1.05,"talavera et al., 2000; herrera 1992","journal: international journal of plant sciences; journal: lant systematics and evolution *ovule number*","https://doi.org/10.1086/319573","NA","NA","NA","NA","12_7_bartomeus_spain_2008_Esparragal_unp.csv",2,-0.767560644108586,"Cistus libanotis"
"200","Cistus libanotis",0,"bartomeus_2015","Malvales","Cistaceae","Cistus","Cistus libanotis","bisexual","hermaphrodite","none","qualitative","NA","NA","NA","self_incompatible","talavera et al., 2001","journal: international journal of plant sciences","10.1086/319573","NA","flower","NA","NA","NA","white","dish","actinomorphic","29.1",29.1,"NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA",22,"NA","NA","NA","NA","shrub","perennial","0.6","1.5",1.05,"talavera et al., 2000; herrera 1992","journal: international journal of plant sciences; journal: lant systematics and evolution *ovule number*","https://doi.org/10.1086/319573","NA","NA","NA","NA","12_12_bartomeus_spain_2008_PinaresdeHinojos_unp.csv",8,-0.163578946229986,"Cistus libanotis"
"201","Cistus monspeliensis",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus monspeliensis","bisexual","hermaphrodite","none","quantitative","0","0","48","self_incompatible","bosch 1992","journal: botanical journal of the linnean society","10.1111/j.1095-8339.1992.tb00257.x","NA","flower","no","NA","no","white","dish","actinomorphic","15",15,"10","20","NA","NA","NA","NA","0.25","0","0.5","NA","NA",20.67,"NA","NA","1.83","9","shrub","perennial","NA","1",0.5,"NA; bosch 1992","online: http://www.efloras.org/; journal: botanical journal of the linnean society","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","1_4_bartomeus_spain_2008_medca_2_3.csv",41,1.79661500187156,"Cistus monspeliensis"
"202","Cistus monspeliensis",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus monspeliensis","bisexual","hermaphrodite","none","quantitative","0","0","48","self_incompatible","bosch 1992","journal: botanical journal of the linnean society","10.1111/j.1095-8339.1992.tb00257.x","NA","flower","no","NA","no","white","dish","actinomorphic","15",15,"10","20","NA","NA","NA","NA","0.25","0","0.5","NA","NA",20.67,"NA","NA","1.83","9","shrub","perennial","NA","1",0.5,"NA; bosch 1992","online: http://www.efloras.org/; journal: botanical journal of the linnean society","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","12_11_bartomeus_spain_2008_Niebla_unp.csv",14,0.472377745036176,"Cistus monspeliensis"
"203","Cistus monspeliensis",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus monspeliensis","bisexual","hermaphrodite","none","quantitative","0","0","48","self_incompatible","bosch 1992","journal: botanical journal of the linnean society","10.1111/j.1095-8339.1992.tb00257.x","NA","flower","no","NA","no","white","dish","actinomorphic","15",15,"10","20","NA","NA","NA","NA","0.25","0","0.5","NA","NA",20.67,"NA","NA","1.83","9","shrub","perennial","NA","1",0.5,"NA; bosch 1992","online: http://www.efloras.org/; journal: botanical journal of the linnean society","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","1_3_bartomeus_spain_2008_medca_1_2.csv",62,2.40909924054724,"Cistus monspeliensis"
"204","Cistus monspeliensis",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus monspeliensis","bisexual","hermaphrodite","none","quantitative","0","0","48","self_incompatible","bosch 1992","journal: botanical journal of the linnean society","10.1111/j.1095-8339.1992.tb00257.x","NA","flower","no","NA","no","white","dish","actinomorphic","15",15,"10","20","NA","NA","NA","NA","0.25","0","0.5","NA","NA",20.67,"NA","NA","1.83","9","shrub","perennial","NA","1",0.5,"NA; bosch 1992","online: http://www.efloras.org/; journal: botanical journal of the linnean society","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","12_10_bartomeus_spain_2008_Lasmulas_unp.csv",3,-0.69142700199071,"Cistus monspeliensis"
"205","Cistus monspeliensis",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus monspeliensis","bisexual","hermaphrodite","none","quantitative","0","0","48","self_incompatible","bosch 1992","journal: botanical journal of the linnean society","10.1111/j.1095-8339.1992.tb00257.x","NA","flower","no","NA","no","white","dish","actinomorphic","15",15,"10","20","NA","NA","NA","NA","0.25","0","0.5","NA","NA",20.67,"NA","NA","1.83","9","shrub","perennial","NA","1",0.5,"NA; bosch 1992","online: http://www.efloras.org/; journal: botanical journal of the linnean society","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","NA","12_1_bartomeus_spain_2008_Aznalcazar_unp.csv",22,-0.247606419506109,"Cistus monspeliensis"
"206","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_12_bartomeus_spain_2008_PinaresdeHinojos_unp.csv",29,2.02243060793437,"Cistus salviifolius"
"207","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","1_4_bartomeus_spain_2008_medca_2_3.csv",24,0.510616895268758,"Cistus salviifolius"
"208","Cistus salvifolius",0,"bartomeus_2008","Malvales","Cistaceae","Cistus","Cistus salviifolius","bisexual","hermaphrodite","none","quantitative","0","0","17","partially_self_compatible","herrera 1987","journal: anales jardin botanico madrid","NA","NA","flower","no","NA","no","white","dish","actinomorphic","20",20,"15","25","5","NA","NA","NA","NA","NA","NA","NA","NA",76.89,"NA","NA","9.42","9","shrub","perennial","0.4","1.5",0.95,"NA; herrera 1987; bosch 1992","online:http://www.floraiberica.es/ *height, life form*; journal: anales jardin botanico de madrid *breeding system, compatibility*; botanical journal of the linnean society","NA","NA","https://doi.org/10.1111/j.1095-8339.1992.tb00257.x","NA","NA","12_8_bartomeus_spain_2008_LaCunya_unp.csv",20,0.877113387383806,"Cistus salviifolius"
