"","Species_all","Order_all","Family_all","Genus_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Eigenval"
"1","Abelmoschus manihot","Malvales","Malvaceae","Abelmoschus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,1,14,14,5.5,6,105,"shrub","Perennial",2,0.000313644616585472
"2","Abutilon depauperatum","Malvales","Malvaceae","Abutilon","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",50,5,15,15,15,4,30,"shrub","Perennial",1.75,0.000331433255669215
"3","Abutilon theophrasti","Malvales","Malvaceae","Abutilon","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,5,12.5,12.5,2.5,4,34,"herb","Short lived",1.25,0.000331433290181655
"4","Acacia dealbata","Fabales","Fabaceae","Acacia","Hermaphrodite","partially_self_compatible","low",0.4,"Brush","actinomorphic",65000,150,40,5.75,5.75,3.5,13,"tree","Perennial",8.5,0.000700394764194302
"5","Acacia insulae-iacobi","Fabales","Fabaceae","Acacia","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,5,40,15.8021396962464,2.1,3.5,12,"tree","Perennial",5,0.000675379097329565
"6","Acacia rorudiana","Fabales","Fabaceae","Acacia","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,20,40,6,2.35,7,16,"shrub","Perennial",3.1,0.000670610147299306
"7","Acantholippia seriphioides","Lamiales","Verbenaceae","Acantholippia","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",10000,50,24,6,3,3,2,"shrub","Perennial",0.45,0.0023430265247496
"8","Acer carpinifolium","Sapindales","Sapindaceae","Acer","Dioecious","dioecious","none",0,"Open","actinomorphic",20000,100,40,9.1,2.1,2,4,"tree","Perennial",6.5,0.000252352287220657
"9","Acer caudatifolium","Sapindales","Sapindaceae","Acer","Hermaphrodite","dioecious","none",0,"Open","actinomorphic",5000,15,20,5,5,1,8,"tree","Perennial",6.1,0.000254505057314114
"10","Acer negundo","Sapindales","Sapindaceae","Acer","Dioecious","dioecious","none",0,"Open","actinomorphic",15000,15,20,5.6,5.1,6.65,4,"tree","Perennial",8,0.000256858818880124
"11","Acer saccharinum","Sapindales","Sapindaceae","Acer","Monoecious","monoecious","none",0,"Open","actinomorphic",10000,15,20,2.5,3,5,4,"tree","Perennial",28,0.000253089210988329
"12","Achillea millefolium","Asterales","Asteraceae","Achillea","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",200,25,35,2.1,2.4,2.5,15,"herb","Perennial",0.8,0.00911036245969793
"13","Achillea wilsoniana","Asterales","Asteraceae","Achillea","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",800,800,6,6,4,3,15,"herb","Perennial",0.65,0.00892069823204167
"14","Achyranthes bidentata","Caryophyllales","Amaranthaceae","Achyranthes","Hermaphrodite","self_compatible","none",35.89572708458,"Tube","actinomorphic",100,25,15,1.5,5,1.5,1,"herb","Perennial",0.95,0.000976464562855215
