"","Plant_species","guild","Id","Interaction","Z_scores","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","species","phylo"
"1","Acantholippia seriphioides","Lepidoptera","15_2_peralta_2006_mendoza_site_2.csv",1,-0.676954238478439,"Lamiales","Verbenaceae","Acantholippia","Acantholippia seriphioides","hermaphrodite","self_incompatible","none","qualitative","NA","tube","actinomorphic","10000","50","24","6","3","3","2","shrub","perennial","0.45",NA,"Acantholippia seriphioides"
"2","Acantholippia seriphioides","Non-syrphids-diptera","15_2_peralta_2006_mendoza_site_2.csv",2,-0.643741476417448,"Lamiales","Verbenaceae","Acantholippia","Acantholippia seriphioides","hermaphrodite","self_incompatible","none","qualitative","NA","tube","actinomorphic","10000","50","24","6","3","3","2","shrub","perennial","0.45",NA,"Acantholippia seriphioides"
"3","Acantholippia seriphioides","Syrphids","15_2_peralta_2006_mendoza_site_2.csv",19,-0.0791245213805968,"Lamiales","Verbenaceae","Acantholippia","Acantholippia seriphioides","hermaphrodite","self_incompatible","none","qualitative","NA","tube","actinomorphic","10000","50","24","6","3","3","2","shrub","perennial","0.45",NA,"Acantholippia seriphioides"
"4","Achillea millefolium","Apidae","17_1_arroyo_correa_new_zealand_2019_1.csv",4,-0.333638969879391,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"5","Achillea millefolium","Coleoptera","17_3_arroyo_correa_new_zealand_2019_3.csv",3,-0.345543813443712,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"6","Achillea millefolium","Hymenoptera","17_1_arroyo_correa_new_zealand_2019_1.csv",10,0.103543128583259,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"7","Achillea millefolium","Hymenoptera","17_2_arroyo_correa_new_zealand_2019_2.csv",2,-0.345715141537334,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"8","Achillea millefolium","Hymenoptera","17_3_arroyo_correa_new_zealand_2019_3.csv",30,1.52039277915233,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"9","Achillea millefolium","Hymenoptera","6_1_inouye_1988_australia.csv",15,-0.0250177754402069,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"10","Achillea millefolium","Lepidoptera","17_1_arroyo_correa_new_zealand_2019_1.csv",8,-0.0421842375709576,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"11","Achillea millefolium","Lepidoptera","17_2_arroyo_correa_new_zealand_2019_2.csv",7,-0.0665662694885549,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"12","Achillea millefolium","Lepidoptera","17_3_arroyo_correa_new_zealand_2019_3.csv",18,0.691087626887424,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"13","Achillea millefolium","Lepidoptera","2_1_dicks_2002_england_shelfanger.csv",3,-0.254122802658957,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"14","Achillea millefolium","Non-syrphids-diptera","17_1_arroyo_correa_new_zealand_2019_1.csv",13,0.322134177814585,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"15","Achillea millefolium","Non-syrphids-diptera","17_2_arroyo_correa_new_zealand_2019_2.csv",1,-0.40154491594709,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"16","Achillea millefolium","Non-syrphids-diptera","17_3_arroyo_correa_new_zealand_2019_3.csv",7,-0.0691087626887423,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"17","Achillea millefolium","Non-syrphids-diptera","2_1_dicks_2002_england_shelfanger.csv",2,-0.264834705551308,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"18","Achillea millefolium","Non-syrphids-diptera","6_1_inouye_1988_australia.csv",1,-0.546499405727186,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"19","Achillea millefolium","Syrphids","17_1_arroyo_correa_new_zealand_2019_1.csv",1,-0.552230019110717,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"20","Achillea millefolium","Syrphids","17_2_arroyo_correa_new_zealand_2019_2.csv",5,-0.178225818308066,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"21","Achillea millefolium","Syrphids","17_3_arroyo_correa_new_zealand_2019_3.csv",2,-0.414652576132454,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"22","Achillea millefolium","Syrphids","2_1_dicks_2002_england_shelfanger.csv",4,-0.243410899766607,"Asterales","Asteraceae","Achillea","Achillea millefolium","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8",NA,"Achillea millefolium"
"23","Achillea wilsoniana","Lepidoptera","5_1_fang_2008_china.csv",4,-0.479431345599722,"Asterales","Asteraceae","Achillea","Achillea wilsoniana","hermaphrodite","self_incompatible","none","qualitative","NA","capitulum","actinomorphic","800","800","6","6","4","3","15","herb","perennial","0.65",NA,"Achillea wilsoniana"
"24","Achillea wilsoniana","Non-syrphids-diptera","5_1_fang_2008_china.csv",21,-0.106123294187547,"Asterales","Asteraceae","Achillea","Achillea wilsoniana","hermaphrodite","self_incompatible","none","qualitative","NA","capitulum","actinomorphic","800","800","6","6","4","3","15","herb","perennial","0.65",NA,"Achillea wilsoniana"
"25","Achillea wilsoniana","Syrphids","5_1_fang_2008_china.csv",10,-0.347675562748366,"Asterales","Asteraceae","Achillea","Achillea wilsoniana","hermaphrodite","self_incompatible","none","qualitative","NA","capitulum","actinomorphic","800","800","6","6","4","3","15","herb","perennial","0.65",NA,"Achillea wilsoniana"
"26","Aciphylla glacialis","Non-syrphids-diptera","6_1_inouye_1988_australia.csv",59,1.61392449117601,"Apiales","Apiaceae","Aciphylla","Aciphylla glacialis","dioecious","dioecious","none","quantitative","0","dish","actinomorphic","1000","200","200","2.25","0.5","1","2","herb","perennial","0.42499999999999999",NA,"Aciphylla glacialis"
"27","Aciphylla simplicifolia","Non-syrphids-diptera","6_1_inouye_1988_australia.csv",1,-0.546499405727186,"Apiales","Apiaceae","Aciphylla","Aciphylla simplicifolia","dioecious","dioecious","none","quantitative","0","dish","actinomorphic","1000","1000","200","1.75","0.4","1","2","herb","perennial","0.3",NA,"Aciphylla simplicifolia"
"28","Adenophora capillaris","Apidae","5_1_fang_2008_china.csv",52,0.574614917211126,"Asterales","Campanulaceae","Adenophora","Adenophora capillaris","hermaphrodite","self_incompatible","low","quantitative","8","campanulate","actinomorphic","30","30","12.5","12.5","14","20","152","herb","perennial","0.75",NA,"Adenophora capillaris"
"29","Adenophora capillaris","Coleoptera","5_1_fang_2008_china.csv",2,-0.523349939883508,"Asterales","Campanulaceae","Adenophora","Adenophora capillaris","hermaphrodite","self_incompatible","low","quantitative","8","campanulate","actinomorphic","30","30","12.5","12.5","14","20","152","herb","perennial","0.75",NA,"Adenophora capillaris"
"30","Adenophora capillaris","Hymenoptera","5_1_fang_2008_china.csv",14,-0.259838374180796,"Asterales","Campanulaceae","Adenophora","Adenophora capillaris","hermaphrodite","self_incompatible","low","quantitative","8","campanulate","actinomorphic","30","30","12.5","12.5","14","20","152","herb","perennial","0.75",NA,"Adenophora capillaris"
"31","Adenophora capillaris","Non-syrphids-diptera","5_1_fang_2008_china.csv",9,-0.369634859890259,"Asterales","Campanulaceae","Adenophora","Adenophora capillaris","hermaphrodite","self_incompatible","low","quantitative","8","campanulate","actinomorphic","30","30","12.5","12.5","14","20","152","herb","perennial","0.75",NA,"Adenophora capillaris"
"32","Adenophora capillaris","Syrphids","5_1_fang_2008_china.csv",3,-0.501390642741615,"Asterales","Campanulaceae","Adenophora","Adenophora capillaris","hermaphrodite","self_incompatible","low","quantitative","8","campanulate","actinomorphic","30","30","12.5","12.5","14","20","152","herb","perennial","0.75",NA,"Adenophora capillaris"
"33","Adenophora jasionifolia","Apidae","5_1_fang_2008_china.csv",76,1.10163804861655,"Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","hermaphrodite","self_incompatible","low","quantitative","12","campanulate","actinomorphic","10","10","20","20","18.440000000000001","20","193","herb","perennial","0.45",NA,"Adenophora jasionifolia"
"34","Adenophora jasionifolia","Hymenoptera","5_1_fang_2008_china.csv",8,-0.391594157032152,"Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","hermaphrodite","self_incompatible","low","quantitative","12","campanulate","actinomorphic","10","10","20","20","18.440000000000001","20","193","herb","perennial","0.45",NA,"Adenophora jasionifolia"
"35","Adenophora jasionifolia","Non-syrphids-diptera","5_1_fang_2008_china.csv",3,-0.501390642741615,"Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","hermaphrodite","self_incompatible","low","quantitative","12","campanulate","actinomorphic","10","10","20","20","18.440000000000001","20","193","herb","perennial","0.45",NA,"Adenophora jasionifolia"
"36","Adenophora jasionifolia","Syrphids","5_1_fang_2008_china.csv",9,-0.369634859890259,"Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","hermaphrodite","self_incompatible","low","quantitative","12","campanulate","actinomorphic","10","10","20","20","18.440000000000001","20","193","herb","perennial","0.45",NA,"Adenophora jasionifolia"
"37","Adenophora khasiana","Apidae","5_1_fang_2008_china.csv",62,0.794207888630053,"Asterales","Campanulaceae","Adenophora","Adenophora khasiana","hermaphrodite","self_incompatible","low","quantitative","12","campanulate","actinomorphic","100","100","35","35","20.59","24","356","herb","perennial","0.9",NA,"Adenophora khasiana"
"38","Adenophora khasiana","Coleoptera","5_1_fang_2008_china.csv",5,-0.45747204845783,"Asterales","Campanulaceae","Adenophora","Adenophora khasiana","hermaphrodite","self_incompatible","low","quantitative","12","campanulate","actinomorphic","100","100","35","35","20.59","24","356","herb","perennial","0.9",NA,"Adenophora khasiana"
"39","Adenophora khasiana","Hymenoptera","5_1_fang_2008_china.csv",12,-0.303756968464581,"Asterales","Campanulaceae","Adenophora","Adenophora khasiana","hermaphrodite","self_incompatible","low","quantitative","12","campanulate","actinomorphic","100","100","35","35","20.59","24","356","herb","perennial","0.9",NA,"Adenophora khasiana"
"40","Adenophora khasiana","Non-syrphids-diptera","5_1_fang_2008_china.csv",5,-0.45747204845783,"Asterales","Campanulaceae","Adenophora","Adenophora khasiana","hermaphrodite","self_incompatible","low","quantitative","12","campanulate","actinomorphic","100","100","35","35","20.59","24","356","herb","perennial","0.9",NA,"Adenophora khasiana"
"41","Adenophora khasiana","Syrphids","5_1_fang_2008_china.csv",6,-0.435512751315937,"Asterales","Campanulaceae","Adenophora","Adenophora khasiana","hermaphrodite","self_incompatible","low","quantitative","12","campanulate","actinomorphic","100","100","35","35","20.59","24","356","herb","perennial","0.9",NA,"Adenophora khasiana"
