"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"Labourdonnaisia callophylloides","Ericales","Sapotaceae","Labourdonnaisia","Labourdonnaisia calophylloides","Hermaphrodite","self_compatible","low",9.74106666666666,"Open","actinomorphic",1000,9,9,9.5,5.1,"tree","Perennial",10.5,"yes"
"Lactuca canadensis","Asterales","Asteraceae","Lactuca","Lactuca canadensis","Hermaphrodite","self_compatible","low",19.0906666666667,"Capitulum","actinomorphic",150,18,3.1,10,22,"herb","Short lived",1.65,"yes"
"Lactuca floridana","Asterales","Asteraceae","Lactuca","Lactuca floridana","Hermaphrodite","self_compatible","low",18.3391,"Capitulum","actinomorphic",150,13.2,5,10,17.5,"herb","Short lived",1.125,"yes"
"Lagerstroemia subcostata","Myrtales","Lythraceae","Lagerstroemia","Lagerstroemia subcostata","Hermaphrodite","partially_self_compatible","low",9.23047500000001,"Campanulate","actinomorphic",30000,3.1,3.1,4,30,"tree","Perennial",7,"no"
"Lamium amplexicaule","Lamiales","Lamiaceae","Lamium","Lamium amplexicaule","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,4.5,17.5,18,4,"herb","Short lived",0.2,"yes"
"Lantana peducularis","Lamiales","Verbenaceae","Lantana","Lantana peduncularis","Hermaphrodite","self_compatible","low",0.3,"Funnelform","zygomorphic",120,4,3.5,2.2,4,"shrub","Perennial",1.25,"yes"
"Lappula virginiana","Boraginales","Boraginaceae","Lappula","Lappula virginiana","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",250,3,1.2,5.1,4,"herb","Short lived",0.9,"yes"
"Larrea_cuneifolia","Zygophyllales","Zygophyllaceae","Larrea","Larrea cuneifolia","Hermaphrodite","partially_self_compatible","medium",30,"Open","actinomorphic",500,6,3,5.5,13.8,"shrub","Perennial",1,"yes"
"Larrea divaricata","Zygophyllales","Zygophyllaceae","Larrea","Larrea divaricata","Hermaphrodite","partially_self_compatible","low",10,"Open","actinomorphic",1000,10,10,5,20.6,"shrub","Perennial",2,"yes"
"Larrea nitida","Zygophyllales","Zygophyllaceae","Larrea","Larrea nitida","Hermaphrodite","partially_self_compatible","low",20,"Open","actinomorphic",750,12,5,2.75,7,"shrub","Perennial",1,"yes"
"Lasianthus japonicus","Gentianales","Rubiaceae","Lasianthus","Lasianthus japonicus","Hermaphrodite","self_compatible","low",14.2857357142857,"Tube","actinomorphic",15,10,13.5,6,6,"shrub","Perennial",1.5,"yes"
"Lathirus clymenum","Fabales","Fabaceae","Lathyrus","Lathyrus clymenum","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",50,18,18,8,7,"herb","Short lived",0.65,"yes"
"Lathyrus montanus","Fabales","Fabaceae","Lathyrus","Lathyrus linifolius","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",15,11,13,4,9.36,"herb","Perennial",0.325,"yes"
"Lathyrus pratensis","Fabales","Fabaceae","Lathyrus","Lathyrus pratensis","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",8,13,13,3.9,8.18,"herb","Perennial",0.725,"yes"
"Lavandula pedunculata","Lamiales","Lamiaceae","Lavandula","Lavandula pedunculata","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",3000,5,5.5,5.5,4,"shrub","Perennial",0.445,"yes"
"Lavandula stoechas","Lamiales","Lamiaceae","Lavandula","Lavandula stoechas","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",4000,7,6.5,5.5,4,"shrub","Perennial",0.75,"yes"
"Lecanophora heterophylla","Malvales","Malvaceae","Lecanophora","Lecanophora heterophylla","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",50,30,15,0.5,265.66145,"herb","Perennial",0.15,"no"
"Ledum palustre","Ericales","Ericaceae","Ledum","Ledum palustre","Hermaphrodite","self_compatible","medium",51,"Open","actinomorphic",250,17.5,8,8,20,"shrub","Perennial",0.85,"yes"
"Leontodon longirostris","Asterales","Asteraceae","Leontodon","Leontodon saxatilis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,11.5,3,3,25,"herb","Short lived",0.25,"yes"
"Leontopodium andersonii","Asterales","Asteraceae","Leontopodium","Leontopodium andersonii","Hermaphrodite","self_compatible","low",17.919,"Capitulum","actinomorphic",20,3.5,2.75,1,31.176753968254,"herb","Perennial",0.175,"yes"
