"","Species_all","Plant_species","guild","Id","Interaction","Z_scores","Order_all","Family_all","Genus_all","Breeding_system.x","IMPUTED_Compatibility.x","Autonomous_selfing_level.x","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set.x","Flower_morphology.x","Flower_symmetry.x","Flowers_per_plant.x","Flowers_per_inflorescence.x","Floral_unit_width.x","Corolla_diameter_mean.x","Corolla_length_mean.x","STYLE_IMPUTED.x","OVULES_IMPUTED.x","life_form.x","lifespan.x","IMPUTED_plant_height_mean_m.x","Breeding_system.y","IMPUTED_Compatibility.y","Autonomous_selfing_level.y","Autonomous_selfing_level_fruit_set.y","Flower_morphology.y","Flower_symmetry.y","Flowers_per_plant.y","Flowers_per_inflorescence.y","Floral_unit_width.y","Corolla_diameter_mean.y","Corolla_length_mean.y","STYLE_IMPUTED.y","OVULES_IMPUTED.y","life_form.y","lifespan.y","IMPUTED_plant_height_mean_m.y","Clusters"
"1","Acantholippia seriphioides","Acantholippia seriphioides","Non-syrphids-diptera","15_2_peralta_2006_mendoza_site_2.csv",2,-0.609590810938892,"Lamiales","Verbenaceae","Acantholippia","hermaphrodite","self_incompatible","none","qualitative","NA","tube","actinomorphic","10000","50","24","6","3","3","2","shrub","perennial","0.45","Hermaphrodite","self_incompatible","none",0.157999338496705,"Tube","actinomorphic",1.01949288586701,-0.0464767709383269,-0.387447440045062,-0.477649330078277,-0.473669129663493,-0.39019413343809,-0.128365779641535,"shrub","Perennial",-0.455822395865018,3
"2","Acantholippia seriphioides","Acantholippia seriphioides","Syrphids","15_2_peralta_2006_mendoza_site_2.csv",19,-0.142085076233877,"Lamiales","Verbenaceae","Acantholippia","hermaphrodite","self_incompatible","none","qualitative","NA","tube","actinomorphic","10000","50","24","6","3","3","2","shrub","perennial","0.45","Hermaphrodite","self_incompatible","none",0.157999338496705,"Tube","actinomorphic",1.01949288586701,-0.0464767709383269,-0.387447440045062,-0.477649330078277,-0.473669129663493,-0.39019413343809,-0.128365779641535,"shrub","Perennial",-0.455822395865018,3
"3","Acantholippia seriphioides","Acantholippia seriphioides","Lepidoptera","15_2_peralta_2006_mendoza_site_2.csv",1,-0.637091148274481,"Lamiales","Verbenaceae","Acantholippia","hermaphrodite","self_incompatible","none","qualitative","NA","tube","actinomorphic","10000","50","24","6","3","3","2","shrub","perennial","0.45","Hermaphrodite","self_incompatible","none",0.157999338496705,"Tube","actinomorphic",1.01949288586701,-0.0464767709383269,-0.387447440045062,-0.477649330078277,-0.473669129663493,-0.39019413343809,-0.128365779641535,"shrub","Perennial",-0.455822395865018,3
"4","Achillea millefolium","Achillea millefolium","Non-syrphids-diptera","17_1_arroyo_correa_new_zealand_2019_1.csv",6,-0.190895088653153,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-1.11276124921035,"Capitulum","actinomorphic",-0.209248677563866,-0.108895387917048,-0.140432197435571,-0.672183678010479,-0.509591567195333,-0.445367156490476,-0.120592486738411,"herb","Perennial",-0.354344675329948,4
"5","Achillea millefolium","Achillea millefolium","Lepidoptera","17_2_arroyo_correa_new_zealand_2019_2.csv",7,-0.0109316780518735,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-1.11276124921035,"Capitulum","actinomorphic",-0.209248677563866,-0.108895387917048,-0.140432197435571,-0.672183678010479,-0.509591567195333,-0.445367156490476,-0.120592486738411,"herb","Perennial",-0.354344675329948,4
"6","Achillea millefolium","Achillea millefolium","Bee","17_2_arroyo_correa_new_zealand_2019_2.csv",2,-0.345714318390499,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-1.11276124921035,"Capitulum","actinomorphic",-0.209248677563866,-0.108895387917048,-0.140432197435571,-0.672183678010479,-0.509591567195333,-0.445367156490476,-0.120592486738411,"herb","Perennial",-0.354344675329948,4
"7","Achillea millefolium","Achillea millefolium","Non-syrphids-diptera","17_3_arroyo_correa_new_zealand_2019_3.csv",5,-0.21467428809746,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-1.11276124921035,"Capitulum","actinomorphic",-0.209248677563866,-0.108895387917048,-0.140432197435571,-0.672183678010479,-0.509591567195333,-0.445367156490476,-0.120592486738411,"herb","Perennial",-0.354344675329948,4
"8","Achillea millefolium","Achillea millefolium","Lepidoptera","17_1_arroyo_correa_new_zealand_2019_1.csv",8,-0.068526442080619,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-1.11276124921035,"Capitulum","actinomorphic",-0.209248677563866,-0.108895387917048,-0.140432197435571,-0.672183678010479,-0.509591567195333,-0.445367156490476,-0.120592486738411,"herb","Perennial",-0.354344675329948,4
"9","Achillea millefolium","Achillea millefolium","Syrphids","2_1_dicks_2002_england_shelfanger.csv",4,-0.314818120877392,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-1.11276124921035,"Capitulum","actinomorphic",-0.209248677563866,-0.108895387917048,-0.140432197435571,-0.672183678010479,-0.509591567195333,-0.445367156490476,-0.120592486738411,"herb","Perennial",-0.354344675329948,4
"10","Achillea millefolium","Achillea millefolium","Lepidoptera","2_1_dicks_2002_england_shelfanger.csv",3,-0.319320116477273,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-1.11276124921035,"Capitulum","actinomorphic",-0.209248677563866,-0.108895387917048,-0.140432197435571,-0.672183678010479,-0.509591567195333,-0.445367156490476,-0.120592486738411,"herb","Perennial",-0.354344675329948,4
