"","Plant_species","bee_family","Id","Interaction"
"1","Aetheorrina bulbosa","Andrenidae","1_1_bartomeus_spain_2008_batca_1_2.csv",4
"2","Aetheorrina bulbosa","Andrenidae","1_3_bartomeus_spain_2008_medca_1_2.csv",0
"3","Aetheorrina bulbosa","Apidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1
"4","Aetheorrina bulbosa","Apidae","1_3_bartomeus_spain_2008_medca_1_2.csv",0
"5","Aetheorrina bulbosa","Colletidae","1_1_bartomeus_spain_2008_batca_1_2.csv",0
"6","Aetheorrina bulbosa","Colletidae","1_3_bartomeus_spain_2008_medca_1_2.csv",0
"7","Aetheorrina bulbosa","Halictidae","1_1_bartomeus_spain_2008_batca_1_2.csv",2
"8","Aetheorrina bulbosa","Halictidae","1_3_bartomeus_spain_2008_medca_1_2.csv",0
"9","Aetheorrina bulbosa","Megachilidae","1_1_bartomeus_spain_2008_batca_1_2.csv",0
"10","Aetheorrina bulbosa","Megachilidae","1_3_bartomeus_spain_2008_medca_1_2.csv",0
"11","Alyssum maritimum","Andrenidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1
"12","Alyssum maritimum","Apidae","1_1_bartomeus_spain_2008_batca_1_2.csv",0
"13","Alyssum maritimum","Colletidae","1_1_bartomeus_spain_2008_batca_1_2.csv",0
"14","Alyssum maritimum","Halictidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1
"15","Alyssum maritimum","Megachilidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1
"16","Carpobrotus affinis","Andrenidae","1_1_bartomeus_spain_2008_batca_1_2.csv",3
"17","Carpobrotus affinis","Andrenidae","1_3_bartomeus_spain_2008_medca_1_2.csv",1
"18","Carpobrotus affinis","Andrenidae","1_4_bartomeus_spain_2008_medca_2_3.csv",0
"19","Carpobrotus affinis","Apidae","1_1_bartomeus_spain_2008_batca_1_2.csv",9
"20","Carpobrotus affinis","Apidae","1_3_bartomeus_spain_2008_medca_1_2.csv",8
"21","Carpobrotus affinis","Apidae","1_4_bartomeus_spain_2008_medca_2_3.csv",6
"22","Carpobrotus affinis","Colletidae","1_1_bartomeus_spain_2008_batca_1_2.csv",0
"23","Carpobrotus affinis","Colletidae","1_3_bartomeus_spain_2008_medca_1_2.csv",0
"24","Carpobrotus affinis","Colletidae","1_4_bartomeus_spain_2008_medca_2_3.csv",0
"25","Carpobrotus affinis","Halictidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1
"26","Carpobrotus affinis","Halictidae","1_3_bartomeus_spain_2008_medca_1_2.csv",3
"27","Carpobrotus affinis","Halictidae","1_4_bartomeus_spain_2008_medca_2_3.csv",0
"28","Carpobrotus affinis","Megachilidae","1_1_bartomeus_spain_2008_batca_1_2.csv",7
"29","Carpobrotus affinis","Megachilidae","1_3_bartomeus_spain_2008_medca_1_2.csv",1
"30","Carpobrotus affinis","Megachilidae","1_4_bartomeus_spain_2008_medca_2_3.csv",1
"31","Convolvulus althaeoides","Andrenidae","1_1_bartomeus_spain_2008_batca_1_2.csv",0
"32","Convolvulus althaeoides","Andrenidae","1_2_bartomeus_spain_2008_fraop_1_2.csv",0
"33","Convolvulus althaeoides","Andrenidae","1_5_bartomeus_spain_2008_miqop_1_2.csv",1
"34","Convolvulus althaeoides","Apidae","1_1_bartomeus_spain_2008_batca_1_2.csv",0
"35","Convolvulus althaeoides","Apidae","1_2_bartomeus_spain_2008_fraop_1_2.csv",0
