"","Species_all","Plant_species","bee_family","Id","Interaction","Z_scores","Order_all","Family_all","Genus_all","Breeding_system.x","IMPUTED_Compatibility.x","Autonomous_selfing_level.x","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set.x","Flower_morphology.x","Flower_symmetry.x","Flowers_per_plant.x","Flowers_per_inflorescence.x","Floral_unit_width.x","Corolla_diameter_mean.x","Corolla_length_mean.x","STYLE_IMPUTED.x","OVULES_IMPUTED.x","life_form.x","lifespan.x","IMPUTED_plant_height_mean_m.x","Breeding_system.y","IMPUTED_Compatibility.y","Autonomous_selfing_level.y","Autonomous_selfing_level_fruit_set.y","Flower_morphology.y","Flower_symmetry.y","Flowers_per_plant.y","Flowers_per_inflorescence.y","Floral_unit_width.y","Corolla_diameter_mean.y","Corolla_length_mean.y","STYLE_IMPUTED.y","OVULES_IMPUTED.y","life_form.y","lifespan.y","IMPUTED_plant_height_mean_m.y","Nectar_presence_absence","Clusters"
"11","Adenophora capillaris","Adenophora capillaris","Apidae","5_1_fang_2008_china.csv",52,0.220369888356354,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative","8","campanulate","actinomorphic","30","30","12.5","12.5","14","20","152","herb","perennial","0.75","Hermaphrodite","self_incompatible","low",-0.408250399948505,"Campanulate","actinomorphic",-0.232198129371901,-0.097309532958918,-0.644663440297863,-0.144520109133748,0.177224842603088,1.4974735691001,-0.038266411432831,"herb","Perennial",-0.366093959761404,"yes",2
"12","Adenophora capillaris","Adenophora capillaris","Halictidae","5_1_fang_2008_china.csv",14,-0.415232066675256,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative","8","campanulate","actinomorphic","30","30","12.5","12.5","14","20","152","herb","perennial","0.75","Hermaphrodite","self_incompatible","low",-0.408250399948505,"Campanulate","actinomorphic",-0.232198129371901,-0.097309532958918,-0.644663440297863,-0.144520109133748,0.177224842603088,1.4974735691001,-0.038266411432831,"herb","Perennial",-0.366093959761404,"yes",2
"13","Adenophora jasionifolia","Adenophora jasionifolia","Halictidae","5_1_fang_2008_china.csv",5,-0.565769371814321,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative","12","campanulate","actinomorphic","10","10","20","20","18.440000000000001","20","193","herb","perennial","0.45","Hermaphrodite","self_incompatible","low",-0.258286910773963,"Campanulate","actinomorphic",-0.234525154506537,-0.146483375321575,-0.477164716418333,0.22530790518758,0.435054619432431,1.4974735691001,-0.0141350031114173,"herb","Perennial",-0.45167760932981,"yes",2
"14","Adenophora jasionifolia","Adenophora jasionifolia","Apidae","5_1_fang_2008_china.csv",76,0.621802702060529,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative","12","campanulate","actinomorphic","10","10","20","20","18.440000000000001","20","193","herb","perennial","0.45","Hermaphrodite","self_incompatible","low",-0.258286910773963,"Campanulate","actinomorphic",-0.234525154506537,-0.146483375321575,-0.477164716418333,0.22530790518758,0.435054619432431,1.4974735691001,-0.0141350031114173,"herb","Perennial",-0.45167760932981,"yes",2
"15","Adenophora khasiana","Adenophora khasiana","Apidae","5_1_fang_2008_china.csv",62,0.387633560733094,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative","12","campanulate","actinomorphic","100","100","35","35","20.59","24","356","herb","perennial","0.9","Hermaphrodite","self_incompatible","low",-0.258286910773963,"Campanulate","actinomorphic",-0.224053541400674,0.0747989153103831,-0.142167268659272,0.964963933830235,0.559904623978171,1.94111852050619,0.0818020592395689,"herb","Perennial",-0.323302134977201,"yes",2
"16","Adenophora khasiana","Adenophora khasiana","Halictidae","5_1_fang_2008_china.csv",12,-0.448684801150604,"Asterales","Campanulaceae","Adenophora","hermaphrodite","self_incompatible","low","quantitative","12","campanulate","actinomorphic","100","100","35","35","20.59","24","356","herb","perennial","0.9","Hermaphrodite","self_incompatible","low",-0.258286910773963,"Campanulate","actinomorphic",-0.224053541400674,0.0747989153103831,-0.142167268659272,0.964963933830235,0.559904623978171,1.94111852050619,0.0818020592395689,"herb","Perennial",-0.323302134977201,"yes",2
"17","Aeschynomene mollicula","Aeschynomene mollicula","Apidae","10_1_souza_2017_brazil_chaco.csv",56,-0.0995701708605999,"Fabales","Fabaceae","Aeschynomene","hermaphrodite","self_compatible","NA","NA","NA","papilionaceous","zygomorphic","5","5","2.1","2.1","7.1","5","15","shrub","perennial","1","Hermaphrodite","self_compatible","low",0.136738476963349,"Papilionaceous","zygomorphic",-0.235106910790196,-0.15877683591224,-0.876928337410812,-0.657348288992656,-0.223456567334404,-0.166194998672714,-0.118900629482433,"shrub","Perennial",-0.294774251787732,"yes",5
"18","Agarista salicifolia","Agauria salicifolia","Apidae","14_2_kaiser-bunbury_2010_mauritius_restored.csv",3,-0.473619498457166,"Ericales","Ericaceae","Agarista","hermaphrodite","self_compatible","NA","NA","NA","tube","actinomorphic","2000","30","10","4.5","8.5","7","7","tree","perennial","10.45","Hermaphrodite","self_compatible","low",-0.124240171431684,"Tube","actinomorphic",-0.00298615361023504,-0.097309532958918,-0.700496348257707,-0.539003324409831,-0.142158889955783,0.0556274770303282,-0.123609196959782,"tree","Perennial",2.40111070961707,"yes",2
"19","Agrimonia pilosa","Agrimonia pilosa","Halictidae","5_1_fang_2008_china.csv",8,-0.515590270101299,"Rosales","Rosaceae","Agrimonia","hermaphrodite","self_compatible","NA","NA","NA","dish","actinomorphic","30","30","18","7.5","1","3","2","herb","perennial","0.75","Hermaphrodite","self_compatible","low",-0.237436362147857,"Open","actinomorphic",-0.232198129371901,-0.097309532958918,-0.521831042786208,-0.3910721186813,-0.57768216162697,-0.388017474375756,-0.126552051633125,"herb","Perennial",-0.366093959761404,"no",2
"20","Ajuga forrestii","Ajuga forrestii","Apidae","5_1_fang_2008_china.csv",326,4.80339451147902,"Lamiales","Lamiaceae","Ajuga","hermaphrodite","self_compatible","NA","NA","NA","tube","zygomorphic","80","80","24","9","8.1","6","4","herb","short_lived","0.18","Hermaphrodite","self_compatible","low",0.00312756901148375,"Tube","zygomorphic",-0.22638056653531,0.0256250729477256,-0.387832063682583,-0.317106515817034,-0.165386797778246,-0.0552837608211929,-0.125374909763788,"herb","Short lived",-0.528702893941376,"yes",5
"21","Allium cyathophorum","Allium cyathophorum","Halictidae","5_1_fang_2008_china.csv",4,-0.582495739051995,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","qualitative","NA","tube","actinomorphic","750","25","17.5","3.5","NA","3.5","5.0999999999999996","herb","perennial","0.22500000000000001","Hermaphrodite","self_compatible","low",-0.220796038480327,"Tube","actinomorphic",-0.148425224524998,-0.109602993549582,-0.532997624378176,-0.588313726319341,-0.265270672732809,-0.332561855449995,-0.124727481735652,"herb","Perennial",-0.515865346506115,"yes",2
"22","Allium cyathophorum","Allium cyathophorum","Apidae","5_1_fang_2008_china.csv",3,-0.599222106289669,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","qualitative","NA","tube","actinomorphic","750","25","17.5","3.5","NA","3.5","5.0999999999999996","herb","perennial","0.22500000000000001","Hermaphrodite","self_compatible","low",-0.220796038480327,"Tube","actinomorphic",-0.148425224524998,-0.109602993549582,-0.532997624378176,-0.588313726319341,-0.265270672732809,-0.332561855449995,-0.124727481735652,"herb","Perennial",-0.515865346506115,"yes",2
"23","Allium wallichii","Allium wallichii","Halictidae","5_1_fang_2008_china.csv",32,-0.114157456397125,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","qualitative","NA","dish","actinomorphic","35","35","80","18","5","9","6","herb","perennial","0.52500000000000002","Hermaphrodite","self_compatible","low",-0.220796038480327,"Open","actinomorphic",-0.231616373088242,-0.0850160723682536,0.86282507461791,0.126687101368559,-0.345403083402337,0.27744995273337,-0.124197767894451,"herb","Perennial",-0.430281696937709,"yes",2
"24","Allium wallichii","Allium wallichii","Apidae","5_1_fang_2008_china.csv",39,0.00292711426659289,"Asparagales","Amaryllidaceae","Allium","hermaphrodite","self_compatible","low","qualitative","NA","dish","actinomorphic","35","35","80","18","5","9","6","herb","perennial","0.52500000000000002","Hermaphrodite","self_compatible","low",-0.220796038480327,"Open","actinomorphic",-0.231616373088242,-0.0850160723682536,0.86282507461791,0.126687101368559,-0.345403083402337,0.27744995273337,-0.124197767894451,"herb","Perennial",-0.430281696937709,"yes",2
"25","Aloysia gratissima","Aloyssia gratissima","Apidae","15_2_peralta_2006_mendoza_site_2.csv",28,0.210819727812293,"Lamiales","Verbenaceae","Aloysia","hermaphrodite","self_compatible","medium","quantitative","68","tube","actinomorphic","2000","50","10","2.1","2.2000000000000002","2","2","shrub","perennial","1.75","Hermaphrodite","self_compatible","medium",1.84120193766962,"Tube","actinomorphic",-0.00298615361023504,-0.0481356905962605,-0.700496348257707,-0.657348288992656,-0.50799843815958,-0.498928712227277,-0.126552051633125,"shrub","Perennial",-0.0808151278667163,"yes",2
"26","Aloysia gratissima","Aloyssia gratissima","Halictidae","15_1_peralta_2006_mendoza_site_1.csv",3,-0.457076158156464,"Lamiales","Verbenaceae","Aloysia","hermaphrodite","self_compatible","medium","quantitative","68","tube","actinomorphic","2000","50","10","2.1","2.2000000000000002","2","2","shrub","perennial","1.75","Hermaphrodite","self_compatible","medium",1.84120193766962,"Tube","actinomorphic",-0.00298615361023504,-0.0481356905962605,-0.700496348257707,-0.657348288992656,-0.50799843815958,-0.498928712227277,-0.126552051633125,"shrub","Perennial",-0.0808151278667163,"yes",2
"27","Aloysia gratissima","Aloyssia gratissima","Apidae","15_1_peralta_2006_mendoza_site_1.csv",346,3.31351285792667,"Lamiales","Verbenaceae","Aloysia","hermaphrodite","self_compatible","medium","quantitative","68","tube","actinomorphic","2000","50","10","2.1","2.2000000000000002","2","2","shrub","perennial","1.75","Hermaphrodite","self_compatible","medium",1.84120193766962,"Tube","actinomorphic",-0.00298615361023504,-0.0481356905962605,-0.700496348257707,-0.657348288992656,-0.50799843815958,-0.498928712227277,-0.126552051633125,"shrub","Perennial",-0.0808151278667163,"yes",2
"28","Alstonia macrophylla","Alstonia macrophylla","Apidae","13_1_kaiser-bunbury_2011_seychelles_bernica.csv",2,-0.699955454789779,"Gentianales","Apocynaceae","Alstonia","hermaphrodite","self_compatible","NA","NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001","Hermaphrodite","self_compatible","low",-0.269265487877281,"Tube","actinomorphic",0.52059450168291,0.148559678854369,1.30948833829666,-0.144520109133748,-0.316368198624258,-0.166194998672714,-0.0865292280756584,"tree","Perennial",4.29821494171674,"yes",2
"29","Alstonia macrophylla","Alstonia macrophylla","Apidae","13_6_kaiser-bunbury_2011_seychelles_trois_ferres.csv",13,-0.382933813152679,"Gentianales","Apocynaceae","Alstonia","hermaphrodite","self_compatible","NA","NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001","Hermaphrodite","self_compatible","low",-0.269265487877281,"Tube","actinomorphic",0.52059450168291,0.148559678854369,1.30948833829666,-0.144520109133748,-0.316368198624258,-0.166194998672714,-0.0865292280756584,"tree","Perennial",4.29821494171674,"yes",2
"30","Alstonia macrophylla","Alstonia macrophylla","Halictidae","13_6_kaiser-bunbury_2011_seychelles_trois_ferres.csv",5,-0.589314984030755,"Gentianales","Apocynaceae","Alstonia","hermaphrodite","self_compatible","NA","NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001","Hermaphrodite","self_compatible","low",-0.269265487877281,"Tube","actinomorphic",0.52059450168291,0.148559678854369,1.30948833829666,-0.144520109133748,-0.316368198624258,-0.166194998672714,-0.0865292280756584,"tree","Perennial",4.29821494171674,"yes",2
"31","Alstonia macrophylla","Alstonia macrophylla","Apidae","11_5_kaiser-bunbury_2017_seychelles_rosebelle.csv",2,-0.65825598914839,"Gentianales","Apocynaceae","Alstonia","hermaphrodite","self_compatible","NA","NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001","Hermaphrodite","self_compatible","low",-0.269265487877281,"Tube","actinomorphic",0.52059450168291,0.148559678854369,1.30948833829666,-0.144520109133748,-0.316368198624258,-0.166194998672714,-0.0865292280756584,"tree","Perennial",4.29821494171674,"yes",2
"32","Alstonia macrophylla","Alstonia macrophylla","Apidae","11_2_kaiser-bunbury_2017_seychelles_casse_dent.csv",7,-0.589891574465151,"Gentianales","Apocynaceae","Alstonia","hermaphrodite","self_compatible","NA","NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001","Hermaphrodite","self_compatible","low",-0.269265487877281,"Tube","actinomorphic",0.52059450168291,0.148559678854369,1.30948833829666,-0.144520109133748,-0.316368198624258,-0.166194998672714,-0.0865292280756584,"tree","Perennial",4.29821494171674,"yes",2
"33","Alstonia macrophylla","Alstonia macrophylla","Apidae","11_4_kaiser-bunbury_2017_seychelles_reserve.csv",3,-0.747150733175141,"Gentianales","Apocynaceae","Alstonia","hermaphrodite","self_compatible","NA","NA","NA","tube","actinomorphic","6500","130","100","12.5","5.5","5","70","tree","perennial","17.100000000000001","Hermaphrodite","self_compatible","low",-0.269265487877281,"Tube","actinomorphic",0.52059450168291,0.148559678854369,1.30948833829666,-0.144520109133748,-0.316368198624258,-0.166194998672714,-0.0865292280756584,"tree","Perennial",4.29821494171674,"yes",2
"34","Anaphalis nepalensis","Anaphalis nepalensis","Halictidae","5_1_fang_2008_china.csv",5,-0.565769371814321,"Asterales","Asteraceae","Anaphalis","hermaphrodite","self_incompatible","none","qualitative","NA","capitulum","actinomorphic","10","10","14.1","14.1","10","0.5","100","herb","perennial","0.22500000000000001","Hermaphrodite","self_incompatible","none",-0.708177378297588,"Capitulum","actinomorphic",-0.234525154506537,-0.146483375321575,-0.608930379203564,-0.0656234660785312,-0.0550542356215452,-0.665295569004559,-0.0688721000355996,"herb","Perennial",-0.515865346506115,"yes",3
"35","Anchusa azurea","Anchusa azurea","Apidae","12_9_bartomeus_spain_2008_LaRocina_unp.csv",1,-0.556257579695517,"Boraginales","Boraginaceae","Anchusa","hermaphrodite","self_incompatible","none","qualitative","NA","tube","actinomorphic","50","15","50","11.5","8","4.5","4","herb","perennial","0.85","Hermaphrodite","self_incompatible","none",-0.708177378297588,"Tube","actinomorphic",-0.229871104237265,-0.134189914730911,0.192830179099788,-0.193830511043258,-0.171193774733862,-0.221650617598474,-0.125374909763788,"herb","Perennial",-0.337566076571935,"yes",3
"36","Anchusa azurea","Anchusa azurea","Andrenidae","12_9_bartomeus_spain_2008_LaRocina_unp.csv",4,-0.412788430181288,"Boraginales","Boraginaceae","Anchusa","hermaphrodite","self_incompatible","none","qualitative","NA","tube","actinomorphic","50","15","50","11.5","8","4.5","4","herb","perennial","0.85","Hermaphrodite","self_incompatible","none",-0.708177378297588,"Tube","actinomorphic",-0.229871104237265,-0.134189914730911,0.192830179099788,-0.193830511043258,-0.171193774733862,-0.221650617598474,-0.125374909763788,"herb","Perennial",-0.337566076571935,"yes",3
"37","Anchusa azurea","Anchusa azurea","Melittidae","12_9_bartomeus_spain_2008_LaRocina_unp.csv",2,-0.508434529857441,"Boraginales","Boraginaceae","Anchusa","hermaphrodite","self_incompatible","none","qualitative","NA","tube","actinomorphic","50","15","50","11.5","8","4.5","4","herb","perennial","0.85","Hermaphrodite","self_incompatible","none",-0.708177378297588,"Tube","actinomorphic",-0.229871104237265,-0.134189914730911,0.192830179099788,-0.193830511043258,-0.171193774733862,-0.221650617598474,-0.125374909763788,"herb","Perennial",-0.337566076571935,"yes",3
"38","Andromeda glaucophylla","Andromeda glaucophylla","Apidae","9_1_small_1976_canada.csv",3,-0.799596754985618,"Ericales","Ericaceae","Andromeda","hermaphrodite","partially_self_compatible","low","quantitative","40","campanulate","actinomorphic","800","12","20","4.5","4.0999999999999996","2.4500000000000002","47","shrub","perennial","0.35","Hermaphrodite","partially_self_compatible","low",0.791457513447829,"Campanulate","actinomorphic",-0.142607661688407,-0.14156599108531,-0.477164716418333,-0.539003324409831,-0.397665876002879,-0.449018655194093,-0.100066359573037,"shrub","Perennial",-0.480205492519279,"yes",2
"39","Andryala integrifolia","Andryala integrifolia","Andrenidae","12_8_bartomeus_spain_2008_LaCunya_unp.csv",3,-0.324515110758273,"Asterales","Asteraceae","Andryala","hermaphrodite","self_incompatible","none","qualitative","NA","capitulum","actinomorphic","20","13","14.5","14.5","4","10","75","herb","perennial","0.46","Hermaphrodite","self_incompatible","none",-0.708177378297588,"Capitulum","actinomorphic",-0.233361641939219,-0.139107298967177,-0.599997113929989,-0.045899305314727,-0.403472852958495,0.388361190584891,-0.0835863734023153,"herb","Perennial",-0.448824821010864,"no",3
"40","Andryala integrifolia","Andryala integrifolia","Andrenidae","12_16_bartomeus_spain_2008_Villamanriquesur_unp.csv",16,-0.0576906665382916,"Asterales","Asteraceae","Andryala","hermaphrodite","self_incompatible","none","qualitative","NA","capitulum","actinomorphic","20","13","14.5","14.5","4","10","75","herb","perennial","0.46","Hermaphrodite","self_incompatible","none",-0.708177378297588,"Capitulum","actinomorphic",-0.233361641939219,-0.139107298967177,-0.599997113929989,-0.045899305314727,-0.403472852958495,0.388361190584891,-0.0835863734023153,"herb","Perennial",-0.448824821010864,"no",3
"41","Andryala integrifolia","Andryala integrifolia","Andrenidae","12_11_bartomeus_spain_2008_Niebla_unp.csv",3,-0.399403642481059,"Asterales","Asteraceae","Andryala","hermaphrodite","self_incompatible","none","qualitative","NA","capitulum","actinomorphic","20","13","14.5","14.5","4","10","75","herb","perennial","0.46","Hermaphrodite","self_incompatible","none",-0.708177378297588,"Capitulum","actinomorphic",-0.233361641939219,-0.139107298967177,-0.599997113929989,-0.045899305314727,-0.403472852958495,0.388361190584891,-0.0835863734023153,"herb","Perennial",-0.448824821010864,"no",3
"42","Andryala integrifolia","Andryala integrifolia","Andrenidae","12_9_bartomeus_spain_2008_LaRocina_unp.csv",1,-0.556257579695517,"Asterales","Asteraceae","Andryala","hermaphrodite","self_incompatible","none","qualitative","NA","capitulum","actinomorphic","20","13","14.5","14.5","4","10","75","herb","perennial","0.46","Hermaphrodite","self_incompatible","none",-0.708177378297588,"Capitulum","actinomorphic",-0.233361641939219,-0.139107298967177,-0.599997113929989,-0.045899305314727,-0.403472852958495,0.388361190584891,-0.0835863734023153,"herb","Perennial",-0.448824821010864,"no",3
"43","Andryala integrifolia","Andryala integrifolia","Andrenidae","12_3_bartomeus_spain_2008_Bonares_unp.csv",2,-0.608749776235583,"Asterales","Asteraceae","Andryala","hermaphrodite","self_incompatible","none","qualitative","NA","capitulum","actinomorphic","20","13","14.5","14.5","4","10","75","herb","perennial","0.46","Hermaphrodite","self_incompatible","none",-0.708177378297588,"Capitulum","actinomorphic",-0.233361641939219,-0.139107298967177,-0.599997113929989,-0.045899305314727,-0.403472852958495,0.388361190584891,-0.0835863734023153,"herb","Perennial",-0.448824821010864,"no",3
"44","Andryala integrifolia","Andryala integrifolia","Andrenidae","12_12_bartomeus_spain_2008_PinaresdeHinojos_unp.csv",4,-0.280404339245926,"Asterales","Asteraceae","Andryala","hermaphrodite","self_incompatible","none","qualitative","NA","capitulum","actinomorphic","20","13","14.5","14.5","4","10","75","herb","perennial","0.46","Hermaphrodite","self_incompatible","none",-0.708177378297588,"Capitulum","actinomorphic",-0.233361641939219,-0.139107298967177,-0.599997113929989,-0.045899305314727,-0.403472852958495,0.388361190584891,-0.0835863734023153,"herb","Perennial",-0.448824821010864,"no",3
"45","Andryala integrifolia","Andryala integrifolia","Halictidae","12_8_bartomeus_spain_2008_LaCunya_unp.csv",1,-0.551675688289064,"Asterales","Asteraceae","Andryala","hermaphrodite","self_incompatible","none","qualitative","NA","capitulum","actinomorphic","20","13","14.5","14.5","4","10","75","herb","perennial","0.46","Hermaphrodite","self_incompatible","none",-0.708177378297588,"Capitulum","actinomorphic",-0.233361641939219,-0.139107298967177,-0.599997113929989,-0.045899305314727,-0.403472852958495,0.388361190584891,-0.0835863734023153,"herb","Perennial",-0.448824821010864,"no",3
"46","Andryala integrifolia","Andryala integrifolia","Halictidae","12_11_bartomeus_spain_2008_Niebla_unp.csv",1,-0.661698571871605,"Asterales","Asteraceae","Andryala","hermaphrodite","self_incompatible","none","qualitative","NA","capitulum","actinomorphic","20","13","14.5","14.5","4","10","75","herb","perennial","0.46","Hermaphrodite","self_incompatible","none",-0.708177378297588,"Capitulum","actinomorphic",-0.233361641939219,-0.139107298967177,-0.599997113929989,-0.045899305314727,-0.403472852958495,0.388361190584891,-0.0835863734023153,"herb","Perennial",-0.448824821010864,"no",3
"47","Anemone rivularis","Anemone rivularis","Apidae","5_1_fang_2008_china.csv",1,-0.632674840765017,"Ranunculales","Ranunculaceae","Anemone","hermaphrodite","self_compatible","medium","quantitative","25","dish","actinomorphic","20","1","20","20","5","1","100","herb","perennial","0.8","Hermaphrodite","self_compatible","medium",0.229094429043298,"Open","actinomorphic",-0.233361641939219,-0.168611604384771,-0.477164716418333,0.22530790518758,-0.345403083402337,-0.609839950078798,-0.0688721000355996,"herb","Perennial",-0.35183001816667,"no",1
