"","Species_all","Plant_species","bee_family","Id","Interaction","Z_scores","Order_all","Family_all","Genus_all","Breeding_system.x","IMPUTED_Compatibility.x","Autonomous_selfing_level.x","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set.x","Flower_morphology.x","Flower_symmetry.x","Flowers_per_plant.x","Flowers_per_inflorescence.x","Floral_unit_width.x","Corolla_diameter_mean.x","Corolla_length_mean.x","STYLE_IMPUTED.x","OVULES_IMPUTED.x","life_form.x","lifespan.x","IMPUTED_plant_height_mean_m.x","Breeding_system.y","IMPUTED_Compatibility.y","Autonomous_selfing_level.y","Autonomous_selfing_level_fruit_set.y","Flower_morphology.y","Flower_symmetry.y","Flowers_per_plant.y","Flowers_per_inflorescence.y","Floral_unit_width.y","Corolla_diameter_mean.y","Corolla_length_mean.y","STYLE_IMPUTED.y","OVULES_IMPUTED.y","life_form.y","lifespan.y","IMPUTED_plant_height_mean_m.y","Nectar_presence_absence","Clusters"
"1","Achillea millefolium","Achillea millefolium","Apidae","17_1_arroyo_correa_new_zealand_2019_1.csv",4,-0.290301531332621,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.708177378297588,"Capitulum","actinomorphic",-0.212418415727493,-0.109602993549582,-0.142167268659272,-0.657348288992656,-0.496384484248348,-0.443473093301517,-0.118900629482433,"herb","Perennial",-0.35183001816667,"yes",4
"2","Achillea millefolium","Achillea millefolium","Halictidae","17_2_arroyo_correa_new_zealand_2019_2.csv",1,-0.559639787575427,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.708177378297588,"Capitulum","actinomorphic",-0.212418415727493,-0.109602993549582,-0.142167268659272,-0.657348288992656,-0.496384484248348,-0.443473093301517,-0.118900629482433,"herb","Perennial",-0.35183001816667,"yes",4
"3","Achillea millefolium","Achillea millefolium","Colletidae","17_3_arroyo_correa_new_zealand_2019_3.csv",28,0.868875502983942,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.708177378297588,"Capitulum","actinomorphic",-0.212418415727493,-0.109602993549582,-0.142167268659272,-0.657348288992656,-0.496384484248348,-0.443473093301517,-0.118900629482433,"herb","Perennial",-0.35183001816667,"yes",4
"4","Achillea millefolium","Achillea millefolium","Colletidae","17_2_arroyo_correa_new_zealand_2019_2.csv",1,-0.559639787575427,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.708177378297588,"Capitulum","actinomorphic",-0.212418415727493,-0.109602993549582,-0.142167268659272,-0.657348288992656,-0.496384484248348,-0.443473093301517,-0.118900629482433,"herb","Perennial",-0.35183001816667,"yes",4
"5","Achillea millefolium","Achillea millefolium","Halictidae","17_3_arroyo_correa_new_zealand_2019_3.csv",2,-0.4920138390391,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.708177378297588,"Capitulum","actinomorphic",-0.212418415727493,-0.109602993549582,-0.142167268659272,-0.657348288992656,-0.496384484248348,-0.443473093301517,-0.118900629482433,"herb","Perennial",-0.35183001816667,"yes",4
"6","Achillea millefolium","Achillea millefolium","Halictidae","6_1_inouye_1988_australia.csv",7,-0.0593855772907149,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.708177378297588,"Capitulum","actinomorphic",-0.212418415727493,-0.109602993549582,-0.142167268659272,-0.657348288992656,-0.496384484248348,-0.443473093301517,-0.118900629482433,"herb","Perennial",-0.35183001816667,"yes",4
"7","Achillea millefolium","Achillea millefolium","Colletidae","17_1_arroyo_correa_new_zealand_2019_1.csv",10,0.316934699344788,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.708177378297588,"Capitulum","actinomorphic",-0.212418415727493,-0.109602993549582,-0.142167268659272,-0.657348288992656,-0.496384484248348,-0.443473093301517,-0.118900629482433,"herb","Perennial",-0.35183001816667,"yes",4
"8","Acrothamnus montanus","Leucopogon montanus","Halictidae","6_1_inouye_1988_australia.csv",1,-0.525333952956324,"Ericales","Ericaceae","Acrothamnus","hermaphrodite","NA","NA","NA","NA","tube","actinomorphic","750","20","20","2.5","2.75","0.55000000000000004","4","shrub","perennial","0.35","Hermaphrodite","self_compatible","low",-0.0293114082405843,"Tube","actinomorphic",-0.148425224524998,-0.121896454140247,-0.477164716418333,-0.637624128228851,-0.476060064903693,-0.659750007111983,-0.125374909763788,"shrub","Perennial",-0.480205492519279,"yes",2
"9","Actaea yunnanensis","Cimicifuga yunnanensis","Halictidae","5_1_fang_2008_china.csv",12,-0.448684801150604,"Ranunculales","Ranunculaceae","Actaea","hermaphrodite","NA","NA","NA","NA","dish","actinomorphic","60","60","20","8","NA","1.5","1","herb","perennial","0.9","Hermaphrodite","self_compatible","low",-0.181385633525258,"Open","actinomorphic",-0.228707591669946,-0.0235487694149318,-0.477164716418333,-0.366416917726544,-0.420085646199019,-0.554384331153038,-0.127140622567794,"herb","Perennial",-0.323302134977201,"no",2
"10","Actaea yunnanensis","Cimicifuga yunnanensis","Apidae","5_1_fang_2008_china.csv",13,-0.43195843391293,"Ranunculales","Ranunculaceae","Actaea","hermaphrodite","NA","NA","NA","NA","dish","actinomorphic","60","60","20","8","NA","1.5","1","herb","perennial","0.9","Hermaphrodite","self_compatible","low",-0.181385633525258,"Open","actinomorphic",-0.228707591669946,-0.0235487694149318,-0.477164716418333,-0.366416917726544,-0.420085646199019,-0.554384331153038,-0.127140622567794,"herb","Perennial",-0.323302134977201,"no",2
