"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Pollen_per_flower"
"Achillea wilsoniana","Asterales","Asteraceae","Achillea","Achillea wilsoniana","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",800,6,4,3,15,"herb","Perennial",0.65,"yes",1.62489383333333,136829.576183333
"Achyranthes bidentata","Caryophyllales","Amaranthaceae","Achyranthes","Achyranthes bidentata","Hermaphrodite","self_compatible","low",15.46635,"Tube","actinomorphic",100,1.5,5,1.5,1,"herb","Perennial",0.95,"no",0,11684.0421833333
"Aciphylla glacialis","Apiales","Apiaceae","Aciphylla","Aciphylla glacialis","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,2.25,0.5,1,2,"herb","Perennial",0.425,"yes",1.52504765,55475.61735
"Aciphylla scott-thompsoni","Apiales","Apiaceae","Aciphylla","Aciphylla scott-thomsonii","Dioecious","dioecious","none",0,"Open","actinomorphic",50,2.25,0.5,0.5,2,"herb","Perennial",0.5,"yes",1.49265015,65197.47035
"Aciphylla simplicifolia","Apiales","Apiaceae","Aciphylla","Aciphylla simplicifolia","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,1.75,0.4,1,2,"herb","Perennial",0.3,"yes",1.70696265,49758.04785
"Aciphylla subflavellata","Apiales","Apiaceae","Aciphylla","Aciphylla subflabellata","Dioecious","dioecious","none",0,"Open","actinomorphic",500,1.75,0.4,0.5,2,"herb","Perennial",0.25,"yes",1.55410765,55244.0502
"Aconitum piepunense","Ranunculales","Ranunculaceae","Aconitum","Aconitum piepunense","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",50,13,7.5,2.5,58,"herb","Perennial",0.64243125,"yes",12.75,143865
"Leucopogon montanus","Ericales","Ericaceae","Acrothamnus","Acrothamnus montanus","Hermaphrodite","self_compatible","low",18.3872833333333,"Tube","actinomorphic",750,2.5,2.75,0.55,4,"shrub","Perennial",0.35,"yes",5.84760801666666,22822.31932
"Actea alba","Ranunculales","Ranunculaceae","Actaea","Actaea rubra","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",250,5,31.12,1.5,22,"herb","Perennial",0.6,"no",0,41131
"Cimicifuga yunnanensis","Ranunculales","Ranunculaceae","Actaea","Actaea yunnanensis","Hermaphrodite","self_compatible","low",14.582725,"Open","actinomorphic",60,8,5.83554226190476,1.5,1,"herb","Perennial",0.9,"yes",2.1744756,39565.7264166667
"Actinidia arguta","Ericales","Actinidiaceae","Actinidia","Actinidia arguta","Dioecious","dioecious","none",0,"Open","actinomorphic",300,16,5,6.5,600,"vine","Perennial",4,"no",0,468838.27566
"Actinidia rufa","Ericales","Actinidiaceae","Actinidia","Actinidia rufa","Dioecious","dioecious","none",0,"Open","actinomorphic",300,12.5,5,3,600,"shrub","Perennial",7,"no",0,558514.577505
"Adenophora capillaris","Asterales","Campanulaceae","Adenophora","Adenophora capillaris","Hermaphrodite","self_incompatible","low",8,"Campanulate","actinomorphic",30,12.5,14,20,152,"herb","Perennial",0.75,"yes",1.71,20795
"Adenophora jasionifolia","Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",10,20,18.44,20,193,"herb","Perennial",0.45,"yes",2.56,79395
"Adenophora khasiana","Asterales","Campanulaceae","Adenophora","Adenophora khasiana","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",100,35,20.59,24,356,"herb","Perennial",0.9,"yes",0.53,20621
"Cacalia reniformis","Asterales","Asteraceae","Adenostyles","Adenostyles alpina","Hermaphrodite","self_compatible","low",15.1858,"Capitulum","actinomorphic",200,12.1,8,15,8,"herb","Perennial",0.95,"yes",1.57574,122315.129965
"Aeginetia indica","Lamiales","Orobanchaceae","Aeginetia","Aeginetia indica","Hermaphrodite","self_compatible","low",13.3034,"Tube","zygomorphic",1,22.8,37.5,12.5,56,"herb","Perennial",0.175,"yes",14.541461,87285.9505
"Aeschynomene mollicula","Fabales","Fabaceae","Aeschynomene","Aeschynomene mollicula","Hermaphrodite","self_compatible","low",16.76285,"Papilionaceous","zygomorphic",5,2.1,7.1,5,15,"shrub","Perennial",1,"yes",1.97271015,39719.0416133333
"Aeschynomene pratensis","Fabales","Fabaceae","Aeschynomene","Aeschynomene pratensis","Hermaphrodite","self_compatible","low",23.33,"Papilionaceous","zygomorphic",15,3,8,5,15,"herb","Perennial",1,"yes",1,29177.3069933333
"Aesculus glabra","Sapindales","Sapindaceae","Aesculus","Aesculus glabra","Monoecious","self_compatible","low",12.0385166666667,"Tube","zygomorphic",10000,13,22,40,6,"tree","Perennial",15,"yes",13.4935975,573536.4
"Aesculus hippocastanum","Sapindales","Sapindaceae","Aesculus","Aesculus hippocastanum","Hermaphrodite","self_compatible","low",11.66395,"Open","zygomorphic",20000,27.5,13.1,16.5,6,"tree","Perennial",19,"yes",19.0014308333333,2500000
"Gerardia auriculata","Lamiales","Orobanchaceae","Agalinis","Agalinis auriculata","Hermaphrodite","self_compatible","high",95,"Campanulate","zygomorphic",10,12.1,13,11,215.55,"herb","Short lived",0.45,"no",0,29150
"Gerardia purpurea","Lamiales","Orobanchaceae","Agalinis","Agalinis purpurea","Hermaphrodite","self_compatible","high",88,"Campanulate","zygomorphic",100,16.5,18.1,15,224,"herb","Short lived",0.45,"yes",0.04,53169.355115
"Gerardia tenuifolia","Lamiales","Orobanchaceae","Agalinis","Agalinis tenuifolia","Hermaphrodite","self_compatible","high",88,"Campanulate","zygomorphic",100,10.5,12.5,11,87,"herb","Short lived",9.1,"no",0,293899.092425
"Agauria salicifolia","Ericales","Ericaceae","Agarista","Agarista salicifolia","Hermaphrodite","self_compatible","low",12.7481666666667,"Tube","actinomorphic",2000,4.5,8.5,7,7,"tree","Perennial",10.45,"yes",0.9,73910.37156
"Agastache nepetoides","Lamiales","Lamiaceae","Agastache","Agastache nepetoides","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",1500,3.1,8,11,4,"herb","Perennial",1.65,"yes",6.63076000000001,23949.05365
"Agastache scrophulariaefolia","Lamiales","Lamiaceae","Agastache","Agastache scrophulariaefolia","Hermaphrodite","self_compatible","low",16.80375,"Tube","zygomorphic",500,4,8.1,11,4,"herb","Perennial",1.2,"yes",1.47944833333333,24335.80056
"Ageratum conyzoides","Asterales","Asteraceae","Ageratum","Ageratum conyzoides","Hermaphrodite","self_compatible","medium",52,"Capitulum","actinomorphic",50,6.5,3,1,40,"herb","Short lived",0.55,"yes",4.2,76392.705655
"Agrimonia pilosa","Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","Hermaphrodite","self_compatible","low",13.3619,"Open","actinomorphic",30,7.5,1,3,2,"herb","Perennial",0.75,"no",0,98506.5393333333
"Agrimonia striata","Rosales","Rosaceae","Agrimonia","Agrimonia striata","Hermaphrodite","self_compatible","low",14.9999,"Open","actinomorphic",60,7.2,0.6,3,1,"herb","Perennial",0.75,"no",0,77677.44805
"Ajuga dictyocarpa","Lamiales","Lamiaceae","Ajuga","Ajuga dictyocarpa","Hermaphrodite","self_compatible","low",16.8225,"Tube","zygomorphic",15,7,6.1,6,4,"herb","Perennial",0.25,"yes",1.10897333333333,32416.0261071429
"Ajuga forrestii","Lamiales","Lamiaceae","Ajuga","Ajuga forrestii","Hermaphrodite","self_compatible","low",22.6443,"Tube","zygomorphic",80,9,8.1,6,4,"herb","Short lived",0.18,"yes",0.905716666666666,8128
"Ajuga reptans","Lamiales","Lamiaceae","Ajuga","Ajuga reptans","Dioecious","self_compatible","none",0,"Papilionaceous","zygomorphic",60,11.5,15.5,10,4,"herb","Perennial",0.35,"yes",3.20368,104567.7455
"Akebia quinata","Ranunculales","Lardizabalaceae","Akebia","Akebia quinata","Monoecious","monoecious","none",0,"Open","actinomorphic",50,15,2.5,3,101.927966666667,"vine","Perennial",6,"no",0,237514.60981
"Alangium platanifolium","Cornales","Cornaceae","Alangium","Alangium platanifolium","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,15,10.5,12,31.12,"shrub","Perennial",3,"yes",12.4407,115359.7125
"Albizzia julibrissin","Fabales","Fabaceae","Albizzia","Albizia julibrissin","Hermaphrodite","self_incompatible","low",13,"Brush","actinomorphic",20000,2,4,14,10,"tree","Perennial",9,"yes",15,587852.28346
"Alisma plantago aquatica","Alismatales","Alismataceae","Alisma","Alisma gramineum","Hermaphrodite","self_compatible","low",15.2799,"Open","actinomorphic",30,6,2.5,0.45,20,"herb","Perennial",0.275,"yes",2.5474906,86765.00835
"Allium ampeloprasum","Asparagales","Amaryllidaceae","Allium","Allium ampeloprasum","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",250,6,5,35.5,6,"herb","Perennial",1.25,"yes",3.13997515,129757.7445
"Allium atrosanguineum","Asparagales","Amaryllidaceae","Allium","Allium atrosanguineum","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",50,10.437725,9.40915,5.25,6,"herb","Perennial",0.3,"yes",1.90699,51627.65975
"Allium cyathophorum","Asparagales","Amaryllidaceae","Allium","Allium cyathophorum","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",750,3.5,5.4592,3.5,5.1,"herb","Perennial",0.225,"yes",2.16116105,58795
"Allium macranthum","Asparagales","Amaryllidaceae","Allium","Allium macranthum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,20,25,14,8,"herb","Perennial",0.4,"yes",6.007673,101869.21985
"Allium wallichii","Asparagales","Amaryllidaceae","Allium","Allium wallichii","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,18,5,9,6,"herb","Perennial",0.525,"yes",0.61,41851
"Alocasia odora","Alismatales","Arecaceae","Alocasia","Alocasia odora","Hermaphrodite","self_compatible","low",13,"Spike","actinomorphic",360,2,1,1,6,"herb","Perennial",1.25,"no",0,18910
"Aloyssia gratissima","Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","Hermaphrodite","self_compatible","medium",68,"Tube","actinomorphic",2000,2.1,2.2,2,2,"shrub","Perennial",1.75,"yes",0.983103633333333,24547.83827
"Alpinia formosana","Zingiberales","Zingiberaceae","Alpinia","Alpinia formosana","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",35,16.1,20,20,45,"herb","Perennial",2.25,"yes",11.2054,140218.435405
"Alpinia intermedia","Zingiberales","Zingiberaceae","Alpinia","Alpinia intermedia","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",70,15,15,20,42,"herb","Perennial",1.25,"yes",9.954945,122352.076905
"Alstonia macrophylla","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","low",15.6077,"Tube","actinomorphic",6500,12.5,5.5,5,70,"tree","Perennial",17.1,"yes",20.9666641666667,308037.53505
"Alternanthera echinocephala","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera echinocephala","Hermaphrodite","self_compatible","low",1.5,"Campanulate","actinomorphic",5000,10,8,0.2,1,"shrub","Perennial",1.25,"yes",0.28,72557.8205166667
"Alternanthera filifolia","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera filifolia","Hermaphrodite","self_compatible","low",10.59775,"Tube","actinomorphic",5000,7.3,8.11,0.2,1,"shrub","Perennial",1,"no",0.2166975,77619.05245
"Amaranthus spinosus","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus spinosus","Monoecious","monoecious","none",0,"Open","actinomorphic",1500,2,2,2,1,"herb","Short lived",0.6,"no",0,52992.86405
"Ambrosia trifida","Asterales","Asteraceae","Ambrosia","Ambrosia trifida","Monoecious","monoecious","none",0,"Capitulum","actinomorphic",1000,2.5,2.5,2,31.12,"herb","Short lived",2.15,"no",0,220062.64405
"Amelanchier canadensis","Rosales","Rosaceae","Amelanchier","Amelanchier arborea","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",10000,25,15,2.8,10,"tree","Perennial",7.5,"yes",7.1794675,272338.3505
"Ammannia coccinea","Myrtales","Lythraceae","Ammannia","Ammannia coccinea","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",350,4.5,4,1.5,18.0510666666667,"herb","Short lived",0.25,"no",0,14192.4350883333
"Amorpha canescens","Fabales","Fabaceae","Amorpha","Amorpha canescens","Hermaphrodite","self_compatible","medium",52.5,"Tube","zygomorphic",3000,2.25,4.5,2.5,2,"shrub","Perennial",0.5,"yes",1.73306848333333,33614
"Amorpha fruticosa","Fabales","Fabaceae","Amorpha","Amorpha fruticosa","Hermaphrodite","self_compatible","low",10.06825,"Tube","zygomorphic",5000,2.75,4.5,4.5,2,"shrub","Perennial",1.75,"yes",1.09314515,20682.97871
"Gonolobus laevis","Gentianales","Apocynaceae","Ampelamus","Ampelamus laevis","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",75,7.2,6,6,39.5993,"herb","Perennial",6,"yes",1.86871083333333,128535.8232
"Ampelopsis brevipedunculata","Vitales","Vitaceae","Ampelopsis","Ampelopsis glandulosa","Hermaphrodite","self_compatible","low",9.53798333333333,"Open","actinomorphic",10000,1.5,2.67969583333333,0.5,4,"vine","Perennial",5,"yes",2.11731515,48395.65375
"Amphicarpaea bracteata","Fabales","Fabaceae","Amphicarpaea","Amphicarpaea bracteata","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",300,6,15,6.5,4,"herb","Short lived",0.75,"yes",0.927335,37496.45255
"Orchis morio","Asparagales","Orchidaceae","Anacamptis","Anacamptis morio","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",30,10,20,14.1011,3500,"herb","Perennial",0.2,"no",0,13
"Helichrysum alpinum","Asterales","Asteraceae","Anaphalioides","Anaphalioides alpinum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3,22,10,3.7,183,"shrub","Perennial",3,"yes",3.1312825,351395.302777778
"Helichrysum bellidioides","Asterales","Asteraceae","Anaphalioides","Anaphalioides bellidioides","Hermaphrodite","self_incompatible","none",30.12,"Capitulum","actinomorphic",50,17.5,6,3.7,171,"herb","Perennial",0.15,"yes",3.197123,105200
"Anaphalis nepalensis","Asterales","Asteraceae","Anaphalis","Anaphalis nepalensis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,14.1,10,0.5,100,"herb","Perennial",0.225,"yes",1.06100366666667,266179.457575635
"Anchusa azurea","Boraginales","Boraginaceae","Anchusa","Anchusa azurea","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,11.5,8,4.5,4,"herb","Perennial",0.85,"yes",0.608663149999999,24360
"Andromeda glaucophylla","Ericales","Ericaceae","Andromeda","Andromeda glaucophylla","Hermaphrodite","partially_self_compatible","low",40,"Campanulate","actinomorphic",800,4.5,4.1,2.45,47,"shrub","Perennial",0.35,"yes",0.64,23815.57431
"Androsace spinulifera","Ericales","Primulaceae","Androsace","Androsace spinulifera","Hermaphrodite","self_compatible","low",17.0023,"Tube","actinomorphic",200,9,3,3,11.4948333333333,"herb","Perennial",0.21,"yes",1.06763015,37432.2443071429
"Andryala integrifolia","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,14.5,4,10,75,"herb","Perennial",0.46,"no",0,257738.175126111
"Anemone demissa","Ranunculales","Ranunculaceae","Anemone","Anemone demissa","Hermaphrodite","self_compatible","low",12.03095,"Open","actinomorphic",15,52,4.1,1.9,1,"herb","Perennial",0.335,"no",0,153475.598833333
"Hepatica acutiloba","Ranunculales","Ranunculaceae","Anemone","Anemone hepatica","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",15,25,1,2,15,"herb","Perennial",0.125,"no",0,169848.9835
"Anemone rivularis","Ranunculales","Ranunculaceae","Anemone","Anemone rivularis","Hermaphrodite","self_compatible","medium",25,"Open","actinomorphic",20,20,5,1,100,"herb","Perennial",0.8,"no",0,119500.268625
"Anemone rupestris","Ranunculales","Ranunculaceae","Anemone","Anemone rupestris","Hermaphrodite","self_compatible","low",13.1322333333333,"Open","actinomorphic",15,25,7.1,3.5,1,"herb","Perennial",0.5,"no",0,148686.347783333
"Anemonella thalictroides","Ranunculales","Ranunculaceae","Anemonella","Anemonella thalictroides","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,18.5,5,0.5,1,"herb","Perennial",0.2,"no",0,10053
"Anethum graveolens","Apiales","Apiaceae","Anethum","Anethum graveolens","Hermaphrodite","self_compatible","low",19.91025,"Open","actinomorphic",1600,1,1.1,0.5,2,"herb","Short lived",0.75,"yes",5.67212515000001,14139.5999690476
"Angelica archangelica","Apiales","Apiaceae","Angelica","Angelica archangelica","Hermaphrodite","partially_self_compatible","low",13.2300166666667,"Open","actinomorphic",2000,4.5,0.5,1.5,2,"herb","Perennial",0.85,"yes",2.26370265,32710.9425
"Angelica polymorpha","Apiales","Apiaceae","Angelica","Angelica polymorpha","Hermaphrodite","self_compatible","low",17.4815666666667,"Open","actinomorphic",1000,1,1,0.5,2,"herb","Perennial",0.7,"yes",10.15714265,18013.01985
"Angelica pubescens","Apiales","Apiaceae","Angelica","Angelica pubescens","Hermaphrodite","self_compatible","low",17.80555,"Open","actinomorphic",1600,1,1,0.5,6,"herb","Perennial",1.5,"yes",1.2104228,11470.5732
"Angelica sylvestris","Apiales","Apiaceae","Angelica","Angelica sylvestris","Hermaphrodite","self_compatible","low",14.8661,"Open","actinomorphic",1500,4.5,0.5,1.5,2,"herb","Perennial",1.75,"yes",0.93133825,26518.221
"Anisotome aromatica","Apiales","Apiaceae","Anisotome","Anisotome aromatica","Dioecious","dioecious","none",0,"Open","actinomorphic",200,4,1,0.5,2,"herb","Perennial",0.25,"no",0,76891.0464
"Anisotome flexuosus","Apiales","Apiaceae","Anisotome","Anisotome flexuosa","Dioecious","dioecious","none",0,"Open","actinomorphic",500,4,1,0.5,2,"herb","Perennial",0.25,"no",0,77242.8664
"Antennaria alpina","Asterales","Asteraceae","Antennaria","Antennaria alpina","Monoecious","dioecious","none",0,"Capitulum","actinomorphic",5,1,4.85,5,60,"herb","Perennial",0.1,"yes",14.0124313333333,129796.152309524
"Antennaria plantaginifolia","Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",15,6,4.1,5,60,"herb","Perennial",0.16,"yes",2.99478933333333,177644.812437302
"Anthemis cotula","Asterales","Asteraceae","Anthemis","Anthemis cotula","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",10,3,9.5,3,115,"herb","Short lived",0.35,"no",0,146620.7859
"Anthriscus sylvestris","Apiales","Apiaceae","Anthriscus","Anthriscus sylvestris","Monoecious","self_compatible","medium",50.5,"Open","zygomorphic",800,4.5,3.8610875,1,2,"herb","Perennial",0.9,"yes",1.84298681666667,14371.6735128571
"Antidesma joponicum","Malpighiales","Phyllanthaceae","Antidesma","Antidesma japonicum","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,1.25,1.25,0.5,1.1,"shrub","Perennial",5,"yes",1.84842295,76699.8695
"Antidesma madagascariense","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,2,2,0.5,2,"tree","Perennial",9.1,"no",0,264495.053
"Antirhea borbonica","Gentianales","Rubiaceae","Antirhea","Antirhea borbonica","Hermaphrodite","self_compatible","low",14.7768833333333,"Tube","actinomorphic",2000,0.75,5.1,2.5,2,"shrub","Perennial",4,"yes",3.43207711666667,3277.5
"Aphloia theiformis","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","Hermaphrodite","self_compatible","low",11.77735,"Brush","actinomorphic",2000,20,9.1,0.1,6,"tree","Perennial",5,"yes",2.6,634923.516
"Apios tuberosa","Fabales","Fabaceae","Apios","Apios americana","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",500,14.1,11.5,1.1,11.5,"herb","Perennial",3,"yes",3.85133,114110.7426
"Apocynum cannabinum","Gentianales","Apocynaceae","Apocynum","Apocynum cannabinum","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",800,2.5,3.1,0.1,328,"herb","Perennial",1.25,"yes",19.5728503,129506.22597
"Aquilegia canadensis","Ranunculales","Ranunculaceae","Aquilegia","Aquilegia canadensis","Hermaphrodite","self_compatible","none",48,"Open","actinomorphic",15,24.1,21.1,12.1,118.6,"herb","Perennial",0.525,"yes",3.5,72346
"Arabis alpina","Brassicales","Brassicaceae","Arabis","Arabis alpina","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",15,9.1,7.5,0.3,2.5,"herb","Perennial",0.2,"yes",1.91031,39371.96575
"Arachis microsperma","Fabales","Fabaceae","Arachis","Arachis microsperma","Hermaphrodite","self_compatible","low",13.5341625,"Papilionaceous","zygomorphic",5,16,61.5,40,4,"herb","Perennial",1.10964924242424,"no",0,87574.42375
"Aralia cordata","Apiales","Araliaceae","Aralia","Aralia cordata","Hermaphrodite","self_compatible","low",12.40915,"Open","actinomorphic",5500,2,1,1.1,5,"herb","Perennial",0.9,"yes",5.49049015,24554.4605
"Aralta elata","Apiales","Araliaceae","Aralia","Aralia elata","Monoecious","monoecious","none",0.7515,"Open","actinomorphic",15000,1.5,1,1.1,5,"tree","Perennial",5,"yes",2.0846225,52337.1495
"Arctium lappa","Asterales","Asteraceae","Arctium","Arctium lappa","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",100,28.5,13.17905,20,40,"herb","Short lived",1.6,"no",0,213083.336873333
"Arctium minus","Asterales","Asteraceae","Arctium","Arctium minus","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",25,60,40,15,30,"herb","Short lived",1,"yes",11.3585195,3052
"Arctotheca calendula","Asterales","Asteraceae","Arctotheca","Arctotheca calendula","Hermaphrodite","self_compatible","low",17.3959,"Capitulum","actinomorphic",20,37.5,4.1,0.5,60,"herb","Short lived",0.15,"yes",4.05265499999999,196665.612579524
"Ardisia pusilla","Ericales","Primulaceae","Ardisia","Ardisia pusilla","Hermaphrodite","self_compatible","low",15.090875,"Open","actinomorphic",10,3.5,1,2.5,5.5,"shrub","Perennial",0.23,"no",0,49748.463485
"Ardisia quinquegona","Ericales","Primulaceae","Ardisia","Ardisia quinquegona","Hermaphrodite","self_compatible","low",7.34811666666666,"Open","actinomorphic",5000,3,1.5,2.5,5,"shrub","Perennial",3.1,"no",0,78105.80601
"Ardisia sieboldii","Ericales","Primulaceae","Ardisia","Ardisia sieboldii","Hermaphrodite","self_compatible","low",0.05,"Open","actinomorphic",50000,15,2,10.5,6,"tree","Perennial",8,"no",0,530606.104
"Arenaria pseudofrigida","Caryophyllales","Caryophyllaceae","Arenaria","Arenaria pseudofrigida","Hermaphrodite","self_compatible","low",12.28675,"Open","actinomorphic",50,10.1,7,3,15,"shrub","Perennial",0.035,"no",0,94749.972
"Arenaria yunnanensis","Caryophyllales","Caryophyllaceae","Arenaria","Arenaria yunnanensis","Hermaphrodite","self_compatible","low",13.27335,"Open","actinomorphic",50,16,6.76283333333334,6.5,15,"herb","Perennial",0.225,"no",0,68962.7469857142
"Argemone_subfusiformis","Ranunculales","Papaveraceae","Argemone","Argemone subfusiformis","Hermaphrodite","self_compatible","low",17.668775,"Open","actinomorphic",5,50,25,1,225,"herb","Short lived",0.75,"yes",7.45319508333333,175100.0725
"Argusia argentea","Boraginales","Boraginaceae","Argusia","Argusia argentea","Hermaphrodite","self_compatible","low",9.17806666666666,"Open","actinomorphic",4000,7,3,1,4,"shrub","Perennial",2.5,"yes",1.34059681666667,45948.6337
"Arisaema triphyllum","Alismatales","Araceae","Arisaema","Arisaema triphyllum","Dioecious","dioecious","none",0,"Open","zygomorphic",50,60,120,1,5,"herb","Perennial",0.45,"no",0,150572.010533333
"Aristolochia tomentosa","Piperales","Aristolochiaceae","Aristolochia","Aristolochia tomentosa","Hermaphrodite","self_compatible","low",17.7323411764706,"Tube","zygomorphic",50,13.2,42.5,0.1,43,"vine","Perennial",12.5,"yes",24.762991,263498.456
"Arjona_longifolia","Saxifragales","Schoepfiaceae","Arjona","Arjona longifolia","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",100,7,14.5,13,89.2626888888889,"shrub","Perennial",0.4,"yes",27.49915,122260.7442
"Armeria scabra","Caryophyllales","Plumbaginaceae","Armeria","Armeria scabra","Hermaphrodite","self_compatible","low",17.1217,"Campanulate","actinomorphic",500,5,6.1,5,5,"shrub","Perennial",0.175,"yes",2.5430565,20633.98577
