"","Species_all","X","Plant_species","guild","Id","Interaction","Z_scores","Order_all","Family_all","Genus_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","species","phylo","clusters"
"1","Acantholippia seriphioides",2,"Acantholippia seriphioides","Non-syrphids-diptera","15_2_peralta_2006_mendoza_site_2.csv",2,-0.643741476417448,"Lamiales","Verbenaceae","Acantholippia","hermaphrodite","self_incompatible","none","qualitative",NA,"tube","actinomorphic",10000,"50",24,6,3,3,2,"shrub","perennial",0.45,NA,"Acantholippia seriphioides",1
"2","Acantholippia seriphioides",1,"Acantholippia seriphioides","Lepidoptera","15_2_peralta_2006_mendoza_site_2.csv",1,-0.676954238478439,"Lamiales","Verbenaceae","Acantholippia","hermaphrodite","self_incompatible","none","qualitative",NA,"tube","actinomorphic",10000,"50",24,6,3,3,2,"shrub","perennial",0.45,NA,"Acantholippia seriphioides",1
"3","Acantholippia seriphioides",3,"Acantholippia seriphioides","Syrphids","15_2_peralta_2006_mendoza_site_2.csv",19,-0.0791245213805968,"Lamiales","Verbenaceae","Acantholippia","hermaphrodite","self_incompatible","none","qualitative",NA,"tube","actinomorphic",10000,"50",24,6,3,3,2,"shrub","perennial",0.45,NA,"Acantholippia seriphioides",1
"4","Achillea millefolium",5,"Achillea millefolium","Coleoptera","17_3_arroyo_correa_new_zealand_2019_3.csv",3,-0.345543813443712,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"5","Achillea millefolium",13,"Achillea millefolium","Lepidoptera","2_1_dicks_2002_england_shelfanger.csv",3,-0.254122802658957,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"6","Achillea millefolium",11,"Achillea millefolium","Lepidoptera","17_2_arroyo_correa_new_zealand_2019_2.csv",7,-0.0665662694885549,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"7","Achillea millefolium",16,"Achillea millefolium","Non-syrphids-diptera","17_3_arroyo_correa_new_zealand_2019_3.csv",7,-0.0691087626887423,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"8","Achillea millefolium",12,"Achillea millefolium","Lepidoptera","17_3_arroyo_correa_new_zealand_2019_3.csv",18,0.691087626887424,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"9","Achillea millefolium",7,"Achillea millefolium","Hymenoptera","17_2_arroyo_correa_new_zealand_2019_2.csv",2,-0.345715141537334,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"10","Achillea millefolium",15,"Achillea millefolium","Non-syrphids-diptera","17_2_arroyo_correa_new_zealand_2019_2.csv",1,-0.40154491594709,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"11","Achillea millefolium",9,"Achillea millefolium","Hymenoptera","6_1_inouye_1988_australia.csv",15,-0.0250177754402069,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
"12","Achillea millefolium",18,"Achillea millefolium","Non-syrphids-diptera","6_1_inouye_1988_australia.csv",1,-0.546499405727186,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative",0,"capitulum","actinomorphic",200,"25",35,2.1,2.4,2.5,15,"herb","perennial",0.8,NA,"Achillea millefolium",1
