"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Nectar_presence_absence"
"Cordia lutea","Boraginales","Boraginaceae","Cordia","Cordia lutea","Hermaphrodite","self_compatible","low",4,"Campanulate","actinomorphic",250,20,150,30,24.63,10.1,4,"tree","Perennial",4.5,"yes"
"Coreopsis palmata","Asterales","Asteraceae","Coreopsis","Coreopsis palmata","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",3,3,38,38,11,6.7,90,"herb","Perennial",0.1,"yes"
"Coreopsis tripteris","Asterales","Asteraceae","Coreopsis","Coreopsis tripteris","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,3,67.5,67.5,14.1,3.5,60,"herb","Perennial",1.65,"yes"
"Cornus amomum","Cornales","Cornaceae","Cornus","Cornus amomum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",4000,100,100,10,4.27694166666667,3.4,2,"shrub","Perennial",3,"yes"
"Cornus florida","Cornales","Cornaceae","Cornus","Cornus florida","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",10000,3,15,3,3,3.5,2,"tree","Perennial",7.5,"yes"
"Swida macrophylla","Cornales","Cornaceae","Cornus","Cornus macrophylla","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",70000,100,120,8.5,2,4.5,2,"tree","Perennial",13.5,"yes"
"Cornus paniculata","Cornales","Cornaceae","Cornus","Cornus oblonga","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",28000,100,100,8,1,2.65,2,"tree","Perennial",8,"yes"
"Corokia cotoneaster","Asterales","Argophyllaceae","Corokia","Corokia cotoneaster","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",200,15,6.5,6.5,1,1.5,1.2,"shrub","Perennial",1,"no"
"Corydalis incisa","Ranunculales","Papaveraceae","Corydalis","Corydalis incisa","Hermaphrodite","self_compatible","low",21,"Tube","zygomorphic",30,30,30,5.5,15,2.5,15.5,"herb","Short lived",0.3,"yes"
"Corydalis pallida","Ranunculales","Papaveraceae","Corydalis","Corydalis pallida","Hermaphrodite","self_compatible","low",20.6003666666667,"Tube","zygomorphic",30,30,30,5,15,3.5,15,"herb","Short lived",0.33,"yes"
"Craspedia uniflora","Asterales","Asteraceae","Craspedia","Craspedia uniflora","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,1,27.5,27.5,27.5,2,120,"herb","Short lived",0.45,"yes"
"Crataegus coccinea","Rosales","Rosaceae","Crataegus","Crataegus coccinea","Hermaphrodite","self_compatible","low",14.51125,"Open","actinomorphic",10000,30,150,18.5,5,8,2,"tree","Perennial",9.5,"yes"
"Crataegus crus-galli","Rosales","Rosaceae","Crataegus","Crataegus crus-galli","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",14000,50,150,10,2.5,8,4,"tree","Perennial",7.5,"yes"
"Crataegus mollis","Rosales","Rosaceae","Crataegus","Crataegus mollis","Hermaphrodite","self_compatible","low",15.09285,"Open","actinomorphic",1e+05,50,150,22.5,8.32778333333333,8,2,"tree","Perennial",9.1,"yes"
"Craterispermum microdon","Gentianales","Rubiaceae","Craterispermum","Craterispermum microdon","Hermaphrodite","self_compatible","low",12.8087,"Tube","actinomorphic",200,15,25,4.5,5.5,4.5,2,"shrub","Perennial",7.5,"yes"
"Youngia denticulata","Asterales","Asteraceae","Crepidiastrum","Crepidiastrum denticulatum","Hermaphrodite","self_compatible","low",20.841475,"Open","actinomorphic",135,15,15,15,8.2,5,16,"herb","Short lived",0.75,"yes"
"Crepidiastrum lanceolatum","Asterales","Asteraceae","Crepidiastrum","Crepidiastrum lanceolatum","Hermaphrodite","self_compatible","low",17.2764,"Capitulum","actinomorphic",30,30,15,15,10,5,10,"herb","Perennial",0.15,"yes"
"Crepis capillaris","Asterales","Asteraceae","Crepis","Crepis capillaris","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",50,10,15,15,10,5,40,"herb","Short lived",0.6,"yes"
"Crepis paludosa","Asterales","Asteraceae","Crepis","Crepis paludosa","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",15,15,20,20,3.5,6,40,"herb","Perennial",0.625,"yes"
"Crithmum maritimum","Apiales","Apiaceae","Crthitmum","Crithmum maritimum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",1000,200,15,3,1,5.5,4,"herb","Perennial",0.45,"yes"
"Croomia japonica","Pandanales","Stemonaceae","Croomia","Croomia japonica","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",15,1,9.1,9.1,5,0.5,8,"herb","Perennial",0.5,"yes"
"Crotalaria incana","Fabales","Fabaceae","Crotalaria","Crotalaria incana","Hermaphrodite","self_compatible","medium",65,"Papilionaceous","zygomorphic",150,35,20,9,9,8,8,"herb","Perennial",0.75,"yes"
"Crotalaria pumila","Fabales","Fabaceae","Crotolaria","Crotalaria pumila","Hermaphrodite","self_compatible","low",15.217,"Papilionaceous","zygomorphic",50,10,20,10,9.1,2,8,"herb","Perennial",0.4,"yes"
"Crotalaria sagittalis","Fabales","Fabaceae","Crotalaria","Crotalaria sagittalis","Hermaphrodite","self_compatible","low",19.0696166666667,"Papilionaceous","zygomorphic",10,5,9,9,8,5,8,"herb","Short lived",2.7,"yes"
"Croton fothergillifolius","Malpighiales","Euphorbiaceae","Croton","Croton fothergillifolius","Monoecious","monoecious","none",0,"Brush","actinomorphic",1500,5,2.1,2.1,2.80431060606061,2.5,3,"shrub","Perennial",4,"no"
"Croton grangeroides","Malpighiales","Euphorbiaceae","Croton","Croton grangerioides","Monoecious","monoecious","none",0,"Open","actinomorphic",1500,5,20,4.53425,2.99747916666667,2.5,3,"shrub","Perennial",2.5,"no"
"Croton hirtus","Malpighiales","Euphorbiaceae","Croton","Croton hirtus","Monoecious","monoecious","none",0,"Open","actinomorphic",1200,30,20,5,5,2.4,3,"herb","Short lived",0.5,"yes"
"Croton scouleri","Malpighiales","Euphorbiaceae","Croton","Croton scouleri","Dioecious","dioecious","none",0,"Open","actinomorphic",1800,60,20,3,1,3,3,"tree","Perennial",4,"yes"
"Cryptocarpus pyriformis","Caryophyllales","Nyctaginaceae","Cryptocarpus","Cryptocarpus pyriformis","Hermaphrodite","self_compatible","low",11,"Open","actinomorphic",2500,20,25,2.26,1.59,0.5,2,"shrub","Perennial",0.75,"yes"
"Cryptotaenia canadensis","Apiales","Apiaceae","Cryptotaenia","Cryptotaenia canadensis","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",100,100,25,3,1,1,2,"herb","Perennial",0.6,"yes"
"Cryptotaenia japonica","Apiales","Apiaceae","Cryptotaenia","Cryptotaenia japonica","Hermaphrodite","self_compatible","low",17.1222,"Campanulate","actinomorphic",40,40,4,4,4,0.5,2,"herb","Perennial",0.65,"yes"
"Cucurbita pepo","Cucurbitales","Cucurbitaceae","Cucurbita","Cucurbita pepo","Monoecious","monoecious","none",0,"Funnelform","actinomorphic",15,1,100,100,70,10,500,"herb","Short lived",0.48,"yes"
"Cuphea o'donellii","Myrtales","Lythraceae","Cuphea","Cuphea odonellii","Hermaphrodite","partially_self_compatible","medium",32.26,"Open","actinomorphic",20,20,10,9.53108333333333,10,1,4,"herb","Short lived",1,"yes"
"Cuphea racemosa","Myrtales","Lythraceae","Cuphea","Cuphea racemosa","Hermaphrodite","self_compatible","medium",36.1,"Tube","zygomorphic",15,15,10,3.8,5.1,1,4,"herb","Short lived",0.25,"yes"
"Cuphea thymoides","Myrtales","Lythraceae","Cuphea","Cuphea thymoides","Hermaphrodite","self_compatible","low",15.661825,"Tube","actinomorphic",50,15,10,1.25,7,1,6,"herb","Perennial",0.5,"yes"
"Cuphea petiolata","Myrtales","Lythraceae","Cuphea","Cuphea viscosissima","Hermaphrodite","self_compatible","low",20.7986166666667,"Tube","zygomorphic",10,10,10,4.1,10,1,4,"herb","Short lived",0.375,"yes"
"Cuscuta cephalanthi","Solanales","Convolvulaceae","Cuscuta","Cuscuta cephalanthi","Hermaphrodite","self_compatible","low",21.9177,"Open","actinomorphic",200,200,15,3,3,1.25,4,"herb","Short lived",0.25,"yes"
"Cuscuta glomerata","Solanales","Convolvulaceae","Cuscuta","Cuscuta glomerata","Hermaphrodite","self_compatible","low",17.94215,"Tube","actinomorphic",900,900,50,9.5,4.5,4.5,4,"herb","Short lived",0.25,"yes"
"Cyananthus delavayi","Asterales","Campanulaceae","Cyananthus","Cyananthus delavayi","Dioecious","partially_self_compatible","low",13.5737888888889,"Tube","actinomorphic",15,1,15,15,20,8,34,"herb","Perennial",0.135,"yes"
"Cybianthus quelchii","Ericales","Primulaceae","Cybianthus","Cybianthus quelchii","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",200,200,20,2.75,2.75,0.1,3.5,"shrub","Perennial",2.5,"yes"
"Cynoglossum amabile","Boraginales","Boraginaceae","Cynoglossum","Cynoglossum amabile","Hermaphrodite","self_compatible","low",20.55405,"Open","actinomorphic",30,30,24,6,2,4,4,"herb","Short lived",0.375,"yes"
"Cynoglossum officinale","Boraginales","Boraginaceae","Cynoglossum","Cynoglossum officinale","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",50,50,30,6,5.3,1,4,"herb","Short lived",0.5,"yes"
"Cypripedium parviflorum pubescens","Asparagales","Orchidaceae","Cypripedium","Cypripedium parviflorum","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",50,1,4.2,4.2,73,0.1,25000,"herb","Perennial",0.46,"yes"
"Cyrilla racemiflora","Ericales","Cyrillaceae","Cyrilla","Cyrilla racemiflora","Hermaphrodite","self_incompatible","low",0.02,"Open","actinomorphic",16000,400,30,5,1,2,3,"tree","Perennial",4.1,"yes"
"Cytisus scoparius","Fabales","Fabaceae","Cytisus","Cytisus scoparius","Hermaphrodite","partially_self_compatible","low",1,"Papilionaceous","zygomorphic",500,20,64,16,20,10,13,"shrub","Perennial",2.5,"no"
"Petalostemum purpureum","Fabales","Fabaceae","Dalea","Dalea purpurea","Hermaphrodite","partially_self_compatible","low",1,"Papilionaceous","zygomorphic",10500,130,25,4,3.1,8.5,2,"herb","Perennial",0.45,"yes"
"Darwiniothamnus lancifolius","Asterales","Asteraceae","Darwiniothamnus","Darwiniothamnus lancifolius","Hermaphrodite","self_compatible","low",17.25945,"Capitulum","actinomorphic",500,10,10,10,5,5,60,"shrub","Perennial",2,"yes"
"Darwiniothamnus tenuifolius","Asterales","Asteraceae","Darwiniothamnus","Darwiniothamnus tenuifolius","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",300,6,16.5,16.5,6.32321111111111,5,60,"shrub","Perennial",5,"yes"
"Potentilla fruticosa","Rosales","Rosaceae","Dasiphora","Dasiphora fruticosa","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",80,2,19.1,19.1,2.5,2,88,"shrub","Perennial",1.65,"yes"
"Seymeria macrophylla","Lamiales","Orobanchaceae","Dasistoma","Dasistoma macrophylla","Hermaphrodite","self_compatible","low",14.593875,"Tube","zygomorphic",30,5,10.1,10.1,13.1,3,38.21325,"herb","Perennial",1.2,"yes"
"Datura stramonium","Solanales","Solanaceae","Datura","Datura stramonium","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",10,2,40,40,75,50,80,"herb","Short lived",1.25,"yes"
"Daucus carota","Apiales","Apiaceae","Daucus","Daucus carota","Monoecious","self_compatible","none",0,"Open","zygomorphic",650,650,80,5.5,1.5,1.15,2,"herb","Short lived",0.5,"yes"
"Deckenia nobilis","Arecales","Arecaceae","Deckenia","Deckenia nobilis","Monoecious","monoecious","none",0,"Spike","actinomorphic",50000,12500,600,1,1,0.5,2000,"tree","Perennial",19.1,"yes"
"Declieuxia fruticosa","Gentianales","Rubiaceae","Declieuxia","Declieuxia fruticosa","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",175,175,60,5.5,3.5,4.35,2,"shrub","Perennial",0.785,"yes"
"Delphinium delavayi","Ranunculales","Ranunculaceae","Delphinium","Delphinium delavayi","Hermaphrodite","self_compatible","low",13.46975,"Tube","zygomorphic",15,15,100,27.5,50,2.5,14,"herb","Perennial",0.775,"yes"
"Delphinium tricorne","Ranunculales","Ranunculaceae","Delphinium","Delphinium tricorne","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",30,30,90,35,35,15,42,"herb","Perennial",0.225,"yes"
"Dendropanax trifidus","Apiales","Araliaceae","Dendropanax","Dendropanax trifidus","Dioecious","self_compatible","low",10.8113214285714,"Open","actinomorphic",2500,40,10,1.1,2,0.875,12,"tree","Perennial",7,"yes"
"Sisymbrium canescens","Brassicales","Brassicaceae","Descurainia","Descurainia pinnata","Hermaphrodite","self_compatible","high",75,"Open","actinomorphic",35,10,30,3,1.5,0.11,28,"herb","Short lived",0.375,"yes"
"Desmanthus virgatus","Fabales","Fabaceae","Desmanthus","Desmanthus virgatus","Hermaphrodite","self_compatible","medium",50.5,"Campanulate","actinomorphic",50,30,10,1,2.75,3.15,7,"shrub","Perennial",1,"no"
"Desmodium barbatum","Fabales","Fabaceae","Desmodium","Desmodium barbatum","Hermaphrodite","self_compatible","medium",31.25,"Papilionaceous","zygomorphic",300,30,20,4.5,6,2,7,"herb","Short lived",0.5,"no"
"Desmodium canadense","Fabales","Fabaceae","Desmodium","Desmodium canadense","Hermaphrodite","self_compatible","low",13.2324,"Papilionaceous","zygomorphic",50,15,20,11,11,2,7,"herb","Perennial",1.35,"no"
"Desmodium canescens","Fabales","Fabaceae","Desmodium","Desmodium canescens","Hermaphrodite","self_compatible","high",90,"Papilionaceous","zygomorphic",50,50,20,9.1,9.1,2,7,"herb","Perennial",1.05,"no"
"Desmodium bracteosum","Fabales","Fabaceae","Desmodium","Desmodium cuspidatum","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",40,40,20,8,8,2,7,"herb","Perennial",0.6,"no"
"Desmodium dillenii","Fabales","Fabaceae","Desmodium","Desmodium dillenii","Hermaphrodite","self_compatible","low",13.35555,"Papilionaceous","zygomorphic",60,60,20,7,7,2,7,"herb","Perennial",0.5,"no"
"Desmodium grandiflorum","Fabales","Fabaceae","Desmodium","Desmodium grandiflorum","Hermaphrodite","self_compatible","low",13.56135,"Papilionaceous","zygomorphic",80,80,20,4.5,8,2,7,"herb","Perennial",0.5,"no"
"Desmodium podocarpum","Fabales","Fabaceae","Desmodium","Desmodium hookerianum","Hermaphrodite","self_compatible","low",13.46945,"Papilionaceous","zygomorphic",80,80,15,2,3.75,0.5,10,"shrub","Perennial",0.9,"no"
"Desmodium illinoense","Fabales","Fabaceae","Desmodium","Desmodium illinoense","Hermaphrodite","self_compatible","low",12.34705,"Papilionaceous","zygomorphic",90,15,20,8,8,2,7,"herb","Perennial",1.5,"no"
"Desmodium marilandicum","Fabales","Fabaceae","Desmodium","Desmodium marilandicum","Hermaphrodite","self_compatible","low",14.7413,"Papilionaceous","zygomorphic",80,80,20,1.1,5,2,7,"herb","Perennial",1,"no"
"Desmodium paniculatum","Fabales","Fabaceae","Desmodium","Desmodium paniculatum","Hermaphrodite","self_compatible","low",13.83175,"Papilionaceous","zygomorphic",80,8,20,6,5.1,2,5,"herb","Perennial",0.85,"no"
"Desmodium sessilifolium","Fabales","Fabaceae","Desmodium","Desmodium sessilifolium","Hermaphrodite","self_compatible","low",15.2629,"Papilionaceous","zygomorphic",80,15,20,4.3,6,1,4,"herb","Perennial",1.05,"no"
"Deutzia crenata","Cornales","Hydrangeaceae","Deutzia","Deutzia crenata","Hermaphrodite","partially_self_compatible","low",11.0718666666667,"Campanulate","actinomorphic",1600,60,45,14.1,8,8,42.0438,"shrub","Perennial",2.5,"yes"
"Deutzia maximowicziana","Cornales","Hydrangeaceae","Deutzia","Deutzia maximowicziana","Hermaphrodite","self_compatible","low",13.2361,"Campanulate","actinomorphic",1600,60,50,17.5,1.35,8,47.1407833333333,"shrub","Perennial",2.5,"yes"
"Deutzia naseana","Cornales","Hydrangeaceae","Deutzia","Deutzia naseana","Hermaphrodite","self_compatible","low",12.4748166666667,"Campanulate","actinomorphic",1600,60,75,14.1,15,7.7,37.53755,"shrub","Perennial",1,"yes"
"Dianthus armeria","Caryophyllales","Caryophyllaceae","Dianthus","Dianthus armeria","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",15,2,10.5,10.5,10,10,93,"herb","Short lived",0.45,"yes"
"Dianthus caryophillus","Caryophyllales","Caryophyllaceae","Dianthus","Dianthus caryophyllus","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",15,2,45,45,24.0073333333333,10,97.5,"herb","Perennial",0.4,"yes"
"Diapensia lapponica","Ericales","Diapensiaceae","Diapensia","Diapensia lapponica","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",50,1,14.1,14.1,9.1,3,240,"shrub","Perennial",0.04,"yes"
"Dicentra cucullaria","Ranunculales","Papaveraceae","Dicentra","Dicentra cucullaria","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",30,5,15,15,17.5,2.1,6,"herb","Perennial",0.2,"yes"
"Digitalis purpurea","Lamiales","Plantaginaceae","Digitalis","Digitalis purpurea","Hermaphrodite","partially_self_compatible","none",0,"Campanulate","zygomorphic",40,40,120,32,45,36.5,264,"herb","Short lived",0.7,"yes"
"Digitaria ciliaris","Poales","Poaceae","Digitaria","Digitaria ciliaris","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",400,400,0.8,0.8,2.1,0.1,1,"herb","Short lived",0.55,"no"
"Digomphia laurifolia","Lamiales","Bignoniaceae","Digomphia","Digomphia laurifolia","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",10,3,40,40,40,35,265.2976,"herb","Perennial",0.705087698412699,"yes"
"Dillenia ferruginea","Dilleniales","Dilleniaceae","Dillenia","Dillenia ferruginea","Hermaphrodite","partially_self_compatible","low",7.28705,"Open","actinomorphic",50,5,50,50,55,4.5,12,"tree","Perennial",12,"no"
"Dillenia suffruticosa","Dilleniales","Dilleniaceae","Dillenia","Dillenia suffruticosa","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",800,15,110,110,42.2099,10,57.5,"shrub","Perennial",8,"no"
"Diodia radula","Gentianales","Rubiaceae","Diodella","Diodella radula","Monoecious","monoecious","none",0,"Tube","actinomorphic",60,5,30,5,8,7,34.6478,"herb","Perennial",0.8,"yes"
"Diospyrus japonica","Ericales","Ebenaceae","Diospyros","Diospyros japonica","Monoecious","monoecious","none",0,"Tube","actinomorphic",3500,100,30,5.2,8.75,2,8,"tree","Perennial",8.5,"yes"
"Diospyros revaughanii","Ericales","Ebenaceae","Diospyros","Diospyros revaughanii","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,104.196071428571,15,7.1,7,2,8,"tree","Perennial",10,"yes"
"Diospyros seychellarum","Ericales","Ebenaceae","Diospyros","Diospyros seychellarum","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,150.866428571429,15,4.95072500000001,5,2,8,"shrub","Perennial",5,"yes"
"Diospyros virginiana","Ericales","Ebenaceae","Diospyros","Diospyros virginiana","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",20000,100,20,11,12,1,8,"tree","Perennial",7.5,"yes"
"Diplotaxis virgata","Brassicales","Brassicaceae","Diplotaxis","Diplotaxis virgata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",100,8,30,10,5,2,2,"herb","Short lived",0.65,"no"
"Dipsacus asperoides","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus asperoides","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,75,25,4,10,10,1,"herb","Perennial",1,"yes"
"Dipsacus chinensis","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus chinensis","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,80,30,5,12.5,10,1,"herb","Perennial",1,"yes"
"Dipsacus sylvestris","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus fullonum","Hermaphrodite","self_compatible","low",13,"Funnelform","actinomorphic",600,300,50,50,12.5,6,1,"herb","Short lived",1,"yes"
"Dipsacus japonicus","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus japonicus","Hermaphrodite","self_compatible","low",20.20305,"Tube","actinomorphic",1500,40,30,3.25,6.5,6.5,1,"herb","Short lived",0.75,"yes"
"Dipyrena_glaberrima","Lamiales","Verbenaceae","Dipyrena","Dipyrena glaberrima","Hermaphrodite","self_compatible","low",13.14435,"Tube","actinomorphic",100,15,60,15,25,25,4,"shrub","Perennial",1,"yes"
"Dirca palustris","Malvales","Thymelaeaceae","Dirca","Dirca palustris","Hermaphrodite","self_compatible","low",20,"Tube","actinomorphic",500,5,10,2.15,9.5,10,1,"shrub","Perennial",1,"yes"
"Discaria toumatou","Rosales","Rhamnaceae","Discaria","Discaria toumatou","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",8000,10,20,4,1,1,3,"shrub","Perennial",2.5,"yes"
"Dodonaea viscosa","Sapindales","Sapindaceae","Dodonaea","Dodonaea viscosa","Dioecious","dioecious","none",0,"Open","actinomorphic",7500,20,50,8,4,5,3,"shrub","Perennial",2.5,"no"
"Senecio scorzoneroides","Asterales","Asteraceae","Dolichoglottis","Dolichoglottis scorzoneroides","Hermaphrodite","self_compatible","low",15.6516,"Capitulum","actinomorphic",15,5,50,50,9.1,1.5,100,"herb","Perennial",0.25,"yes"
"Donatia novae-zelandiae","Asterales","Stylidiaceae","Donatia","Donatia novae-zelandiae","Hermaphrodite","self_compatible","low",16.7793625,"Open","actinomorphic",100,1,9,9,5.5,2,6,"herb","Perennial",0.25,"yes"
"Doratoxylon apetalum","Sapindales","Sapindaceae","Doratoxylon","Doratoxylon apetalum","Dioecious","dioecious","none",0,"Open","actinomorphic",30000,250,10,2.5,1,0.1,6,"tree","Perennial",7.5,"no"
"Dorichnium pentaphylum","Fabales","Fabaceae","Dorycnium","Dorycnium pentaphyllum","Hermaphrodite","partially_self_compatible","low",11.7101,"Tube","zygomorphic",2500,35,10,3.5,4.5,4,33,"herb","Perennial",0.3,"no"
"Draba arctica","Brassicales","Brassicaceae","Draba","Draba arctica","Hermaphrodite","self_compatible","high",92,"Open","actinomorphic",25,4,20,8,4,1.05,20.2,"herb","Perennial",0.2,"yes"
"Draba lactea","Brassicales","Brassicaceae","Draba","Draba lactea","Hermaphrodite","self_compatible","medium",50,"Open","actinomorphic",20,5,24,8,4,0.25,22,"herb","Perennial",0.125,"yes"
"Draba yunnanensis","Brassicales","Brassicaceae","Draba","Draba yunnanensis","Hermaphrodite","self_compatible","low",13.75745,"Tube","actinomorphic",50,5,40,11.1,9,1.2,8,"herb","Perennial",0.325,"yes"
"Dracaena concinna","Asparagales","Asparagaceae","Dracaena","Dracaena concinna","Hermaphrodite","self_compatible","low",15.12005,"Brush","actinomorphic",2000,1000,300,17.0657,16.85065,14,4.5,"shrub","Perennial",2.5,"yes"
"Dracaena reflexa","Asparagales","Asparagaceae","Dracaena","Dracaena reflexa","Hermaphrodite","self_compatible","low",13.6889666666667,"Tube","actinomorphic",1000,500,300,22.8133333333333,30,14,4.5,"tree","Perennial",1.5,"yes"
"Dracocephalum forrestii","Lamiales","Lamiaceae","Dracocephalum","Dracocephalum forrestii","Hermaphrodite","self_compatible","low",12.3089,"Tube","zygomorphic",15,15,50,12.5,26.5,26.5,4,"herb","Perennial",0.205,"yes"
"Dracuphyllum acerosum","Ericales","Ericaceae","Dracophyllum","Dracophyllum acerosum","Hermaphrodite","self_compatible","low",12.8516821428571,"Tube","actinomorphic",500,5,20,3.1,6.1,3,176,"shrub","Perennial",1.5,"yes"
"Dracophyllum pronum","Ericales","Ericaceae","Dracophyllum","Dracophyllum pronum","Hermaphrodite","self_compatible","low",16.5999321428571,"Tube","actinomorphic",100,10,20,3.5,4,1.25,176,"shrub","Perennial",0.13,"yes"
"Drapetes dieffenbachii","Malvales","Thymelaeaceae","Drapetes","Drapetes dieffenbachii","Hermaphrodite","self_compatible","low",16.12205,"Tube","actinomorphic",100,3,15,3,1.5,1,1,"shrub","Perennial",0.2,"yes"
"Dryas integrifolia","Rosales","Rosaceae","Dryas","Dryas integrifolia","Hermaphrodite","self_compatible","low",15.1192071428571,"Open","actinomorphic",50,1,25,25,9,4,30,"shrub","Perennial",0.1,"yes"
"Dryas octopetala","Rosales","Rosaceae","Dryas","Dryas octopetala","Monoecious","self_incompatible","none",0,"Open","actinomorphic",50,1,30,30,6,20,59.67,"shrub","Perennial",0.075,"yes"
"Dubyaea bhotanica","Asterales","Asteraceae","Dubyaea","Dubyaea bhotanica","Hermaphrodite","self_compatible","low",16.321,"Capitulum","actinomorphic",5,3,10.5,10.5,10,2.5,45,"herb","Perennial",0.3,"yes"
"Duchesnea chrysantha","Rosales","Rosaceae","Duchesnea","Duchesnea chrysantha","Hermaphrodite","self_compatible","low",14.063,"Open","actinomorphic",20,1,10,10,5,1,1,"herb","Perennial",0.4,"yes"
"Brauneria pallida","Asterales","Asteraceae","Echinacea","Echinacea pallida","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,1,57,57,69,9,65.5,"herb","Perennial",0.6,"yes"
"Brauneria purpurea","Asterales","Asteraceae","Echinacea","Echinacea purpurea","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","zygomorphic",1,1,14,14,55,4.5,65.5,"herb","Perennial",0.9,"yes"
"Echinocystis lobata","Cucurbitales","Cucurbitaceae","Echinocystis","Echinocystis lobata","Monoecious","monoecious","none",0,"Open","actinomorphic",750,30,40,12.5,5.63461666666667,1,6,"vine","Short lived",4,"yes"
"Trichocereus candicans","Caryophyllales","Cactaceae","Echinopsis","Echinopsis candicans","Hermaphrodite","self_compatible","medium",50,"Campanulate","actinomorphic",5,1,205,205,133.126166666667,20,2203,"shrub","Perennial",2,"yes"
"Echinopsis rhodotricha","Caryophyllales","Cactaceae","Echinopsis","Echinopsis rhodotricha","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",5,1,112,112,167,5.5,2203,"shrub","Perennial",0.2,"yes"
"Trichocereus_strigosus","Caryophyllales","Cactaceae","Echinopsis","Echinopsis strigosa","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",5,1,142.5,142.5,195,15,2203,"shrub","Perennial",0.3,"yes"
"Echium plantagineum","Boraginales","Boraginaceae","Echium","Echium plantagineum","Hermaphrodite","self_incompatible","low",0,"Tube","zygomorphic",30,3,100,23.1,25,35,4,"herb","Perennial",0.8,"yes"
"Equium sabulicola","Boraginales","Boraginaceae","Echium","Echium sabulicola","Hermaphrodite","self_compatible","low",21.7984666666667,"Tube","zygomorphic",100,10,6,6,17,20,4,"herb","Short lived",0.75,"yes"
"Elaeagnus_angustifolia","Rosales","Elaeagnaceae","Elaeagnus","Elaeagnus angustifolia","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",25000,200,30,9.9,7.5,7.5,1,"tree","Perennial",3,"yes"
"Elaeocarpus japonicus","Oxalidales","Elaeocarpaceae","Elaeocarpus","Elaeocarpus japonicus","Hermaphrodite","partially_self_compatible","low",10.4259166666667,"Campanulate","actinomorphic",5000,80,100,4,4,3,35,"tree","Perennial",12.5,"yes"
"Elaeocarpus sylvestris","Oxalidales","Elaeocarpaceae","Elaeocarpus","Elaeocarpus sylvestris","Hermaphrodite","self_compatible","low",11.771,"Open","actinomorphic",5000,100,200,9.1,5,2,35,"tree","Perennial",7.5,"yes"
