"","Species_all","Plant_species","genus_old","Id","Pollinator_species","Interaction","X","db","order","family","genus","guild","Z_scores","Order_all","Family_all","Genus_all","Breeding_system.x","IMPUTED_Compatibility.x","Autonomous_selfing_level.x","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set.x","Flower_morphology.x","Flower_symmetry.x","Flowers_per_plant.x","Flowers_per_inflorescence.x","Floral_unit_width.x","Corolla_diameter_mean.x","Corolla_length_mean.x","STYLE_IMPUTED.x","OVULES_IMPUTED.x","life_form.x","lifespan.x","IMPUTED_plant_height_mean_m.x","Breeding_system.y","IMPUTED_Compatibility.y","Autonomous_selfing_level.y","Autonomous_selfing_level_fruit_set.y","Flower_morphology.y","Flower_symmetry.y","Flowers_per_plant.y","Flowers_per_inflorescence.y","Floral_unit_width.y","Corolla_diameter_mean.y","Corolla_length_mean.y","STYLE_IMPUTED.y","OVULES_IMPUTED.y","life_form.y","lifespan.y","IMPUTED_plant_height_mean_m.y","Nectar_presence_absence","Clusters"
"1","Acantholippia seriphioides","Acantholippia seriphioides","Strymon","15_2_peralta_2006_mendoza_site_2.csv","Strymon eurytulus",1,1311,"itis","Lepidoptera","Lycaenidae","Strymon","Lepidoptera",-0.512762466902264,"Lamiales","Verbenaceae","Acantholippia","hermaphrodite","self_incompatible","none","qualitative","NA","tube","actinomorphic","10000","50","24","6","3","3","2","shrub","perennial","0.45","Hermaphrodite","self_incompatible","none",-0.721122921037131,"Tube","actinomorphic",0.923512809312385,-0.0480942833210682,-0.387822208928914,-0.464940802908752,-0.462174248407733,-0.388189909003635,-0.126441268979277,"shrub","Perennial",-0.451656238118278,"yes",3
"2","Achillea millefolium","Achillea millefolium","Eristalinus","2_1_dicks_2002_england_shelfanger.csv","Eristalinus sepulcharius",2,65,"itis","Diptera","Syrphidae","Eristalinus","Syrphids",-0.211593839738367,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
"3","Achillea millefolium","Achillea millefolium","Lycaena","17_3_arroyo_correa_new_zealand_2019_3.csv","Lycaena boldenarum",1,308,"itis","Lepidoptera","Lycaenidae","Lycaena","Lepidoptera",-0.353126745730082,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
"4","Achillea millefolium","Achillea millefolium","Lasioglossum","17_3_arroyo_correa_new_zealand_2019_3.csv","Lasioglossum maunga",1,17,"itis","Hymenoptera","Halictidae","Lasioglossum","Bee",-0.353126745730082,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
"5","Achillea millefolium","Achillea millefolium","Allograpta","17_2_arroyo_correa_new_zealand_2019_2.csv","Allograpta sp.7",1,35,"itis","Diptera","Syrphidae","Allograpta","Syrphids",-0.342565128834666,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
"6","Achillea millefolium","Achillea millefolium","Syrphidae","17_2_arroyo_correa_new_zealand_2019_2.csv","Syrphidae sp.",1,831,"itis","Diptera","Syrphidae",NA,"Syrphids",-0.342565128834666,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
"7","Achillea millefolium","Achillea millefolium","Leioproctus","17_1_arroyo_correa_new_zealand_2019_1.csv","Leioproctus imitatus",1,346,"itis","Hymenoptera","Colletidae","Leioproctus","Bee",-0.419655775277275,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
"8","Achillea millefolium","Achillea millefolium","Dolichopodidae","17_3_arroyo_correa_new_zealand_2019_3.csv","Dolichopodidae",1,411,"itis","Diptera","Dolichopodidae",NA,"Non-syrphids-diptera",-0.353126745730082,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
"9","Achillea millefolium","Achillea millefolium","Scaptia","17_3_arroyo_correa_new_zealand_2019_3.csv","Scaptia adrel",1,376,"itis","Diptera","Tabanidae","Scaptia","Non-syrphids-diptera",-0.353126745730082,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
"10","Achillea millefolium","Achillea millefolium","Dilophus","17_1_arroyo_correa_new_zealand_2019_1.csv","Dilophus sp.",1,349,"itis","Diptera","Bibionidae","Dilophus","Non-syrphids-diptera",-0.419655775277275,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
"11","Achillea millefolium","Achillea millefolium","Lycaena","17_2_arroyo_correa_new_zealand_2019_2.csv","Lycaena salustis",5,308,"itis","Lepidoptera","Lycaenidae","Lycaena","Lepidoptera",0.292780577239317,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
"12","Achillea millefolium","Achillea millefolium","Melangyna","17_1_arroyo_correa_new_zealand_2019_1.csv","Melangyna novaezelandiae",1,92,"itis","Diptera","Syrphidae","Melangyna","Syrphids",-0.419655775277275,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
"13","Achillea millefolium","Achillea millefolium","Lasioglossum","17_2_arroyo_correa_new_zealand_2019_2.csv","Lasioglossum sordidum",1,17,"itis","Hymenoptera","Halictidae","Lasioglossum","Bee",-0.342565128834666,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
"14","Achillea millefolium","Achillea millefolium","Tachinidae","17_1_arroyo_correa_new_zealand_2019_1.csv","Tachinidae sp.7",1,125,"itis","Diptera","Tachinidae",NA,"Non-syrphids-diptera",-0.419655775277275,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
"15","Achillea millefolium","Achillea millefolium","Pyronota","17_3_arroyo_correa_new_zealand_2019_3.csv","Pyronota festiva",1,NA,NA,"Coleoptera","Scarabaeidae","Pyronota","Coleoptera",-0.353126745730082,"Asterales","Asteraceae","Achillea","dioecious","dioecious","none","quantitative","0","capitulum","actinomorphic","200","25","35","2.1","2.4","2.5","15","herb","perennial","0.8","Dioecious","dioecious","none",-0.721122921037131,"Capitulum","actinomorphic",-0.21352257664292,-0.1095636369778,-0.142182691783333,-0.657273064971247,-0.497045990104364,-0.443644646043582,-0.118791650644172,"herb","Perennial",-0.352061456973252,"yes",4
