"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Nectar_concentration","Pollen_per_flower"
"Helichrisum stoechas","Asterales","Asteraceae","Helichrysum","Helichrysum stoechas","Hermaphrodite","self_compatible","low",16.6592625,"Capitulum","actinomorphic",500,10,10,10,0.25,30,"herb","Perennial",0.35,"no",0,0,62250
"Heracleum candicans","Apiales","Apiaceae","Heracleum","Heracleum candicans","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",450,70,12,3,1,2,"herb","Perennial",1.7,"no",0,0,58723.3160833333
"Heteropterys glabra","Malpighiales","Malpighiaceae","Heteropterys","Heteropterys glabra","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",300,100,30,5,5,3,"shrub","Perennial",1.5,"no",0,0,169319.155338095
"Hibiscus tiliaceus","Malvales","Malvaceae","Hibiscus","Hibiscus tiliaceus","Hermaphrodite","self_compatible","low",12.233475,"Open","actinomorphic",75,140,140,50,45,50,"tree","Perennial",5,"yes",0.25,30,351421.74825
"Hibiscus trionum","Malvales","Malvaceae","Hibiscus","Hibiscus trionum","Hermaphrodite","self_compatible","medium",50.5,"Open","actinomorphic",15,40,40,4.01,6.6,50,"herb","Short lived",1,"yes",4.7,23.8332,148977.09
"Homalanthus populifolius","Malpighiales","Euphorbiaceae","Homalanthus","Homalanthus populifolius","Monoecious","monoecious","none",0,"Open","actinomorphic",1000,25,4,1,0.625,3,"tree","Perennial",6,"no",0,0,76118.053
"Hybanthus concolor","Malpighiales","Violaceae","Hybanthus","Hybanthus concolor","Hermaphrodite","self_compatible","low",17.1537,"Open","actinomorphic",10,25,6,6,0.5,100,"herb","Perennial",0.675,"no",0,0,117732.768105
"Hydrangea hirta","Cornales","Hydrangeaceae","Hydrangea","Hydrangea hirta","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",350,25,4.1,1,1,65,"shrub","Perennial",0.5,"no",0,0,183506.5647
"Hydrangea macrophylla","Cornales","Hydrangeaceae","Hydrangea","Hydrangea macrophylla","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",75,25,6,1,2.35,65,"shrub","Perennial",1,"no",0,0,157755.83235
"Hypericum ascyron","Malpighiales","Hypericaceae","Hypericum","Hypericum ascyron","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",20,60,18.2,5.70327291666667,8.75,75,"herb","Perennial",1.1,"no",0,0,44362
"Hypericum cistifolium","Malpighiales","Hypericaceae","Hypericum","Hypericum cistifolium","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",30,40,11,1,1.5,75,"shrub","Perennial",0.5,"no",0,0,44362
"Hypericum perfolatum","Malpighiales","Hypericaceae","Hypericum","Hypericum perfolatum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,80,17.5,2.1,4.85,75,"herb","Perennial",0.5,"no",0,0,44362
"Hypericum perforatum","Malpighiales","Hypericaceae","Hypericum","Hypericum perforatum","Hermaphrodite","self_compatible","high",100,"Open","actinomorphic",50,80,17.5,2.1,4.85,75,"shrub","Perennial",0.6,"no",0,0,44362
"Hypericum pseudopetiolatum","Malpighiales","Hypericaceae","Hypericum","Hypericum pseudopetiolatum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,10.5,10.5,1,1.6,75,"herb","Perennial",0.375,"no",0,0,44362
"Hypericum punctatum","Malpighiales","Hypericaceae","Hypericum","Hypericum punctatum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",30,80,13,1.5,3,75,"herb","Perennial",0.4,"no",0,0,44362
"Hypoxis hirsuta","Asparagales","Hypoxidaceae","Hypoxis","Hypoxis hirsuta","Hermaphrodite","self_incompatible","low",4,"Open","actinomorphic",15,18.5,18.5,1.5,2,12,"herb","Perennial",0.05,"no",0,0,284134.9555
"Impatiens biflora","Ericales","Balsaminaceae","Impatiens","Impatiens capensis","Hermaphrodite","self_compatible","medium",50.4699,"Campanulate","zygomorphic",10,34,34,25,1,137.5,"herb","Short lived",1.05,"yes",2.8,43.1,725900
"Impatiens chungtienensis","Ericales","Balsaminaceae","Impatiens","Impatiens chungtienensis","Hermaphrodite","self_compatible","medium",55.304625,"Campanulate","zygomorphic",10,10.5,10.5,15,0.1,94,"herb","Short lived",0.525,"yes",7.11,46.1,725900
"Impatiens noli-tangere","Ericales","Balsaminaceae","Impatiens","Impatiens noli-tangere","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",15,13,13,25,1,7.8,"herb","Short lived",1,"yes",7.11,46.1,725900
"Impatiens pallida","Ericales","Balsaminaceae","Impatiens","Impatiens pallida","Hermaphrodite","self_compatible","medium",50.5,"Campanulate","zygomorphic",15,30,30,28,1,137.5,"herb","Short lived",1.35,"yes",2.4,41.5,725900
"Impatiens textori","Ericales","Balsaminaceae","Impatiens","Impatiens textori","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",15,15,15,45,1,94,"herb","Short lived",0.85,"yes",1,35,725900
"Ipomoea habeliana","Solanales","Convolvulaceae","Ipomoea","Ipomoea habeliana","Hermaphrodite","self_compatible","medium",51,"Funnelform","actinomorphic",15,45,45,60,25,6,"vine","Perennial",4.5,"yes",146.9,29,8442
"Ipomoea indica","Solanales","Convolvulaceae","Ipomoea","Ipomoea indica","Hermaphrodite","self_compatible","none",0,"Funnelform","actinomorphic",25,62.5,62.5,62.5,14,6,"vine","Perennial",3,"yes",9.33,36.83,5322
"Ipomoea pandurata","Solanales","Convolvulaceae","Ipomoea","Ipomoea pandurata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",10,85,85,65,15,6,"vine","Perennial",2.5,"yes",1.35,47.3,4552
"Ipomoea pes-caprae","Solanales","Convolvulaceae","Ipomoea","Ipomoea pes-caprae","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",10,95,95,45,15,6,"vine","Perennial",5,"yes",5.2,35,8112
"Ipomoea purpurea","Solanales","Convolvulaceae","Ipomoea","Ipomoea purpurea","Hermaphrodite","self_compatible","high",31.67,"Campanulate","actinomorphic",15,50,50,37.5,28,6,"herb","Short lived",2,"yes",2.42,38,756
"Belamcanda chinensis","Asparagales","Iridaceae","Iris","Iris domestica","Hermaphrodite","partially_self_compatible","low",15.8,"Open","actinomorphic",60,120,45,21.3403416666667,14,24,"herb","Perennial",1,"yes",0.96,24.87055,21950
"Iris versicolor","Asparagales","Iridaceae","Iris","Iris versicolor","Hermaphrodite","self_compatible","low",21,"Open","actinomorphic",1,70,70,40,32.5,127.5,"herb","Perennial",0.5,"yes",2.5,25.27205,21950
"Myonima violacea","Gentianales","Rubiaceae","Ixora","Ixora parviflora","Hermaphrodite","partially_self_compatible","low",7.49035,"Tube","actinomorphic",6000,50,10,5.5,8.5,3,"tree","Perennial",5,"no",0,0,153693.94225
"Jasminocereus thouarsii","Caryophyllales","Cactaceae","Jasminocereus","Jasminocereus thouarsii","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",30,70,70,10,10,325,"shrub","Perennial",5,"yes",0.58,7.8,347014.995
"Juncus allioides","Poales","Juncaceae","Juncus","Juncus allioides","Hermaphrodite","self_compatible","high",100,"Brush","actinomorphic",5,17.5,6.5,17.5,2,51.3,"herb","Perennial",0.24,"no",0,0,304743.79782
"Kalmia polifolia","Ericales","Ericaceae","Kalmia","Kalmia polifolia","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",40,40,10,7,5.75,550,"shrub","Perennial",0.8,"yes",0.51,27.31465,386464.737833333
"Labourdonnaisia callophylloides","Ericales","Sapotaceae","Labourdonnaisia","Labourdonnaisia calophylloides","Hermaphrodite","self_compatible","low",12.1279,"Open","actinomorphic",1000,9,9,9,9.5,5.1,"tree","Perennial",10.5,"yes",9.9,12.9,79225.149
"Lagerstroemia subcostata","Myrtales","Lythraceae","Lagerstroemia","Lagerstroemia subcostata","Hermaphrodite","partially_self_compatible","low",9.6136,"Campanulate","actinomorphic",30000,160,3.1,3.1,4,30,"tree","Perennial",7,"no",0,0,394775.949616667
"Lamium amplexicaule","Lamiales","Lamiaceae","Lamium","Lamium amplexicaule","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,6.75,4.5,17.5,18,4,"herb","Short lived",0.2,"yes",0.09,26.1695,2069
"Lantana peducularis","Lamiales","Verbenaceae","Lantana","Lantana peduncularis","Hermaphrodite","self_compatible","low",0.3,"Funnelform","zygomorphic",120,30,4,3.5,2.2,4,"shrub","Perennial",1.25,"yes",0.8,11.88,22356.087
"Lathirus clymenum","Fabales","Fabaceae","Lathyrus","Lathyrus clymenum","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",50,18,18,18,8,7,"herb","Short lived",0.65,"yes",2.049,21.73,16050
"Lathyrus montanus","Fabales","Fabaceae","Lathyrus","Lathyrus linifolius","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",15,22,11,13,4,9.36,"herb","Perennial",0.325,"yes",0.69,18.92,281000
"Lavandula pedunculata","Lamiales","Lamiaceae","Lavandula","Lavandula pedunculata","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",3000,12,5,5.5,5.5,4,"shrub","Perennial",0.445,"yes",0.07,19.47,3396
"Lavandula stoechas","Lamiales","Lamiaceae","Lavandula","Lavandula stoechas","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",4000,25,7,6.5,5.5,4,"shrub","Perennial",0.75,"yes",0.07,19.47,3396
"Lecanophora heterophylla","Malvales","Malvaceae","Lecanophora","Lecanophora heterophylla","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",50,30,30,15,0.5,847.682703333334,"herb","Perennial",0.15,"no",0,0,656135.778285714
"Lespedeza capitata","Fabales","Fabaceae","Lespedeza","Lespedeza capitata","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",100,30,5.1,4.9,2,1,"herb","Perennial",1.05,"yes",1.14,32.67,35385.1771571429
"Leucaena leucocephala","Fabales","Fabaceae","Leucaena","Leucaena leucocephala","Hermaphrodite","partially_self_compatible","low",10.59485,"Brush","actinomorphic",7000,21,1,1,8.5,1,"shrub","Perennial",6,"no",0,0,428443.830016667
"Ligustrum joponicum","Lamiales","Oleaceae","Ligustrum","Ligustrum japonicum","Hermaphrodite","partially_self_compatible","low",9.4264,"Tube","actinomorphic",30000,40,4,6,6,4,"shrub","Perennial",3,"yes",1.07,22.848257,37244.846
"Linaria viscosa","Lamiales","Plantaginaceae","Linaria","Linaria viscosa","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",35,35,7,25,4.5,188.8,"herb","Short lived",0.35,"yes",0.75,31.74405,207080
"Liparis liliifolia","Asparagales","Orchidaceae","Liparis","Liparis liliifolia","Hermaphrodite","self_incompatible","low",13,"Open","zygomorphic",25,35,8,10,3.5,25000,"herb","Perennial",0.17,"no",0,0,729545.4397
"Lonicera gracilipes","Dipsacales","Caprifoliaceae","Lonicera","Lonicera gracilipes","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",100,7.7,7.7,11.3,15,23,"shrub","Perennial",1.5,"yes",0.12,29.3110403333333,87615.7862
"Lonicera sempervirens","Dipsacales","Caprifoliaceae","Lonicera","Lonicera sempervirens","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",600,70,1.1,35,3.2,23,"vine","Perennial",3,"yes",12,23.2,128231.56815
"Lotus corniculatus","Fabales","Fabaceae","Lotus","Lotus corniculatus","Hermaphrodite","partially_self_compatible","low",13,"Papilionaceous","zygomorphic",35,30,11,11,5,35,"herb","Perennial",0.55,"yes",0.23,45,198500
"Lotus uliginosus","Fabales","Fabaceae","Lotus","Lotus pedunculatus","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",60,60,15,12,8,49,"herb","Perennial",0.575,"yes",0.33,14.15,420959
"Lupinus angustifolius","Fabales","Fabaceae","Lupinus","Lupinus angustifolius","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",25,35,12.5,12.5,15.2,4,"herb","Short lived",0.45,"no",0,0,22018
"Lupinus polyphyllus","Fabales","Fabaceae","Lupinus","Lupinus polyphyllus","Hermaphrodite","self_compatible","low",10.6413625,"Papilionaceous","zygomorphic",40,65,12.1,13,10.5,7,"herb","Perennial",1,"no",0,0,19488
"Lycium chilense","Solanales","Solanaceae","Lycium","Lycium chilense","Hermaphrodite","partially_self_compatible","low",14.32335,"Campanulate","actinomorphic",1000,10,10,6.25,8,33,"shrub","Perennial",0.5,"yes",6,22.833482,47200
"Lycium_gilliesianum","Solanales","Solanaceae","Lycium","Lycium gilliesianum","Hermaphrodite","partially_self_compatible","low",14.75865,"Tube","actinomorphic",1000,3,3,12.5,12.8,33,"shrub","Perennial",0.9,"yes",9,22.9019035,50000
"Lycopersicon cheesmanii minor","Solanales","Solanaceae","Lycopersicon","Lycopersicon cheesmanii","Hermaphrodite","self_compatible","low",15.9037136363636,"Open","actinomorphic",20,80,22.1,2,5.5,45,"herb","Perennial",1,"no",0,0,438887
"Trientalis europaea","Ericales","Primulaceae","Trientalis","Lysimachea europaea","Hermaphrodite","self_compatible","low",16.9140125,"Open","actinomorphic",5,13.1,13.1,1.1,5,19,"herb","Perennial",0.12,"no",0,0,26932
"Steironema ciliatum","Ericales","Primulaceae","Lysimachia","Lysimachia ciliata","Hermaphrodite","self_compatible","low",14.487,"Open","actinomorphic",15,75,25,5.1,5,30,"herb","Perennial",0.4,"no",0,0,26932
"Steironema lanceolatum","Ericales","Primulaceae","Lysimachia","Lysimachia lanceolatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",30,19.1,19.1,31.12,5,30,"herb","Perennial",0.55,"no",0,0,26932
"Lysimachia mauiriana","Ericales","Primulaceae","Lysimachia","Lysimachia mauritiana","Hermaphrodite","self_compatible","low",21.56925,"Campanulate","actinomorphic",100,40,10.1,4,5,30,"herb","Short lived",0.3,"no",0,0,26932
"Macairea pachyphylla","Myrtales","Melastomataceae","Macairea","Macairea pachyphylla","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",700,70,15,10,4,49.07,"tree","Perennial",6,"no",0,0,487167.082166667
"Macairea parvifolia","Myrtales","Melastomataceae","Macairea","Macairea parvifolia","Hermaphrodite","partially_self_compatible","low",3.7,"Open","actinomorphic",700,40,16.5,10,4,49.07,"shrub","Perennial",1.6,"no",0,0,475158.6855
"Mallotus japonicus","Malpighiales","Euphorbiaceae","Mallotus","Mallotus japonicus","Dioecious","dioecious","none",0,"Brush","actinomorphic",24000,40,4.1,5,4,4,"shrub","Perennial",3,"yes",0.27,29,237835.42525
"Lavatera cretica","Malvales","Malvaceae","Malva","Malva multiflora","Hermaphrodite","self_compatible","low",20.18575,"Open","actinomorphic",20,100,40,7,7,9,"herb","Short lived",0.8,"yes",2.62,13,8190
"Malva rotundifolia","Malvales","Malvaceae","Malva","Malva pusilla","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,40,11,3.1,3,11,"herb","Short lived",0.35,"yes",2.62,13,682
"Malvastrum coromandelianum","Malvales","Malvaceae","Malvastrum","Malvastrum coromandelianum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",15,17,17,5,4,11,"herb","Short lived",0.4,"no",0,0,23747.075275
"Marcetia taxifolia","Myrtales","Melastomataceae","Marcetia","Marcetia taxifolia","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",75,25,3.2,2,9.4,118.45,"herb","Perennial",1.575,"no",0,0,272118.436655
"Marrubium vulgare","Lamiales","Lamiaceae","Marrubium","Marrubium vulgare","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",85,30,4.9,2.3,0.7,1.1,"herb","Perennial",0.6,"no",0,0,22649.8000333333
"Maytenus octogona","Celastrales","Celastraceae","Maytenus","Maytenus octogona","Hermaphrodite","self_compatible","low",9.35908333333334,"Open","actinomorphic",1000,20,3.5,3,1,5,"shrub","Perennial",4.05,"yes",0.22,5.9,49771.0955
"Medusagyne oppositifolia","Theales","Ochnaceae","Medusagyne","Medusagyne oppositifolia","Monoecious","partially_self_compatible","low",10,"Brush","actinomorphic",1800,20,4,4,2.5,2,"tree","Perennial",9,"no",0,0,368569.472866667
"Melampyrum pratense","Lamiales","Orobanchaceae","Melampyrum","Melampyrum pratense","Hermaphrodite","self_compatible","low",25,"Tube","zygomorphic",5,15,5,15,15,4,"herb","Short lived",0.25,"yes",0.1,40,66173.4922
"Melastoma candidum","Myrtales","Melastomataceae","Melastoma","Melastoma malabathricum","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",75,180,60,15,25,2172.9,"shrub","Perennial",1,"no",0,0,1219404.778
"Euodia chapelieri","Sapindales","Rutaceae","Melicope","Melicope chapelieri","Dioecious","dioecious","none",0,"Open","actinomorphic",8000,200,3,0.5,0.5,8,"tree","Perennial",15,"no",0,0,198056.77
"Euodia obtusifolia","Sapindales","Rutaceae","Melicope","Melicope lunu-ankenda","Dioecious","dioecious","none",0,"Open","actinomorphic",8000,200,3,0.5,0.5,8,"tree","Perennial",15,"no",0,0,180298.29
"Melilotus alba","Fabales","Fabaceae","Melilotus","Melilotus alba","Hermaphrodite","self_compatible","low",13,"Papilionaceous","zygomorphic",60,15,3,4.5,2,5,"herb","Short lived",1.5,"yes",0.03,27.1554,4292.2
"Meliosma tenuis","Proteales","Sabiaceae","Meliosma","Meliosma tenuis","Hermaphrodite","self_incompatible","low",1.8,"Open","actinomorphic",2500,50,5,2,0.5,9.9,"tree","Perennial",2.5,"yes",0.23,33.1,335270.42395
"Melochia pyramidata","Malvales","Malvaceae","Melochia","Melochia pyramidata","Hermaphrodite","self_compatible","medium",62.7,"Tube","actinomorphic",25,15,5.3,6.5,3.1,5.5,"herb","Perennial",0.6,"no",0,0,742.55
"Memecylon elaeagni","Myrtales","Melastomataceae","Memecylon","Memecylon eleagni","Hermaphrodite","partially_self_compatible","low",5.4176,"Open","actinomorphic",6759.395,30,6,3,4.5,7,"shrub","Perennial",7.5,"no",0,0,418966.3075
"Memecylon ovatifolium","Myrtales","Melastomataceae","Memecylon","Memecylon ovatifolium","Hermaphrodite","partially_self_compatible","low",11.82335,"Open","actinomorphic",652.538095238095,10,4.1,2.75518392857143,0.5,10,"shrub","Perennial",1.1,"no",0,0,179637.039033333
"Mentha aquatica","Lamiales","Lamiaceae","Mentha","Mentha aquatica","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",100,20,2.5,5,9,4,"herb","Perennial",0.85,"yes",0.1,23,33899.04355
"Mentha arvensis","Lamiales","Lamiaceae","Mentha","Mentha arvensis","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",80,30,3.4,5.5,6.25,4,"herb","Perennial",0.5,"yes",0.45,20.8811,17257.6965
"Mentzelia_albescens","Cornales","Loasaceae","Mentzelia","Mentzelia albescens","Hermaphrodite","self_compatible","medium",52.0689166666667,"Campanulate","actinomorphic",20,7.45,7.45,1.65,6.25,4,"herb","Short lived",0.5,"no",0,0,35432.97051
"Mentzelia aspera","Cornales","Loasaceae","Mentzelia","Mentzelia aspera","Hermaphrodite","self_compatible","low",20.87115,"Open","actinomorphic",50,15,15,5,5,6,"herb","Short lived",0.5,"no",0,0,36292.0376666667
"Miconia ciliata","Myrtales","Melastomataceae","Miconia","Miconia ciliata","Hermaphrodite","self_incompatible","low",0,"Open","actinomorphic",75,50,5,2,1.25,104.39,"shrub","Perennial",4,"no",0,0,467500
"Mimusops erythroxylon","Ericales","Sapotaceae","Mimusops","Mimusops erythroxylon","Hermaphrodite","partially_self_compatible","low",5.4175,"Open","actinomorphic",7484.115,40,15,10,5,7,"tree","Perennial",16,"no",0,0,217009.45
"Mirabilis jalapa","Caryophyllales","Nyctaginaceae","Mirabilis","Mirabilis jalapa","Hermaphrodite","self_compatible","medium",57,"Tube","actinomorphic",50,35,35,45,37.5,1,"herb","Perennial",0.5,"yes",2.62,10.35,382.4
"Oxybaphus_obatus","Caryophyllales","Nyctaginaceae","Mirabilis","Mirabilis ovata","Hermaphrodite","self_compatible","low",15.72375,"Campanulate","actinomorphic",50,20,10,10,18,1,"herb","Perennial",0.5,"yes",2.14,33.45,84499.12065
"Molinaea alternifolia","Sapindales","Sapindaceae","Molinaea","Molinaea arborea","Monoecious","monoecious","none",0,"Open","actinomorphic",8158.80833333333,40,5.5,5.5,0.5,3,"tree","Perennial",10,"yes",0.9,36.4,180746.7888
"Molinaea macrantha","Sapindales","Sapindaceae","Molinaea","Molinaea macrantha","Monoecious","monoecious","none",0,"Open","actinomorphic",500,40,5.5,5.5,0.5,3,"shrub","Perennial",10,"yes",2.1,46.6,190877.98835
"Montricharida arborescens","Alismatales","Araceae","Montrichardia","Montrichardia arborescens","Monoecious","monoecious","low",13,"Spike","zygomorphic",60,14.1,1,1,0.1,1,"shrub","Perennial",2.25,"no",0,0,19445.8
"Monttea_aphylla","Lamiales","Plantaginaceae","Monttea","Monttea aphylla","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",250,54,18,15.5,6,1,"shrub","Perennial",1.5,"no",0,0,78544.7419666667
"Morinda citrifolia","Gentianales","Rubiaceae","Morinda","Morinda citrifolia","Hermaphrodite","self_compatible","low",11.93815,"Tube","actinomorphic",1200,50,10,15,15,2,"tree","Perennial",6.5,"yes",3.3,33.3,35995.9028
"Morinda umbellata","Gentianales","Rubiaceae","Morinda","Morinda umbellata","Dioecious","partially_self_compatible","low",13.00765,"Tube","actinomorphic",500,10,2.2,2.2,2,2,"vine","Perennial",10,"yes",1.49,23.85685,119755.406
"Commelina nudiflora","Commelinales","Commelinaceae","Murdannia","Murdannia nudiflora","Hermaphrodite","self_compatible","high",96,"Open","actinomorphic",15,9,9,1.5,0.9,6,"herb","Short lived",0.15,"no",0,0,48182.5348333333
"Musa balbisiana","Zingiberales","Musaceae","Musa","Musa balbisiana","Monoecious","monoecious","none",0,"Tube","actinomorphic",60,100,10,40,40,250,"herb","Perennial",4,"yes",52.5,22.783607,278434.91225
"Myrsine segttinii","Ericales","Primulaceae","Myrsine","Myrsine seguinii","Hermaphrodite","partially_self_compatible","low",9.4851,"Open","actinomorphic",3500,15,3,1,1,3,"tree","Perennial",7,"no",0,0,107727.066116667
"Mirtus communis","Myrtales","Myrtaceae","Myrtus","Myrtus communis","Hermaphrodite","self_compatible","medium",49,"Open","actinomorphic",500,25,25,3.75,15,72,"shrub","Perennial",2.5,"no",0,0,1330295
"Nelumbo lutea","Proteales","Nelumbonaceae","Nelumbo","Nelumbo lutea","Hermaphrodite","self_compatible","low",18.3,"Open","actinomorphic",1,150,150,40,0.5,24.9,"herb","Perennial",1.35,"no",0,0,1e+06
"Nolana galapagensis","Solanales","Solanaceae","Nolana","Nolana galapagensis","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",5000,50,8,16,7,30,"shrub","Perennial",1,"yes",0.62,30.7,73391.3501
"Ochna kirkii","Malpighiales","Ochnaceae","Ochna","Ochna kirkii","Hermaphrodite","self_compatible","low",9.2636,"Open","actinomorphic",50,45,45,11.1,13,9,"shrub","Perennial",1.2,"no",0,0,193455.360083333
"Ochna mauritiana","Malpighiales","Ochnaceae","Ochna","Ochna mauritiana","Hermaphrodite","self_compatible","low",5.45125,"Open","actinomorphic",120,100,19.1,5,1.5,9,"shrub","Perennial",4.75,"no",0,0,219508.70075
"Ocotea laevigata","Laurales","Lauraceae","Ocotea","Ocotea laevigata","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",500,50,2,2,0.5,1,"tree","Perennial",5.60532894736842,"no",0,0,214206.728
"Oenothera fruticosa","Myrtales","Onagraceae","Oenothera","Oenothera fruticosa","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",5,120,29.1,10,15,148,"herb","Perennial",0.45,"yes",0.3,45,423086.828666667
"Olea lancea","Lamiales","Oleaceae","Olea","Olea lancea","Hermaphrodite","partially_self_compatible","low",9.5464,"Open","actinomorphic",6000,30,4,0.5,0.5,4,"tree","Perennial",4,"no",0,0,96000
"Opuntia echios","Caryophyllales","Cactaceae","Opuntia","Opuntia echios","Hermaphrodite","self_compatible","high",100,"Open","actinomorphic",100,67.47,67.47,25.33,26.5,300,"tree","Perennial",2.75,"yes",0.66,20.4,131700
"Opuntia bergeriana","Caryophyllales","Cactaceae","Opuntia","Opuntia elatior","Hermaphrodite","self_compatible","low",17.96735,"Open","actinomorphic",30,40,40,20,22.5,270,"shrub","Perennial",2,"yes",0.66,20.4,131700
"Opuntia galapageia","Caryophyllales","Cactaceae","Opuntia","Opuntia galapageia","Hermaphrodite","self_compatible","low",20.161625,"Open","actinomorphic",75,100,100,25,22.5,270,"tree","Perennial",4.5,"yes",0.66,20.4,131700
"Opuntia helleri","Caryophyllales","Cactaceae","Opuntia","Opuntia helleri","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,42.5,42.5,60,22.5,270,"shrub","Perennial",1,"yes",110,22,131700
"Opuntia stricta","Caryophyllales","Cactaceae","Opuntia","Opuntia stricta","Hermaphrodite","self_compatible","medium",63,"Open","actinomorphic",100,70,70,25,17.5,270,"herb","Perennial",0.26,"yes",0.66,20.4,131700
"Opuntia sulphurea","Caryophyllales","Cactaceae","Opuntia","Opuntia sulphurea","Hermaphrodite","self_compatible","low",21.39735,"Open","actinomorphic",50,52.5,52.5,32.5,45,270,"shrub","Perennial",0.18,"yes",0.66,20.4,131700
"Paeonia japonica","Saxifragales","Paeoniaceae","Paeonia","Paeonia obovata","Hermaphrodite","self_compatible","low",16.2415,"Open","actinomorphic",15,20,20,40,3,73,"herb","Perennial",0.5,"no",0,0,179498.96675
"Pandanus barklyi","Pandanales","Pandanaceae","Pandanus","Pandanus barkleyi","Dioecious","dioecious","none",0,"Brush","actinomorphic",300,100,2,2,1,1,"shrub","Perennial",4.5,"no",0,0,441372.2555
"Pandanus odoratissimus","Pandanales","Pandanaceae","Pandanus","Pandanus odorifer","Dioecious","dioecious","none",0,"Brush","actinomorphic",1500,100,2,2,1,1,"shrub","Perennial",1,"no",0,0,281119.2585
"Pandanus rigidifolius","Pandanales","Pandanaceae","Pandanus","Pandanus rigidifolius","Monoecious","monoecious","none",0,"Open","actinomorphic",900,100,2,2,1,1,"shrub","Perennial",2.5,"no",0,0,150511.83
"Pandanus wiehii","Malpighiales","Pandaceae","Pandanus","Pandanus wiehei","Monoecious","monoecious","none",0,"Brush","actinomorphic",1200,100,2,2,1,1,"shrub","Perennial",4,"no",0,0,317741.853
"Papaver radicatum","Ranunculales","Papaveraceae","papaver","Papaver radicatum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,16,16,2.1,0,700,"herb","Perennial",0.2,"no",0,0,600953.898
"Parahebe lyalii","Lamiales","Plantaginaceae","Parahebe","Parahebe lyallii","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",100,50,11.5,6.9,4,25,"herb","Perennial",0.15,"no",0,0,128409.919655
"Parkinsonia aculeata","Fabales","Fabaceae","Parkinsonia","Parkinsonia aculeata","Hermaphrodite","self_compatible","low",5.7,"Papilionaceous","zygomorphic",10000,75,25,5,4,9,"tree","Perennial",6,"yes",0.58,55.2,65040
"Passiflora foetida","Malpighiales","Passifloraceae","Passiflora","Passiflora foetida","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",10,40,40,4,7,2.2,"vine","Short lived",3,"yes",0.44,16.2,6667
