"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"28","Asterales","Campanulaceae","Adenophora","Adenophora capillaris","Hermaphrodite","self_incompatible","low",8,"Campanulate","actinomorphic",30,24,12.5,12.5,14,20,152,"herb","Perennial",0.75
"29","Asterales","Campanulaceae","Adenophora","Adenophora capillaris","Hermaphrodite","self_incompatible","low",8,"Campanulate","actinomorphic",30,24,12.5,12.5,14,20,152,"herb","Perennial",0.75
"30","Asterales","Campanulaceae","Adenophora","Adenophora capillaris","Hermaphrodite","self_incompatible","low",8,"Campanulate","actinomorphic",30,24,12.5,12.5,14,20,152,"herb","Perennial",0.75
"31","Asterales","Campanulaceae","Adenophora","Adenophora capillaris","Hermaphrodite","self_incompatible","low",8,"Campanulate","actinomorphic",30,24,12.5,12.5,14,20,152,"herb","Perennial",0.75
"32","Asterales","Campanulaceae","Adenophora","Adenophora capillaris","Hermaphrodite","self_incompatible","low",8,"Campanulate","actinomorphic",30,24,12.5,12.5,14,20,152,"herb","Perennial",0.75
"33","Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",10,2,20,20,18.44,20,193,"herb","Perennial",0.45
"34","Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",10,2,20,20,18.44,20,193,"herb","Perennial",0.45
"35","Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",10,2,20,20,18.44,20,193,"herb","Perennial",0.45
"36","Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",10,2,20,20,18.44,20,193,"herb","Perennial",0.45
"37","Asterales","Campanulaceae","Adenophora","Adenophora khasiana","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",100,3,35,35,20.59,24,356,"herb","Perennial",0.9
"38","Asterales","Campanulaceae","Adenophora","Adenophora khasiana","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",100,3,35,35,20.59,24,356,"herb","Perennial",0.9
"39","Asterales","Campanulaceae","Adenophora","Adenophora khasiana","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",100,3,35,35,20.59,24,356,"herb","Perennial",0.9
"40","Asterales","Campanulaceae","Adenophora","Adenophora khasiana","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",100,3,35,35,20.59,24,356,"herb","Perennial",0.9
"41","Asterales","Campanulaceae","Adenophora","Adenophora khasiana","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",100,3,35,35,20.59,24,356,"herb","Perennial",0.9
"42","Fabales","Fabaceae","Aeschynomene","Aeschynomene mollicula","Hermaphrodite","self_compatible","low",32.5914655271255,"Papilionaceous","zygomorphic",5,32,2.1,2.1,7.1,5,15,"shrub","Perennial",1
"43","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","Hermaphrodite","self_compatible","medium",31.66,"Open","actinomorphic",10,32,20,20,5,6,15,"herb","Perennial",0.45
"44","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","Hermaphrodite","self_compatible","medium",31.66,"Open","actinomorphic",10,32,20,20,5,6,15,"herb","Perennial",0.45
"45","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","Hermaphrodite","self_compatible","medium",31.66,"Open","actinomorphic",10,32,20,20,5,6,15,"herb","Perennial",0.45
"46","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","Hermaphrodite","self_compatible","medium",31.66,"Open","actinomorphic",10,32,20,20,5,6,15,"herb","Perennial",0.45
"47","Asparagales","Iridaceae","Eleutherine","Eleutherine bulbosa","Hermaphrodite","self_compatible","medium",31.66,"Open","actinomorphic",10,32,20,20,5,6,15,"herb","Perennial",0.45
"48","Ericales","Ericaceae","Agarista","Agarista salicifolia","Hermaphrodite","self_compatible","none",11.1888605502759,"Tube","actinomorphic",2000,24,10,4.5,8.5,7,7,"tree","Perennial",10.45
"49","Ericales","Ericaceae","Agarista","Agarista salicifolia","Hermaphrodite","self_compatible","none",11.1888605502761,"Tube","actinomorphic",2000,24,10,4.5,8.5,7,7,"tree","Perennial",10.45
