"","Species_geonet","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"19","Gerardia tenuifolia","Lamiales","Orobanchaceae","Agalinis","Agalinis tenuifolia","Hermaphrodite","self_compatible","high",88,"Campanulate","zygomorphic",100,10.5,12.5,11,87,"herb","Short lived",9.1,"no"
"20","Agastache nepetoides","Lamiales","Lamiaceae","Agastache","Agastache nepetoides","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",1500,3.1,8,11,4,"herb","Perennial",1.65,"yes"
"21","Ageratum conyzoides","Asterales","Asteraceae","Ageratum","Ageratum conyzoides","Hermaphrodite","self_compatible","medium",52,"Capitulum","actinomorphic",50,6.5,3,1,40,"herb","Short lived",0.55,"yes"
"22","Ajuga reptans","Lamiales","Lamiaceae","Ajuga","Ajuga reptans","Dioecious","self_compatible","none",0,"Papilionaceous","zygomorphic",60,11.5,15.5,10,4,"herb","Perennial",0.35,"yes"
"23","Alangium platanifolium","Cornales","Cornaceae","Alangium","Alangium platanifolium","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,15,10.5,12,31.12,"shrub","Perennial",3,"yes"
"24","Albizzia julibrissin","Fabales","Fabaceae","Albizzia","Albizia julibrissin","Hermaphrodite","self_incompatible","low",13,"Brush","actinomorphic",20000,2,4,14,10,"tree","Perennial",9,"yes"
"25","Allium ampeloprasum","Asparagales","Amaryllidaceae","Allium","Allium ampeloprasum","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",250,6,5,35.5,6,"herb","Perennial",1.25,"yes"
"26","Allium cyathophorum","Asparagales","Amaryllidaceae","Allium","Allium cyathophorum","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",750,3.5,NA,3.5,5.1,"herb","Perennial",0.225,"yes"
"27","Allium macranthum","Asparagales","Amaryllidaceae","Allium","Allium macranthum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,20,25,14,8,"herb","Perennial",0.4,"yes"
"28","Allium wallichii","Asparagales","Amaryllidaceae","Allium","Allium wallichii","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,18,5,9,6,"herb","Perennial",0.525,"yes"
"29","Alocasia odora","Alismatales","Arecaceae","Alocasia","Alocasia odora","Hermaphrodite","self_compatible","low",13,"Spike","actinomorphic",360,2,1,1,6,"herb","Perennial",1.25,"no"
"30","Aloyssia gratissima","Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","Hermaphrodite","self_compatible","medium",68,"Tube","actinomorphic",2000,2.1,2.2,2,2,"shrub","Perennial",1.75,"yes"
"31","Alpinia formosana","Zingiberales","Zingiberaceae","Alpinia","Alpinia formosana","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",35,16.1,20,20,45,"herb","Perennial",2.25,"yes"
"32","Alpinia intermedia","Zingiberales","Zingiberaceae","Alpinia","Alpinia intermedia","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",70,15,15,20,42,"herb","Perennial",1.25,"yes"
"33","Alternanthera echinocephala","Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera echinocephala","Hermaphrodite","self_compatible","low",1.5,"Campanulate","actinomorphic",5000,10,8,0.2,1,"shrub","Perennial",1.25,"yes"
"34","Amaranthus spinosus","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus spinosus","Monoecious","monoecious","none",0,"Open","actinomorphic",1500,2,2,2,1,"herb","Short lived",0.6,"no"
"35","Ambrosia trifida","Asterales","Asteraceae","Ambrosia","Ambrosia trifida","Monoecious","monoecious","none",0,"Capitulum","actinomorphic",1000,2.5,2.5,2,31.12,"herb","Short lived",2.15,"no"
"36","Amelanchier canadensis","Rosales","Rosaceae","Amelanchier","Amelanchier arborea","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",10000,25,15,2.8,10,"tree","Perennial",7.5,"yes"
"37","Amorpha canescens","Fabales","Fabaceae","Amorpha","Amorpha canescens","Hermaphrodite","self_compatible","medium",52.5,"Tube","zygomorphic",3000,2.25,4.5,2.5,2,"shrub","Perennial",0.5,"yes"
"38","Anchusa azurea","Boraginales","Boraginaceae","Anchusa","Anchusa azurea","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,11.5,8,4.5,4,"herb","Perennial",0.85,"yes"
"39","Andromeda glaucophylla","Ericales","Ericaceae","Andromeda","Andromeda glaucophylla","Hermaphrodite","partially_self_compatible","low",40,"Campanulate","actinomorphic",800,4.5,4.1,2.45,47,"shrub","Perennial",0.35,"yes"
"40","Andryala integrifolia","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,14.5,4,10,75,"herb","Perennial",0.46,"no"
"41","Hepatica acutiloba","Ranunculales","Ranunculaceae","Anemone","Anemone hepatica","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",15,25,1,2,15,"herb","Perennial",0.125,"no"
"42","Anemone rivularis","Ranunculales","Ranunculaceae","Anemone","Anemone rivularis","Hermaphrodite","self_compatible","medium",25,"Open","actinomorphic",20,20,5,1,100,"herb","Perennial",0.8,"no"
"43","Anemonella thalictroides","Ranunculales","Ranunculaceae","Anemonella","Anemonella thalictroides","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,18.5,5,0.5,1,"herb","Perennial",0.2,"no"
"44","Anisotome aromatica","Apiales","Apiaceae","Anisotome","Anisotome aromatica","Dioecious","dioecious","none",0,"Open","actinomorphic",200,4,1,0.5,2,"herb","Perennial",0.25,"no"
"45","Anisotome flexuosus","Apiales","Apiaceae","Anisotome","Anisotome flexuosa","Dioecious","dioecious","none",0,"Open","actinomorphic",500,4,1,0.5,2,NA,NA,0.25,"no"
"46","Antennaria alpina","Asterales","Asteraceae","Antennaria","Antennaria alpina","Monoecious","dioecious","none",0,"Capitulum","actinomorphic",5,1,4.85,5,60,"herb","Perennial",0.1,"yes"
"47","Antennaria plantaginifolia","Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",15,6,4.1,5,60,"herb","Perennial",0.16,"yes"
"48","Anthemis cotula","Asterales","Asteraceae","Anthemis","Anthemis cotula","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",10,3,9.5,3,115,"herb","Short lived",0.35,"no"
"49","Anthriscus sylvestris","Apiales","Apiaceae","Anthriscus","Anthriscus sylvestris","Monoecious","self_compatible","medium",50.5,"Open","zygomorphic",800,4.5,NA,1,2,"herb","Perennial",0.9,"yes"
"50","Antidesma madagascariense","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,2,2,0.5,2,"tree","Perennial",9.1,"no"
"51","Apios tuberosa","Fabales","Fabaceae","Apios","Apios americana","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",500,14.1,11.5,1.1,11.5,"herb","Perennial",3,"yes"
"52","Apocynum cannabinum","Gentianales","Apocynaceae","Apocynum","Apocynum cannabinum","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",800,2.5,3.1,0.1,328,"herb","Perennial",1.25,"yes"
"53","Aquilegia canadensis","Ranunculales","Ranunculaceae","Aquilegia","Aquilegia canadensis","Hermaphrodite","self_compatible","none",48,"Open","actinomorphic",15,24.1,21.1,12.1,118.6,"herb","Perennial",0.525,"yes"
"54","Arabis alpina","Brassicales","Brassicaceae","Arabis","Arabis alpina","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",15,9.1,7.5,0.3,2.5,"herb","Perennial",0.2,"yes"
"55","Arctium lappa","Asterales","Asteraceae","Arctium","Arctium lappa","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",100,28.5,NA,20,40,"herb","Short lived",1.6,"no"
"56","Arctium minus","Asterales","Asteraceae","Arctium","Arctium minus","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",25,60,40,15,30,"herb","Short lived",1,"yes"
"57","Ardisia sieboldii","Ericales","Primulaceae","Ardisia","Ardisia sieboldii","Hermaphrodite","self_compatible","low",0.05,"Open","actinomorphic",50000,15,2,10.5,6,"tree","Perennial",8,"no"
"58","Arisaema triphyllum","Alismatales","Araceae","Arisaema","Arisaema triphyllum","Dioecious","dioecious","none",0,"Open","zygomorphic",50,60,120,1,5,"herb","Perennial",0.45,"no"
"59","Arnica alpina","Asterales","Asteraceae","Arnica","Arnica alpina","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",6,35,8.75,5.1,40,"herb","Perennial",0.175,"yes"
"60","Arnica angustifolia","Asterales","Asteraceae","Arnica","Arnica angustifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",6,35,9.1,6,40,"herb","Perennial",0.175,"yes"
"61","Arnica montana","Asterales","Asteraceae","Arnica","Arnica montana","Hermaphrodite","self_incompatible","none",1.3,"Capitulum","actinomorphic",5,7,NA,10,40,"herb","Perennial",0.4,"yes"
"62","Cacalia atriplicifolia","Asterales","Asteraceae","Arnoglossum","Arnoglossum atriplicifolium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",300,9,24,8,4.5,"herb","Perennial",1.5,"yes"
"63","Cacalia tuberosa","Asterales","Asteraceae","Arnoglossum","Arnoglossum plantagineum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",200,15,10,9,6,"herb","Perennial",0.8,"no"
"64","Aronia melanocarpa","Rosales","Rosaceae","Aronia","Aronia melanocarpa","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",3000,9.1,3.3,4,1.1,"shrub","Perennial",1.35,"yes"
"65","Aruncus sylvester","Rosales","Rosaceae","Aruncus","Aruncus dioicus","Dioecious","dioecious","none",0,"Brush","actinomorphic",14000,5,31.12,0.55,3,"herb","Perennial",1.15,"yes"
"66","Asclepias incarnata","Gentianales","Apocynaceae","Asclepias","Asclepias incarnata","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",3500,5.1,10,0.1,58,"herb","Perennial",1.05,"yes"
"67","Asclepias purpurascens","Gentianales","Apocynaceae","asclepias","Asclepias purpurascens","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",300,9,10,0.1,166,"herb","Perennial",0.5,"yes"
"68","Asclepias sullivantii","Gentianales","Apocynaceae","Asclepias","Asclepias sullivantii","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",250,2.4,5.8,0.1,60,"herb","Perennial",0.9,"yes"
"69","Asclepias syriaca","Gentianales","Apocynaceae","Asclepias","Asclepias syriaca","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",400,4.5,4.5,0.1,208,"herb","Perennial",1.35,"yes"
"70","Asclepias tuberosa","Gentianales","Apocynaceae","Asclepias","Asclepias tuberosa","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",1000,6.5,8,0.1,70,"herb","Perennial",0.45,"yes"
"71","Asclepias verticillata","Gentianales","Apocynaceae","Asclepias","Asclepias verticillata","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",80,5.5,9,0.1,48,"herb","Perennial",0.3,"yes"
"72","Asparagus officinalis","Asparagales","Asparagaceae","Asparagus","Asparagus officinalis","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",2000,2.6,4.5,0.5,5,"vine","Perennial",0.55,"yes"
"73","Asphodelus fistulosus","Asparagales","Asphodelaceae","Asphodelus","Asphodelus fistulosus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",500,8.5,1.5,5.5,6,NA,"Short lived",0.4,"yes"
"74","Aster ageratoides","Asterales","Asteraceae","Aster","Aster ageratoides","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",8,17.5,8,3,25,"herb","Perennial",0.75,"yes"
"75","Aster asa-grayi","Asterales","Asteraceae","Aster","Aster asa-grayi","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,22.5,10,3,100,"herb","Perennial",0.24,"yes"
"76","Aster diplostephioides","Asterales","Asteraceae","Aster","Aster diplostephioides","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,15.3,30,5,200,"herb","Perennial",0.35,"yes"
"77","Aster glehni","Asterales","Asteraceae","Aster","Aster glehnii","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",75,30,NA,3,35,"herb","Perennial",1.35,"yes"
"78","Kalimeris pinnatifida","Asterales","Asteraceae","Aster","Aster iinumae","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,29.1,1.5,1,75,"herb","Perennial",0.75,"yes"
"79","Aster oreophilus","Asterales","Asteraceae","Aster","Aster oreophilus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,29.1,NA,5,75,"herb","Perennial",0.4,"yes"
"80","Aster salicifolius","Asterales","Asteraceae","Aster","Aster salicifolius","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,4,7,3,40,"herb","Perennial",1.05,"yes"
"81","Aster ageratoides amplexifolius","Asterales","Asteraceae","Aster","Aster satsumensis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,19.1,NA,3,75,"herb","Perennial",0.5,"yes"
"82","Aster souliei","Asterales","Asteraceae","Aster","Aster souliei","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",2,13.2,10,5,200,"herb","Perennial",0.235,"yes"
"83","Aster vestitus","Asterales","Asteraceae","Aster","Aster vestitus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,80,15,5,75,"herb","Perennial",0.95,"yes"
"84","Aster yunnanensis","Asterales","Asteraceae","Aster","Aster yunnanensis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,62.5,9.1,5,75,"herb","Perennial",0.525,"yes"
"85","Astragalus alpinus","Fabales","Fabaceae","Astragalus","Astragalus alpinus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",120,9,12,12,7,"herb","Perennial",0.14,"yes"
"86","Astragalus canadensis","Fabales","Fabaceae","Astragalus","Astragalus canadensis","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",300,5,12.1,7.5,12,"herb","Perennial",0.9,"yes"
"87","Astragalus mexicanus","Fabales","Fabaceae","Astragalus","Astragalus mexicanus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",300,10,16,7.5,12,"herb","Perennial",0.45,"yes"
"88","Astragalus pullus","Fabales","Fabaceae","Astragalus","Astragalus pullus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",120,5,10,10,16,"shrub","Perennial",0.15,"yes"
"89","Capparis atamisquea","Brassicales","Capparaceae","Atamisquea","Atamisquea emarginata","Hermaphrodite","self_incompatible","none",3.5,"Open","zygomorphic",10000,13,NA,6,23,"shrub","Perennial",4.5,"yes"
"90","Gerardia grandiflora","Lamiales","Orobanchaceae","Aureolaria","Aureolaria grandiflora","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",15,33,47.5,18,100,"herb","Perennial",1.05,"yes"
"91","Avicennia germinans","Lamiales","Acanthaceae","Avicennia","Avicennia germinans","Hermaphrodite","self_compatible","low",10,"Tube","actinomorphic",5000,10,6,4,4,"tree","Perennial",14,"yes"
"92","Bacopa monniera","Lamiales","Plantaginaceae","Bacopa","Bacopa monnieri","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",10,7.5,10,4.1,178,"herb","Perennial",0.25,"no"
"93","Bakerella hoyifolia","Santalales","Loranthaceae","Bakerella","Bakerella hoyifolia","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",400,4.1,24.5,25,8,"herb","Perennial",0.75,"yes"
"94","Baptisia bracteata","Fabales","Fabaceae","Baptisia","Baptisia bracteata","Hermaphrodite","self_compatible","low",13,"Papilionaceous","zygomorphic",600,14,16,12,18.5,"herb","Perennial",0.25,"yes"
"95","Bartsia alpina","Lamiales","Orobanchaceae","Bartsia","Bartsia alpina","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",10,5,17.5,17,94,"herb","Perennial",0.23,"yes"
"96","Bastardia viscosa","Malvales","Malvaceae","Bastardia","Bastardia viscosa","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",20,7.1,2,1,5,"herb","Perennial",1,"yes"
"97","Bauhinia japonica","Fabales","Fabaceae","Bauhinia","Bauhinia japonica","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",100,19.1,NA,50,8,"vine","Perennial",6,"yes"
"98","Bertiera zaluzania","Gentianales","Rubiaceae","Bertiera","Bertiera zaluzania","Dioecious","dioecious","none",0,"Tube","actinomorphic",300,15,15,15,100,"shrub","Perennial",1,"yes"
"99","Beta maritima","Caryophyllales","Chenopodiaceae","Beta","Beta vulgaris","Dioecious","partially_self_compatible","low",13,"Tube","actinomorphic",150,2.5,4,2.01,1,"herb","Perennial",0.5,"no"
"100","Bidens aristosa","Asterales","Asteraceae","Bidens","Bidens aristosa","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,60,24.1,6,56.5,"herb","Short lived",0.75,"yes"
"101","Bidens connata","Asterales","Asteraceae","Bidens","Bidens connata","Hermaphrodite","self_compatible","high",100,"Capitulum","actinomorphic",15,14,3,6,70,"herb","Short lived",0.8,"yes"
"102","Bidens pilosa","Asterales","Asteraceae","Bidens","Bidens pilosa","Hermaphrodite","self_compatible","high",67,"Capitulum","actinomorphic",5,11,8,6,50,"herb","Short lived",0.85,"yes"
"103","Blastus cochinchinensis","Myrtales","Melastomataceae","Blastus","Blastus cochinchinensis","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",150,8,3,10,100,"shrub","Perennial",2,"no"
"104","Arabis laevigata","Brassicales","Brassicaceae","Boechera","Boechera stricta","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",35,2.1,1.1,0.175,163,"herb","Short lived",0.575,"yes"
"105","Boerhaavia caribaea","Boraginales","Nyctaginaceae","Boerhaavia","Boerhavia caribaea","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",500,0.5,0.5,2.65,1,"herb","Perennial",0.9,"yes"
"106","Bonnetia sessilis","Malpighiales","Bonnetiaceae","Bonnetia","Bonnetia sessilis","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",100,60,15.6,15,100,"shrub","Perennial",1.5,"no"
"107","Bougainvillea_spinosa","Caryophyllales","Nyctaginaceae","Bougainvillea","Bougainvillea spinosa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,14,10,1,1,"shrub","Perennial",5,"yes"
"108","Senecio bellidioides","Asterales","Asteraceae","Brachyglottis","Brachyglottis bellidioides","Hermaphrodite","partially_self_compatible","medium",35,"Capitulum","actinomorphic",1,30,6.85,5,25,"herb","Perennial",0.05,"yes"
"109","Brachycome scapigera","Asterales","Asteraceae","Brachyscome","Brachyscome scapigera","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,12,4.1,2,90,"herb","Perennial",0.2,"yes"
"110","Brassica fruticulosa","Brassicales","Brassicaceae","Brassica","Brassica fruticulosa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",20,15,5.5,1.96,20.2,"shrub","Perennial",2,"yes"
"111","Brassica campestris","Brassicales","Brassicaceae","Brassica","Brassica rapa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,10,5,1,26,"herb","Short lived",0.75,"yes"
"112","Buddleja mendozensis","Lamiales","Scrophulariaceae","Buddleja","Buddleja mendozensis","Hermaphrodite","self_compatible","high",71,"Tube","actinomorphic",500,2,4,2.25,143,"shrub","Perennial",1.1,"yes"
"113","Bursera graveolens","Sapindales","Burseraceae","Bursera","Bursera graveolens","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",2500,4.8,4,1,2,"tree","Perennial",6,"yes"
"114","Caesalpinia pulcherrima","Fabales","Fabaceae","Caesalpinia","Caesalpinia pulcherrima","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",2000,50,10,50,6,"shrub","Perennial",1.5,"yes"
"115","Calendula arvensis","Asterales","Asteraceae","Calendula","Calendula arvensis","Hermaphrodite","self_compatible","medium",74.2,"Capitulum","actinomorphic",10,24.1,6,3,30,"herb","Short lived",0.25,"yes"
"116","Calluna vulgaris","Ericales","Ericaceae","Calluna","Calluna vulgaris","Hermaphrodite","partially_self_compatible","low",10.9,"Campanulate","actinomorphic",2500,6,6,5,3.1,"shrub","Perennial",0.5,"yes"
"117","Calopogon pulchellus","Asparagales","Orchidaceae","Calopogon","Calopogon tuberosus","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",10,37.5,17,10,7600,"herb","Perennial",0.7,"no"
"118","Calystegia hederacea","Solanales","Convolvulaceae","Calystegia hederacea","Calystegia hederacea","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",10,28.5,38.5,9.5,4,"vine","Perennial",0.3,"yes"
"119","Convolvulus sepium","Solanales","Convolvulaceae","Calystegia","Calystegia sepium","Hermaphrodite","self_compatible","low",5.3,"Campanulate","actinomorphic",10,60,55,22.5,4,"herb","Perennial",3,"yes"
"120","Camassia esculenta","Asparagales","Asparagaceae","Camassia","Camassia quamash","Hermaphrodite","self_compatible","low",9,"Open","zygomorphic",100,35,19,15,21,"herb","Perennial",0.45,"yes"
"121","Campanula americana","Asterales","Campanulaceae","Campanula","Campanula americana","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",30,25,8,13.5,90,"herb","Short lived",1,"yes"
"122","Tecoma radicans","Lamiales","Bignoniaceae","Campsis","Campsis radicans","Hermaphrodite","self_incompatible","none",0,"Funnelform","actinomorphic",800,68,73,48,30,"vine","Perennial",5,"yes"
"123","Caperonia pallustris","Malpighiales","Euphorbiaceae","Caperonia","Caperonia palustris","Monoecious","monoecious","none",0,"Open","actinomorphic",30,3.5,1,0.75,3,"herb","Short lived",0.9,"yes"
"124","Capsicum frutescens","Solanales","Solanaceae","Capsicum","Capsicum frutescens","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",3,16.25,NA,3.5,100,"shrub","Perennial",1,"yes"
"125","Cardamine bulbosa","Brassicales","Brassicaceae","Cardamine","Cardamine bulbosa","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",50,15,10,3.5,19,"herb","Perennial",0.3,"yes"
"126","Cardamine regeliana","Brassicales","Brassicaceae","Cardamine","Cardamine scutata","Hermaphrodite","self_compatible","high",99,"Tube","actinomorphic",40,3.1,2,0.9,29,"herb","Short lived",0.375,"yes"
"127","Carpobrotus affinis","Caryophyllales","Aizoaceae","Carpobrotus","Carpobrotus acinaciformis","Hermaphrodite","partially_self_compatible","low",20,"Capitulum","actinomorphic",1,125,30,7,1200,"herb","Perennial",0.1,"yes"
"128","Cassiope tetragona","Ericales","Ericaceae","Cassiope","Cassiope tetragona","Hermaphrodite","self_compatible","high",100,"Campanulate","actinomorphic",20,7,6.1,2,180,"shrub","Perennial",0.75,"yes"
"129","Castanopsis sieboldii","Fagales","Fagaceae","Castanopsis","Castanopsis sieboldii","Monoecious","monoecious","none",0,"Brush","actinomorphic",80000,5,3,1,1,"tree","Perennial",20,"no"
"130","Castela coccinea","Sapindales","Simaroubaceae","Castela","Castela coccinea","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",3500,5,0.5,1.5,1,"shrub","Perennial",4.5,"yes"
"131","Castela galapageia","Sapindales","Simaroubaceae","Castela","Castela galapageia","Dioecious","dioecious","none",0,"Open","actinomorphic",200,10,4,1,1,"shrub","Perennial",2.5,"yes"
