"","Plant_species","guild","Id","Interaction"
"1","Acantholippia seriphioides","Bee","15_2_peralta_2006_mendoza_site_2.csv",0
"2","Acantholippia seriphioides","Coleoptera","15_2_peralta_2006_mendoza_site_2.csv",0
"3","Acantholippia seriphioides","Lepidoptera","15_2_peralta_2006_mendoza_site_2.csv",1
"4","Acantholippia seriphioides","Non-bee-Hymenoptera","15_2_peralta_2006_mendoza_site_2.csv",0
"5","Acantholippia seriphioides","Non-syrphids-diptera","15_2_peralta_2006_mendoza_site_2.csv",2
"6","Acantholippia seriphioides","Syrphids","15_2_peralta_2006_mendoza_site_2.csv",19
"7","Acantholippia seriphioides",NA,"15_2_peralta_2006_mendoza_site_2.csv",0
"8","Achillea millefolium","Bee","17_1_arroyo_correa_new_zealand_2019_1.csv",14
"9","Achillea millefolium","Bee","17_2_arroyo_correa_new_zealand_2019_2.csv",2
"10","Achillea millefolium","Bee","17_3_arroyo_correa_new_zealand_2019_3.csv",30
"11","Achillea millefolium","Bee","2_1_dicks_2002_england_shelfanger.csv",0
"12","Achillea millefolium","Bee","6_1_inouye_1988_australia.csv",15
"13","Achillea millefolium","Coleoptera","17_1_arroyo_correa_new_zealand_2019_1.csv",0
"14","Achillea millefolium","Coleoptera","17_2_arroyo_correa_new_zealand_2019_2.csv",0
"15","Achillea millefolium","Coleoptera","17_3_arroyo_correa_new_zealand_2019_3.csv",3
"16","Achillea millefolium","Coleoptera","2_1_dicks_2002_england_shelfanger.csv",0
"17","Achillea millefolium","Lepidoptera","17_1_arroyo_correa_new_zealand_2019_1.csv",8
"18","Achillea millefolium","Lepidoptera","17_2_arroyo_correa_new_zealand_2019_2.csv",7
"19","Achillea millefolium","Lepidoptera","17_3_arroyo_correa_new_zealand_2019_3.csv",18
"20","Achillea millefolium","Lepidoptera","2_1_dicks_2002_england_shelfanger.csv",3
"21","Achillea millefolium","Non-bee-Hymenoptera","17_1_arroyo_correa_new_zealand_2019_1.csv",0
"22","Achillea millefolium","Non-bee-Hymenoptera","17_2_arroyo_correa_new_zealand_2019_2.csv",0
"23","Achillea millefolium","Non-syrphids-diptera","17_1_arroyo_correa_new_zealand_2019_1.csv",13
"24","Achillea millefolium","Non-syrphids-diptera","17_2_arroyo_correa_new_zealand_2019_2.csv",1
"25","Achillea millefolium","Non-syrphids-diptera","17_3_arroyo_correa_new_zealand_2019_3.csv",7
