"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Nectar_presence_absence","Clusters"
"Staphylea bumalda","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Tube","actinomorphic",-0.150228678084148,-0.158437941734724,-0.655565129957651,-0.65703107541082,-0.282283071658716,0.055827481220313,-0.113551913792677,"shrub","Perennial",0.415563287849473,"yes",3
"Staphylea trifolia","Hermaphrodite","partially_self_compatible","none",-0.71336012543232,"Campanulate","actinomorphic",-0.190828036411901,-0.158437941734724,-0.14192217603327,-0.44003677730711,-0.229858934534678,-0.165997781797446,-0.113551913792677,"shrub","Perennial",0.415563287849473,"yes",3
"Stauntonia hexaphylla","Monoecious","monoecious","none",-0.71336012543232,"Campanulate","actinomorphic",-0.0632300530961065,-0.133840057344134,0.751369917748263,-0.0208432468794881,0.236133395456771,-0.165997781797446,-0.0660210183627873,"vine","Perennial",0.415563287849473,"yes",4
"Stegolepis angustata","Hermaphrodite","partially_self_compatible","low",0.149019968319164,"Tube","actinomorphic",-0.233167367239414,-0.0846442885629556,-0.365245199478653,-0.168793904677472,0.498254081076961,1.49769169083575,-0.118446994506553,"herb","Short lived",-0.409810315915027,"no",1
"Steironema quadriflorum","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Open","actinomorphic",-0.235487330572429,-0.133840057344134,-0.599734374096306,-0.0455016898458188,-0.404606058281471,-0.193725939674666,-0.112963562745336,"herb","Perennial",-0.421194779415227,"yes",3
"Stellaria graminea","Hermaphrodite","self_compatible","none",-0.71336012543232,"Open","actinomorphic",-0.236067321405682,-0.158437941734724,-0.711395885818997,-0.292086119509126,-0.521104140779333,-0.387823044815205,-0.092371276088403,"herb","Perennial",-0.495193792166527,"yes",3
"Stellaria longifolia","Hermaphrodite","self_compatible","low",-0.157354620531058,"Open","actinomorphic",-0.234907339739175,-0.158437941734724,-0.722562036991266,-0.316744562475456,-0.573528277903371,-0.609648307832964,-0.092371276088403,"herb","Perennial",-0.509424371541777,"yes",2
"Stellaria longipes","Hermaphrodite","self_compatible","low",-0.225927898529308,"Open","actinomorphic",-0.232587376406161,-0.163357518612842,-0.720328806756813,-0.31181287388219,-0.521104140779333,-0.471007518446864,-0.092371276088403,"herb","Perennial",-0.523654950917027,"yes",2
"Stellaria palustris","Hermaphrodite","self_compatible","low",-0.197444983824163,"Open","actinomorphic",-0.236879308572237,-0.168277095490959,-0.566235920579498,0.0284736390531733,-0.451205291280616,-0.387823044815205,-0.092371276088403,"herb","Perennial",-0.475270981041177,"yes",2
"Stellaria uchiyamana","Hermaphrodite","self_compatible","low",-0.237115405506399,"Open","actinomorphic",-0.235487330572429,-0.168277095490959,-0.700229734646728,-0.267427676542795,-0.521104140779333,-0.637376465710183,-0.092371276088403,"herb","Perennial",-0.452502054040777,"yes",2
