"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Nectar_presence_absence","Clusters"
"Abelmoschus manihot","Hermaphrodite","self_compatible","high",2.58618110283423,"Open","actinomorphic",-0.231427394739653,-0.168277095490959,-0.610900525268575,-0.0701601328121495,-0.317232496408074,-0.0550851502885664,-0.0658954789580609,"shrub","Perennial",-0.011354093408027,"yes",1
"Abutilon depauperatum","Hermaphrodite","self_compatible","high",2.58618110283423,"Campanulate","actinomorphic",-0.231427394739653,-0.158437941734724,-0.588568222924036,-0.0208432468794881,0.236133395456771,-0.276910413306325,-0.110021807508631,"shrub","Perennial",-0.082506990284277,"yes",1
"Abutilon theophrasti","Hermaphrodite","self_compatible","high",2.58618110283423,"Open","actinomorphic",-0.231427394739653,-0.158437941734724,-0.644398978785382,-0.144135461711142,-0.491979620154868,-0.276910413306325,-0.107668403319267,"herb","Short lived",-0.224812784036777,"yes",1
"Acacia dealbata","Hermaphrodite","partially_self_compatible","low",-0.698362210758381,"Brush","actinomorphic",7.30265352922474,0.198231381928822,-0.0302606643105785,-0.477024441756606,-0.302670236095841,-0.332366729060765,-0.120023775313427,"tree","Perennial",1.83862122537447,"yes",2
"Acacia insulae-iacobi","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Tube","actinomorphic",0.342763530181421,-0.158437941734724,-0.0302606643105785,-0.291364860052361,-0.51527923665444,-0.332366729060765,-0.120612126360768,"tree","Perennial",0.842480669106973,"yes",3
"Acacia rorudiana","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Tube","actinomorphic",0.342763530181421,-0.12154111514884,-0.0302606643105785,-0.46469522027344,-0.500716976342207,0.055827481220313,-0.118258722171404,"shrub","Perennial",0.301718652847473,"yes",3
"Acantholippia seriphioides","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Tube","actinomorphic",0.922754363435031,-0.0477474619770716,-0.387577501823192,-0.46469522027344,-0.462855099530402,-0.387823044815205,-0.126495636834177,"shrub","Perennial",-0.452502054040777,"yes",3
"Acer carpinifolium","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",2.08273602994225,0.0752419599758753,-0.0302606643105785,-0.31181287388219,-0.51527923665444,-0.498735676324084,-0.125318934739495,"tree","Perennial",1.26939805036447,"yes",4
"Acer caudatifolium","Hermaphrodite","dioecious","none",-0.71336012543232,"Open","actinomorphic",0.342763530181421,-0.133840057344134,-0.476906711201345,-0.514012106206102,-0.34635701703254,-0.609648307832964,-0.122965530550132,"tree","Perennial",1.15555341536247,"no",2
"Acer negundo","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",1.50274519668864,-0.133840057344134,-0.476906711201345,-0.484421974646505,-0.340532112907647,0.0170080601922052,-0.125318934739495,"tree","Perennial",1.69631543162197,"no",4
"Acer saccharinum","Monoecious","monoecious","none",-0.71336012543232,"Open","actinomorphic",0.922754363435031,-0.133840057344134,-0.476906711201345,-0.637304321037755,-0.462855099530402,-0.165997781797446,-0.125318934739495,"tree","Perennial",7.38854718172197,"no",4
"Achillea millefolium","Dioecious","dioecious","none",-0.71336012543232,"Capitulum","actinomorphic",-0.214027669742045,-0.109242172953545,-0.14192217603327,-0.65703107541082,-0.497804524279761,-0.443279360569644,-0.118847073218745,"herb","Perennial",-0.352887998414027,"yes",4
"Achillea wilsoniana","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.144428769751612,1.79709386731713,-0.789558944024881,-0.46469522027344,-0.404606058281471,-0.387823044815205,-0.118847073218745,"herb","Perennial",-0.395579736539777,"yes",3
"Achyranthes bidentata","Hermaphrodite","self_compatible","low",-0.139590527969444,"Tube","actinomorphic",-0.225627486407117,-0.109242172953545,-0.588568222924036,-0.686621206970417,-0.34635701703254,-0.554191992078524,-0.127083987881518,"herb","Perennial",-0.310196260288277,"no",2
"Aciphylla glacialis","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",-0.121229136421468,0.321220803881769,3.54290771081555,-0.649633542520921,-0.60847770265273,-0.609648307832964,-0.126495636834177,"herb","Perennial",-0.459617343728402,"yes",4
"Aciphylla scott-thomsonii","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",-0.231427394739653,-0.0477474619770716,2.42629259358864,-0.649633542520921,-0.60847770265273,-0.665104623587403,-0.126495636834177,"herb","Perennial",-0.438271474665527,"yes",4
"Aciphylla simplicifolia","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",-0.121229136421468,2.28905155512892,3.54290771081555,-0.674291985487251,-0.614302606777623,-0.609648307832964,-0.126495636834177,"herb","Perennial",-0.495193792166527,"yes",4
"Aciphylla subflabellata","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",-0.179228219746829,1.05915733559945,2.42629259358864,-0.674291985487251,-0.614302606777623,-0.665104623587403,-0.126495636834177,"herb","Perennial",-0.509424371541777,"no",4
"Aconitum piepunense","Hermaphrodite","self_compatible","high",2.58618110283423,"Open","zygomorphic",-0.231427394739653,-0.0477474619770716,-0.40990980416773,-0.119477018744811,-0.200734413910212,-0.443279360569644,-0.0935479781830849,"herb","Perennial",-0.374148907529799,"yes",5
"Acrothamnus montanus","Hermaphrodite","self_compatible","low",-0.149175132815758,"Tube","actinomorphic",-0.150228678084148,-0.12154111514884,-0.476906711201345,-0.637304321037755,-0.477417359842635,-0.659558992011959,-0.125318934739495,"shrub","Perennial",-0.480963212791277,"yes",2
"Actaea rubra","Hermaphrodite","self_compatible","medium",0.598957408537329,"Open","actinomorphic",-0.208227761409509,-0.0723453463676609,-0.476906711201345,-0.514012106206102,1.17510794038954,-0.554191992078524,-0.114728615887359,"herb","Perennial",-0.409810315915027,"no",1
"Actaea yunnanensis","Hermaphrodite","self_compatible","low",-0.235286597285845,"Open","actinomorphic",-0.230267413073146,-0.0231495775864822,-0.476906711201345,-0.366061448408118,-0.484347539525226,-0.554191992078524,-0.127083987881518,"herb","Perennial",-0.324426839663527,"no",2
"Actinidia arguta","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",-0.202427853076973,-0.133840057344134,0.0814008474121131,0.0284736390531733,-0.34635701703254,0.000371165465873276,0.225338289475702,"vine","Perennial",0.557869081601973,"no",4
"Actinidia rufa","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",-0.202427853076973,-0.133840057344134,-0.644398978785382,-0.144135461711142,-0.34635701703254,-0.387823044815205,0.225338289475702,"shrub","Perennial",1.41170384411697,"no",4
"Adenophora capillaris","Hermaphrodite","self_incompatible","low",-0.413401831953543,"Campanulate","actinomorphic",-0.233747358072668,-0.0969432307582503,-0.644398978785382,-0.144135461711142,0.17788435420784,1.49769169083575,-0.0382429797330369,"herb","Perennial",-0.367118577789277,"yes",2
"Adenophora jasionifolia","Hermaphrodite","self_incompatible","low",-0.263422685214155,"Campanulate","actinomorphic",-0.236067321405682,-0.146138999539429,-0.476906711201345,0.225741182783819,0.436510097353094,1.49769169083575,-0.0141205867920586,"herb","Perennial",-0.452502054040777,"yes",2
"Adenophora khasiana","Hermaphrodite","self_incompatible","low",-0.263422685214155,"Campanulate","actinomorphic",-0.225627486407117,0.0752419599758753,-0.14192217603327,0.965494471773739,0.561745536038296,1.94134221687126,0.0817806339245139,"herb","Perennial",-0.324426839663527,"yes",2
"Adenostyles alpina","Hermaphrodite","self_compatible","low",-0.0297664230301929,"Capitulum","actinomorphic",-0.214027669742045,0.0752419599758753,1.30967747636172,-0.163862216084206,-0.171609893285746,0.943128533291348,-0.122965530550132,"herb","Perennial",-0.310196260288277,"yes",2
"Aeginetia indica","Hermaphrodite","self_compatible","low",-0.164614548602911,"Tube","zygomorphic",-0.237111304905539,-0.168277095490959,-0.414376264636638,0.363828463395271,1.54673682355772,0.66584695451915,-0.0947246802777667,"herb","Perennial",-0.530770240604652,"yes",5
"Aeschynomene mollicula","Hermaphrodite","self_compatible","low",0.0690304651450449,"Papilionaceous","zygomorphic",-0.236647312238936,-0.158437941734724,-0.876654923168581,-0.65703107541082,-0.224034030409785,-0.165997781797446,-0.118847073218745,"shrub","Perennial",-0.295965680913027,"yes",5
"Aeschynomene pratensis","Hermaphrodite","self_compatible","low",0.161393247925163,"Papilionaceous","zygomorphic",-0.235487330572429,-0.163357518612842,-0.856555851058496,-0.612645878071425,-0.171609893285746,-0.165997781797446,-0.118847073218745,"herb","Perennial",-0.295965680913027,"yes",5
"Aesculus glabra","Monoecious","self_compatible","low",-0.303915180094455,"Tube","zygomorphic",0.922754363435031,-0.0477474619770716,0.863031429470954,-0.119477018744811,0.643876684199289,3.71594432101333,-0.124142232644813,"tree","Perennial",3.68859654415697,"yes",5
"Aesculus hippocastanum","Hermaphrodite","self_compatible","low",-0.386918639204924,"Open","zygomorphic",2.08273602994225,0.0752419599758753,1.75632352325249,0.595617827278779,0.125460217083802,1.10949748055467,-0.124142232644813,"tree","Perennial",4.82704289417697,"yes",5
"Agalinis auriculata","Hermaphrodite","self_compatible","high",2.84864460962816,"Campanulate","zygomorphic",-0.236067321405682,-0.146138999539429,-0.253583687755962,-0.163862216084206,0.119635312958909,0.499478007255831,-0.000853270674520458,"herb","Short lived",-0.452502054040777,"no",5
"Agalinis purpurea","Hermaphrodite","self_compatible","high",2.58618110283423,"Campanulate","zygomorphic",-0.225627486407117,0.0752419599758753,0.416385382580188,0.0531320820195039,0.416705423328458,0.943128533291348,0.00411829567551044,"herb","Short lived",-0.452502054040777,"yes",5
"Agalinis tenuifolia","Hermaphrodite","self_compatible","high",2.58618110283423,"Campanulate","zygomorphic",-0.225627486407117,0.0752419599758753,-0.476906711201345,-0.242769233576464,0.0905107923344435,0.499478007255831,-0.0764857978101977,"herb","Short lived",2.00938817787747,"no",5
"Agarista salicifolia","Hermaphrodite","self_compatible","low",-0.25684047541163,"Tube","actinomorphic",-0.00523096977074551,-0.0969432307582503,-0.700229734646728,-0.538670549172433,-0.142485372661281,0.055827481220313,-0.123553881597473,"tree","Perennial",2.39361382100922,"yes",2
"Agastache nepetoides","Hermaphrodite","self_compatible","high",2.58618110283423,"Tube","zygomorphic",-0.0632300530961065,0.0752419599758753,-0.253583687755962,-0.607714189478158,-0.171609893285746,0.499478007255831,-0.125318934739495,"herb","Perennial",-0.110968149034777,"yes",5
"Agastache scrophulariaefolia","Hermaphrodite","self_compatible","low",-0.217502819961222,"Tube","zygomorphic",-0.179228219746829,0.0752419599758753,-0.253583687755962,-0.563328992138763,-0.165784989160853,0.499478007255831,-0.125318934739495,"herb","Perennial",-0.239043363412027,"yes",5
"Ageratum conyzoides","Hermaphrodite","self_compatible","medium",1.23636878217973,"Capitulum","actinomorphic",-0.231427394739653,-0.133840057344134,-0.778392792852612,-0.44003677730711,-0.462855099530402,-0.609648307832964,-0.104138297035222,"herb","Short lived",-0.424040895290277,"yes",1
"Agrimonia pilosa","Hermaphrodite","self_compatible","low",-0.158228717745648,"Open","actinomorphic",-0.233747358072668,-0.0969432307582503,-0.521571315890421,-0.390719891374448,-0.579353182028264,-0.387823044815205,-0.126495636834177,"herb","Perennial",-0.367118577789277,"no",2
"Agrimonia striata","Hermaphrodite","self_compatible","low",-0.170630118441661,"Open","actinomorphic",-0.230267413073146,-0.0231495775864822,-0.521571315890421,-0.405514957154247,-0.602652798527837,-0.387823044815205,-0.127083987881518,"herb","Perennial",-0.367118577789277,"no",2
"Ajuga dictyocarpa","Hermaphrodite","self_compatible","low",-0.119714541547807,"Tube","zygomorphic",-0.235487330572429,-0.158437941734724,-0.365245199478653,-0.415378334340779,-0.282283071658716,-0.0550851502885664,-0.125318934739495,"herb","Perennial",-0.509424371541777,"yes",5
"Ajuga forrestii","Hermaphrodite","self_compatible","low",0.130620026666688,"Tube","zygomorphic",-0.227947449740132,0.0260461911946966,-0.387577501823192,-0.316744562475456,-0.165784989160853,-0.0550851502885664,-0.125318934739495,"herb","Short lived",-0.529347182667127,"yes",5
"Ajuga reptans","Dioecious","self_compatible","none",-0.71336012543232,"Papilionaceous","zygomorphic",-0.230267413073146,-0.0231495775864822,-0.253583687755962,-0.193452347643803,0.265257916081237,0.388565375746951,-0.125318934739495,"herb","Perennial",-0.480963212791277,"yes",5
"Akebia quinata","Monoecious","monoecious","none",-0.71336012543232,"Open","actinomorphic",-0.231427394739653,-0.133840057344134,0.0814008474121131,-0.0208432468794881,-0.491979620154868,-0.387823044815205,-0.073667949304063,"vine","Perennial",1.12709225661197,"no",4
"Alangium platanifolium","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Tube","actinomorphic",0.342763530181421,-0.12154111514884,-0.588568222924036,-0.0208432468794881,-0.0259872901634187,0.61039063876471,-0.109362854335609,"shrub","Perennial",0.273257494096973,"yes",3
"Albizia julibrissin","Hermaphrodite","self_incompatible","low",-0.225927898529308,"Brush","actinomorphic",2.08273602994225,-0.109242172953545,0.0814008474121131,-0.661962764004086,-0.404606058281471,0.832215901782469,-0.12178882845545,"tree","Perennial",1.98092701912697,"yes",2
"Alisma gramineum","Hermaphrodite","self_compatible","low",-0.0983698530860697,"Open","actinomorphic",-0.233747358072668,-0.0969432307582503,-0.789558944024881,-0.46469522027344,-0.491979620154868,-0.670650255162847,-0.11590531798204,"herb","Perennial",-0.502309081854152,"yes",2
"Allium ampeloprasum","Hermaphrodite","self_compatible","low",0.0365356082646222,"Open","actinomorphic",-0.208227761409509,0.444210225834716,0.193062359134805,-0.46469522027344,-0.34635701703254,3.21683747922338,-0.124142232644813,"herb","Perennial",-0.224812784036777,"yes",2
"Allium atrosanguineum","Hermaphrodite","self_compatible","low",-0.225927898529308,"Tube","actinomorphic",-0.231427394739653,-0.0477474619770716,-0.700229734646728,-0.437007898562746,-0.121063316924633,-0.138269623920226,-0.124142232644813,"herb","Perennial",-0.495193792166527,"yes",2
"Allium cyathophorum","Hermaphrodite","self_compatible","low",-0.225927898529308,"Tube","actinomorphic",-0.150228678084148,-0.109242172953545,-0.532737467062691,-0.587987435105094,-0.316737379557458,-0.332366729060765,-0.12467174858742,"herb","Perennial",-0.516539661229402,"yes",2
"Allium macranthum","Hermaphrodite","self_compatible","low",-0.225927898529308,"Open","actinomorphic",-0.233167367239414,-0.0846442885629556,2.20296957014325,0.225741182783819,0.818623807946082,0.832215901782469,-0.122965530550132,"herb","Perennial",-0.466732633416027,"yes",2
"Allium wallichii","Hermaphrodite","self_compatible","low",-0.225927898529308,"Open","actinomorphic",-0.233167367239414,-0.0846442885629556,0.863031429470954,0.127107410918496,-0.34635701703254,0.277652744238072,-0.124142232644813,"herb","Perennial",-0.431156184977902,"yes",2
"Alocasia odora","Hermaphrodite","self_compatible","low",-0.225927898529308,"Spike","actinomorphic",-0.19546796307793,0.714786954131199,2.42629259358864,-0.661962764004086,-0.579353182028264,-0.609648307832964,-0.124142232644813,"herb","Perennial",-0.224812784036777,"no",2
"Aloysia gratissima","Hermaphrodite","self_compatible","medium",1.83628536913728,"Tube","actinomorphic",-0.00523096977074551,-0.0477474619770716,-0.700229734646728,-0.65703107541082,-0.509454332529547,-0.498735676324084,-0.126495636834177,"shrub","Perennial",-0.082506990284277,"yes",1
"Alpinia formosana","Hermaphrodite","self_compatible","low",-0.225927898529308,"Tube","zygomorphic",-0.233167367239414,-0.0846442885629556,0.0814008474121131,0.0334053276464395,0.527378601701427,1.49769169083575,-0.101196541798517,"herb","Perennial",0.059798803468223,"yes",5
"Alpinia intermedia","Hermaphrodite","self_compatible","low",-0.225927898529308,"Tube","zygomorphic",-0.229107431406639,0.00144830680410718,0.0814008474121131,-0.0208432468794881,0.236133395456771,1.49769169083575,-0.10296159494054,"herb","Perennial",-0.224812784036777,"yes",5
"Alstonia macrophylla","Hermaphrodite","self_compatible","low",-0.247054336086885,"Tube","actinomorphic",0.516760780157504,0.149035613147643,1.30967747636172,-0.144135461711142,-0.317232496408074,-0.165997781797446,-0.0864877656149936,"tree","Perennial",4.28628087791747,"yes",2
"Alternanthera echinocephala","Hermaphrodite","self_compatible","low",-0.657117945405049,"Campanulate","actinomorphic",0.342763530181421,-0.0723453463676609,-0.253583687755962,-0.267427676542795,-0.171609893285746,-0.698378413040067,-0.127083987881518,"shrub","Perennial",-0.224812784036777,"yes",2
"Alternanthera filifolia","Hermaphrodite","self_compatible","low",-0.327527522009238,"Tube","actinomorphic",0.342763530181421,-0.0723453463676609,-0.253583687755962,-0.400583268560981,-0.165202498748364,-0.698378413040067,-0.127083987881518,"shrub","Perennial",-0.295965680913027,"no",2
"Amaranthus spinosus","Monoecious","monoecious","none",-0.71336012543232,"Open","actinomorphic",-0.0632300530961065,3.51894577465839,-0.700229734646728,-0.661962764004086,-0.521104140779333,-0.498735676324084,-0.127083987881518,"herb","Short lived",-0.409810315915027,"no",4
"Ambrosia trifida","Monoecious","monoecious","none",-0.71336012543232,"Capitulum","actinomorphic",-0.121229136421468,2.28905155512892,-0.14192217603327,-0.637304321037755,-0.491979620154868,-0.498735676324084,-0.109362854335609,"herb","Short lived",0.031337644717723,"no",4
"Amelanchier arborea","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Open","actinomorphic",0.922754363435031,-0.158437941734724,1.30967747636172,0.472325612447126,0.236133395456771,-0.410005571116981,-0.12178882845545,"tree","Perennial",1.55400963786947,"yes",3
"Ammannia coccinea","Hermaphrodite","self_compatible","high",2.58618110283423,"Tube","actinomorphic",-0.196627944744437,-0.158437941734724,-0.588568222924036,-0.538670549172433,-0.404606058281471,-0.554191992078524,-0.11215269733189,"herb","Short lived",-0.509424371541777,"no",1
"Amorpha canescens","Hermaphrodite","self_compatible","medium",1.25511617552215,"Tube","zygomorphic",0.110767196879977,0.235128208514706,-0.588568222924036,-0.649633542520921,-0.375481537657005,-0.443279360569644,-0.126495636834177,"shrub","Perennial",-0.438271474665527,"yes",1
"Amorpha fruticosa","Hermaphrodite","self_compatible","low",-0.290890116113252,"Tube","zygomorphic",0.342763530181421,0.0260461911946966,-0.588568222924036,-0.62497509955459,-0.375481537657005,-0.221454097551886,-0.126495636834177,"shrub","Perennial",-0.082506990284277,"yes",5
"Ampelamus laevis","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Open","actinomorphic",-0.228527440573385,-0.0231495775864822,-0.253583687755962,-0.405514957154247,-0.288107975783609,-0.0550851502885664,-0.100768273716769,"herb","Perennial",1.12709225661197,"yes",3
"Ampelopsis glandulosa","Hermaphrodite","self_compatible","low",-0.292227251625075,"Open","actinomorphic",0.922754363435031,0.0752419599758753,-0.700229734646728,-0.686621206970417,-0.486678957401215,-0.665104623587403,-0.125318934739495,"vine","Perennial",0.842480669106973,"yes",2
"Amphicarpaea bracteata","Hermaphrodite","self_compatible","high",2.58618110283423,"Papilionaceous","zygomorphic",-0.202427853076973,-0.12154111514884,-0.588568222924036,-0.46469522027344,0.236133395456771,0.000371165465873276,-0.125318934739495,"herb","Short lived",-0.367118577789277,"yes",5
"Anacamptis morio","Hermaphrodite","self_compatible","none",-0.71336012543232,"Tube","zygomorphic",-0.233747358072668,-0.0969432307582503,0.751369917748263,-0.267427676542795,0.527378601701427,0.670107848112953,1.93155632676442,"herb","Perennial",-0.523654950917027,"no",3
"Anaphalioides alpinum","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.236879308572237,-0.168277095490959,-0.432242106512268,0.324374954649141,-0.0551118107878842,-0.310184202758989,-0.0200040972654679,"shrub","Perennial",0.273257494096973,"yes",3
"Anaphalioides bellidioides","Hermaphrodite","self_incompatible","none",0.415982849515275,"Capitulum","actinomorphic",-0.231427394739653,-0.168277095490959,-0.532737467062691,0.102448967952165,-0.288107975783609,-0.310184202758989,-0.0270643098335591,"herb","Perennial",-0.537885530292277,"yes",3
"Anaphalis nepalensis","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.236067321405682,-0.146138999539429,-0.608667295034121,-0.0652284442188834,-0.0551118107878842,-0.665104623587403,-0.0688372341947656,"herb","Perennial",-0.516539661229402,"yes",3
"Anchusa azurea","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Tube","actinomorphic",-0.231427394739653,-0.133840057344134,0.193062359134805,-0.193452347643803,-0.171609893285746,-0.221454097551886,-0.125318934739495,"herb","Perennial",-0.338657419038777,"yes",3
"Andromeda glaucophylla","Hermaphrodite","partially_self_compatible","low",0.786431341961565,"Campanulate","actinomorphic",-0.144428769751612,-0.141219422661311,-0.476906711201345,-0.538670549172433,-0.398781154156578,-0.448824992145088,-0.100019839703835,"shrub","Perennial",-0.480963212791277,"yes",2
"Androsace spinulifera","Hermaphrodite","self_compatible","low",-0.194120133614885,"Tube","actinomorphic",-0.214027669742045,-0.0723453463676609,-0.119589873688732,-0.316744562475456,-0.462855099530402,-0.387823044815205,-0.114848257072835,"herb","Perennial",-0.520808835041977,"yes",2
"Andryala integrifolia","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.234907339739175,-0.138759634222252,-0.599734374096306,-0.0455016898458188,-0.404606058281471,0.388565375746951,-0.0835460103782889,"herb","Perennial",-0.449655938165727,"no",3
"Anemone demissa","Hermaphrodite","self_compatible","low",-0.232785695013966,"Open","actinomorphic",-0.235487330572429,-0.158437941734724,2.42629259358864,1.80388153262898,-0.398781154156578,-0.509826939474972,-0.127083987881518,"herb","Perennial",-0.485232386603852,"no",2
"Anemone hepatica","Hermaphrodite","partially_self_compatible","low",-0.225927898529308,"Open","actinomorphic",-0.235487330572429,-0.168277095490959,-0.365245199478653,0.472325612447126,-0.579353182028264,-0.498735676324084,-0.118847073218745,"herb","Perennial",-0.545000819979902,"no",2
"Anemone rivularis","Hermaphrodite","self_compatible","medium",0.224009541688858,"Open","actinomorphic",-0.234907339739175,-0.168277095490959,-0.476906711201345,0.225741182783819,-0.34635701703254,-0.609648307832964,-0.0688372341947656,"herb","Perennial",-0.352887998414027,"no",1
"Anemone rupestris","Hermaphrodite","self_compatible","low",-0.157784873208266,"Open","actinomorphic",-0.235487330572429,-0.168277095490959,-0.365245199478653,0.472325612447126,-0.224034030409785,-0.332366729060765,-0.127083987881518,"herb","Perennial",-0.438271474665527,"no",2
"Anemonella thalictroides","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Open","actinomorphic",-0.235487330572429,-0.168277095490959,-0.510405164718152,0.151765853884827,-0.34635701703254,-0.665104623587403,-0.127083987881518,"herb","Perennial",-0.523654950917027,"no",3
"Anethum graveolens","Hermaphrodite","self_compatible","low",-0.022541177636023,"Open","actinomorphic",-0.0516302364310343,3.76492461856428,0.193062359134805,-0.711279649936747,-0.573528277903371,-0.665104623587403,-0.126495636834177,"herb","Short lived",-0.367118577789277,"yes",1
"Angelica archangelica","Hermaphrodite","partially_self_compatible","low",-0.182152735074749,"Open","actinomorphic",-0.00523096977074551,4.74883999418786,1.30967747636172,-0.538670549172433,-0.60847770265273,-0.554191992078524,-0.126495636834177,"herb","Perennial",-0.338657419038777,"yes",2
"Angelica polymorpha","Hermaphrodite","self_compatible","low",-0.0113583575072672,"Open","actinomorphic",-0.121229136421468,2.28905155512892,0.193062359134805,-0.711279649936747,-0.579353182028264,-0.665104623587403,-0.126495636834177,"herb","Perennial",-0.381349157164527,"yes",2
"Angelica pubescens","Hermaphrodite","self_compatible","low",-0.158360418183879,"Open","actinomorphic",-0.0516302364310343,3.76492461856428,0.193062359134805,-0.711279649936747,-0.579353182028264,-0.665104623587403,-0.124142232644813,"herb","Perennial",-0.153659887160527,"yes",2
"Angelica sylvestris","Hermaphrodite","self_compatible","low",-0.159946447660648,"Open","actinomorphic",-0.0632300530961065,3.51894577465839,2.98460015220209,-0.538670549172433,-0.60847770265273,-0.554191992078524,-0.126495636834177,"herb","Perennial",-0.082506990284277,"yes",2
"Anisotome aromatica","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",-0.214027669742045,0.321220803881769,-0.588568222924036,-0.563328992138763,-0.579353182028264,-0.665104623587403,-0.126495636834177,"herb","Perennial",-0.509424371541777,"no",4
"Anisotome flexuosa","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",-0.179228219746829,-0.155978153295665,-0.588568222924036,-0.563328992138763,-0.579353182028264,-0.665104623587403,-0.126495636834177,"herb","Perennial",-0.509424371541777,"no",4
"Antennaria alpina","Monoecious","dioecious","none",-0.71336012543232,"Capitulum","actinomorphic",-0.236647312238936,-0.158437941734724,-0.722562036991266,-0.711279649936747,-0.35509437321988,-0.165997781797446,-0.092371276088403,"herb","Perennial",-0.552116109667527,"yes",4
"Antennaria plantaginifolia","Dioecious","dioecious","none",-0.71336012543232,"Capitulum","actinomorphic",-0.235487330572429,-0.133840057344134,-0.228571509130079,-0.46469522027344,-0.398781154156578,-0.165997781797446,-0.092371276088403,"herb","Perennial",-0.535039414417227,"yes",4
"Anthemis cotula","Hermaphrodite","partially_self_compatible","low",-0.225927898529308,"Capitulum","actinomorphic",-0.236067321405682,-0.168277095490959,-0.454574408856807,-0.612645878071425,-0.0842363314123498,-0.387823044815205,-0.0600119684846515,"herb","Short lived",-0.480963212791277,"no",1
"Anthriscus sylvestris","Monoecious","self_compatible","medium",1.18012660215246,"Open","zygomorphic",-0.144428769751612,1.79709386731713,-0.622066676440844,-0.538670549172433,-0.376709621610003,-0.609648307832964,-0.126495636834177,"herb","Perennial",-0.324426839663527,"yes",5
"Antidesma japonicum","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",-0.121229136421468,-0.0969432307582503,-0.700229734646728,-0.698950428453582,-0.564790921716032,-0.665104623587403,-0.127025152776784,"shrub","Perennial",0.842480669106973,"yes",4
"Antidesma madagascariense","Dioecious","dioecious","none",-0.71336012543232,"Open","actinomorphic",0.342763530181421,-0.0477474619770716,-0.700229734646728,-0.661962764004086,-0.521104140779333,-0.665104623587403,-0.126495636834177,"tree","Perennial",2.00938817787747,"no",4
"Antirhea borbonica","Hermaphrodite","self_compatible","low",-0.298799016451308,"Tube","actinomorphic",-0.00523096977074551,-0.109242172953545,-0.700229734646728,-0.723608871419913,-0.340532112907647,-0.443279360569644,-0.126495636834177,"shrub","Perennial",0.557869081601973,"yes",2
"Aphloia theiformis","Hermaphrodite","self_compatible","low",-0.234273613132242,"Brush","actinomorphic",-0.00523096977074551,-0.155978153295665,0.863031429470954,0.225741182783819,-0.107535947911922,-0.709469676190955,-0.124142232644813,"tree","Perennial",0.842480669106973,"yes",2
"Apios americana","Hermaphrodite","partially_self_compatible","none",-0.71336012543232,"Open","zygomorphic",-0.179228219746829,-0.0846442885629556,0.193062359134805,-0.0652284442188834,0.0322617510855124,-0.598557044682076,-0.120906301884438,"herb","Perennial",0.273257494096973,"yes",3
"Apocynum cannabinum","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Campanulate","actinomorphic",-0.144428769751612,0.0260461911946966,-0.365245199478653,-0.637304321037755,-0.457030195405509,-0.709469676190955,0.0653068045989677,"herb","Perennial",-0.224812784036777,"yes",3
"Aquilegia canadensis","Hermaphrodite","self_compatible","none",1.08638963544034,"Open","actinomorphic",-0.235487330572429,-0.168277095490959,-0.385344271588738,0.42794041510773,0.591452547075251,0.621481901915598,-0.0578939047142242,"herb","Perennial",-0.431156184977902,"yes",3
"Arabis alpina","Hermaphrodite","self_compatible","high",2.58618110283423,"Tube","actinomorphic",-0.235487330572429,-0.133840057344134,-0.0302606643105785,-0.31181287388219,-0.200734413910212,-0.687287149889179,-0.126201461310507,"herb","Perennial",-0.523654950917027,"yes",1
