"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Clusters"
"Abelmoschus manihot","Hermaphrodite","self_compatible","high",0.161490775813522,"Open","actinomorphic",-0.22805594639189,-0.16881726021662,-0.612006751508235,-0.0786045138070952,-0.32399230661416,-0.0591559951237757,-0.0667773820244811,"shrub","Perennial",-0.00642106206685107,1
"Abutilon depauperatum","Hermaphrodite","self_compatible","high",0.202330347876819,"Campanulate","actinomorphic",-0.22805594639189,-0.158830281500024,-0.589550820361918,-0.0287239117731974,0.244779620973307,-0.279848087333319,-0.111623302619423,"shrub","Perennial",-0.0789051481633296,2
"Abutilon theophrasti","Hermaphrodite","self_compatible","high",0.307536528064891,"Open","actinomorphic",-0.22805594639189,-0.158830281500024,-0.645690648227711,-0.153425416857942,-0.50360449427336,-0.279848087333319,-0.109231520187693,"herb","Short lived",-0.223873320356287,3
"Acacia dealbata","Hermaphrodite","partially_self_compatible","low",-1.08877228126057,"Brush","actinomorphic",7.91549145614233,0.203197696976557,-0.0281525417039849,-0.490119480586752,-0.309024624309226,-0.335021110385704,-0.121788377954276,"tree","Perennial",1.87816517644159,4
"Acacia insulae-iacobi","Hermaphrodite","self_incompatible","none",-0.0440772992087766,"Tube","actinomorphic",0.392583924932889,-0.158830281500024,-0.0281525417039849,-0.374737634808531,-0.527552785961253,-0.335021110385704,-0.122386323562209,"tree","Perennial",0.863387971090891,5
"Acacia rorudiana","Hermaphrodite","self_incompatible","none",0.0830890902339676,"Tube","actinomorphic",0.392583924932889,-0.121379111312792,-0.0281525417039849,-0.477649330078277,-0.51258510365632,0.0511900509809957,-0.119994541130479,"shrub","Perennial",0.312508916757654,5
"Acantholippia seriphioides","Hermaphrodite","self_incompatible","none",0.157999338496705,"Tube","actinomorphic",1.01949288586701,-0.0464767709383269,-0.387447440045062,-0.477649330078277,-0.473669129663493,-0.39019413343809,-0.128365779641535,"shrub","Perennial",-0.455822395865018,5
"Acer carpinifolium","Dioecious","dioecious","none",-1.11276124921035,"Open","actinomorphic",2.27331080773525,0.0783604630191149,-0.0281525417039849,-0.323019463773194,-0.527552785961253,-0.500540179542861,-0.12716988842567,"tree","Perennial",1.29829248766976,6
"Acer caudatifolium","Hermaphrodite","dioecious","none",-1.11276124921035,"Open","actinomorphic",0.392583924932889,-0.133862834708536,-0.477271164630331,-0.527529932112175,-0.353927671224026,-0.610886225647633,-0.124778105993939,"tree","Perennial",1.1823179499154,7
"Acer negundo","Dioecious","dioecious","none",-1.11276124921035,"Open","actinomorphic",1.64640184680113,-0.133862834708536,-0.477271164630331,-0.497601570891836,-0.347940598302053,0.0125689348443257,-0.12716988842567,"tree","Perennial",1.73319700424863,6
