"","Original_names","Visits","d","Id","Order","Family","Genus","Species","Breeding_system","Compatibility","Selfing","Selfing_quantitative","Flower_shape","Flower_symmetry","Flower_number","Flower_inflorescence","Floral_unit_width","Flower_width","Flower_length","Style_length","Ovule_number","Life_form","Life_span","Plant_height"
"15","Agauria salicifolia",18,0.259245926476171,"14_2_kaiser-bunbury_2010_mauritius_restored","Ericales","Ericaceae","Agarista","Agarista salicifolia","Hermaphrodite","self_compatible","low",13.5405,"Tube","actinomorphic",2000,30,10,4.5,8.5,7,7,"tree","Perennial",10.45
"16","Agrimonia pilosa",19,0.325829546590132,"5_1_fang_2008_china","Rosales","Rosaceae","Agrimonia","Agrimonia pilosa","Hermaphrodite","self_compatible","low",16.31255,"Open","actinomorphic",30,30,18,7.5,1,3,2,"herb","Perennial",0.75
"17","Ajuga forrestii",329,0.28093534682606,"5_1_fang_2008_china","Lamiales","Lamiaceae","Ajuga","Ajuga forrestii","Hermaphrodite","self_compatible","low",22.6451,"Tube","zygomorphic",80,80,24,9,8.1,6,4,"herb","Short lived",0.18
"18","Allium atrosanguineum",10,0.63699061675933,"5_1_fang_2008_china","Asparagales","Amaryllidaceae","Allium","Allium atrosanguineum","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",50,50,10,7.14466666666667,8.85704428571429,5.25,6,"herb","Perennial",0.3
"19","Allium cyathophorum",7,0.129189900867128,"5_1_fang_2008_china","Asparagales","Amaryllidaceae","Allium","Allium cyathophorum","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",750,25,17.5,3.5,5.6647,3.5,5.1,"herb","Perennial",0.225
"20","Allium wallichii",107,0.287760419141023,"5_1_fang_2008_china","Asparagales","Amaryllidaceae","Allium","Allium wallichii","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,35,80,18,5,9,6,"herb","Perennial",0.525
"21","Aloyssia gratissima",373,0.338505233946323,"15_1_peralta_2006_mendoza_site_1","Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","Hermaphrodite","self_compatible","medium",68,"Tube","actinomorphic",2000,50,10,2.1,2.2,2,2,"shrub","Perennial",1.75
"22","Aloyssia gratissima",97,0.58851541799952,"15_2_peralta_2006_mendoza_site_2","Lamiales","Verbenaceae","Aloysia","Aloysia gratissima","Hermaphrodite","self_compatible","medium",68,"Tube","actinomorphic",2000,50,10,2.1,2.2,2,2,"shrub","Perennial",1.75
"23","Alstonia macrophylla",11,0.336038239679725,"11_2_kaiser-bunbury_2017_seychelles_casse_dent","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","low",10.7830166666667,"Tube","actinomorphic",6500,130,100,12.5,5.5,5,70,"tree","Perennial",17.1
"24","Alstonia macrophylla",3,0.13294146162319,"11_4_kaiser-bunbury_2017_seychelles_reserve","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","low",10.7830166666667,"Tube","actinomorphic",6500,130,100,12.5,5.5,5,70,"tree","Perennial",17.1
"25","Alstonia macrophylla",15,0.544006487856686,"13_1_kaiser-bunbury_2011_seychelles_bernica","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","low",10.7830166666667,"Tube","actinomorphic",6500,130,100,12.5,5.5,5,70,"tree","Perennial",17.1
"26","Alstonia macrophylla",39,0.213017752147913,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres","Gentianales","Apocynaceae","Alstonia","Alstonia macrophylla","Hermaphrodite","self_compatible","low",10.7830166666667,"Tube","actinomorphic",6500,130,100,12.5,5.5,5,70,"tree","Perennial",17.1
"27","Anaphalis nepalensis",187,0.596431145225993,"5_1_fang_2008_china","Asterales","Asteraceae","Anaphalis","Anaphalis nepalensis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,10,14.1,14.1,10,0.5,100,"herb","Perennial",0.225
"28","Anchusa azurea",7,1,"12_9_bartomeus_spain_2008_LaRocina_unp","Boraginales","Boraginaceae","Anchusa","Anchusa azurea","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,15,50,11.5,8,4.5,4,"herb","Perennial",0.85
"29","Andromeda glaucophylla",3,0.298187120784596,"9_1_small_1976_canada","Ericales","Ericaceae","Andromeda","Andromeda glaucophylla","Hermaphrodite","partially_self_compatible","low",40,"Campanulate","actinomorphic",800,12,20,4.5,4.1,2.45,47,"shrub","Perennial",0.35
"30","Andryala integrifolia",8,0.963439030000748,"12_11_bartomeus_spain_2008_Niebla_unp","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,13,14.5,14.5,4,10,75,"herb","Perennial",0.46
"31","Andryala integrifolia",4,1,"12_12_bartomeus_spain_2008_PinaresdeHinojos_unp","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,13,14.5,14.5,4,10,75,"herb","Perennial",0.46
"32","Andryala integrifolia",19,1,"12_16_bartomeus_spain_2008_Villamanriquesur_unp","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,13,14.5,14.5,4,10,75,"herb","Perennial",0.46
"33","Andryala integrifolia",2,1,"12_3_bartomeus_spain_2008_Bonares_unp","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,13,14.5,14.5,4,10,75,"herb","Perennial",0.46
"34","Andryala integrifolia",4,0.93339477160451,"12_8_bartomeus_spain_2008_LaCunya_unp","Asterales","Asteraceae","Andryala","Andryala integrifolia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,13,14.5,14.5,4,10,75,"herb","Perennial",0.46
"35","Anemone rivularis",30,0.357109792546064,"5_1_fang_2008_china","Ranunculales","Ranunculaceae","Anemone","Anemone rivularis","Hermaphrodite","self_compatible","medium",25,"Open","actinomorphic",20,1,20,20,5,1,100,"herb","Perennial",0.8
"36","Anemonella thalictroides",11,0.225319840728902,"16_1_burkle_usa_2013","Ranunculales","Ranunculaceae","Anemonella","Anemonella thalictroides","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,1,18.5,18.5,5,0.5,1,"herb","Perennial",0.2
"37","Angelica archangelica",244,0.210644496371816,"18_1_bundgaard_2003_denmark","Apiales","Apiaceae","Angelica","Angelica archangelica","Hermaphrodite","partially_self_compatible","low",14.00645,"Open","actinomorphic",2000,2000,100,4.5,0.5,1.5,2,"herb","Perennial",0.85
"38","Anthriscus sylvestris",176,0.132769201246728,"18_1_bundgaard_2003_denmark","Apiales","Apiaceae","Anthriscus","Anthriscus sylvestris","Monoecious","self_compatible","medium",50.5,"Open","zygomorphic",800,800,13.5,4.5,3.54831666666667,1,2,"herb","Perennial",0.9
"39","Antidesma madagascariense",12,0.216026019540667,"14_1_kaiser-bunbury_2010_mauritius_control","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,50,10,2,2,0.5,2,"tree","Perennial",9.1
"40","Antidesma madagascariense",27,0.331979215036409,"14_2_kaiser-bunbury_2010_mauritius_restored","Malpighiales","Phyllanthaceae","Antidesma","Antidesma madagascariense","Dioecious","dioecious","none",0,"Open","actinomorphic",5000,50,10,2,2,0.5,2,"tree","Perennial",9.1
"41","Antirhea borbonica",41,0.468970978875036,"14_1_kaiser-bunbury_2010_mauritius_control","Gentianales","Rubiaceae","Antirhea","Antirhea borbonica","Hermaphrodite","self_compatible","low",12.7039,"Tube","actinomorphic",2000,25,10,0.75,5.1,2.5,2,"shrub","Perennial",4
"42","Antirhea borbonica",49,0.484337294647331,"14_2_kaiser-bunbury_2010_mauritius_restored","Gentianales","Rubiaceae","Antirhea","Antirhea borbonica","Hermaphrodite","self_compatible","low",12.7039,"Tube","actinomorphic",2000,25,10,0.75,5.1,2.5,2,"shrub","Perennial",4
"43","Aphloia theiformis",68,0.257910305906311,"11_1_kaiser-bunbury_2017_seychelles_bernica","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","Hermaphrodite","self_compatible","low",14.0870166666667,"Brush","actinomorphic",2000,6,80,20,9.1,0.1,6,"tree","Perennial",5
"44","Aphloia theiformis",23,0.293728324857074,"11_5_kaiser-bunbury_2017_seychelles_rosebelle","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","Hermaphrodite","self_compatible","low",14.0870166666667,"Brush","actinomorphic",2000,6,80,20,9.1,0.1,6,"tree","Perennial",5
"45","Aphloia theiformis",14,0.456463493358666,"13_3_kaiser-bunbury_2011_seychelles_copolia","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","Hermaphrodite","self_compatible","low",14.0870166666667,"Brush","actinomorphic",2000,6,80,20,9.1,0.1,6,"tree","Perennial",5
"46","Aphloia theiformis",186,0.171127081124784,"14_1_kaiser-bunbury_2010_mauritius_control","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","Hermaphrodite","self_compatible","low",14.0870166666667,"Brush","actinomorphic",2000,6,80,20,9.1,0.1,6,"tree","Perennial",5
"47","Aphloia theiformis",445,0.128279642051831,"14_2_kaiser-bunbury_2010_mauritius_restored","Crossosomatales","Aphloiaceae","Aphloia","Aphloia theiformis","Hermaphrodite","self_compatible","low",14.0870166666667,"Brush","actinomorphic",2000,6,80,20,9.1,0.1,6,"tree","Perennial",5
"48","Arachis microsperma",11,0.777128033007961,"10_1_souza_2017_brazil_chaco","Fabales","Fabaceae","Arachis","Arachis microsperma","Hermaphrodite","self_compatible","low",17.10285,"Papilionaceous","zygomorphic",5,1,16,16,61.5,40,4,"herb","Perennial",1.04451666666667
"49","Arctium lappa",23,0.477522934913294,"5_1_fang_2008_china","Asterales","Asteraceae","Arctium","Arctium lappa","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",100,3,28.5,28.5,18.39175,20,40,"herb","Short lived",1.6
"50","Arctotheca calendula",3,0.904336832469677,"12_11_bartomeus_spain_2008_Niebla_unp","Asterales","Asteraceae","Arctotheca","Arctotheca calendula","Hermaphrodite","self_compatible","low",21.2326,"Capitulum","actinomorphic",20,1,37.5,37.5,4.1,0.5,60,"herb","Short lived",0.15
"51","Arenaria yunnanensis",114,0.471853778012162,"5_1_fang_2008_china","Caryophyllales","Caryophyllaceae","Arenaria","Arenaria yunnanensis","Hermaphrodite","self_compatible","low",15.46545,"Open","actinomorphic",50,1,16,16,6.87961666666667,6.5,15,"herb","Perennial",0.225
"52","Argusia argentea",81,0.114476469093598,"8_2_olesen_2002_mauritius","Boraginales","Boraginaceae","Argusia","Argusia argentea","Hermaphrodite","self_compatible","low",11.14905,"Open","actinomorphic",4000,250,250,7,3,1,4,"shrub","Perennial",2.5
"53","Armeria velutina",4,0.78962140453151,"12_16_bartomeus_spain_2008_Villamanriquesur_unp","Caryophyllales","Plumbaginaceae","Armeria","Armeria velutina","Hermaphrodite","self_compatible","low",17.2364,"Open","actinomorphic",250,50,35,7,2,0.1,1,"herb","Perennial",0.4
"54","Armeria velutina",14,0.936853176891496,"12_7_bartomeus_spain_2008_Esparragal_unp","Caryophyllales","Plumbaginaceae","Armeria","Armeria velutina","Hermaphrodite","self_compatible","low",17.2364,"Open","actinomorphic",250,50,35,7,2,0.1,1,"herb","Perennial",0.4
"55","Arnica montana",479,1,"3_3_dupont_2009_denmark_so","Asterales","Asteraceae","Arnica","Arnica montana","Hermaphrodite","self_incompatible","none",1.3,"Capitulum","actinomorphic",5,1,50,7,11.9248166666667,10,40,"herb","Perennial",0.4
"56","Aronia melanocarpa",69,0.578716066773979,"9_1_small_1976_canada","Rosales","Rosaceae","Aronia","Aronia melanocarpa","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",3000,15,45,9.1,3.3,4,1.1,"shrub","Perennial",1.35
"57","Asperula gunnii",7,0.632578873642564,"6_1_inouye_1988_australia","Gentianales","Rubiaceae","Asperula","Asperula gunnii","Dioecious","dioecious","none",0,"Tube","actinomorphic",100,10,20,3,2.5,0.5,2,"herb","Perennial",0.1
"58","Asphodelus fistulosus",39,0.263887031743136,"12_1_bartomeus_spain_2008_Aznalcazar_unp","Asparagales","Asphodelaceae","Asphodelus","Asphodelus fistulosus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",500,50,20,8.5,1.5,5.5,6,"herb","Short lived",0.4
"59","Asphodelus fistulosus",21,0.51391187678953,"12_11_bartomeus_spain_2008_Niebla_unp","Asparagales","Asphodelaceae","Asphodelus","Asphodelus fistulosus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",500,50,20,8.5,1.5,5.5,6,"herb","Short lived",0.4
"60","Aster diplostephioides",80,0.766854808193037,"5_1_fang_2008_china","Asterales","Asteraceae","Aster","Aster diplostephioides","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,1,15.3,15.3,30,5,200,"herb","Perennial",0.35
"61","Aster oreophilus",99,0.404778142948276,"5_1_fang_2008_china","Asterales","Asteraceae","Aster","Aster oreophilus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,1,29.1,29.1,11.1466443181818,5,75,"herb","Perennial",0.4
"62","Aster souliei",77,0.415788305730207,"5_1_fang_2008_china","Asterales","Asteraceae","Aster","Aster souliei","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",2,1,13.2,13.2,10,5,200,"herb","Perennial",0.235
"63","Aster vestitus",79,0.526480373815466,"5_1_fang_2008_china","Asterales","Asteraceae","Aster","Aster vestitus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,1,80,80,15,5,75,"herb","Perennial",0.95
"64","Aster yunnanensis",29,0.33197170237765,"5_1_fang_2008_china","Asterales","Asteraceae","Aster","Aster yunnanensis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,1,62.5,62.5,9.1,5,75,"herb","Perennial",0.525
"65","Astragalus alpinus",5,0.811418176618495,"4_1_elberling_sweeden_1999","Fabales","Fabaceae","Astragalus","Astragalus alpinus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",120,15,24,9,12,12,7,"herb","Perennial",0.14
"66","Astragalus lusitanicus",16,0.67139372942764,"12_11_bartomeus_spain_2008_Niebla_unp","Fabales","Fabaceae","Erophaca","Erophaca baetica","Monoecious","self_compatible","low",11.63065,"Papilionaceous","zygomorphic",300,75,90,30,14.1,14,9.6,"herb","Perennial",0.5
"67","Astragalus lusitanicus",29,0.595018831584499,"12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp","Fabales","Fabaceae","Erophaca","Erophaca baetica","Monoecious","self_compatible","low",11.63065,"Papilionaceous","zygomorphic",300,75,90,30,14.1,14,9.6,"herb","Perennial",0.5
"68","Astragalus pullus",76,0.175101774138214,"5_1_fang_2008_china","Fabales","Fabaceae","Astragalus","Astragalus pullus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",120,20,30,5,10,10,16,"shrub","Perennial",0.15
"69","Azorina vidalii",329,0.322144460787608,"8_1_olesen_2002_azores","Asterales","Campanulaceae","Azorina","Azorina vidalii","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",50,12,50,11,24,15,239.5867,"shrub","Perennial",1.2
"70","Badula insularis",9,0.228402555736987,"14_1_kaiser-bunbury_2010_mauritius_control","Ericales","Primulaceae","Badula","Badula insularis","Hermaphrodite","partially_self_compatible","low",9.37561666666667,"Open","actinomorphic",300,30,30,5.91615,4.14063333333333,0.1,4,"tree","Perennial",3.5
"71","Badula insularis",21,0.341207116661135,"14_2_kaiser-bunbury_2010_mauritius_restored","Ericales","Primulaceae","Badula","Badula insularis","Hermaphrodite","partially_self_compatible","low",9.37561666666667,"Open","actinomorphic",300,30,30,5.91615,4.14063333333333,0.1,4,"tree","Perennial",3.5
"72","Badula platiphylla",33,0.255471137013921,"14_1_kaiser-bunbury_2010_mauritius_control","Ericales","Primulaceae","Badula","Badula platyphylla","Hermaphrodite","self_compatible","low",14.7257333333333,"Tube","actinomorphic",300,30,30,6.00469999999999,6.35838333333333,0.1,4,"shrub","Perennial",1.5
"73","Badula platiphylla",28,0.41851765017247,"14_2_kaiser-bunbury_2010_mauritius_restored","Ericales","Primulaceae","Badula","Badula platyphylla","Hermaphrodite","self_compatible","low",14.7257333333333,"Tube","actinomorphic",300,30,30,6.00469999999999,6.35838333333333,0.1,4,"shrub","Perennial",1.5
"74","Baeckia gunniana",40,0.589498338261911,"6_1_inouye_1988_australia","Myrtales","Myrtaceae","Baeckea","Baeckea gunniana","Hermaphrodite","self_compatible","low",12.9535,"Open","actinomorphic",1500,15,35,4.5,1.3,0.6,19,"shrub","Perennial",0.75
"75","Bakerella hoyifolia",13,0.209033690046616,"14_2_kaiser-bunbury_2010_mauritius_restored","Santalales","Loranthaceae","Bakerella","Bakerella hoyifolia","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",400,40,50,4.1,24.5,25,8,"herb","Perennial",0.75
"76","Bertiera zaluzania",124,0.297692038457539,"14_1_kaiser-bunbury_2010_mauritius_control","Gentianales","Rubiaceae","Bertiera","Bertiera zaluzania","Dioecious","dioecious","none",0,"Tube","actinomorphic",300,50,75,15,15,15,100,"shrub","Perennial",1
"77","Bertiera zaluzania",49,0.182581081632103,"14_2_kaiser-bunbury_2010_mauritius_restored","Gentianales","Rubiaceae","Bertiera","Bertiera zaluzania","Dioecious","dioecious","none",0,"Tube","actinomorphic",300,50,75,15,15,15,100,"shrub","Perennial",1
"78","Beta maritima",8,0.353783052504452,"8_1_olesen_2002_azores","Caryophyllales","Chenopodiaceae","Beta","Beta vulgaris","Dioecious","partially_self_compatible","low",13,"Tube","actinomorphic",150,150,10,2.5,4,2.01,1,"herb","Perennial",0.5
"79","Borreria eryngioides",447,0.184812539848323,"10_1_souza_2017_brazil_chaco","Gentianales","Rubiaceae","Spermacoce","Spermacoce eryngioides","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",15,20,10,2,1.9,0.35,2,"herb","Perennial",0.2
"80","Brachycome scapigera",11,0.370885906825508,"6_1_inouye_1988_australia","Asterales","Asteraceae","Brachyscome","Brachyscome scapigera","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,1,12,12,4.1,2,90,"herb","Perennial",0.2
"81","Buddleja mendozensis",21,0.772307418041907,"15_4_peralta_2006_mendoza_site_4","Lamiales","Scrophulariaceae","Buddleja","Buddleja mendozensis","Hermaphrodite","self_compatible","high",71,"Tube","actinomorphic",500,20,8,2,4,2.25,143,"shrub","Perennial",1.1
"82","Calendula arvensis",3,0.846338113710136,"12_11_bartomeus_spain_2008_Niebla_unp","Asterales","Asteraceae","Calendula","Calendula arvensis","Hermaphrodite","self_compatible","medium",74.2,"Capitulum","actinomorphic",10,1,24.1,24.1,6,3,30,"herb","Short lived",0.25
"83","Calluna vulgaris",127,0.985559940996142,"3_1_dupont_2009_denmark_hl","Ericales","Ericaceae","Calluna","Calluna vulgaris","Hermaphrodite","partially_self_compatible","low",10.9,"Campanulate","actinomorphic",2500,40,18,6,6,5,3.1,"shrub","Perennial",0.5
"84","Calluna vulgaris",88,1,"3_2_dupont_2009_denmark_ib","Ericales","Ericaceae","Calluna","Calluna vulgaris","Hermaphrodite","partially_self_compatible","low",10.9,"Campanulate","actinomorphic",2500,40,18,6,6,5,3.1,"shrub","Perennial",0.5
"85","Calluna vulgaris",3,1,"3_3_dupont_2009_denmark_so","Ericales","Ericaceae","Calluna","Calluna vulgaris","Hermaphrodite","partially_self_compatible","low",10.9,"Campanulate","actinomorphic",2500,40,18,6,6,5,3.1,"shrub","Perennial",0.5
"86","Calophyllum eputamen",9,0.165093712087645,"14_1_kaiser-bunbury_2010_mauritius_control","Malpighiales","Clusiaceae","Calophyllum","Calophyllum eputamen","Hermaphrodite","self_compatible","low",9.8145,"Open","actinomorphic",2000,50,100,15,6.3064,10,1,"tree","Perennial",6.87145
"87","Calophyllum eputamen",25,0.255131243954277,"14_2_kaiser-bunbury_2010_mauritius_restored","Malpighiales","Clusiaceae","Calophyllum","Calophyllum eputamen","Hermaphrodite","self_compatible","low",9.8145,"Open","actinomorphic",2000,50,100,15,6.3064,10,1,"tree","Perennial",6.87145
"88","Calopogon pulchellus",21,0.966524323761332,"9_1_small_1976_canada","Asparagales","Orchidaceae","Calopogon","Calopogon tuberosus","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",10,10,37.5,37.5,17,10,7600,"herb","Perennial",0.7
"89","Camassia scilloides",33,0.444073185421178,"16_1_burkle_usa_2013","Asparagales","Asparagaceae","Camassia","Camassia scilloides","Hermaphrodite","self_compatible","low",13.85535,"Open","actinomorphic",40,40,100,20,13.5,0.5,30,"herb","Perennial",0.6
"90","Campanula gieseckiana",19,0.82359744044067,"7_1_lundgren_2005_greenland","Asterales","Campanulaceae","Campanula","Campanula giesekiana","Hermaphrodite","self_incompatible","low",0.03,"Campanulate","actinomorphic",10,3,20,20,32.5,15,259.2,"herb","Perennial",0.2
"91","Campanula rotundifolia",3,1,"3_3_dupont_2009_denmark_so","Asterales","Campanulaceae","Campanula","Campanula rotundifolia","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",5,1,22.5,22.5,22.5,10.5,112,"herb","Perennial",0.45
"92","Campnosperma seychellarum",57,0.60357589785427,"11_3_kaiser-bunbury_2017_seychelles_copolia","Sapindales","Anacardiaceae","Campnosperma","Campnosperma seychellarum","Dioecious","dioecious","none",0,"Open","actinomorphic",750,30,15,2.7,3,1,1,"tree","Perennial",10
"93","Campnosperma seychellarum",47,0.219784467049182,"11_7_kaiser-bunbury_2017_seychelles_tea_plantation","Sapindales","Anacardiaceae","Campnosperma","Campnosperma seychellarum","Dioecious","dioecious","none",0,"Open","actinomorphic",750,30,15,2.7,3,1,1,"tree","Perennial",10
"94","Campnosperma seychellarum",19,0.650022926287355,"13_3_kaiser-bunbury_2011_seychelles_copolia","Sapindales","Anacardiaceae","Campnosperma","Campnosperma seychellarum","Dioecious","dioecious","none",0,"Open","actinomorphic",750,30,15,2.7,3,1,1,"tree","Perennial",10
"95","Campnosperma seychellarum",5,0.716783182537717,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation","Sapindales","Anacardiaceae","Campnosperma","Campnosperma seychellarum","Dioecious","dioecious","none",0,"Open","actinomorphic",750,30,15,2.7,3,1,1,"tree","Perennial",10
"96","Camptosema paraguariense",5,0,"10_1_souza_2017_brazil_chaco","Fabales","Fabaceae","Camptosema","Camptosema paraguariense","Hermaphrodite","self_compatible","low",17.5287,"Papilionaceous","zygomorphic",5,5,10,5,11,10,9,"herb","Perennial",1.144375
"97","Canthium bibracteatum",145,0.250133694140525,"13_1_kaiser-bunbury_2011_seychelles_bernica","Gentianales","Rubiaceae","Canthium","Canthium bibracteatum","Hermaphrodite","partially_self_compatible","low",11.497,"Campanulate","actinomorphic",500,5,25,5.1,3,3,2,"shrub","Perennial",6
"98","Canthium bibracteatum",115,0.256378635576387,"13_2_kaiser-bunbury_2011_seychelles_casse_dent","Gentianales","Rubiaceae","Canthium","Canthium bibracteatum","Hermaphrodite","partially_self_compatible","low",11.497,"Campanulate","actinomorphic",500,5,25,5.1,3,3,2,"shrub","Perennial",6
"99","Canthium bibracteatum",298,0.209647409289131,"13_4_kaiser-bunbury_2011_seychelles_la_reserve","Gentianales","Rubiaceae","Canthium","Canthium bibracteatum","Hermaphrodite","partially_self_compatible","low",11.497,"Campanulate","actinomorphic",500,5,25,5.1,3,3,2,"shrub","Perennial",6
