"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"106","Apiales","Araliaceae","Aralia","Species_all_Aralia elata","Monoecious","dioecious","none",3.85119907257184,"Open","actinomorphic",15000,2000,10,1.5,1,1.1,5,"tree","Perennial",5
"107","Asterales","Asteraceae","Arctium","Species_all_Arctium lappa","Hermaphrodite","self_compatible","medium",21.5466136792221,"Capitulum","actinomorphic",100,3,28.5,28.5,17.8435686673311,20,40,"herb","Short lived",1.6
"108","Asterales","Asteraceae","Arctium","Species_all_Arctium minus","Hermaphrodite","self_compatible","medium",21.4010681295016,"Capitulum","actinomorphic",25,8,60,60,40,15,30,"herb","Short lived",1
"109","Asterales","Asteraceae","Arctotheca","Species_all_Arctotheca calendula","Hermaphrodite","self_compatible","none",18.9450768474197,"Capitulum","actinomorphic",20,1,37.5,37.5,4.1,0.5,60,"herb","Short lived",0.15
"110","Ericales","Primulaceae","Ardisia","Species_all_Ardisia pusilla","Hermaphrodite","self_compatible","none",17.13731859436,"Open","actinomorphic",10,3,15,3.5,1,2.5,5.5,"shrub","Perennial",0.23
"111","Ericales","Primulaceae","Ardisia","Species_all_Ardisia quinquegona","Hermaphrodite","self_compatible","none",16.1922454002513,"Open","actinomorphic",5000,75,15,3,1.5,2.5,5,"shrub","Perennial",3.1
"112","Ericales","Primulaceae","Ardisia","Species_all_Ardisia sieboldii","Hermaphrodite","self_compatible","low",0.05,"Open","actinomorphic",50000,100,100,15,2,10.5,6,"tree","Perennial",8
"113","Caryophyllales","Caryophyllaceae","Arenaria","Species_all_Arenaria pseudofrigida","Hermaphrodite","self_compatible","none",20.2963159012809,"Open","actinomorphic",50,1,30,10.1,7,3,15,"shrub","Perennial",0.035
"114","Caryophyllales","Caryophyllaceae","Arenaria","Species_all_Arenaria yunnanensis","Hermaphrodite","self_compatible","none",22.2495536372738,"Open","actinomorphic",50,1,16,16,12.5159957861768,6.5,15,"herb","Perennial",0.225
"115","Ranunculales","Papaveraceae","Argemone","Species_all_Argemone subfusiformis","Hermaphrodite","self_compatible","none",22.6254795917766,"Open","actinomorphic",5,1,50,50,25,1,225,"herb","Short lived",0.75
"116","Boraginales","Boraginaceae","Argusia","Species_all_Argusia argentea","Hermaphrodite","self_compatible","none",17.274320048194,"Open","actinomorphic",4000,250,250,7,3,1,4,"shrub","Perennial",2.5
"117","Alismatales","Araceae","Arisaema","Species_all_Arisaema triphyllum","Dioecious","dioecious","none",0,"Open","zygomorphic",50,50,60,60,120,1,5,"herb","Perennial",0.45
"118","Piperales","Aristolochiaceae","Aristolochia","Species_all_Aristolochia tomentosa","Hermaphrodite","self_compatible","none",24.0148054843728,"Tube","zygomorphic",50,1,13.2,13.2,42.5,0.1,43,"vine","Perennial",12.5
