"","Plant_species","bee_family","Id","Interaction"
"1","Acantholippia seriphioides","Andrenidae","15_2_peralta_2006_mendoza_site_2.csv",0
"2","Acantholippia seriphioides","Apidae","15_2_peralta_2006_mendoza_site_2.csv",0
"3","Acantholippia seriphioides","Colletidae","15_2_peralta_2006_mendoza_site_2.csv",0
"4","Acantholippia seriphioides","Halictidae","15_2_peralta_2006_mendoza_site_2.csv",0
"5","Acantholippia seriphioides","Megachilidae","15_2_peralta_2006_mendoza_site_2.csv",0
"6","Achillea millefolium","Andrenidae","2_1_dicks_2002_england_shelfanger.csv",0
"7","Achillea millefolium","Apidae","17_1_arroyo_correa_new_zealand_2019_1.csv",4
"8","Achillea millefolium","Apidae","17_2_arroyo_correa_new_zealand_2019_2.csv",0
"9","Achillea millefolium","Apidae","17_3_arroyo_correa_new_zealand_2019_3.csv",0
"10","Achillea millefolium","Apidae","2_1_dicks_2002_england_shelfanger.csv",0
"11","Achillea millefolium","Colletidae","17_1_arroyo_correa_new_zealand_2019_1.csv",10
"12","Achillea millefolium","Colletidae","17_2_arroyo_correa_new_zealand_2019_2.csv",1
"13","Achillea millefolium","Colletidae","17_3_arroyo_correa_new_zealand_2019_3.csv",28
"14","Achillea millefolium","Colletidae","6_1_inouye_1988_australia.csv",0
"15","Achillea millefolium","Halictidae","17_1_arroyo_correa_new_zealand_2019_1.csv",0
"16","Achillea millefolium","Halictidae","17_2_arroyo_correa_new_zealand_2019_2.csv",1
"17","Achillea millefolium","Halictidae","17_3_arroyo_correa_new_zealand_2019_3.csv",2
"18","Achillea millefolium","Halictidae","2_1_dicks_2002_england_shelfanger.csv",0
"19","Achillea millefolium","Halictidae","6_1_inouye_1988_australia.csv",7
"20","Achillea millefolium","Megachilidae","2_1_dicks_2002_england_shelfanger.csv",0
"21","Achillea wilsoniana","Apidae","5_1_fang_2008_china.csv",0
"22","Achillea wilsoniana","Colletidae","5_1_fang_2008_china.csv",0
"23","Achillea wilsoniana","Halictidae","5_1_fang_2008_china.csv",0
"24","Aciphylla glacialis","Colletidae","6_1_inouye_1988_australia.csv",0
"25","Aciphylla glacialis","Halictidae","6_1_inouye_1988_australia.csv",0
"26","Aciphylla simplicifolia","Colletidae","6_1_inouye_1988_australia.csv",0
"27","Aciphylla simplicifolia","Halictidae","6_1_inouye_1988_australia.csv",0
"28","Adenophora capillaris","Apidae","5_1_fang_2008_china.csv",52
"29","Adenophora capillaris","Colletidae","5_1_fang_2008_china.csv",0
"30","Adenophora capillaris","Halictidae","5_1_fang_2008_china.csv",14
"31","Adenophora jasionifolia","Apidae","5_1_fang_2008_china.csv",76
"32","Adenophora jasionifolia","Colletidae","5_1_fang_2008_china.csv",0
"33","Adenophora jasionifolia","Halictidae","5_1_fang_2008_china.csv",5
"34","Adenophora khasiana","Apidae","5_1_fang_2008_china.csv",62
"35","Adenophora khasiana","Colletidae","5_1_fang_2008_china.csv",0
"36","Adenophora khasiana","Halictidae","5_1_fang_2008_china.csv",12
"37","Aeschynomene mollicula","Andrenidae","10_1_souza_2017_brazil_chaco.csv",0
"38","Aeschynomene mollicula","Apidae","10_1_souza_2017_brazil_chaco.csv",0
"39","Aeschynomene mollicula","Colletidae","10_1_souza_2017_brazil_chaco.csv",0
"40","Aeschynomene mollicula","Halictidae","10_1_souza_2017_brazil_chaco.csv",0
"41","Aeschynomene mollicula","Megachilidae","10_1_souza_2017_brazil_chaco.csv",0
"42","Aetheorrina bulbosa","Andrenidae","1_1_bartomeus_spain_2008_batca_1_2.csv",4
"43","Aetheorrina bulbosa","Andrenidae","1_3_bartomeus_spain_2008_medca_1_2.csv",0
"44","Aetheorrina bulbosa","Apidae","1_1_bartomeus_spain_2008_batca_1_2.csv",1
"45","Aetheorrina bulbosa","Apidae","1_3_bartomeus_spain_2008_medca_1_2.csv",0
"46","Aetheorrina bulbosa","Colletidae","1_1_bartomeus_spain_2008_batca_1_2.csv",0
"47","Aetheorrina bulbosa","Colletidae","1_3_bartomeus_spain_2008_medca_1_2.csv",0
"48","Aetheorrina bulbosa","Halictidae","1_1_bartomeus_spain_2008_batca_1_2.csv",2
"49","Aetheorrina bulbosa","Halictidae","1_3_bartomeus_spain_2008_medca_1_2.csv",0
