"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Pollen_per_flower"
"Adenophora jasionifolia","Asterales","Campanulaceae","Adenophora","Adenophora jasionifolia","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",10,20,18.44,20,193,"herb","Perennial",0.45,79395
"Adenophora khasiana","Asterales","Campanulaceae","Adenophora","Adenophora khasiana","Hermaphrodite","self_incompatible","low",12,"Campanulate","actinomorphic",100,35,20.59,24,356,"herb","Perennial",0.9,20621
"Aesculus hippocastanum","Sapindales","Sapindaceae","Aesculus","Aesculus hippocastanum","Hermaphrodite","self_compatible","low",11.9500666666667,"Open","zygomorphic",20000,27.5,13.1,16.5,6,"tree","Perennial",19,2500000
"Gerardia auriculata","Lamiales","Orobanchaceae","Agalinis","Agalinis auriculata","Hermaphrodite","self_compatible","high",95,"Campanulate","zygomorphic",10,12.1,13,11,215.55,"herb","Short lived",0.45,29150
"Ajuga forrestii","Lamiales","Lamiaceae","Ajuga","Ajuga forrestii","Hermaphrodite","self_compatible","low",18.2079,"Tube","zygomorphic",80,9,8.1,6,4,"herb","Short lived",0.18,8128
"Allium cyathophorum","Asparagales","Amaryllidaceae","Allium","Allium cyathophorum","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",750,3.5,7.04775,3.5,5.1,"herb","Perennial",0.225,58795
"Allium wallichii","Asparagales","Amaryllidaceae","Allium","Allium wallichii","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",35,18,5,9,6,"herb","Perennial",0.525,41851
"Alocasia odora","Alismatales","Arecaceae","Alocasia","Alocasia odora","Hermaphrodite","self_compatible","low",13,"Spike","actinomorphic",360,2,1,1,6,"herb","Perennial",1.25,18910
"Amorpha canescens","Fabales","Fabaceae","Amorpha","Amorpha canescens","Hermaphrodite","self_compatible","medium",52.5,"Tube","zygomorphic",3000,2.25,4.5,2.5,2,"shrub","Perennial",0.5,33614
"Orchis morio","Asparagales","Orchidaceae","Anacamptis","Anacamptis morio","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",30,10,20,14.669625,3500,"herb","Perennial",0.2,13
"Helichrysum bellidioides","Asterales","Asteraceae","Anaphalioides","Anaphalioides bellidioides","Hermaphrodite","self_incompatible","none",30.12,"Capitulum","actinomorphic",50,17.5,6,3.7,171,"herb","Perennial",0.15,105200
"Anchusa azurea","Boraginales","Boraginaceae","Anchusa","Anchusa azurea","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,11.5,8,4.5,4,"herb","Perennial",0.85,24360
"Anemonella thalictroides","Ranunculales","Ranunculaceae","Anemonella","Anemonella thalictroides","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,18.5,5,0.5,1,"herb","Perennial",0.2,10053
"Antirhea borbonica","Gentianales","Rubiaceae","Antirhea","Antirhea borbonica","Hermaphrodite","self_compatible","low",16.0196,"Tube","actinomorphic",2000,0.75,5.1,2.5,2,"shrub","Perennial",4,3277.5
"Aquilegia canadensis","Ranunculales","Ranunculaceae","Aquilegia","Aquilegia canadensis","Hermaphrodite","self_compatible","none",48,"Open","actinomorphic",15,24.1,21.1,12.1,118.6,"herb","Perennial",0.525,72346
"Arctium minus","Asterales","Asteraceae","Arctium","Arctium minus","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",25,60,40,15,30,"herb","Short lived",1,3052
"Armeria velutina","Caryophyllales","Plumbaginaceae","Armeria","Armeria velutina","Hermaphrodite","self_compatible","low",20.646625,"Open","actinomorphic",250,7,2,0.1,1,"herb","Perennial",0.4,979
"Asphodelus fistulosus","Asparagales","Asphodelaceae","Asphodelus","Asphodelus fistulosus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",500,8.5,1.5,5.5,6,"herb","Short lived",0.4,2488
"Aster oreophilus","Asterales","Asteraceae","Aster","Aster oreophilus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,29.1,10.6549166666667,5,75,"herb","Perennial",0.4,258850
"Astragalus pullus","Fabales","Fabaceae","Astragalus","Astragalus pullus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",120,5,10,10,16,"shrub","Perennial",0.15,17822
"Bacopa monniera","Lamiales","Plantaginaceae","Bacopa","Bacopa monnieri","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",10,7.5,10,4.1,178,"herb","Perennial",0.25,57312
"Barringtonia racemosa","Ericales","Lecythidaceae","Barringtonia","Barringtonia racemosa","Hermaphrodite","self_compatible","low",7.8056,"Brush","actinomorphic",2000,20,23.8584833333333,41,5,"tree","Perennial",6,50000
"Bartsia alpina","Lamiales","Orobanchaceae","Bartsia","Bartsia alpina","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",10,5,17.5,17,94,"herb","Perennial",0.23,47000
"Bidens bipinnata","Asterales","Asteraceae","Bidens","Bidens bipinnata","Hermaphrodite","self_compatible","low",22.45235,"Capitulum","actinomorphic",5,7.5,2.1,2,19.5,"herb","Short lived",0.3,17374.5
"Bidens pilosa","Asterales","Asteraceae","Bidens","Bidens pilosa","Hermaphrodite","self_compatible","high",67,"Capitulum","actinomorphic",5,11,8,6,50,"herb","Short lived",0.85,58644
"Psoralea bituminosa","Fabales","Fabaceae","Bituminaria","Bituminaria bituminosa","Hermaphrodite","self_compatible","low",23.01875,"Tube","zygomorphic",200,2.5,11.5,9,1,"herb","Short lived",0.275,2138
"Senecio bellidioides","Asterales","Asteraceae","Brachyglottis","Brachyglottis bellidioides","Hermaphrodite","partially_self_compatible","medium",35,"Capitulum","actinomorphic",1,30,6.85,5,25,"herb","Perennial",0.05,57555
"Brachycome scapigera","Asterales","Asteraceae","Brachyscome","Brachyscome scapigera","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,12,4.1,2,90,"herb","Perennial",0.2,494500
"Brachyome sinclairii","Asterales","Asteraceae","Brachyscome","Brachyscome sinclairii","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,20,2.5,2,60,"herb","Perennial",0.09,159250
"Brassica fruticulosa","Brassicales","Brassicaceae","Brassica","Brassica fruticulosa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",20,15,5.5,1.96,20.2,"shrub","Perennial",2,80280
"Brassica campestris","Brassicales","Brassicaceae","Brassica","Brassica rapa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,10,5,1,26,"herb","Short lived",0.75,390000
"Bredia hirsuta","Myrtales","Melastomataceae","Bredia","Bredia hirsuta","Hermaphrodite","self_compatible","low",5.63,"Open","actinomorphic",30,29.1,0.5,10,100,"shrub","Perennial",1,144500
"Caesalpinia pulcherrima","Fabales","Fabaceae","Caesalpinia","Caesalpinia pulcherrima","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",2000,50,10,50,6,"shrub","Perennial",1.5,30450
"Calluna vulgaris","Ericales","Ericaceae","Calluna","Calluna vulgaris","Hermaphrodite","partially_self_compatible","low",10.9,"Campanulate","actinomorphic",2500,6,6,5,3.1,"shrub","Perennial",0.5,24000
"Calophyllum eputamen","Malpighiales","Clusiaceae","Calophyllum","Calophyllum eputamen","Hermaphrodite","self_compatible","low",7.8024,"Brush","actinomorphic",2000,15,12.28625,10,1,"tree","Perennial",7.84225,1488000
"Calystegia hederacea","Solanales","Convolvulaceae","Calystegia hederacea","Calystegia hederacea","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",10,28.5,38.5,9.5,4,"vine","Perennial",0.3,10815.4
"Convolvulus sepium","Solanales","Convolvulaceae","Calystegia","Calystegia sepium","Hermaphrodite","self_compatible","low",5.3,"Campanulate","actinomorphic",10,60,55,22.5,4,"herb","Perennial",3,9055
"Carica papaya","Brassicales","Caricaceae","Carica","Carica papaya","Hermaphrodite","self_compatible","low",10.33885,"Tube","actinomorphic",100,17.5,45,10,493,"tree","Perennial",6,115000
"Caulophyllum thalictroides","Ranunculales","Berberidaceae","Caulophyllum","Caulophyllum thalictroides","Hermaphrodite","self_compatible","low",1,"Open","actinomorphic",50,10,1.5,0.625,3,"herb","Perennial",0.3,11127
"Celmisia sessiliflora","Asterales","Asteraceae","Celmisia","Celmisia sessiliflora","Hermaphrodite","partially_self_compatible","low",20,"Capitulum","actinomorphic",75,15,8,3,230,"herb","Perennial",0.05,109340
"Cerastium_arvense","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium arvense","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",15,17.5,17.5,2.5,43,"herb","Perennial",0.2,30581.6
"Cerastium fontanum","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium fontanum","Hermaphrodite","self_compatible","high",75,"Open","actinomorphic",15,7.5,4.5,3,35,"herb","Perennial",0.2,2205
"Cerastium glomeratum","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium glomeratum","Hermaphrodite","self_compatible","medium",59.9915666666667,"Open","actinomorphic",50,12,7,0.65,25,"herb","Short lived",0.215,1050
"Cerinthe gymnandra","Boraginales","Boraginaceae","Cerinthe","Cerinthe major","Hermaphrodite","self_compatible","low",9.8751,"Tube","actinomorphic",20,6,24,24,2,"herb","Short lived",0.3,649680
"Cistus albidus","Malvales","Cistaceae","Cistus","Cistus albidus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,50,7,3,94.78,"shrub","Perennial",0.5,233470
"Cistus crispus","Malvales","Cistaceae","Cistus","Cistus crispus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,32.5,5.5,3.5,17.2,"shrub","Perennial",0.3,170164
"Cistus ladanifer","Malvales","Cistaceae","Cistus","Cistus ladanifer","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,64,8.5,0.25,1038,"shrub","Perennial",1.75,564623
"Cistus libanotis","Malvales","Cistaceae","Cistus","Cistus libanotis","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,29.1,6,0.5,22,"shrub","Perennial",1.05,43266
"Cistus monspeliensis","Malvales","Cistaceae","Cistus","Cistus monspeliensis","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,15,6.07705,0.25,21,"shrub","Perennial",0.5,33418
"Cistus salvifolius","Malvales","Cistaceae","Cistus","Cistus salviifolius","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",100,20,5,1,77,"shrub","Perennial",0.95,57258
"Convolvulus arvensis","Solanales","Convolvulaceae","Convolvulus","Convolvulus arvensis","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",20,22.5,15,10,4,"herb","Perennial",1.25,13700
"Coreopsis palmata","Asterales","Asteraceae","Coreopsis","Coreopsis palmata","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",3,38,11,6.7,90,"herb","Perennial",0.1,8782
"Corokia cotoneaster","Asterales","Argophyllaceae","Corokia","Corokia cotoneaster","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",200,6.5,1,1.5,1.2,"shrub","Perennial",1,16698
"Corydalis incisa","Ranunculales","Papaveraceae","Corydalis","Corydalis incisa","Hermaphrodite","self_compatible","low",21,"Tube","zygomorphic",30,5.5,15,2.5,15.5,"herb","Short lived",0.3,33925
"Crotalaria incana","Fabales","Fabaceae","Crotalaria","Crotalaria incana","Hermaphrodite","self_compatible","medium",65,"Papilionaceous","zygomorphic",150,9,9,8,8,"herb","Perennial",0.75,308850
"Crotalaria pumila","Fabales","Fabaceae","Crotolaria","Crotalaria pumila","Hermaphrodite","self_compatible","low",12.30545,"Papilionaceous","zygomorphic",50,10,9.1,2,8,"herb","Perennial",0.4,61909.1
"Cryptotaenia canadensis","Apiales","Apiaceae","Cryptotaenia","Cryptotaenia canadensis","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",100,3,1,1,2,"herb","Perennial",0.6,4360
"Cucurbita pepo","Cucurbitales","Cucurbitaceae","Cucurbita","Cucurbita pepo","Monoecious","monoecious","none",0,"Funnelform","actinomorphic",15,100,70,10,500,"herb","Short lived",0.48,43669
"Cuscuta cephalanthi","Solanales","Convolvulaceae","Cuscuta","Cuscuta cephalanthi","Hermaphrodite","self_compatible","medium",55.2605916666667,"Open","actinomorphic",200,3,3,1.25,4,"herb","Short lived",0.25,1046
"Cuscuta glomerata","Solanales","Convolvulaceae","Cuscuta","Cuscuta glomerata","Hermaphrodite","self_compatible","low",16.49585,"Tube","actinomorphic",900,9.5,4.5,4.5,4,"herb","Short lived",0.25,3127
"Cyananthus delavayi","Asterales","Campanulaceae","Cyananthus","Cyananthus delavayi","Dioecious","partially_self_compatible","low",11.35345,"Tube","actinomorphic",15,15,20,8,34,"herb","Perennial",0.135,16949
"Cynoglossum amabile","Boraginales","Boraginaceae","Cynoglossum","Cynoglossum amabile","Hermaphrodite","self_compatible","low",13.631025,"Open","actinomorphic",30,6,2,4,4,"herb","Short lived",0.375,527320
"Cytisus scoparius","Fabales","Fabaceae","Cytisus","Cytisus scoparius","Hermaphrodite","partially_self_compatible","low",1,"Papilionaceous","zygomorphic",500,16,20,10,13,"shrub","Perennial",2.5,55592
"Datura stramonium","Solanales","Solanaceae","Datura","Datura stramonium","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",10,40,75,50,80,"herb","Short lived",1.25,14720
"Daucus carota","Apiales","Apiaceae","Daucus","Daucus carota","Monoecious","self_compatible","none",0,"Open","actinomorphic",650,5.5,1.5,1.15,2,"herb","Short lived",0.5,3062
"Desmodium canadense","Fabales","Fabaceae","Desmodium","Desmodium canadense","Hermaphrodite","self_compatible","low",14.8302,"Papilionaceous","zygomorphic",50,11,11,2,7,"herb","Perennial",1.35,4742
"Dianthus armeria","Caryophyllales","Caryophyllaceae","Dianthus","Dianthus armeria","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",15,10.5,10,10,93,"herb","Short lived",0.45,13522
"Diapensia lapponica","Ericales","Diapensiaceae","Diapensia","Diapensia lapponica","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",50,14.1,9.1,3,240,"shrub","Perennial",0.04,480000
"Digitaria ciliaris","Poales","Poaceae","Digitaria","Digitaria ciliaris","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",400,0.8,2.1,0.1,1,"herb","Short lived",0.55,1125
"Diplotaxis virgata","Brassicales","Brassicaceae","Diplotaxis","Diplotaxis virgata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",100,10,5,2,2,"herb","Short lived",0.65,64980
"Dipsacus asperoides","Dipsacales","Caprifoliaceae","Dipsacus","Dipsacus asperoides","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",150,4,10,10,1,"herb","Perennial",1,2260
"Discaria toumatou","Rosales","Rhamnaceae","Discaria","Discaria toumatou","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",8000,4,1,1,3,"shrub","Perennial",2.5,36197
"Dodonaea viscosa","Sapindales","Sapindaceae","Dodonaea","Dodonaea viscosa","Dioecious","dioecious","none",0,"Open","actinomorphic",7500,8,4,5,3,"shrub","Perennial",2.5,317100
"Dorichnium pentaphylum","Fabales","Fabaceae","Dorycnium","Dorycnium pentaphyllum","Hermaphrodite","self_compatible","low",13.8497,"Tube","zygomorphic",2500,3.5,4.5,4,33,"herb","Perennial",0.3,8220.47
"Dryas integrifolia","Rosales","Rosaceae","Dryas","Dryas integrifolia","Hermaphrodite","self_compatible","low",17.6262,"Open","actinomorphic",50,25,9,4,30,"shrub","Perennial",0.1,192164
"Brauneria pallida","Asterales","Asteraceae","Echinacea","Echinacea pallida","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,57,69,9,65.5,"herb","Perennial",0.6,24131
"Brauneria purpurea","Asterales","Asteraceae","Echinacea","Echinacea purpurea","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","zygomorphic",1,14,55,4.5,65.5,"herb","Perennial",0.9,10414
"Echium plantagineum","Boraginales","Boraginaceae","Echium","Echium plantagineum","Hermaphrodite","self_incompatible","low",0,"Tube","zygomorphic",30,23.1,25,35,4,"herb","Perennial",0.8,382229
"Ellisia nyctelaea","Boraginales","Boraginaceae","Ellisia","Ellisia nyctelea","Hermaphrodite","self_compatible","low",22.516325,"Tube","actinomorphic",5,5,6.1,3,4,"herb","Short lived",0.2,5882
"Epacris microphylla","Ericales","Ericaceae","Epacris","Epacris microphylla","Hermaphrodite","partially_self_compatible","low",10.549775,"Open","actinomorphic",1500,7.5,2.75,0.8,77.5,"shrub","Perennial",0.75,8137.5
"Chamaenerium angustifolium","Myrtales","Onagraceae","Epilobium","Epilobium angustifolium","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",40,35,5,15,593,"herb","Perennial",0.3,18526
"Epilobium hirsutum","Myrtales","Onagraceae","Epilobium","Epilobium hirsutum","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",40,20,10,8,593,"herb","Perennial",1.375,20755
"Erica ciliaris","Ericales","Ericaceae","Erica","Erica ciliaris","Hermaphrodite","self_compatible","low",1,"Tube","actinomorphic",50,3.1,8,8.5,120,"shrub","Perennial",0.6,35000
"Erica scoparia","Ericales","Ericaceae","Erica","Erica scoparia","Hermaphrodite","partially_self_compatible","medium",31,"Campanulate","actinomorphic",2500,2.2,2.4,1.45,12.5,"shrub","Perennial",2.1,92000
"Erica tetralix","Ericales","Ericaceae","Erica","Erica tetralix","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",15,3.5,6.3,3.5,100,"herb","Perennial",1,13700
"Erica umbellata","Ericales","Ericaceae","Erica","Erica umbellata","Hermaphrodite","partially_self_compatible","low",10,"Campanulate","actinomorphic",1000,4.4,4.8,5,77.5,"shrub","Perennial",0.6,5481
"Erodium_cicatarium","Geraniales","Geraniaceae","Erodium","Erodium cicutarium","Hermaphrodite","self_compatible","high",82.8,"Open","actinomorphic",5,10,3.5,1,5,"herb","Short lived",0.45,385
"Astragalus lusitanicus","Fabales","Fabaceae","Erophaca","Erophaca baetica","Monoecious","self_compatible","low",12.2469,"Papilionaceous","zygomorphic",300,30,14.1,14,9.6,"herb","Perennial",0.5,306300
"Euphrasia regelii","Lamiales","Orobanchaceae","Euphrasia","Euphrasia regelii","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",5,6,7.5,5,39,"herb","Short lived",0.19,2005
"Euphrasia zelandica","Lamiales","Orobanchaceae","Euphrasia","Euphrasia zelandica","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",5,13.5,9,5,24,"herb","Short lived",0.05,2733
"Fragaria virginiana illinoensis","Rosales","Rosaceae","Fragaria","Fragaria virginiana","Dioecious","self_compatible","low",16.30555,"Open","actinomorphic",5,15.5,1.4,1,100,"herb","Perennial",0.9,442000
"Galium aperine","Gentianales","Rubiaceae","Galium","Galium aparine","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",35,1.5,1,0.45,2,"herb","Short lived",1,666
"Genista anglica","Fabales","Fabaceae","Genista","Genista anglica","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",1000,8,12.5,6.5,17.9,"shrub","Perennial",0.38,20383
"Genista hirsuta","Fabales","Fabaceae","Genista","Genista hirsuta","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",3000,1.7,8.5,9.1,6.47,"shrub","Perennial",0.9,13653
"Gentiana corymbifera","Gentianales","Gentianaceae","Gentianella","Gentianella corymbifera","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",30,16,10,15,52,"herb","Short lived",0.23,38667
"Geoffroea spinosa","Fabales","Fabaceae","Geoffroea","Geoffroea spinosa","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",15000,9.1,15,15,2,"tree","Perennial",6,1066
"Geranium maculatum","Geraniales","Geraniaceae","Geranium","Geranium maculatum","Dioecious","partially_self_compatible","low",13,"Open","actinomorphic",10,25.1,13,5,10,"herb","Perennial",0.5,10620
"Geranium robertianum","Geraniales","Geraniaceae","Geranium","Geranium robertianum","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",10,17.5,10.5,20,10,"herb","Short lived",0.3,1170
"Geranium sibiricum","Geraniales","Geraniaceae","Geranium","Geranium sibiricum","Hermaphrodite","self_compatible","low",23.5966666666667,"Open","actinomorphic",10,12.5,6.25,5,10,"herb","Perennial",0.35,665
"Glechoma hederacea","Lamiales","Lamiaceae","Glechoma","Glechoma hederacea","Dioecious","self_compatible","none",0,"Tube","zygomorphic",10,8,12.5,7,4,"herb","Perennial",0.11,574.4
"Glochidion acuminatum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion acuminatum","Monoecious","monoecious","none",0,"Tube","actinomorphic",500,1.5,3,1.25,8,"shrub","Perennial",5.5,4336
"Halenia elliptica","Gentianales","Gentianaceae","Halenia","Halenia elliptica","Hermaphrodite","self_compatible","high",100,"Campanulate","actinomorphic",10,8,17.5,4,14.5,"herb","Short lived",0.4,6908
"Halimium commutatum","Malvales","Cistaceae","Halimium","Halimium commutatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,19.1,4,0.5,7,"shrub","Perennial",1.5,24849
"Halimium halimifolium","Malvales","Cistaceae","Halimium","Halimium halimifolium","Hermaphrodite","self_incompatible","none",1,"Open","actinomorphic",50,28,3,1,46,"shrub","Perennial",1,44051
"Hypericum perforatum","Malpighiales","Hypericaceae","Hypericum","Hypericum perforatum","Hermaphrodite","self_compatible","high",100,"Open","actinomorphic",50,17.5,2.1,4.85,75,"shrub","Perennial",0.6,44362
"Hyptis conferta","Lamiales","Lamiaceae","Hyptis","Hyptis conferta","Hermaphrodite","partially_self_compatible","low",2,"Tube","zygomorphic",2000,6.56333333333334,8.22935,3.85,4,"herb","Perennial",0.5,2430
"Hysterionica_jassionoide","Asterales","Asteraceae","Hysterionica","Hysterionica jasionoides","Hermaphrodite","self_compatible","low",21.0199,"Capitulum","actinomorphic",15,23,8.36543333333333,0.5,200,"herb","Short lived",0.225,520000
"Impatiens noli-tangere","Ericales","Balsaminaceae","Impatiens","Impatiens noli-tangere","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",15,13,25,1,7.8,"herb","Short lived",1,725900
"Ipomoea habeliana","Solanales","Convolvulaceae","Ipomoea","Ipomoea habeliana","Hermaphrodite","self_compatible","medium",51,"Funnelform","actinomorphic",15,45,60,25,6,"vine","Perennial",4.5,8442
"Ipomoea indica","Solanales","Convolvulaceae","Ipomoea","Ipomoea indica","Hermaphrodite","self_compatible","none",0,"Funnelform","actinomorphic",25,62.5,62.5,14,6,"vine","Perennial",3,5322
"Ipomoea hederacea","Solanales","Convolvulaceae","Ipomoea","Ipomoea nil","Hermaphrodite","self_compatible","medium",58,"Campanulate","actinomorphic",10,22.5,18.1,20,6,"vine","Short lived",3.5,906
"Ipomoea pes-caprae","Solanales","Convolvulaceae","Ipomoea","Ipomoea pes-caprae","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",10,95,45,15,6,"vine","Perennial",5,8112
"Ipomoea purpurea","Solanales","Convolvulaceae","Ipomoea","Ipomoea purpurea","Hermaphrodite","self_compatible","high",31.67,"Campanulate","actinomorphic",15,50,37.5,28,6,"herb","Short lived",2,756
"Belamcanda chinensis","Asparagales","Iridaceae","Iris","Iris domestica","Hermaphrodite","partially_self_compatible","low",15.8,"Open","actinomorphic",60,45,19.3138833333333,14,24,"herb","Perennial",1,21950
"Ixeridium biparum","Asterales","Asteraceae","Ixeridium","Ixeridium biparum","Hermaphrodite","self_compatible","low",19.7044,"Capitulum","actinomorphic",30,16.4449166666667,8.19182083333333,5,20,"herb","Short lived",0.275,70360
"Glandularia_crithmifolia","Lamiales","Verbenaceae","Junellia","Junellia crithmifolia","Hermaphrodite","partially_self_compatible","low",9.8466,"Tube","actinomorphic",900,10,14,12.6,4,"herb","Perennial",0.7,8396
"Kandetia candel","Malpighiales","Rhizophoraceae","Kandelia","Kandelia candel","Hermaphrodite","self_compatible","none",0,"Brush","actinomorphic",100,17.5,4,10.5,6,"tree","Perennial",8,659000
"Lamium amplexicaule","Lamiales","Lamiaceae","Lamium","Lamium amplexicaule","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,4.5,17.5,18,4,"herb","Short lived",0.2,2069
"Larrea divaricata","Zygophyllales","Zygophyllaceae","Larrea","Larrea divaricata","Hermaphrodite","partially_self_compatible","low",10,"Open","actinomorphic",1000,10,10,5,20.6,"shrub","Perennial",2,351918
"Lathirus clymenum","Fabales","Fabaceae","Lathyrus","Lathyrus clymenum","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",50,18,18,8,7,"herb","Short lived",0.65,16050
"Lathyrus montanus","Fabales","Fabaceae","Lathyrus","Lathyrus linifolius","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",15,11,13,4,9.36,"herb","Perennial",0.325,281000
"Lavandula stoechas","Lamiales","Lamiaceae","Lavandula","Lavandula stoechas","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",4000,7,6.5,5.5,4,"shrub","Perennial",0.75,3396
