"","db","query","species"
"1","ncbi","812","Croton scouleri"
"2","ncbi","703",NA
"3","ncbi","703",NA
"4","ncbi","428","Bursera graveolens"
"5","ncbi","2928","Tournefortia psilostachya"
"6","ncbi","518",NA
"7","ncbi","1275","Gossypium darwinii"
"8","ncbi","1275","Gossypium darwinii"
"9","ncbi","2929",NA
"10","ncbi","759","Cordia leucophlyctis"
"11","ncbi","3035",NA
"12","ncbi","883","Desmanthus virgatus"
"13","ncbi","626","Chiococca alba"
"14","ncbi","1559",NA
"15","ncbi","11",NA
"16","ncbi","1953","Opuntia echios"
"17","ncbi","760","Cordia lutea"
"18","ncbi","2278","Prosopis juliflora"
"19","ncbi","1958","Opuntia galapageia"
"20","ncbi","2942","Tribulus cistoides"
"21","ncbi","1760",NA
"22","ncbi","392",NA
"23","ncbi","2519",NA
"24","ncbi","3132",NA
"25","ncbi","2551",NA
"26","ncbi","740",NA
"27","ncbi","2029","Parkinsonia aculeata"
"28","ncbi","802","Crotalaria pumila"
"29","ncbi","2190","Polygala galapageia"
"30","ncbi","2855","Tamarindus indica"
"31","ncbi","1479",NA
"32","ncbi","385","Blainvillea rhomboidea"
"33","ncbi","549","Castela galapageia"
"34","ncbi","2410","Rhynchosia minima"
"35","ncbi","1793","Mentzelia aspera"
"36","ncbi","2586",NA
"37","ncbi","2632",NA
"38","ncbi","131",NA
"39","ncbi","2930",NA
"40","ncbi","2229","Portulaca oleracea"
"41","ncbi","1736",NA
"42","ncbi","2049","Pectis tenuifolia"
"43","ncbi","1848","Momordica charantia"
"44","ncbi","393","Boerhavia erecta"
"45","ncbi","1339","Heliotropium angiospermum"
"46","ncbi","2552",NA
"47","ncbi","821",NA
"48","ncbi","353",NA
"49","ncbi","1180","Galactia striata"
"50","ncbi","2180","Plumbago scandens"
"51","ncbi","1845","Mollugo flavescens"
"52","ncbi","701","Corynandra viscosa"
"53","ncbi","1521","Jasminocereus thouarsii"
"54","ncbi","6",NA
"55","ncbi","2918","Tiquilia fusca"
"56","ncbi","133","Alternanthera filifolia"
"57","ncbi","762","Cordia revoluta"
"58","ncbi","1482",NA
"59","ncbi","2917","Tiquilia darwinii"
"60","ncbi","1846","Mollugo snodgrassii"
"61","ncbi","859","Darwiniothamnus lancifolius"
"62","ncbi","399",NA
"63","ncbi","199","Aphloia theiformis"
"64","ncbi","2439","Roussea simplex"
"65","ncbi","1843",NA
"66","ncbi","2920","Toddalia asiatica"
"67","ncbi","2812","Stillingia lineata"
"68","ncbi","1073",NA
"69","ncbi","808","Croton fothergillifolius"
"70","ncbi","2302","Psiadia terebinthina"
"71","ncbi","620","Chassalia coriacea"
"72","ncbi","940","Dodonaea viscosa"
"73","ncbi","368","Bertiera zaluzania"
"74","ncbi","198","Antirhea borbonica"
"75","ncbi","685",NA
"76","ncbi","1786",NA
"77","ncbi","2104","Petunia axillaris"
"78","ncbi","245",NA
"79","ncbi","2468","Ruta chalepensis"
"80","ncbi","2757",NA
"81","ncbi","1964","Opuntia sulphurea"
"82","ncbi","930","Dipyrena glaberrima"
"83","ncbi","2630","Senna aphylla"
"84","ncbi","741","Condalia microphylla"
"85","ncbi","2597",NA
"86","ncbi","1566","Larrea nitida"
"87","ncbi","424","Buddleja mendozensis"
"88","ncbi","232","Argemone subfusiformis"
"89","ncbi","1564","Larrea cuneifolia"
"90","ncbi","15",NA
"91","ncbi","1307",NA
"92","ncbi","2903","Thymophylla pentachaeta"
"93","ncbi","3162","Zuccagnia punctata"
"94","ncbi","499","Atamisquea emarginata"
"95","ncbi","2197",NA
"96","ncbi","1565","Larrea divaricata"
"97","ncbi","2748","Spartium junceum"
"98","ncbi","693",NA
"99","ncbi","1661","Lippia turbinata"
"100","ncbi","577",NA
"101","ncbi","2499",NA
"102","ncbi","3039","Verbascum thapsus"
"103","ncbi","1452",NA
"104","ncbi","988","Elaeagnus angustifolia"
"105","ncbi","123",NA
"106","ncbi","598",NA
