Order_all,Family_all,Genus_all,Species_all,subspecies,species_geonet,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Boraginaceae,Tournefortia,Tournefortia rufo-sericea,NA,Tournefortia rufo-sericea,,,,,,,,,,,,,,,,,,,,
Boraginales,Portulacaceae,Portulaca,Portulaca oleracea,NA,Portulaca oleracea,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Asteraceae,Macraea,Macraea laricifolia,NA,Macraea laricifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Pectis,Pectis tenuifolia,NA,Pectis tenuifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Anisophylleaceae,Momordica,Momordica charantia,NA,Momordica charantia,,,,,,,,,,,,,,,,,,,,
Cucurbitales,Nyctaginaceae,Boerhaavia,Boerhaavia erecta,NA,Boerhaavia erecta,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Boraginaceae,Heliotropium,Heliotropium angiospermum,NA,Heliotropium angiospermum,,,,,,,,,,,,,,,,,,,,
Boraginales,Asteraceae,Scalesia,Scalesia baurii,NA,Scalesia bauri,,,,,,,,,,,,,,,,,,,,
Asterales,Nyctaginaceae,Cryptocarpus,Cryptocarpus pyriformis,NA,Cryptocarpus pyriformis,,,,,,,,,,,,,,,,,,,,
NA,Malvaceae,Bastardia,Bastardia viscosa,NA,Bastardia viscosa,,,,,,,,,,,,,,,,,,,,
Malvales,Fabaceae,Galactia,Galactia striata,NA,Galactia striata,,,,,,,,,,,,,,,,,,,,
Fabales,Plumbaginaceae,Plumbago,Plumbago zeylanica,NA,Plumbago scandens,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Molluginaceae,Mollugo,Mollugo flavescens,NA,Mollugo flavescens,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Cleomaceae,Cleome,Cleome viscosa,NA,Cleome viscosa,,,,,,,,,,,,,,,,,,,,
Brassicales,Cactaceae,Jasminocereus,Jasminocereus thouarsii,NA,Jasminocereus thouarsii,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Malvaceae,Abutilon,Abutilon depauperatum,NA,Abutilon depauperatum,,,,,,,,,,,,,,,,,,,,
Malvales,Boraginaceae,Tiquilia,Tiquilia fusca,NA,Tiquilia fusca,,,,,,,,,,,,,,,,,,,,
Boraginales,Amaranthaceae,Alternanthera,Alternanthera filifolia,NA,Alternanthera filifolia,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Boraginaceae,Cordia,Cordia revoluta,NA,Cordia revoluta,,,,,,,,,,,,,,,,,,,,
Boraginales,Convolvulaceae,Ipomoea,Ipomoea linearifolia,NA,Ipomoea linearifolia,,,,,,,,,,,,,,,,,,,,
Solanales,Boraginaceae,Tiquilia,Tiquilia darwinii,NA,Tiquilia darwinii,,,,,,,,,,,,,,,,,,,,
Boraginales,Molluginaceae,Mollugo snodgrassii,Mollugo snodgrassii,NA,Mollugo snodgrassii,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Asteraceae,Darwiniothamnus,Darwiniothamnus lancifolius,NA,Darwiniothamnus lancifolius,,,,,,,,,,,,,,,,,,,,
Asterales,Rubiaceae,Spermacoce,Spermacoce divaricata,NA,Borreria ericaefolia,,,,,,,,,,,,,,,,,,,,
Gentianales,Aphloiaceae,Aphloia,Aphloia theiformis,NA,Aphloia theiformis,,,,,,,,,,,,,,,,,,,,
Crossosomatales,Rousseaceae,Roussea,Roussea simplex,NA,Roussea simplex,,,,,,,,,,,,,,,,,,,,
Asterales,Sapindaceae,Molinaea,Molinaea arborea,NA,Molinaea alternifolia,,,,,,,,,,,,,,,,,,,,
Sapindales,Rutaceae,Toddalia,Toddalia asiatica,NA,Toddalia asiatica,,,,,,,,,,,,,,,,,,,,
Sapindales,Euphorbiaceae,Stillingia,Stillingia lineata,NA,Stillingia lineata,,,,,,,,,,,,,,,,,,,,
Malpighiales,Erythroxylaceae,Erythroxylum,Erythroxylum macrocarpum,NA,Erythroxylum macrocarpum,,,,,,,,,,,,,,,,,,,,
NA,Euphorbiaceae,Croton,Croton fothergillifolius,NA,Croton fothergillifolius,,,,,,,,,,,,,,,,,,,,
Malpighiales,Asteraceae,Psiadia,Psiadia terebinthina,NA,Psiadia terebinthina,,,,,,,,,,,,,,,,,,,,
Asterales,Rubiaceae,Chassalia,Chassalia coriacea,NA,Chassalia coriacea,,,,,,,,,,,,,,,,,,,,
Gentianales,Sapindaceae,Dodonaea,Dodonaea viscosa,NA,Dodonaea viscosa,,,,,,,,,,,,,,,,,,,,
Sapindales,Rubiaceae,Bertiera,Bertiera zaluzania,NA,Bertiera zaluzania,,,,,,,,,,,,,,,,,,,,
