Order_all,Family_all,Genus_all,Species_all,subspecies,species_geonet,,,,,,,,,,,,,,,,,,,,
Asterales,Lamiaceae,Pycnanthemum,Pycnanthemum flexuosum,NA,Pycnanthemum flexuosum,,,,,,,,,,,,,,,,,,,,
Lamiales,Hypericaceae,Hypericum,Hypericum cistifolium,NA,Hypericum cistifolium,,,,,,,,,,,,,,,,,,,,
Malpighiales,Malvaceae,Abutilon,Abutilon theophrasti,NA,Abutilon theophrasti,,,,,,,,,,,,,,,,,,,,
Malvales,Asteraceae,Erigeron,Erigeron pulchellus,NA,Erigeron pulchellus,,,,,,,,,,,,,,,,,,,,
Asterales,Fabaceae,Lespedeza,Lespedeza procumbens,NA,Lespedeza procumbens,,,,,,,,,,,,,,,,,,,,
Fabales,Phrymaceae,Phryma,Phryma leptostachya,NA,Phryma leptostachya,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Helianthus,Helianthus tuberosus,NA,Helianthus tuberosus,,,,,,,,,,,,,,,,,,,,
Asterales,Solanaceae,Physalis,Physalis virginiana,NA,Physalis virginiana,,,,,,,,,,,,,,,,,,,,
Solanales,Asteraceae,Boltonia,Boltonia asteroides,NA,Boltonia asteroides,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Boltonia,Boltonia asteroides,NA,Boltonia asteroides,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Boltonia,Boltonia asteroides,NA,Boltonia asteroides,,,,,,,,,,,,,,,,,,,,
Asterales,Fabaceae,Tephrosia,Tephrosia virginiana,NA,Tephrosia virginiana,,,,,,,,,,,,,,,,,,,,
Fabales,Apiaceae,Cicuta,Cicuta maculata,NA,Cicuta maculata,,,,,,,,,,,,,,,,,,,,
Apiales,Lamiaceae,Monarda,Monarda fistulosa,NA,Monarda fistulosa,,,,,,,,,,,,,,,,,,,,
Lamiales,Araceae,Arisaema,Arisaema triphyllum,NA,Arisaema triphyllum,,,,,,,,,,,,,,,,,,,,
Alismatales,Asteraceae,Erechtites,Erechtites hieracifolia,NA,Erechthites hieracifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Verbesina,Verbesina alternifolia,NA,Actinomeris alternifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Verbesina,Verbesina alternifolia,NA,Actinomeris alternifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Verbesina,Verbesina alternifolia,NA,Actinomeris alternifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Ulmaceae,Ulmus,Ulmus rubra,NA,Ulmus fulva,,,,,,,,,,,,,,,,,,,,
Rosales,Solanaceae,Physalis,Physalis virginiana,sonorae,Physalis lanceolata,,,,,,,,,,,,,,,,,,,,
Solanales,Lamiaceae,Physostegia,Physostegia virginiana,NA,Physostegia virginiana,,,,,,,,,,,,,,,,,,,,
Lamiales,Cornaceae,Cornus,Cornus florida,NA,Cornus florida,,,,,,,,,,,,,,,,,,,,
Cornales,Ranunculaceae,Enemion,Enemion biternatum,NA,Isopyrum biternatum,,,,,,,,,,,,,,,,,,,,
Ranunculales,Lamiaceae,Agastache,Agastache nepetoides,NA,Agastache nepetoides,,,,,,,,,,,,,,,,,,,,
Lamiales,Solanaceae,Datura,Datura stramonium,NA,Datura stramonium,,,,,,,,,,,,,,,,,,,,
Solanales,Apiaceae,Cryptotaenia,Cryptotaenia canadensis,NA,Cryptotaenia canadensis,,,,,,,,,,,,,,,,,,,,
Apiales,Fabaceae,Lespedeza,Lespedeza virginica,NA,Lespedeza virginica,,,,,,,,,,,,,,,,,,,,
Fabales,Asteraceae,Helianthus,Helianthus grosseserratus,NA,Helianthus grosse-serratus,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Helianthus,Helianthus grosseserratus,NA,Helianthus grosse-serratus,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Helianthus,Helianthus grosseserratus,NA,Helianthus grosse-serratus,,,,,,,,,,,,,,,,,,,,
Asterales,Rosaceae,Prunus,Prunus serotina,NA,Prunus serotina,,,,,,,,,,,,,,,,,,,,
Rosales,Vitaceae,Parthenocissus,Parthenocissus quinquefolia,NA,Psedera quinquefolia,,,,,,,,,,,,,,,,,,,,
Vitales,Malvaceae,Malva,Malva pusilla,NA,Malva rotundifolia,,,,,,,,,,,,,,,,,,,,
Malvales,Plantaginaceae,Linaria,Linaria vulgaris,NA,Linaria vulgaris,,,,,,,,,,,,,,,,,,,,
Lamiales,Phrymaceae,Mimulus,Mimulus alatus,NA,Mimulus alatus,,,,,,,,,,,,,,,,,,,,
Lamiales,Ranunculaceae,Ranunculus,Ranunculus septentrionalis,NA,Ranunculus septentrionalis,,,,,,,,,,,,,,,,,,,,
Ranunculales,Plantaginaceae,Veronica,Veronica arvensis,NA,Veronica arvensis,,,,,,,,,,,,,,,,,,,,
Lamiales,Linderniaceae,Lindernia,Lindernia dubia,NA,Ilysanthes dubia,,,,,,,,,,,,,,,,,,,,
Lamiales,Solanaceae,Physalis,Physalis subglabrata,NA,Physalis subglabrata,,,,,,,,,,,,,,,,,,,,
Solanales,Rosaceae,Fragaria,Fragaria virginiana,illinoensis,Fragaria virginiana illinoensis,,,,,,,,,,,,,,,,,,,,
Rosales,Salicaceae,Populus,Populus tremuloides,NA,Populus tremuloides,,,,,,,,,,,,,,,,,,,,
Malpighiales,Salicaceae,Populus,Populus tremuloides,NA,Populus tremuloides,,,,,,,,,,,,,,,,,,,,
Malpighiales,Fabaceae,Petalostemum,Petalostemum candidum,NA,Petalostemum candidum,,,,,,,,,,,,,,,,,,,,
Fabales,Salicaceae,Salix,Salix nigra,NA,Salix nigra,,,,,,,,,,,,,,,,,,,,
Malpighiales,Salicaceae,Salix,Salix nigra,NA,Salix nigra,,,,,,,,,,,,,,,,,,,,
Malpighiales,Asteraceae,Parthenium,Parthenium integrifolium,NA,Parthenium integrifolium,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Parthenium,Parthenium integrifolium,NA,Parthenium integrifolium,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Parthenium,Parthenium integrifolium,NA,Parthenium integrifolium,,,,,,,,,,,,,,,,,,,,
Asterales,Orobanchaceae,Aureolaria,Aureolaria grandiflora,NA,Gerardia grandiflora,,,,,,,,,,,,,,,,,,,,
Lamiales,Campanulaceae,Lobelia,Lobelia siphilitica,NA,Lobelia siphilitica,,,,,,,,,,,,,,,,,,,,
Asterales,Commelinaceae,Tradescantia,Tradescantia subaspera,NA,Tradescantia pilosa,,,,,,,,,,,,,,,,,,,,
Commelinales,Asteraceae,Helianthus,Helianthus annuus,NA,Helianthus annuus,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Helianthus,Helianthus annuus,NA,Helianthus annuus,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Helianthus,Helianthus annuus,NA,Helianthus annuus,,,,,,,,,,,,,,,,,,,,
Asterales,Onagraceae,Ludwigia,Ludwigia polycarpa,NA,Ludvigia polycarpa,,,,,,,,,,,,,,,,,,,,
Myrtales,Campanulaceae,Campanula,Campanula americana,NA,Campanula americana,,,,,,,,,,,,,,,,,,,,
Asterales,Caprifoliaceae,Lonicera,Lonicera sullivantii,NA,Lonicera sullivantii,,,,,,,,,,,,,,,,,,,,
Dipsacales,Fabaceae,Amphicarpaea,Amphicarpaea bracteata,NA,Amphicarpa pitcheri,,,,,,,,,,,,,,,,,,,,
Fabales,Lamiaceae,Scutellaria,Scutellaria lateriflora,NA,Scutellaria lateriflora,,,,,,,,,,,,,,,,,,,,
Lamiales,Iridaceae,Iris,Iris versicolor,NA,Iris versicolor,,,,,,,,,,,,,,,,,,,,
Asparagales,Euphorbiaceae,Euphorbia,Euphorbia corollata,NA,Euphorbia corollata,,,,,,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia corollata,NA,Euphorbia corollata,,,,,,,,,,,,,,,,,,,,
Malpighiales,Viburnaceae,Sambucus,Sambucus canadensis,NA,Sambucus canadensis,,,,,,,,,,,,,,,,,,,,
Dipsacales,Polygonaceae,Persicaria,Persicaria hydropiper,NA,Polygonum hydropiper,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Primulaceae,Steironema,Steironema quadriflorum,NA,Steironema quadriflorum,,,,,,,,,,,,,,,,,,,,
Ericales,Asteraceae,Bidens,Bidens connata,NA,Bidens connata,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Antennaria,Antennaria plantaginifolia,NA,Antennaria plantaginifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Antennaria,Antennaria plantaginifolia,NA,Antennaria plantaginifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Aster,Aster salicifolius,NA,Aster salicifolius,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Aster,Aster salicifolius,NA,Aster salicifolius,,,,,,,,,,,,,,,,,,,,
Asterales,Ranunculaceae,Delphinium,Delphinium tricorne,NA,Delphinium tricorne,,,,,,,,,,,,,,,,,,,,
Ranunculales,Nymphaeaceae,Nymphaea,Nymphaea odorata,NA,Castalia tuberosa,,,,,,,,,,,,,,,,,,,,
Nymphaeales,Orobanchaceae,Castilleja,Castilleja coccinea,NA,Castilleja coccinea,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Heterocondylus,Heterocondylus decipiens,NA,Eupatorium urticaefolium,,,,,,,,,,,,,,,,,,,,
Asterales,Rosaceae,Geum,Geum vernum,NA,Geum vernum,,,,,,,,,,,,,,,,,,,,
Rosales,Polygonaceae,Persicaria,Persicaria hydropiperoides,NA,Polygonum hydropiperoides,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Commelinaceae,Tradescantia,Tradescantia virginiana,NA,Tradescantia brevicaulis,,,,,,,,,,,,,,,,,,,,
Commelinales,Asteraceae,Symphyotrichum,Symphyotrichum ericoides,NA,Aster multiflorus,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum ericoides,NA,Aster multiflorus,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum ericoides,NA,Aster multiflorus,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Nabalus,Nabalus asper,NA,Prenanthes aspera,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Erigeron,Erigeron canadensis,NA,Erigeron canadensis,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Erigeron,Erigeron canadensis,NA,Erigeron canadensis,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Erigeron,Erigeron canadensis,NA,Erigeron canadensis,,,,,,,,,,,,,,,,,,,,
Asterales,Apocynaceae,asclepias,Asclepias purpurascens,NA,Asclepias purpurascens,,,,,,,,,,,,,,,,,,,,
Gentianales,Lythraceae,Ammannia,Ammannia coccinea,NA,Ammannia coccinea,,,,,,,,,,,,,,,,,,,,
Myrtales,Caprifoliaceae,Triosteum,Triosteum perfoliatum,NA,Triosteum perfoliatum,,,,,,,,,,,,,,,,,,,,
Dipsacales,Onagraceae,Oenothera,Oenothera fruticosa,NA,Oenothera fruticosa,,,,,,,,,,,,,,,,,,,,
Myrtales,Boraginaceae,Myosotis,Myosotis verna,NA,Myosotis virginica,,,,,,,,,,,,,,,,,,,,
Boraginales,Convolvulaceae,Cuscuta,Cuscuta glomerata,NA,Cuscuta glomerata,,,,,,,,,,,,,,,,,,,,
Solanales,Celastraceae,Celastrus,Celastrus scandens,NA,Celastrus scandens,,,,,,,,,,,,,,,,,,,,
Celastrales,Lamiaceae,Leonurus,Leonurus cardiaca,NA,Leonurus cardiaca,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Solidago,Solidago ulmifolia,NA,Solidago ulmifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Solidago,Solidago ulmifolia,NA,Solidago ulmifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Solidago,Solidago ulmifolia,NA,Solidago ulmifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Poaceae,Zea,Zea mays,NA,Zea mays,,,,,,,,,,,,,,,,,,,,
Poales,Fabaceae,Astragalus,Astragalus canadensis,NA,Astragalus canadensis,,,,,,,,,,,,,,,,,,,,
Fabales,Scrophulariaceae,Scrophularia,Scrophularia marilandica,NA,Scrophularia marilandica,,,,,,,,,,,,,,,,,,,,
Lamiales,Passifloraceae,Passiflora,Passiflora lutea,NA,Passiflora lutea,,,,,,,,,,,,,,,,,,,,
Malpighiales,Hypericaceae,Hypericum,Hypericum ascyron,NA,Hypericum ascyron,,,,,,,,,,,,,,,,,,,,
Malpighiales,Fabaceae,Apios,Apios americana,NA,Apios tuberosa,,,,,,,,,,,,,,,,,,,,
Fabales,Primulaceae,Samolus,Samolus floribundus,NA,Samolus floribundus,,,,,,,,,,,,,,,,,,,,
Ericales,Asteraceae,Achillea,Achillea millefolium,NA,Achillea millefolium,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Achillea,Achillea millefolium,NA,Achillea millefolium,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Achillea,Achillea millefolium,NA,Achillea millefolium,,,,,,,,,,,,,,,,,,,,
Asterales,Phrymaceae,Mimulus,Mimulus ringens,NA,Mimulus ringens,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Symphyotrichum,Symphyotrichum cordifolium,NA,Aster sagittifolius,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum cordifolium,NA,Aster sagittifolius,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum cordifolium,NA,Aster sagittifolius,,,,,,,,,,,,,,,,,,,,
Asterales,Sapindaceae,Aesculus,Aesculus hippocastanum,NA,Aesculus hippocastanum,,,,,,,,,,,,,,,,,,,,
Sapindales,Montiaceae,Claytonia,Claytonia virginica,NA,Claytonia virginica,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Orchidaceae,Galearis,Galearis spectabilis,NA,Orchis spectabilis,,,,,,,,,,,,,,,,,,,,
Asparagales,Asteraceae,Cirsium,Cirsium lanceolatum,NA,Cirsium lanceolatum,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Cirsium,Cirsium lanceolatum,NA,Cirsium lanceolatum,,,,,,,,,,,,,,,,,,,,
Asterales,Primulaceae,Dodecatheon,Dodecatheon meadia,NA,Dodecatheon meadia,,,,,,,,,,,,,,,,,,,,
Ericales,Lythraceae,Lythrum,Lythrum alatum,NA,Lythrum alatum,,,,,,,,,,,,,,,,,,,,
Myrtales,Lamiaceae,Lycopus,Lycopus americanus,NA,Lycopus americanus,,,,,,,,,,,,,,,,,,,,
Lamiales,Phytolaccaceae,Phytolacca,Phytolacca americana,NA,Phytolacca decandra,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Rosaceae,Malus,Malus coronaria,NA,Pyrus coronaria,,,,,,,,,,,,,,,,,,,,
Rosales,Asteraceae,Cirsium,Cirsium discolor,NA,Cirsium discolor,,,,,,,,,,,,,,,,,,,,
Asterales,Ranunculaceae,Ranunculus,Ranunculus fascicularis,NA,Ranunculus fascicularis,,,,,,,,,,,,,,,,,,,,
Ranunculales,Hydrangeaceae,Hydrangea,Hydrangea arborescens,NA,Hydrangea arborescens,,,,,,,,,,,,,,,,,,,,
Cornales,Violaceae,Viola,Viola striata,NA,Viola striata,,,,,,,,,,,,,,,,,,,,
Malpighiales,Melanthiaceae,Melanthium,Melanthium virginicum,NA,Melanthium virginicum,,,,,,,,,,,,,,,,,,,,
Liliales,Cornaceae,Cornus,Cornus oblonga,NA,Cornus paniculata,,,,,,,,,,,,,,,,,,,,
Cornales,Asteraceae,Anthemis,Anthemis cotula,NA,Anthemis cotula,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Anthemis,Anthemis cotula,NA,Anthemis cotula,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Anthemis,Anthemis cotula,NA,Anthemis cotula,,,,,,,,,,,,,,,,,,,,
Asterales,Lamiaceae,Marrubium,Marrubium vulgare,NA,Marrubium vulgare,,,,,,,,,,,,,,,,,,,,
Lamiales,Fabaceae,Amorpha,Amorpha canescens,NA,Amorpha canescens,,,,,,,,,,,,,,,,,,,,
Fabales,Apiaceae,Thaspium,Thaspium trifoliatum,aureum,Thaspium aureum atropurpurem,,,,,,,,,,,,,,,,,,,,
Apiales,Verbenaceae,Verbena,Verbena stricta,NA,Verbena stricta,,,,,,,,,,,,,,,,,,,,
Lamiales,Rutaceae,Ptelea,Ptelea trifoliata,NA,Ptelea trifoliata,,,,,,,,,,,,,,,,,,,,
Sapindales,Rhamnaceae,Ceanothus,Ceanothus americanus,NA,Ceanothus americanus,,,,,,,,,,,,,,,,,,,,
Rosales,Ranunculaceae,Clematis,Clematis pitcheri,NA,Clematis pitcheri,,,,,,,,,,,,,,,,,,,,
Ranunculales,Rosaceae,Prunus,Prunus americana,NA,Prunus americana,,,,,,,,,,,,,,,,,,,,
Rosales,Amaryllidaceae,Nothoscordum,Nothoscordum bivalve,NA,Nothoscordum bivalve,,,,,,,,,,,,,,,,,,,,
Asparagales,Polygonaceae,Persicaria,Persicaria pensylvanica,NA,Polygonum pennsylvanicum,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Polygonaceae,Persicaria,Persicaria amphibia,NA,Polygonum amphibium,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Boraginaceae,Mertensia,Mertensia virginica,NA,Mertensia virginica,,,,,,,,,,,,,,,,,,,,
Boraginales,Asteraceae,Krigia,Krigia biflora,NA,Krigia amplexicaulis,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Krigia,Krigia biflora,NA,Krigia amplexicaulis,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Krigia,Krigia biflora,NA,Krigia amplexicaulis,,,,,,,,,,,,,,,,,,,,
Asterales,Verbenaceae,Phyla,Phyla lanceolata,NA,Lippia lanceolata,,,,,,,,,,,,,,,,,,,,
Lamiales,Sapindaceae,Aesculus,Aesculus glabra,NA,Aesculus glabra,,,,,,,,,,,,,,,,,,,,
Sapindales,Asteraceae,Eupatorium,Eupatorium serotinum,NA,Eupatorium serotinum,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Eupatorium,Eupatorium serotinum,NA,Eupatorium serotinum,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Eupatorium,Eupatorium serotinum,NA,Eupatorium serotinum,,,,,,,,,,,,,,,,,,,,
Asterales,Convolvulaceae,Calystegia,Calystegia sepium,NA,Convolvulus sepium,,,,,,,,,,,,,,,,,,,,
Solanales,Apocynaceae,Apocynum,Apocynum androsaemifolium,NA,Apocynum androsaemifolium,,,,,,,,,,,,,,,,,,,,
Gentianales,Apiaceae,Erigenia,Erigenia bulbosa,NA,Erigenia bulbosa,,,,,,,,,,,,,,,,,,,,
Apiales,Onagraceae,Gaura,Gaura biennis,NA,Gaura biennis,,,,,,,,,,,,,,,,,,,,
Myrtales,Brassicaceae,Murbeckiella,Murbeckiella pinnatifida,NA,Arabis dentata,,,,,,,,,,,,,,,,,,,,
Brassicales,Celastraceae,Evonymus,Euonymus atropurpureus,NA,Evonymus atropurpureus,,,,,,,,,,,,,,,,,,,,
Celastrales,Asteraceae,Bidens,Bidens bipinnata,NA,Bidens bipinnata,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Bidens,Bidens bipinnata,NA,Bidens bipinnata,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Bidens,Bidens bipinnata,NA,Bidens bipinnata,,,,,,,,,,,,,,,,,,,,
Asterales,Campanulaceae,Triodanis,Triodanis perfoliata,NA,Specularia perfoliata,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ambrosia,Ambrosia trifida,NA,Ambrosia trifida,,,,,,,,,,,,,,,,,,,,
Asterales,Vitaceae,Vitis,Vitis cordifolia,NA,Vitis cordifolia,,,,,,,,,,,,,,,,,,,,
Vitales,Apocynaceae,Ampelamus,Ampelamus laevis,NA,Gonolobus laevis,,,,,,,,,,,,,,,,,,,,
Gentianales,Fabaceae,Trifolium,Trifolium hybridum,NA,Trifolium hybridum,,,,,,,,,,,,,,,,,,,,
Fabales,Apiaceae,Pastinaca,Pastinaca sativa,NA,Pastinaca sativa,,,,,,,,,,,,,,,,,,,,
Apiales,Verbenaceae,Verbena,Verbena urticifolia,NA,Verbena urticaefolia,,,,,,,,,,,,,,,,,,,,
Lamiales,Thymelaeaceae,Dirca,Dirca palustris,NA,Dirca palustris,,,,,,,,,,,,,,,,,,,,
Malvales,Lamiaceae,Ascerates,Ascerates floridana,NA,Ascerates floridana,,,,,,,,,,,,,,,,,,,,
Lamiales,Asteraceae,Echinacea,Echinacea pallida,NA,Brauneria pallida,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Echinacea,Echinacea pallida,NA,Brauneria pallida,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Echinacea,Echinacea pallida,NA,Brauneria pallida,,,,,,,,,,,,,,,,,,,,
Asterales,Asparagaceae,Camassia,Camassia quamash,NA,Camassia esculenta,,,,,,,,,,,,,,,,,,,,
Asparagales,Fabaceae,Baptisia,Baptisia bracteata,NA,Baptisia bracteata,,,,,,,,,,,,,,,,,,,,
Fabales,Fabaceae,Senna,Senna marilandica,NA,Cassia marilandica,,,,,,,,,,,,,,,,,,,,
Fabales,Fabaceae,Trifolium,Trifolium reflexum,NA,Trifolium reflexum,,,,,,,,,,,,,,,,,,,,
Fabales,Caprifoliaceae,Dipsacus,Dipsacus fullonum,NA,Dipsacus sylvestris,,,,,,,,,,,,,,,,,,,,
Dipsacales,Iridaceae,Sisyrinchium,Sisyrinchium angustifolium,NA,Sisyrinchium gramineum,,,,,,,,,,,,,,,,,,,,
Asparagales,Apiaceae,Sanicula,Sanicula marilandica,NA,Sanicula marilandica,,,,,,,,,,,,,,,,,,,,
Apiales,Asteraceae,Silphium,Silphium integrifolium,NA,Silphium integrifolium,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Silphium,Silphium integrifolium,NA,Silphium integrifolium,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Silphium,Silphium integrifolium,NA,Silphium integrifolium,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Euthamia,Euthamia graminifolia,NA,Solidago graminifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Euthamia,Euthamia graminifolia,NA,Solidago graminifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Euthamia,Euthamia graminifolia,NA,Solidago graminifolia,,,,,,,,,,,,,,,,,,,,
Asterales,Anacardiaceae,Toxicodendron,Toxicodendron pubescens,NA,Rhus toxicodendron,,,,,,,,,,,,,,,,,,,,
Sapindales,Salicaceae,Salix,Salix amygdaloides,NA,Salix amygdaloides,,,,,,,,,,,,,,,,,,,,
Malpighiales,Salicaceae,Salix,Salix amygdaloides,NA,Salix amygdaloides,,,,,,,,,,,,,,,,,,,,
Malpighiales,Lamiaceae,Mentha,Mentha arvensis,NA,Mentha arvensis,,,,,,,,,,,,,,,,,,,,
Lamiales,Rosaceae,Agrimonia,Agrimonia striata,NA,Agrimonia striata,,,,,,,,,,,,,,,,,,,,
Rosales,Asteraceae,Silphium,Silphium perfoliatum,NA,Silphium perfoliatum,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Silphium,Silphium perfoliatum,NA,Silphium perfoliatum,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Silphium,Silphium perfoliatum,NA,Silphium perfoliatum,,,,,,,,,,,,,,,,,,,,
Asterales,Violaceae,Viola,Viola sagittata,NA,Viola sagittata,,,,,,,,,,,,,,,,,,,,
Malpighiales,Brassicaceae,Capsella,Capsella bursa-pastoris,NA,Capsella bursa-pastoris,,,,,,,,,,,,,,,,,,,,
Brassicales,Asteraceae,Lactuca,Lactuca floridana,NA,Lactuca floridana,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Lactuca,Lactuca floridana,NA,Lactuca floridana,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Lactuca,Lactuca floridana,NA,Lactuca floridana,,,,,,,,,,,,,,,,,,,,
Asterales,Lamiaceae,Hedeoma,Hedeoma pulegioides,NA,Hedeoma pulegioides,,,,,,,,,,,,,,,,,,,,
Lamiales,Orchidaceae,Platanthera,Platanthera leucophaea,NA,Habenaria leucophaea,,,,,,,,,,,,,,,,,,,,
Asparagales,Caryophyllaceae,Silene,Silene stellata,NA,Silene stellata,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Ranunculaceae,Anemone,Anemone hepatica,NA,Hepatica acutiloba,,,,,,,,,,,,,,,,,,,,
Ranunculales,Rhamnaceae,Rhamnus,Rhamnus lanceolata,NA,Rhamnus lanceolata,,,,,,,,,,,,,,,,,,,,
Rosales,Onagraceae,Circaea,Circaea lutetiana,NA,Circaea lutetiana,,,,,,,,,,,,,,,,,,,,
Myrtales,Salicaceae,Populus,Populus deltoides,NA,Populus deltoides,,,,,,,,,,,,,,,,,,,,
Malpighiales,Salicaceae,Populus,Populus deltoides,NA,Populus deltoides,,,,,,,,,,,,,,,,,,,,
Malpighiales,Oxalidaceae,Oxalis,Oxalis stricta,NA,Oxalis stricta,,,,,,,,,,,,,,,,,,,,
Oxalidales,Balsaminaceae,Impatiens,Impatiens capensis,NA,Impatiens biflora,,,,,,,,,,,,,,,,,,,,
Ericales,Orchidaceae,Cypripedium,Cypripedium parviflorum,pubescens,Cypripedium parviflorum pubescens,,,,,,,,,,,,,,,,,,,,
Asparagales,Lamiaceae,Nepeta,Nepeta cataria,NA,Nepeta cataria,,,,,,,,,,,,,,,,,,,,
Lamiales,Melanthiaceae,Stenanthium,Stenanthium gramineum,NA,Stenanthium angustifolium,,,,,,,,,,,,,,,,,,,,
Liliales,Violaceae,Viola,Viola pubescens,NA,Viola pubescens,,,,,,,,,,,,,,,,,,,,
Malpighiales,Grossulariaceae,Ribes,Ribes gracile,NA,Ribes gracile,,,,,,,,,,,,,,,,,,,,
Saxifragales,Fabaceae,Desmodium,Desmodium cuspidatum,NA,Desmodium bracteosum,,,,,,,,,,,,,,,,,,,,
Fabales,Polygonaceae,Fallopia,Fallopia scandens,NA,Polygonum scandens,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Anacardiaceae,Rhus,Rhus canadensis,NA,Rhus canadensis,,,,,,,,,,,,,,,,,,,,
Sapindales,Anacardiaceae,Rhus,Rhus canadensis,NA,Rhus canadensis,,,,,,,,,,,,,,,,,,,,
Sapindales,Orobanchaceae,Agalinis,Agalinis purpurea,NA,Gerardia purpurea,,,,,,,,,,,,,,,,,,,,
Lamiales,Sapindaceae,Acer,Acer negundo,NA,Acer negundo,,,,,,,,,,,,,,,,,,,,
Sapindales,Sapindaceae,Acer,Acer negundo,NA,Acer negundo,,,,,,,,,,,,,,,,,,,,
Sapindales,Asteraceae,Solidago,Solidago rigida,NA,Solidago rigida,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Solidago,Solidago rigida,NA,Solidago rigida,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Solidago,Solidago rigida,NA,Solidago rigida,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Rudbeckia,Rudbeckia laciniata,NA,Rudbeckia laciniata,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Rudbeckia,Rudbeckia laciniata,NA,Rudbeckia laciniata,,,,,,,,,,,,,,,,,,,,
