"","db","query","family"
"1","ncbi","812","Euphorbiaceae"
"2","ncbi","703",NA
"3","ncbi","703",NA
"4","ncbi","428","Burseraceae"
"5","ncbi","2928","Heliotropiaceae"
"6","ncbi","518",NA
"7","ncbi","1275","Malvaceae"
"8","ncbi","1275","Malvaceae"
"9","ncbi","2929",NA
"10","ncbi","759","Cordiaceae"
"11","ncbi","3035",NA
"12","ncbi","883","Fabaceae"
"13","ncbi","626","Rubiaceae"
"14","ncbi","1559",NA
"15","ncbi","11",NA
"16","ncbi","1953","Cactaceae"
"17","ncbi","760","Cordiaceae"
"18","ncbi","2278","Fabaceae"
"19","ncbi","1958","Cactaceae"
"20","ncbi","2942","Zygophyllaceae"
"21","ncbi","1760",NA
"22","ncbi","392",NA
"23","ncbi","2519",NA
"24","ncbi","3132",NA
"25","ncbi","2551",NA
"26","ncbi","740",NA
"27","ncbi","2029","Fabaceae"
"28","ncbi","802","Fabaceae"
"29","ncbi","2190","Polygalaceae"
"30","ncbi","2855","Fabaceae"
"31","ncbi","1479",NA
"32","ncbi","385","Asteraceae"
"33","ncbi","549","Simaroubaceae"
"34","ncbi","2410","Fabaceae"
"35","ncbi","1793","Loasaceae"
"36","ncbi","2586",NA
"37","ncbi","2632",NA
"38","ncbi","131",NA
"39","ncbi","2930",NA
"40","ncbi","2229","Portulacaceae"
"41","ncbi","1736",NA
"42","ncbi","2049","Asteraceae"
"43","ncbi","1848","Cucurbitaceae"
"44","ncbi","393","Nyctaginaceae"
"45","ncbi","1339","Heliotropiaceae"
"46","ncbi","2552",NA
"47","ncbi","821",NA
"48","ncbi","353",NA
"49","ncbi","1180","Fabaceae"
"50","ncbi","2180","Plumbaginaceae"
"51","ncbi","1845","Molluginaceae"
"52","ncbi","701","Cleomaceae"
"53","ncbi","1521","Cactaceae"
"54","ncbi","6",NA
"55","ncbi","2918","Ehretiaceae"
"56","ncbi","133","Amaranthaceae"
"57","ncbi","762","Cordiaceae"
"58","ncbi","1482",NA
"59","ncbi","2917","Ehretiaceae"
"60","ncbi","1846","Molluginaceae"
"61","ncbi","859","Asteraceae"
"62","ncbi","399",NA
"63","ncbi","199","Aphloiaceae"
"64","ncbi","2439","Rousseaceae"
"65","ncbi","1843",NA
"66","ncbi","2920","Rutaceae"
"67","ncbi","2812","Euphorbiaceae"
"68","ncbi","1073",NA
"69","ncbi","808","Euphorbiaceae"
"70","ncbi","2302","Asteraceae"
"71","ncbi","620","Rubiaceae"
"72","ncbi","940","Sapindaceae"
"73","ncbi","368","Rubiaceae"
"74","ncbi","198","Rubiaceae"
"75","ncbi","685",NA
"76","ncbi","1786",NA
"77","ncbi","2104","Solanaceae"
"78","ncbi","245",NA
"79","ncbi","2468","Rutaceae"
"80","ncbi","2757",NA
"81","ncbi","1964","Cactaceae"
"82","ncbi","930","Verbenaceae"
"83","ncbi","2630","Fabaceae"
"84","ncbi","741","Rhamnaceae"
"85","ncbi","2597",NA
"86","ncbi","1566","Zygophyllaceae"
"87","ncbi","424","Scrophulariaceae"
"88","ncbi","232","Papaveraceae"
"89","ncbi","1564","Zygophyllaceae"
"90","ncbi","15",NA
