network number,site ID,habitat type,plant,family (plant),growth form,taxonomic resolution plant,pollinator,taxonomic resolution (pollinator),"individuals caught (1=yes, 0=no)",family (pollinator),order (pollinator),group (pollinator) ,interaction strength,Identifier,Literature used,Comment
cof341199,cof3,coffee plantation,Argemone mexicana,Papaveraceae,herbaceous,Species,Lasioglossum sp.2i,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley/A. Claßen,1,
cof341199,cof3,coffee plantation,Argemone mexicana,Papaveraceae,herbaceous,Species,Lasioglossum Argemone,observation,0,Halictidae,Hymenoptera,Apoidea:Bee,2,,,
cof341199,cof3,coffee plantation,Argemone mexicana,Papaveraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,15,A. Claßen,14,
cof341199,cof3,coffee plantation,Argemone mexicana,Papaveraceae,herbaceous,Species,"Chrysotoxum continum (Bezzi, 1915)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof341199,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,Halictus sp.5,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341199,cof3,coffee plantation,Coffea arabica,Rubiaceae,shrubby,Species,Lasioglossum sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341199,cof3,coffee plantation,Coffea arabica,Rubiaceae,shrubby,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,A. Claßen,14,
cof341199,cof3,coffee plantation,Commelina benghalensis,Commelinaceae,herbaceous,Species,Lasioglossum sp.10,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341199,cof3,coffee plantation,Conyza sumatrensis (C.floribunda),Asteraceae,herbaceous,Species,Lasioglossum sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341199,cof3,coffee plantation,Conyza sumatrensis (C.floribunda),Asteraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,A. Claßen,14,
cof341199,cof3,coffee plantation,Erucastrum arabicum,Brassicaceae,herbaceous,Species,"Paragus longiventris (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof341199,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,Lasioglossum sp.3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341199,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,"Paragus borbonicus (Macquart, 1842)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof341199,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,"Paragus longiventris (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof341199,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,"Paragus minutus (Hull, 1938)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof341199,cof3,coffee plantation,Indigofera spicata,Fabaceae,herbaceous,Species,"Paragus borbonicus (Macquart, 1842)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof341199,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,Lasioglossum sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341199,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,Lasioglossum sp.10,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341199,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,Lasioglossum sp.2i,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley/A. Claßen,1,
cof341199,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,Patellapis sp.17,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,2,C. Eardley,1,
cof341199,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,Lasioglossum Solanum,observation,0,Halictidae,Hymenoptera,Apoidea:Bee,1,,,
cof341199,cof3,coffee plantation,Teramnus labialis,Fabaceae,herbaceous,Species,Patellapis sp.17,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,2,C. Eardley,1,
cof341199,cof3,coffee plantation,Teramnus labialis,Fabaceae,herbaceous,Species,"Ceratina nyassensis (Strand, 1912)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,12,C. Eardley,5,
fer041178,fer0,erica forest,Helichrysum formosissimum,Asteraceae,herbaceous,Species,Vespidae sp.7,morphospecies (family),1,Vespidae,Hymenoptera,non-bee Aculeata,1,R. Peters,27,
fer041178,fer0,erica forest,Helichrysum formosissimum,Asteraceae,herbaceous,Species,Lasioglossum sp.2,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,4,C. Eardley,1,
fer041178,fer0,erica forest,Peucedanum kerstenii,Apiaceae,herbaceous,Species,Lasioglossum sp.2,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,4,C. Eardley,1,
fer041178,fer0,erica forest,Peucedanum kerstenii,Apiaceae,herbaceous,Species,"Betasyrphus cf. lucei (Curran, 1938)",Species,1,Syrphidae,Diptera,Syrphid,2,A. Ssymank,15-26*,
fer041178,fer0,erica forest,Senecio meyeri-johannis,Asteraceae,herbaceous,Species,Lasioglossum sp.2,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,2,C. Eardley,1,
fer041178,fer0,erica forest,Senecio meyeri-johannis,Asteraceae,herbaceous,Species,"Betasyrphus cf. lucei (Curran, 1938)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
flm140816,flm1,lower montane forest,Begonia meyeri-johannis,Begoniaceae,herbaceous climber,Species,Melanostoma sp. 1,morphospecies (genus),1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
flm140816,flm1,lower montane forest,Plectranthus alboviolaceus,Lamiaceae,herbaceous,Species,Vespidae sp.19,morphospecies (family),1,Vespidae,Hymenoptera,non-bee Aculeata,1,R. Peters,27,excluded from analysis (H2')
flm140816,flm1,lower montane forest,Plectranthus alboviolaceus,Lamiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,39,A. Claßen,14,
flm140816,flm1,lower montane forest,Plectranthus alboviolaceus,Lamiaceae,herbaceous,Species,"Rhingia trivittata (Curran, 1929)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
flm141180,flm1,lower montane forest,Begonia meyeri-johannis,Begoniaceae,herbaceous climber,Species,Lasioglossum sp.2i,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley/A. Claßen,1,
flm141180,flm1,lower montane forest,Begonia meyeri-johannis,Begoniaceae,herbaceous climber,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,5,A. Claßen,14,
flm141180,flm1,lower montane forest,Begonia meyeri-johannis,Begoniaceae,herbaceous climber,Species,"Episyrphus trisectus (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
flm141180,flm1,lower montane forest,Plectranthus alboviolaceus,Lamiaceae,herbaceous,Species,Lasioglossum sp.2i,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley/A. Claßen,1,
flm141180,flm1,lower montane forest,Plectranthus alboviolaceus,Lamiaceae,herbaceous,Species,Xylocopa Plectranthus,observation,0,Apidae,Hymenoptera,Apoidea:Bee,1,,,
flm141180,flm1,lower montane forest,Plectranthus alboviolaceus,Lamiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,30,A. Claßen,14,
flm141180,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,Vespidae sp.27,morphospecies (family),1,Vespidae,Hymenoptera,non-bee Aculeata,2,R. Peters,27,
flm141180,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,Lasioglossum sp.2i,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,3,C. Eardley/A. Claßen,1,
flm141180,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,Hymenoptera Vernonia,observation,0,,Hymenoptera,non-bee Aculeata,1,,,
flm141180,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,Wasp Vernonia,observation,0,,Hymenoptera,non-bee Aculeata,1,,,
flm141180,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,24,A. Claßen,14,
flm141180,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,"Episyrphus trisectus (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,2,A. Ssymank,15-26*,
flm141180,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,"Phytomia incisa (Wiedemann, 1830)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
flm141180,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,"Rhingia pycnosoma (Speiser, 1910)",Species,1,Syrphidae,Diptera,Syrphid,3,A. Ssymank,15-26*,
flm141210,flm1,lower montane forest,Begonia meyeri-johannis,Begoniaceae,herbaceous climber,Species,Allograpta sp.1,morphospecies (genus),1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
flm141210,flm1,lower montane forest,Begonia meyeri-johannis,Begoniaceae,herbaceous climber,Species,Lasioglossum sp.2i,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,4,C. Eardley/A. Claßen,1,
flm141210,flm1,lower montane forest,Begonia meyeri-johannis,Begoniaceae,herbaceous climber,Species,"Allograpta hypoxantha (Bezzi, 1923)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
flm141210,flm1,lower montane forest,Begonia meyeri-johannis,Begoniaceae,herbaceous climber,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,12,A. Claßen,14,
flm141210,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,Lasioglossum sp.2i,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley/A. Claßen,1,
flm141210,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,2,A. Claßen,14,
flm141210,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,"Pseudodoros nigricollis (Becker, 1903)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
flm141210,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,"Syritta stigmatica (Loew, 1958)",Species,1,Syrphidae,Diptera,Syrphid,2,A. Ssymank,15-26*,
flm141226,flm1,lower montane forest,Begonia meyeri-johannis,Begoniaceae,herbaceous climber,Species,Patellapis sp.14,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
flm141226,flm1,lower montane forest,Begonia meyeri-johannis,Begoniaceae,herbaceous climber,Species,"Allograpta hypoxantha (Bezzi, 1923)",Species,1,Syrphidae,Diptera,Syrphid,3,A. Ssymank,15-26*,
flm141226,flm1,lower montane forest,Begonia meyeri-johannis,Begoniaceae,herbaceous climber,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,3,A. Claßen,14,
flm141226,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,Vespidae sp.27,morphospecies (family),1,Vespidae,Hymenoptera,non-bee Aculeata,4,R. Peters,27,
flm141226,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,Lasioglossum sp.2i,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,2,C. Eardley/A. Claßen,1,
flm141226,flm1,lower montane forest,Vernonia lasiopus,Asteraceae,herbaceous,Species,"Episyrphus trisectus (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
foc140928,foc1,Ocotea forest,Lasianthus kilimandscharicus,Rubiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,3,A. Claßen,14,
foc140928,foc1,Ocotea forest,Lasianthus kilimandscharicus,Rubiaceae,herbaceous,Species,"Rhingia trivittata (Curran, 1929)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
foc140928,foc1,Ocotea forest,Psychotria cyathicalyx,Rubiaceae,shrub/small tree,Species,"Mallota extrema (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
foc141190,foc1,Ocotea forest,Adenostemma mauritianum ,Asteraceae,herbaceous,Species,Melanostoma sp. 1,morphospecies (genus),1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
foc141190,foc1,Ocotea forest,Adenostemma mauritianum ,Asteraceae,herbaceous,Species,"Melanostoma infuscatum (Becker, 1909)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
foc141190,foc1,Ocotea forest,Isoglossa laxa,Acanthaceae,herbaceous,Species,"Rhingia trivittata (Curran, 1929)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
foc141190,foc1,Ocotea forest,Plectranthus alboviolaceus,Lamiaceae,herbaceous,Species,Melanostoma sp. 1,morphospecies (genus),1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
foc141190,foc1,Ocotea forest,Plectranthus alboviolaceus,Lamiaceae,herbaceous,Species,"Melanostoma infuscatum (Becker, 1909)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
foc141221,foc1,Ocotea forest,Begonia meyeri-johannis,Begoniaceae,herbaceous climber,Species,"Pseudodoros nigricollis (Becker, 1903)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
foc141221,foc1,Ocotea forest,Lasianthus kilimandscharicus,Rubiaceae,herbaceous,Species,Syrphidae Lasianthus,observation,0,Syrphidae,Diptera,Syrphid,1,,,
foc141221,foc1,Ocotea forest,Lasianthus kilimandscharicus,Rubiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,20,A. Claßen,14,
foc141221,foc1,Ocotea forest,Lasianthus kilimandscharicus,Rubiaceae,herbaceous,Species,"Pseudodoros nigricollis (Becker, 1903)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
fpd240935,fpd2,forest podocarpus disturbed,Carduus nyassanus,Asteraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,2,A. Claßen,14,
fpd240935,fpd2,forest podocarpus disturbed,Cynoglossum amplifolium,Boraginaceae,herbaceous,Species,Melanostoma sp. 1,morphospecies (genus),1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
fpd240935,fpd2,forest podocarpus disturbed,Cynoglossum amplifolium,Boraginaceae,herbaceous,Species,"Paragus cf. paulyi (Kassebeer, 2000)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
fpd240935,fpd2,forest podocarpus disturbed,Dipsacus pinnatifidus,Dipsacaceae,herbaceous,Species,"Allograpta calopoides (Curran, 1938)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
fpd240935,fpd2,forest podocarpus disturbed,Dipsacus pinnatifidus,Dipsacaceae,herbaceous,Species,"Betasyrphus cf. lucei (Curran, 1938)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
fpd240935,fpd2,forest podocarpus disturbed,Peucedanum sp.1*,Apiaceae,herbaceous,morphospecies,Melanostoma sp. 1,morphospecies (genus),1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
fpd240935,fpd2,forest podocarpus disturbed,Peucedanum sp.1*,Apiaceae,herbaceous,morphospecies,"Melanostoma infuscatum (Becker, 1909)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
fpo140932,fpo1,forest podocarpus,Leucas volkensii,Lamiaceae,herbaceous,Species,Melanostoma sp. 1,morphospecies (genus),1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
fpo140932,fpo1,forest podocarpus,Leucas volkensii,Lamiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,A. Claßen,14,
fpo140932,fpo1,forest podocarpus,Morpho sp.10*,NA,herbaceous,morphospecies,Syrphidae Morpho,observation,0,Syrphidae,Diptera,Syrphid,1,,,
fpo140932,fpo1,forest podocarpus,Pycnostachys meyeri,Lamiaceae,herbaceous,Species,Melanostoma sp. 1,morphospecies (genus),1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
fpo140932,fpo1,forest podocarpus,Pycnostachys meyeri,Lamiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,14,A. Claßen,14,
fpo140932,fpo1,forest podocarpus,Rubus steudneri,Rosaceae,shrubby,Species,Melanostoma sp. 1,morphospecies (genus),1,Syrphidae,Diptera,Syrphid,2,A. Ssymank,15-26*,
fpo140932,fpo1,forest podocarpus,Rubus steudneri,Rosaceae,shrubby,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,3,A. Claßen,14,
fpo141179,fpo1,forest podocarpus,Conyza vernonioides,Asteraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,8,A. Claßen,14,
fpo141179,fpo1,forest podocarpus,Discopodium penninervium,Solanaceae,shrubby,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,A. Claßen,14,
fpo141179,fpo1,forest podocarpus,Leucas volkensii,Lamiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,30,A. Claßen,14,
fpo141179,fpo1,forest podocarpus,Pycnostachys meyeri,Lamiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,10,A. Claßen,14,
fpo141179,fpo1,forest podocarpus,Rubus steudneri,Rosaceae,shrubby,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,4,A. Claßen,14,
fpo141222,fpo1,forest podocarpus,Leucas volkensii,Lamiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,2,A. Claßen,14,
fpo141222,fpo1,forest podocarpus,Pycnostachys meyeri,Lamiaceae,herbaceous,Species,Melanostoma sp. 1,morphospecies (genus),1,Syrphidae,Diptera,Syrphid,3,A. Ssymank,15-26*,
fpo141222,fpo1,forest podocarpus,Pycnostachys meyeri,Lamiaceae,herbaceous,Species,Hymenoptera Pycnostachys,observation,0,,Hymenoptera,non-bee Aculeata,1,,,
fpo141222,fpo1,forest podocarpus,Pycnostachys meyeri,Lamiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,100,A. Claßen,14,
gra140596,gra1,grassland,Cyperus brevifolius,Cyperaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,3,A. Claßen,14,
gra140596,gra1,grassland,Cyperus brevifolius,Cyperaceae,herbaceous,Species,"Ischiodon aegyptius (Wiedemann, 1830)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
gra140596,gra1,grassland,Emilia discifolia,Asteraceae,herbaceous,Species,"Melanostoma cf. floripeta (Speiser, 1910)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
gra140596,gra1,grassland,Emilia discifolia,Asteraceae,herbaceous,Species,"Paragus longiventris (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
gra140596,gra1,grassland,Helichrysum forskahlii,Asteraceae,herbaceous,Species,Pompilidae sp.30,morphospecies (family),1,Pompilidae,Hymenoptera,non-bee Aculeata,1,R. Peters,27,
gra140596,gra1,grassland,Helichrysum forskahlii,Asteraceae,herbaceous,Species,"Paragus naso (Stuckenberg, 1954)",Species,1,Syrphidae,Diptera,Syrphid,2,A. Ssymank,15-26*,
gra140596,gra1,grassland,Oldenlandia herbacea,Rubiaceae,herbaceous,Species,Sphecidae sp.8,morphospecies (family),1,Sphecidae,Hymenoptera,non-bee Aculeata,1,R. Peters,27,
gra140596,gra1,grassland,Oldenlandia herbacea,Rubiaceae,herbaceous,Species,Nomia sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,2,C. Eardley,1,
gra140596,gra1,grassland,Oldenlandia herbacea,Rubiaceae,herbaceous,Species,Nomia sp.2,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
gra140596,gra1,grassland,Oldenlandia herbacea,Rubiaceae,herbaceous,Species,Hymenoptera Oldenlandia1,observation,0,,Hymenoptera,non-bee Aculeata,1,,,
gra140596,gra1,grassland,Oldenlandia herbacea,Rubiaceae,herbaceous,Species,"Sphaerophoria rueppellii (Wiedemann, 1830)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
gra140596,gra1,grassland,Richardia scabra,Rubiaceae,herbaceous,Species,Amegilla sp.6,morphospecies (genus),1,Apidae,Hymenoptera,Apoidea:Bee,4,A. Claßen,1,
gra140596,gra1,grassland,Richardia scabra,Rubiaceae,herbaceous,Species,Hymenoptera Richardia,observation,0,,Hymenoptera,non-bee Aculeata,1,,,
gra140596,gra1,grassland,Richardia scabra,Rubiaceae,herbaceous,Species,"Thyreus calceatus (Vachal, 1903)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,3,C. Eardley,11,
gra140596,gra1,grassland,Spermacoce princeae var. princeae,Rubiaceae,herbaceous,Species,Halictus Spermacoce,observation,0,Halictidae,Hymenoptera,Apoidea:Bee,1,,,
gra140596,gra1,grassland,Spermacoce princeae var. princeae,Rubiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,A. Claßen,14,
gra140724,gra1,grassland,Cyperus brevifolius,Cyperaceae,herbaceous,Species,Lasioglossum sp.3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
gra140724,gra1,grassland,Emilia discifolia,Asteraceae,herbaceous,Species,Ceratina sp.1,morphospecies (genus),1,Apidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
gra140724,gra1,grassland,Emilia discifolia,Asteraceae,herbaceous,Species,Halictus sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
gra140724,gra1,grassland,Emilia discifolia,Asteraceae,herbaceous,Species,Lasioglossum sp.3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,6,C. Eardley,1,
gra140724,gra1,grassland,Emilia discifolia,Asteraceae,herbaceous,Species,"Chrysotoxum continum (Bezzi, 1915)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
gra140724,gra1,grassland,Emilia discifolia,Asteraceae,herbaceous,Species,"Paragus naso (Stuckenberg, 1954)",Species,1,Syrphidae,Diptera,Syrphid,19,A. Ssymank,15-26*,
gra140724,gra1,grassland,Fabaceae sp.3*,Fabaceae,herbaceous,morphospecies,Lasioglossum sp.13,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
gra140724,gra1,grassland,Helichrysum forskahlii,Asteraceae,herbaceous,Species,Scoliidae sp.1,morphospecies (family),1,Scoliidae,Hymenoptera,non-bee Aculeata,1,R. Peters,27,
gra140724,gra1,grassland,Helichrysum forskahlii,Asteraceae,herbaceous,Species,Tenthredinidae sp.5,morphospecies (family),1,Tenthredinidae,Hymenoptera,Symphyta,5,R. Peters,27,
gra140724,gra1,grassland,Helichrysum forskahlii,Asteraceae,herbaceous,Species,Colletes sp.1,morphospecies (genus),1,Colletidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
gra140724,gra1,grassland,Helichrysum forskahlii,Asteraceae,herbaceous,Species,Lasioglossum sp.13,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
gra140724,gra1,grassland,Helichrysum forskahlii,Asteraceae,herbaceous,Species,"Episyrphus trisectus (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,2,A. Ssymank,15-26*,
gra140724,gra1,grassland,Helichrysum forskahlii,Asteraceae,herbaceous,Species,"Paragus naso (Stuckenberg, 1954)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
gra140724,gra1,grassland,Hypoxis angustifolia,Hypoxidaceae,herbaceous,Species,"Episyrphus trisectus (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
gra140724,gra1,grassland,Triumfetta rhomboidea,Malvaceae,herbaceous,Species,Lasioglossum sp.13,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
gra140837,gra1,grassland,Conyza limosa,Asteraceae,herbaceous,Species,Vespidae sp.26,morphospecies (family),1,Vespidae,Hymenoptera,non-bee Aculeata,1,R. Peters,27,
gra140837,gra1,grassland,Conyza limosa,Asteraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,A. Claßen,14,
gra140837,gra1,grassland,Emilia discifolia,Asteraceae,herbaceous,Species,Halictus sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
gra140837,gra1,grassland,Emilia discifolia,Asteraceae,herbaceous,Species,Lasioglossum sp.3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,4,C. Eardley,1,
gra140837,gra1,grassland,Emilia discifolia,Asteraceae,herbaceous,Species,"Paragus naso (Stuckenberg, 1954)",Species,1,Syrphidae,Diptera,Syrphid,3,A. Ssymank,15-26*,
gra140837,gra1,grassland,Helichrysum forskahlii,Asteraceae,herbaceous,Species,Tenthredinidae sp.5,morphospecies (family),1,Tenthredinidae,Hymenoptera,Symphyta,3,R. Peters,27,
gra140837,gra1,grassland,Helichrysum forskahlii,Asteraceae,herbaceous,Species,Vespidae sp.26,morphospecies (family),1,Vespidae,Hymenoptera,non-bee Aculeata,1,R. Peters,27,
gra140837,gra1,grassland,Helichrysum forskahlii,Asteraceae,herbaceous,Species,Halictus sp.5,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
