network number,site ID,habitat type,plant,family (plant),growth form,taxonomic resolution plant,pollinator,taxonomic resolution (pollinator),"individuals caught (1=yes, 0=no)",family (pollinator),order (pollinator),group (pollinator) ,interaction strength,Identifier,Literature used,Comment
cof340618,cof3,coffee plantation,Euphorbia hirta,Euphorbiaceae,herbaceous,Species,Crabronidae sp.10,morphospecies (family),1,Crabronidae,Hymenoptera,non-bee Aculeata,1,R. Peters,27,
cof340618,cof3,coffee plantation,Euphorbia hirta,Euphorbiaceae,herbaceous,Species,Pompilidae sp.19,morphospecies (family),1,Pompilidae,Hymenoptera,non-bee Aculeata,1,R. Peters,27,
cof340618,cof3,coffee plantation,Euphorbia hirta,Euphorbiaceae,herbaceous,Species,Pompilidae sp.28,morphospecies (family),1,Pompilidae,Hymenoptera,non-bee Aculeata,4,R. Peters,27,
cof340618,cof3,coffee plantation,Euphorbia hirta,Euphorbiaceae,herbaceous,Species,Nomia sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340618,cof3,coffee plantation,Euphorbia hirta,Euphorbiaceae,herbaceous,Species,Sphecodes sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,5,C. Eardley,1,
cof340618,cof3,coffee plantation,Euphorbia hirta,Euphorbiaceae,herbaceous,Species,Wasp Euphorbia,observation,0,,Hymenoptera,non-bee Aculeata,1,,,
cof340618,cof3,coffee plantation,Richardia scabra,Rubiaceae,herbaceous,Species,Crabronidae sp.3,morphospecies (family),1,Crabronidae,Hymenoptera,non-bee Aculeata,1,R. Peters,27,
cof340618,cof3,coffee plantation,Richardia scabra,Rubiaceae,herbaceous,Species,Lasioglossum sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,2,C. Eardley,1,
cof340618,cof3,coffee plantation,Richardia scabra,Rubiaceae,herbaceous,Species,Sphecodes sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340618,cof3,coffee plantation,Richardia scabra,Rubiaceae,herbaceous,Species,Ceratina Richardia,observation,0,Apidae,Hymenoptera,Apoidea:Bee,1,,,
cof340618,cof3,coffee plantation,Richardia scabra,Rubiaceae,herbaceous,Species,Syrphidae Richardia,observation,0,Syrphidae,Diptera,Syrphid,1,,,
cof340618,cof3,coffee plantation,Richardia scabra,Rubiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,A. Claßen,14,
cof340618,cof3,coffee plantation,Richardia scabra,Rubiaceae,herbaceous,Species,"Ischiodon aegyptius (Wiedemann, 1830)",Species,1,Syrphidae,Diptera,Syrphid,2,A. Ssymank,15-26*,
cof340728,cof3,coffee plantation,Ageratum conyzoides,Asteraceae,herbaceous,Species,Lasioglossum sp.3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
