Order,Family,Reference code,Species name (if available),Kingdom,Origin,,,,,
Coleoptera,Cerambycidae,22,Cerambycidae sp 1,Animal,,,,,,
Coleoptera,Cerambycidae,23,Cerambycidae sp 2,Animal,,,,,,
Coleoptera,Cerambycidae,24,Cerambycidae sp 3,Animal,,,,,,
Coleoptera,Cerambycidae,87,Mauritiborium undulatus ,Animal,,,,,,
Coleoptera,Chrysomelidae,26,Chaetocnema sp 1,Animal,,,,,,
Coleoptera,Chrysomelidae,39,Cryptocephalinae sp 1,Animal,,,,,,
Coleoptera,Chrysomelidae,52,Eumolpinae sp 1,Animal,,,,,,
Coleoptera,Chrysomelidae,53,Eumolpinae sp 2,Animal,,,,,,
Coleoptera,Chrysomelidae,54,Eumolpinae sp 3,Animal,,,,,,
Coleoptera,Coccinellidae,71,Hyperaspis hottentota Mulsant,Animal,,,,,,
Coleoptera,Cucujidae,7,Ahasverus advena Waltle,Animal,,,,,,
Coleoptera,Curculionidae,37,Cratopus psittacus Faimaire,Animal,,,,,,
Coleoptera,Melyridae,40,Dasytinae sp 1,Animal,,,,,,
Coleoptera,Melyridae,113,Pelecophora intemipta All,Animal,,,,,,
Coleoptera,Mordellidae,92,Mordellidae sp 1,Animal,,,,,,
Coleoptera,Mordellidae,93,Mordellidae sp 2,Animal,,,,,,
Coleoptera,Mordellidae,94,Mordellidae sp 3,Animal,,,,,,
Coleoptera,Nitidulidae,100,Nitidulidae sp 1,Animal,,,,,,
Coleoptera,Scirtidae,131,Scirtidae sp 1,Animal,,,,,,
Coleoptera,Scirtidae,132,Scirtidae sp 2,Animal,,,,,,
Diptera,Acalyptrate,1,Acalyptrate sp,Animal,,,,,,
Diptera,Agromyzidae,88,Melanagromyza sojae Zehntner,Animal,,,,,,
Diptera,Anthomyiidae,12,Anthomyia faciata Walker,Animal,,,,,,
Diptera,Bombyliidae,156,Villa unifasciata Macquart,Animal,,,,,,
Diptera,Calliphoridae,31,Chrysomya megacephala Fabricius,Animal,,,,,,
Diptera,Calliphoridae,142,Stomorhina lunata Fabricius,Animal,,,,,,
Diptera,Chironomidae,30,Chironomidae sp 1,Animal,,,,,,
Diptera,Dolichopodidae,44,Dolichopodidae sp 1,Animal,,,,,,
Diptera,Drosophilidae,45,Drosophila sp 1,Animal,,,,,,
Diptera,Drosophilidae,46,Drosophila sp 2,Animal,,,,,,
Diptera,Drosophilidae,47,Drosophila sp 3,Animal,,,,,,
Diptera,Drosophilidae,157,Zaprionus tuberculatus Malloch,Animal,,,,,,
Diptera,Drosophilidae,158,Zaprionus vittiger Coquillett,Animal,,,,,,
Diptera,Ephydridae,68,Hyadina sp ,Animal,,,,,,
Diptera,Ephydridae,120,Psilopa iceryae Cresson,Animal,,,,,,
Diptera,Fanniidae,56,Fannia pusio Wiedemann,Animal,,,,,,
Diptera,Lauxaniidae,65,Homoneura quadrivittata Walker,Animal,,,,,,
Diptera,Lauxaniidae,66,Homoneura sp 2,Animal,,,,,,
Diptera,Lauxaniidae,67,Homoneura sp 3,Animal,,,,,,
Diptera,Lauxaniidae,73,Lauxania sp,Animal,,,,,,
Diptera,Lauxaniidae,107,Pachycerina crinicornis Thomson,Animal,,,,,,
Diptera,Lauxaniidae,127,Sapromyza sp. near nudiuscula Lamb.,Animal,,,,,,
Diptera,Limoniidae,78,Limonia (Dycranomia) sp,Animal,,,,,,
Diptera,Limoniidae,79,Limoniidae sp,Animal,,,,,,
Diptera,Muscidae,14,Atherigona orientalis Schiner ,Animal,,,,,,
Diptera,Muscidae,15,Atherigona sp 1,Animal,,,,,,
Diptera,Muscidae,62,Graphomya maculata Scopoli,Animal,,,,,,
Diptera,Muscidae,70,Hydrotaea fuliginosa Robineau-Desvoidy,Animal,,,,,,
Diptera,Muscidae,77,Limnophora quaterna Loew,Animal,,,,,,
Diptera,Muscidae,95,Musca confiscata Speiser,Animal,,,,,,
Diptera,Muscidae,96,Musca domestica Linnaeus,Animal,,,,,,
Diptera,Muscidae,103,Ophyra capensis Wiedemann,Animal,,,,,,
Diptera,Muscidae,104,Orchisia costata Meigen,Animal,,,,,,
Diptera,Muscidae,106,Orthellia albigena Stein,Animal,,,,,,
Diptera,Muscidae,140,Spilogona sp ,Animal,,,,,,
Diptera,Muscidae,143,Stomoxys calcitrans Linnaeus,Animal,,,,,,
Diptera,Muscidae,144,Stomoxys niger Macquart,Animal,,,,,,
Diptera,Mycetophilidae,85,Lygistorrhina sp,Animal,,,,,,
Diptera,Sarcophagidae,128,Sarcophaga arno Curran ,Animal,,,,,,
Diptera,Scatopsidae,130,Scatopsidae sp,Animal,,,,,,
Diptera,Sepsidae,136,Sepsis lateralis Wiedemann,Animal,,,,,,
Diptera,Simuliidae,137,Simulium (Byssodon) sp 2,Animal,,,,,,
Diptera,Simuliidae,138,Simulium sp 1,Animal,,,,,,
Diptera,Syrphidae,8,Allograpta nasuta Marquart,Animal,,,,,,
Diptera,Syrphidae,9,Allograpta sp 1,Animal,,,,,,
Diptera,Syrphidae,10,Allograpta sp 2,Animal,,,,,,
Diptera,Syrphidae,50,Episyrphus sp. near circularis Hull,Animal,,,,,,
Diptera,Syrphidae,51,Eristalinus flaveolus Bigot,Animal,,,,,,
Diptera,Syrphidae,72,Ischiodon aegyptius Wiedemann,Animal,,,,,,
Diptera,Syrphidae,89,Melanostoma annulipes Macquart,Animal,,,,,,
Diptera,Syrphidae,90,Melanostoma bituberculatum Loew,Animal,,,,,,
Diptera,Syrphidae,105,Ornidia obesa Fabricius,Animal,,,,,,
Diptera,Syrphidae,112,Paragus borbonicus Macquart,Animal,,,,,,
Diptera,Syrphidae,146,Syritta bulbus Walker ,Animal,,,,,,
Diptera,Syrphidae,147,Syritta nigrofemorata Macquart,Animal,,,,,,
Diptera,Syrphidae,148,Syritta sp. (near abyssinica Rondani),Animal,,,,,,
Diptera,Tachinidae,109,Palexorista sp 1,Animal,,,,,,
Diptera,Tachinidae,114,Peribaea sp,Animal,,,,,,
Diptera,Tachinidae,118,Phorinia sp,Animal,,,,,,
Diptera,Tachinidae,139,Siphona sp,Animal,,,,,,
Diptera,Tachinidae,152,Thelairodrino sp,Animal,,,,,,
Diptera,Tephritidae,16,Bactrocera cucurbitae Coquillett,Animal,,,,,,
Diptera,Tephritidae,25,Ceratitis roas Karsch,Animal,,,,,,
Diptera,Tephritidae,41,Dioxyna sororcula Wiedemann,Animal,,,,,,
Diptera,Tephritidae,61,Goniurellia or Dectodes sp,Animal,,,,,,
Diptera,Tephritidae,155,Trirhithrum sp. near nigerrimum Bezzi,Animal,,,,,,
Diptera,Unknow,42,Diptera sp 1,Animal,,,,,,
Diptera,Unknow,43,Diptera sp 2,Animal,,,,,,
Formicidae,Formicidae,17,Brachymyrmex sp ,Animal,,,,,,
Formicidae,Formicidae,116,Pheidole megacephala Fabricius,Animal,,,,,,
Formicidae,Formicidae,150,Technomyrmex albipes Smith,Animal,,,,,,
Gecko,Gekkonidae,117,Phelsuma cepediana Merrem,Animal,,,,,,
Hemiptera,Cicadellidae,3,Acopsis viridicans Amyot & Serville,Animal,,,,,,
Hemiptera,Cicadellidae,32,Cicadellidae sp 2,Animal,,,,,,
Hemiptera,Cixiidae,33,Cixiidae sp 1,Animal,,,,,,
Hemiptera,Cixiidae,34,Cixiidae sp 2,Animal,,,,,,
Hemiptera,Lygaeidae,80,Lygaeidae sp 1,Animal,,,,,,
Hemiptera,Lygaeidae,81,Lygaeidae sp 2,Animal,,,,,,
Hemiptera,Lygaeidae,82,Lygaeidae sp 3,Animal,,,,,,
Hemiptera,Lygaeidae,83,Lygaeidae sp 4,Animal,,,,,,
Hemiptera,Lygaeidae,84,Lygaeidae sp 5,Animal,,,,,,
Hemiptera,Miridae,91,Miridae sp 1,Animal,,,,,,
Hemiptera,Nogodinidae ,101,Nogodinidae sp,Animal,,,,,,
Hemiptera,Psyllidae,121,Psyllidae sp 1,Animal,,,,,,
Hemiptera,Psyllidae,122,Psyllidae sp 2,Animal,,,,,,
Hemiptera,Ricaniidae,149,Tarundia servillei Spinola,Animal,,,,,,
Hemiptera,Tettigoniidae,35,Conocephalus sp 1,Animal,,,,,,
Hemiptera,Tettigoniidae,151,Tettigoniidae sp 1,Animal,,,,,,
Hymenoptera,Apidae,13,Apis mellifera Linnaeus,Animal,,,,,,
Hymenoptera,Braconidae,5,Agathidinae sp,Animal,,,,,,
Hymenoptera,Braconidae,27,Cheloninae sp 1,Animal,,,,,,
Hymenoptera,Braconidae,28,Cheloninae sp 2,Animal,,,,,,
Hymenoptera,Braconidae,29,Cheloninae sp 3,Animal,,,,,,
Hymenoptera,Braconidae,36,Cotesia sp1,Animal,,,,,,
Hymenoptera,Calcidoidae,18,Calcidoidae sp1,Animal,,,,,,
Hymenoptera,Calcidoidae,55,Eurytonidae sp 1,Animal,,,,,,
Hymenoptera,Colletidae,108,Paleorhiza sp 1,Animal,,,,,,
Hymenoptera,Ichneumonidae,20,Campopleginae sp1,Animal,,,,,,
Hymenoptera,Ichneumonidae,38,Cryptinae sp,Animal,,,,,,
Hymenoptera,Pteromalidae,123,Pteromalidae sp1,Animal,,,,,,
Hymenoptera,Scoliidae,133,Scolia carniflex Coquillett,Animal,,,,,,
Hymenoptera,Scoliidae,134,Scolia oryctophaga Coquillett,Animal,,,,,,
Hymenoptera,Vesperidae,119,Polistes hebraeus Fabricius,Animal,,,,,,
Lepidoptera,Arctiidae,48,Dysauxes florida Joan.,Animal,,,,,,
Lepidoptera,Arctiidae,49,Eilema squalida Viette,Animal,,,,,,
Lepidoptera,Arctiidae,102,Nyctemera insulare Boisduval,Animal,,,,,,
Lepidoptera,Crambidae,98,Nacoleia sp1,Animal,,,,,,
Lepidoptera,Crambidae,99,Nacoleia sp2,Animal,,,,,,
Lepidoptera,Crambidae,135,Scopariinae sp,Animal,,,,,,
Lepidoptera,Gelechiidae,58,Gelechioidea sp 1,Animal,,,,,,
Lepidoptera,Gelechiidae,59,Gelechioidea sp 2,Animal,,,,,,
Lepidoptera,Gelechiidae,60,Gelechioidea sp 3,Animal,,,,,,
Lepidoptera,Gelechiidae,74,Lecithoceridae sp 1,Animal,,,,,,
Lepidoptera,Gelechiidae,75,Lecithoceridae sp 2,Animal,,,,,,
Lepidoptera,Hesperiidae,110,Panara naso Fabricius,Animal,,,,,,
Lepidoptera,Hypsidae,4,Aganais borbonica Boisduval,Animal,,,,,,
Lepidoptera,Lycaenidae,76,Leptotes pirithous Linnaeus,Animal,,,,,,
Lepidoptera,Lycaenidae,159,Zizeeria knysa Trimen,Animal,,,,,,
Lepidoptera,Macroglossidae,86,Macroglossum milvus Boisduval,Animal,,,,,,
Lepidoptera,Noctuidae,2,Achaea finita Guenée,Animal,,,,,,
Lepidoptera,Noctuidae,6,Agrostis atritegulator Hampson,Animal,,,,,,
Lepidoptera,Noctuidae,11,Condica capensis,Animal,,,,,,
Lepidoptera,Noctuidae,69,Hydrillodes sp,Animal,,,,,,
Lepidoptera,Noctuidae,97,Mythimna sp 1,Animal,,,,,,
