Plant,Order,Family,Species,Functional group,visits,role
Calluna vulgaris,,,Eristalis lineata (Harr.),L syrphid,3,P
Calluna vulgaris,,,Sphaerophoria scripta (L.),S syrphid,2,P
Calluna vulgaris,Hymenoptera,Andrenidae,Andrena fuscipes (K.),solitary bee,9,P
Calluna vulgaris,,Apidae,Nomada rufipes F.,solitary bee,2,P
Calluna vulgaris,,Chrysididae,Hedychrum nobile (Scop.),other,5,P
Calluna vulgaris,,Colletidae,Colletes succinctus (L.),solitary bee,4,P
Calluna vulgaris,,Sphecidae,Ammophila pubescens Curt.,other,3,C
Calluna vulgaris,,Vespidae,Dolichovespula saxonica (F.),other,2,P
Calluna vulgaris,Lepidoptera,Noctuidae,Anarta myrtilli (L.),moth/butterfly,29,P
Calluna vulgaris,,,Autographa bractea (D & S),moth/butterfly,2,P
