"","Adela cuprella","Adela reaumurella","Adia cinerella","Adscita statices","Alliopsis billbergi","Amauronematus Konow","Ammophila pubescens","Anarta myrtilli","Ancistrocerus oviventris","Andrena barbilabris","Andrena carantonica","Andrena clarkella","Andrena fulva","Andrena fuscipes","Andrena haemorrhoa","Andrena lapponica","Andrena nigroaenaea","Andrena praecox","Andrena tarsata","Aphantopus hyperanthus","Apis mellifera","Aplotarsus incanus","Athous subfuscus","Autographa bractea","Bellardia viarum","Bibio lanigerus","Bombus  sylvestris","Bombus bohemicus","Bombus hypnorum","Bombus jonellus","Bombus lucorum","Bombus pascuorum","Bombus pratorum","Bombus rupestris","Bombus sylvestris","Bombus terrestris","Bruchidius ater","Calameuta pallipes","Callophrys rubi","Cantharis obscura","Cerceris arenaria","Cheilosia albipila","Cheilosia bergenstammi","Cheilosia gigantea","Cheilosia pagana","Cheilosia psilophthalma","Chrysogaster virescens","Chrysotoxum bicinctum","Chrysotoxum fasciatum","Coenonympha pamphilus","Coenosia femoralis","Coenosia means","Colletes cunicularius","Colletes succinctus","Conops quadrifasciatus","Coranarta cordigera","Cryptocephalus aureolus","Dasysyrphus albostriatus","Dasysyrphus hilaris","Dasysyrphus tricinctus","Dasytes plumbeus","Delia florilega","Dilophus febrilis","Dilophus humeralis","Dolichovespula saxonica","Ectobius sylvestris","Egle brevicornis","Ematurga atomaria","Empis aestiva","Empis chioptera","Empis sp.","Empis tessellata","Episyrphus balteatus","Eriothrix rufomaculatus","Eristalinus sepulchralis","Eristalis abusiva","Eristalis anthophorina","Eristalis arbustorum","Eristalis interrupta","Eristalis intricaria","Eristalis lineata","Eristalis pertinax","Eristalis tenax","Ernestia rudis","Eupeodes corollae","Eupeodes nielseni","Formica fusca","Formica rufa","Formica sanguinea","Gonia picea","Gymnosoma nudifrons","Hedychrum nobile","Helina reversio","Helophilus pendulus","Hercostomus Loew","Hercostomus sp.","Heterostylodes nominabilis","Hydrotaea irritans","Hydrotaea similis","Hylaeus brevicornis","Hylaeus confusus","Ichneumon sp.","Itame brunneata","Lasioglossum albipes","Lasioglossum calceatum","Lasioglossum fratellum","Lasioglossum leucopus","Lasioglossum leucozonium","Lasioglossum punctatissimum","Lasioglossum rufitarse","Lasioglossum sexmaculatum","Lasioglossum sp.","Lasioglossum villosulum","Lasiomma picipes","Lasius niger","Leucozona lucorum","Lucilia bufonivora","Lucilia caesar","Lycaena virgaureae","Lycophotia porphyrea","Macropis europaea","Maniola jurtina","Megasyrphus erraticus","Melanostoma mellinum","Melanostoma scalare","Meligethes aeneus","Meliscaeva cinctella","Melitta haemorrhoidalis","Mellinus arvensis","Miarus campanulae","Micropterix aruncella","Mimesa equestris","Mordella holomelaena","Myopa buccata","Myrmica ruginodis","Nomada leucophthalma","Nomada panzeri","Nomada ruficornis","Nomada rufipes","Nomada sp.","Oedemera lurida","Onesia floralis","Orthonevra geniculata","Panurgus banksianus","Parasyrphus lineolus","Phaonia angelicae","Phaonia incana","Phyllopertha horticola","Pieris napi","Pipiza lugubris","Pipizella viduata","Platycheirus albimanus","Platycheirus peltatus","Pollenia amentaria","Pollenia rudis","Prosena siberita","Prosternon tessellatum","Pyrgus malvae","Rhagonycha fulva","Rhagonycha lignosa","Rhagonycha nigriventris","Rhamphomyia nigripennis","Rhamphomyia sp.","Rhingia campestris","Rhinophora lepida","Sarcophaga aratrix","Sarcophaga carnaria","Sarcophaga sp.","Scaeva pyrastri","Scaeva selenitica","Scathophaga stercoraria","Sciara hemerobioides","Sciara sp.","Sepsis cynipsea","Sericomyia lappona","Sericomyia silentis","Sicus ferrugineus","Sphaerophoria fatarum","Sphaerophoria scripta","Sphaerophoria sp.","Sphecodes geoffrellus","Stenurella melanura","Syritta pipiens","Syrphus ribesii","Syrphus torvus","Syrphus vitripennis","Tachina grossa","Thymelicus lineola","Tricholinum sp.","Vespula rufa","Vespula vulgaris","Volucella bombylans","Zophomyia temula"
"Solidago virgaurea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,2,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"Trientalis europaea",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,3,0,1079,0,0,0,0,0,0,0,0,2,140,38,93,0,0,0,0,2,10,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,48,0,41,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6,0,2,2,0,0,0,0,0,3,2,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,4,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Vaccinium myrtillus",0,0,0,0,0,0,0,0,0,3,0,2,16,0,31,0,2,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0
"Vaccinium uliginosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaccinium vitis-idaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,2,0,8,0,9,60,23,2,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,0,0,27,0,2,0,0,0,0,0,0,0,0
"Arnica montana",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,154,0,0,0,0,0,0,0,0,6,60,106,99,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Campanula rotundifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epilobium angustifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,26,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,17,0,11,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,8,0,0,11,20,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0
"Genista pilosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hieracium pilosella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Succisa pratensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melampyrum pratense",0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,5,4,0,0,0,0,0,0,0,0,0,0,8,0,0,55,18,19,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
