"","Agrius convolvuli","Amblypsilopus (?) nr. simplex","Amblypsilopus (?) sp. indet.","Apis mellifera","Atrichopogon yamabukiensis","Bradysia ocellaris","Cardiophorus sp1","Cecidomie sp","Cecidomyiidae sp1","Celama sp1","Cephonodes tamsi","Cerambycidae sp1","Ceratina tabescens","Chaetonerius alluaudii","Chalcidoidea sp1","Chalicodoma disjuncta","Chalybion madecassum","Chironomidae sp1","Chironomus sp","Chloropidae sp1","Chloropidae sp2","Chloropidae sp3","Chrysauginae sp1","Chrysomya alpiceps","Chrysomya megacephala","Cinnyris dussumieri","Coccinellidae sp1","Coccinellidae sp2","Coccinellidae sp3","Coleoptera sp1","Coleoptera sp2","Coleoptera sp3","Coleoptera sp4","Cossonini sp1","Cossonini sp2","Cratopus aurostriatus","Cryptophagidae sp1","Cryptophagidae sp2","Cryptophleps ? nigrihalteratus ?","Cryptorhynchidius graniger","Dasyhelea tamsi","Delta alluaudi","Dermestidae sp1","Dermestidae sp2","Dichaetomyia fasciculifera","Dolichopodidae sp1","Drosophila spinipes","Eilema contorta","Eilema sp1","Elateridae sp2","Elateridae sp3","Endotricha mesenterialis mahensis","Ephydridae sp1","Eristalinus sp","Eudaeus sp","Eupetersia scotti","Fannia leucosticta","Figitidae sp1","Figitidae sp2","Forcipomyia (Euprojoannisia) sp1","Forcipomyia (Microhelea) amieuensis","Forcipomyia (Thyridomyia) litoraurea","Forcipomyia sp2","Forcipomyia sp3","Geron seychellarum","Gracilodes sp1","Hapalips sp1","Hasinamelissa sp","Helina mediana","Hemidactylus frenatus","Hemipyrellia germana","Herpetogramma sp1","Homoneura crassicaput","Homoneura pulchrifrons","Homoneura striata","Hymenoptera sp1","Hymenoptera sp2","Hymenoptera sp3","Hymenoptera sp4","Hypenodinae sp1","Hypolimnas misippus","Hypsipetes crassirostris","Hyrdotaea nigrisquama","Inostemma close to soederlundi","Lasioglossum mahense","Leptotes pirithous","Leucopis flavicornis","Liosarcophaga spilargyra","Lobosciara bilotata","Lygistorrhina sp","Mabuya seychellensis","Megachile laticeps","Megachile seychellensis","Melanostoma annulipes","Mordellidae sp1","Mordellistena coleae","Musca domestica","Mycetophilidae sp1","near Eurycratus sp1 ","Neophyllomyza approximatonervis","Nitidulidae sp1","Nitidulidae sp2","Noctuidae sp1","Noctuidae sp2","Nola sp1","Odontomyia sp","Ornidia obesa","Pachycerina seychellensis","Parasarcophaga hirticeps","Phelsuma sp","Physiphora azurea","Platygastridae sp1","Platygastridae sp2","Polemistus sp1","Polistes olivaceus","Pseudolycoriella microcteniuni","Pseudolycoriella setigera","Ptinidae sp1","Ptinidae sp2","Ptinidae sp3","Pyralidae sp1","Rhinia apicalis","Rhiparida seychellensis","Rhopalum seychellense","Rhynchium brunneum","Sargus seychellensis","Scaptodrosophila caliginosa","Scaptodrosophila undet sp1","Scaptodrosophila undet sp2","Sciaridae sp1","Scolytidae sp1","Scolytidae sp2","Scolytidae sp3","Scolytidae sp4","Simosyrphus aegyptius","Smitta mahensis","Staphylinidae sp1","Staphylinidae sp2","Stenomorda near disparilis","Stenotrupis sp1","Stictopterinae sp1","Thripomorpha rufithorax","Tricimba seychellensis","Xylocopa caffra"
"Erythroxylum sechellarum",0,2,1,388,10,0,0,0,0,0,0,3,0,0,0,6,1,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,45,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,9,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,1,2,23,0,9,1,0,0,0,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,9,2,0,0,0,0,0,0,5,5
"Excoecaria benthamiana",0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,1,1,0,1,5,0,0,0,0,0,0,0,0,5,3,3,1,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0
"Ixora pudica",0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Medusagyne oppositifolia",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Memecylon elaeagni",0,1,0,263,0,1,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,44,0,0,0,0,0,0,2,0,2
"Mimusops sechellarum",0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Nepenthes pervillei",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum",0,4,0,825,28,5,10,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,0,4,0,53,0,0,0,0,123,0,464,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,1,96,23,0,0,0,22,0,12,1,1,0,25,0,1,0,0,1,0,0,0,0,0,0,0,0,1441,0,0,0,16,107,0,0,29,0,0,0,16,0,0,11,6,1,0,0,0,0,1,0,5,33,1,0,0,0,11,0,0,0,0,3,0,0,435,0,0,0,0,9,7,54,0,0,0,0,5,0,0,0,0,0,0,13,6,0
"Northea seychellana",0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ochna kirkii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
