"","species_geonet","column_label","unique.id","Order_all","Family_all","Genus_all","Species_all","subspecies","sex_or_flower_type","breeding_system","autonomous_selfing_level (none/low/medium/high)","compatibility","compatibility_genus","info_level","asexual_reproduction","asexual_reproduction_type","agamospermy/apomixis (yes/no/some_populations)","parasitic (yes/no)","flower_colour","flower_morphology","flower_pollinator_morphology","flower_symmetry","corolla_diameter_mean_mm","corolla_diameter_min_mm","corolla_diameter_max_mm","corolla_length_mean_mm","corolla_length_min_mm","corolla_length_max_mm","tube_length_mm","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","references","reference_journal","doi","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n","intramorph_percentage","intramorph_n","stamen_length_mm","stamen_length_min_mm","stamen_length_max_mm","style_length_mm","style_length_min_mm","style_length_max_mm","ovary_length_mm","ovary_min_mm","ovary_max_mm","stigma_length_mm","stigma_min_mm","stigma_max_mm","pistil_length_mm","pistil_min_mm","pistil_max_mm","inflorescence_form","inflorescence_arrangement","inflorescence_length_mm","inflorescence_width_mean_mm","inflorescence_width_min_mm","inflorescence_width_max_mm","inflorescence_comment","pollen_anther_mean","pollen_anther_sd","pollen_anther_n","pollen_flower_mean","pollen_flower_min","pollen_flower_max","pollen_flower_sd","pollen_flower_n","pollen_ovule_ratio","pollen_ovule_ratio_sd","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","stamen_mean","stamen_min","stamen_max","anthers_exerted_yes_or_no","anthers_exerted_mm","pistil_mean","stigma_mean","stigma_exerted_yes_or_no","stigma_exerted_mm","flowers_inflorescences_min","flowers_inflorescences_max","flowers_inflorescences_mean","inflorescences_plant_min","inflorescences_plant_max","inflorescences_plant_mean","flower_plant_min","flower_plant_max","flower_plant_mean","flower_lifespan_days","flowering_time_days","nectar_yes_or_no","nectar_ul_day_mean","nectar_ul_day_sd","nectar_ul_day_n","total_nectar_ul_mean","total_nectar_ul_sd","total_nectar_ul_n","sugar_nectar_mg_mean","sugar_nectar_mg_sd","sugar_nectar_mg_n","sugar_concentration_mean","sugar_concentration_sd","sugar_concentration_n","fruit_type","fruit_colour","fruit_length_mm","fruit_width_mm","pollen_polar_length_um_mean","pollen_polar_length_um_min","pollen_polar_length_um_max","pollen_equatorial_length_mean_um","pollen_equatorial_length_min_um","pollen_equatorial_length_max_um","pollen_polar_equatorial","mean_pollen_tube_growth_um_min","chromosome number","ploidy","location","country","references__1","reference_journal__1","doi__5","doi__6","doi__7","doi__8","doi__9"
"1","Abelia grandiflora","111","kakutani_1990.csv","Dipsacales","Caprifoliaceae","Abelia","Abelia x grandiflora","NA","bisexual","hermaphrodite","NA","NA","self_incompatible","flower","no","NA","no","no","white","campanulate","campanulate","actinomorphic","22.5","NA","NA","20","NA","NA","NA","shrub","perennial","NA","4.5","2.25","NA; NA; landrein et al., 2017","online: http://plantnet.rbgsyd.nsw.gov.au; online: http://www.hear.org; journal: annals of botany","NA","NA","https://dx.doi.org/10.1093%2Faob%2Fmcw279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","Abelia serrata","186","yamazaki_2003.csv","Dipsacales","Caprifoliaceae","Diabelia","Diabelia serrata","NA","bisexual","hermaphrodite","NA","NA","self_incompatible","flower","no","NA","no","no","white","campanulate","campanulate","actinomorphic","9","NA","NA","15.5","13","18","NA","shrub","perennial","NA","1.7","0.75","cullen et al.,2011; landrein et al., 2017; NA","book: the european garden flora flowering plants: a manual for the identification of plants cultivated in europe; journal: annals of botany; online: http://treeflower.la.coocan.jp","ISBN: 0521761514","https://dx.doi.org/10.1093%2Faob%2Fmcw279","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Abelia sp1 M_PL_054","111","kakutani_1990.csv","Dipsacales","Caprifoliaceae","Abelia","Abelia sp.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Abelmoschus manihot","119","mcmullen_1993.csv","Malvales","Malvaceae","Abelmoschus","Abelmoschus manihot","NA","bisexual","hermaphrodite","high","self_compatible","NA","flower","no","NA","NA","no","yellow","bowl","bowl","actinomorphic","14","13","15","5.5","NA","NA","NA","shrub","perennial","NA","2","1","NA; NA; tyagi 2002","online: https://indiabiodiversity.org; online: http://www.flowersofindia.net; journal: south pacific journal of natural science","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","Abolboda_egleri","161","souza_2018_verada.csv","Poales","Xyridaceae","Abolboda","Abolboda egleri","NA","bisexual","hermaphrodite","NA","NA","NA","flower","NA","NA","NA","NA","blue","tube","tube","actinomorphic","NA","NA","NA","NA","NA","NA","NA","herb","NA","NA","NA","NA","de souza 2016; NA","journal: rodriguesia *floral traits*; online: http://swbiodiversity.org *life form*","10.1590/2175-7860201667203","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","Abutilon depauperatum","119","mcmullen_1993.csv","Malvales","Malvaceae","Abutilon","Abutilon depauperatum","NA","bisexual","hermaphrodite","NA","NA","NA","flower","NA","NA","NA","no","yellow","campanulate","campanulate","actinomorphic","15","NA","NA","15","NA","NA","NA","shrub","perennial","0.5","3","1","wiggins & porter","book: flowering plants of the galapagos; online: flora of zimbabwe","NA",,,,,"NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","6","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"galapagos","ecuador","wiggins & porter","book: flowering plants of the galapagos; online: flora of zimbabwe","NA",,,,
"7","Abutilon theophrasti","148","robertson_1929.csv","Malvales","Malvaceae","Abutilon","Abutilon theophrasti","NA","bisexual","hermaphrodite","high","self_compatible","NA","flower","NA","NA","NA","no","yellow","disk","disk","actinomorphic","12.5","NA","NA","2.5","NA","NA","NA","herb","annual","0.5","2","1.25","NA; warwick & black1988; winter 1960","online: http://ucjeps.berkeley.edu; journal: canadian journal of plant science; journal: american journal of botany","NA","https://doi.org/10.4141/cjps88-127","10.2307/2439487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8","Acacia bahiensis","152","santos_2010.csv","Fabales","Fabaceae","Senegalia","Senegalia bahiensis","NA","bisexual","hermaphrodite","NA","NA","NA","flower","NA","NA","NA","no","yellow","tube","brush","actinomorphic","2","NA","NA","5","4","6","5","shrub","perennial","2","11","6.5","ferreira &pires 2014","journal: systematic botany","https://doi.org/10.1600/036364413X680807",,,,,,,,,,,,,,,,,,,,,,,"10","NA","NA",,,,,,,,,,,,,"19.5",18,"21",,,,,,,,,,,,,,,,,"106",96,"116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","Acacia insulae-iacobi","119","mcmullen_1993.csv","Fabales","Fabaceae","Acacia","Acacia insulae-iacobi","NA","bisexual","hermaphrodite","NA","NA","NA","flower","NA","NA","NA","no","yellow","tube","brush","actinomorphic","NA","NA","NA","3","NA","NA","3","tree","perennial","NA","10","5","NA","online: http://www.anbg.gov.au","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","Acacia macracantha","119","mcmullen_1993.csv","Fabales","Fabaceae","Vachellia","Vachellia macracantha","NA","bisexual","hermaphrodite","none","self_incompatible","NA","flower","NA","NA","no","no","yellow","tube","brush","actinomorphic","2","NA","NA","2","NA","NA","2","tree","perennial","NA","10","5","NA; seigler & ebinger 1988; bernhardt, kenrick & knox 1984","online: http://www.anbg.gov.au; journal: systematic botany; journal: annals of the missouri botanical garden","NA","https://doi.org/10.2307/2419236","https://doi.org/10.2307/2399054",,,,,,,,,,,,,,,,,,"3","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
