species_geonet
Croton scouleri
Clerodendrum molle
Clerodendrum molle
Bursera graveolens
Tournefortia psilostachya
Cardiospermum galapageium
Gossypium darwinii
Gossypium darwinii
Tournefortia pubescens
Cordia leucophlyctis
Vallesia glabra
Desmanthus virgatus
Chiococca alba
Lantana peduncularis
Acacia rurodiana
Opuntia  echios
Cordia lutea
Prosopis juliflora
Opuntia galapageia
Tribulus cistoides
Maytenus octogona
Boerhaavia caribaea
Sarcostemma angustissimum
Waltheria ovata
Scalesia affinis
Commicarpus tuberosus
Parkinsonia aculeata
Crotalaria pumila
Polygala galapageia
Tamarindus indica
Ipomoea habeliana
Blainvillea dichotoma
Castela galapageia
Rhynchosia minima
Mentzelia aspera
Scutia spicata
Senna pistacifolia
Alternanthera echinocephala
Tournefortia rufo-sericea
Portulaca oleracea
Macraea laricifolia
Pectis tenuifolia
Momordica charantia
Boerhaavia erecta
Heliotropium angiospermum
Scalesia bauri
Cryptocarpus pyriformis
Bastardia viscosa
Galactia striata
Plumbago scandens
Mollugo flavescens
Cleome viscosa
Jasminocereus thouarsii
Abutilon depauperatum
Tiquilia fusca
Alternanthera filifolia
Cordia revoluta
Ipomoea linearifolia
Tiquilia darwinii
Mollugo snodgrassii
Darwiniothamnus lancifolius
Borreria ericaefolia
Aphloia theiformis
Roussea simplex
Molinaea alternifolia
Toddalia asiatica
Stillingia lineata
Erythroxylum macrocarpum
Croton fothergillifolius
Psiadia terebinthina
Chassalia coriacea
Dodonaea viscosa
Bertiera zaluzania
Antirhea borbonica
Claoxylon linostachys
Menodora decemfida
Petunia axillaris
Arjona longifolia
Ruta chalepensis
Spharealcea miniata
Opuntia sulphurea
Dipyrena glaberrima
Senna aphylla
Condalia microphylla
Senecio aff  pinnatus
Larrea nitida
Buddleja mendozensis
Argemone subfusiformis
Larrea cuneifolia
Acantholippiaseriphioides
Helenium donianum
Thymophylla pentachaeta
Zuccagnia punctata
Capparis atamisquea
Polygala stenophylla
Larrea divaricata
Spartium junceum
Clematis montevidensis
Lippia turbinata
Centaurea solstialis
Salvia gilliesii
Verbascum thapsus
Hysterionica jassionoide
Elaeagnus angustifolia
Aloyssia gratissima
Cereus sp
Prosopis flexuosa
Baccharis aff  crispa
Monttea aphylla
Descurainia sp
Mentzelia albescens
Lecanophora heterophylla
Schinus aff  fasciculata
Proustia cuneifolia
Oxybaphus obatus
Lycium chilense
Trichocereus candicans
Fumaria capreolata
Philibertia gilliesii
Cerastium arvense
Hoffmannseggia eremophila
Trichocereus strigosus
Erodium sp
Junellia aspera
Veronica polita
Erodium cicatarium
Bougainvillea spinosa
Lycium tenuispinosum
Glandularia crithmifolia
Heliotropium sp
Lycium gilliesianum
Pyrrhocactus pachacoensis
Bredemeyera microphylla
Cryptantha sp
Vitex rotundifolia
Mallotus japonicus
Scleria terrestris
Glochidion acuminatum
PittosPorum tobira
Melastoma candidum
Ardisia sieboldii
Musaenda parviflora
Schima wallichii
Castanopsis sieboldii
Ardisia quinquegona
Euscaphis japonica
Elaeocarpus japonicus
Litsea japonica
Dendropanax trifidus
Kandetia candel
Callicarpa japonica
Euodia meliifolia
Cirsium brevicaule
Youngia japonica
Youngia japonica
Ranunculus sieboldii
Glochidion zeylanicum
Lagerstroemia subcostata
Ampetopsis brevipedunculata
Clerodendrum trichotomum
Aster asa-grayi
Aster asa-grayi
Maesa tenera
Trema orientalis
Trema orientalis
Meliosma rigida
Wendtandia formosana
Deutzia naseana
Machitus thunbergii
Heritiera littoralis
Cinnamomum doederleinii
Alpinia intermedia
Crepidiastrum lanceolatum
Crepidiastrum lanceolatum
Psychotria sepens
Psychotria sepens
Elaeocarpus sylvestris
Peucedanum joponicum
Styrax japonica
Rhamnella franguloides
Symplocos microcalyx
Glochidion obovatum
Mosla dianthera
Brassica campestris
Scaevola frutescens
Aeginetia indica
Ligustrum joponicum
Rubus croceacanthus
Psychotria homalosperma
Psychotria homalosperma
Antidesma joponicum
Antidesma joponicum
Ilex integra
Ilex integra
Acer insulae
Persicaria chinensis
Rhaphiolepis indica
Schefflera octophylla
Schefflera octophylla
Bredia hirsuta
Croomia japonica
Premna microphylla
Rubus sieboldii
Clematis grata
Pandanus odoratissimus
Pandanus odoratissimus
Hibiscus maleinoi
Pinus luchuensis
Premna corymbosa
Lysimachia mauiriana
Ajuga dictyocarpa
Alpinia sp1 M PL 044
Diospyrus japonica
Sedum formosanum
Alocasia odora
Vigna marina
Pollia japonica
Farfugium joponicum
Farfugium joponicum
Rhododendron tashiroi
Viola pseudo-japonica
Ormocaipum cochinchinense
Myrsine segttinii
Cerbera manghas
Stauntonia hexaPhylla
Securinega suffruticosa
Securinega suffruticosa
Piper kadzura
Piper kadzura
Ageratum houstonianum
Alpinia formosana
Metothria tiukiuensis
Metothria tiukiuensis
Rubus grayanus
Clematis terniflora
Bauhinia japonica
Maackia tashiroi
Hibiscus hamabo
Canavalia lineata
VVedelia biflora
Eurya japonica
Hibiscus tiliaceus
Ipomoea indica
Reynoutria japonica
Ardisia pusilla
Lasianthus japonicus
Actinidia rufa
Meliosma oldhamii
Morinda umbellata
Vaccinium wrightii
Salsola komarovii
Musa balbisiana
Barringtonia racemosa
Belamcanda chinensis
Blastus cochinchinensis
Litsea citriodora
Bidens pilosa
Rhynchotechum discolor
Diapensia lapponica
Viola biflora
Saxifraga oppositifolia
Dryas octopetala
Saxifraga aizoides
Trollius europaeus
Cerastium alpinum
Pinguicula alpina
Parnassia palustris
Silene acaulis
Potentilla crantzii
Polygonum viviparum
Salix reticulata
Rhodiola rosea
Rhododendron lapponicum
Antennaria alpina
Salix lanata
Taraxacum officinale
Cassiope hypnoides
Cassiope tetragona
Astragalus alpinus
Arabis alpina
Salix polaris
Bartsia alpina
Macleaya cordata
Viola verecunda
Kalimeris yomena
Angelica pubescens
Deutzia maximowicziana
Leucosceptrum stellipilum
Aralia cordata
Angelica polymorpha
Deutzia crenata
Cirsium microspicatum
Symplocos chinensis
Kerria japonica
Rhus javanica
Stachyurus praecox
Rubus palmatus
Lindera umbellata
Aster glehni
Carex curvicollis
Viburnum plicatum
Corydalis pallida
Hydrangea paniculata
Stenactis annuus
Persicaria thunbergii
Aster ageratoides amplexifolius
Cardiandra alternifolia
Rubus crataegifolius
Aralta elata
Cardamine tanakae
Lindera obtusiloba
Geum japonicum
Orixa japonica
Ligularia fischerii
Ligularia fischerii
Staphylea bumalda
Hydrangea hirta
Astilbe thunbergii
Duchesnea chrysantha
Glechoma hederacea
Stephanandra incisa
Codonopsis lanceolata
Hydrangea macrophylla
Agrimonia pilosa
Chelidonium majus
Desmodium podocarpum
Trifolium repens
Amphicarpaea bracteata
Ranunculus silerifolius
Youngia denticulata
Weigela hortensis
Acer carpinifolium
Cryptotaenia japonica
Omphalodes japonica
Rorippa indica
Bistorta tenuicaulis
Cardamine regeliana
Kalimeris pinnatifida
Rubus buergeri
Trigonotis brevipes
Viburnum phlebotricum
Sambucus racemosa
Albizzia julibrissin
Albizzia julibrissin
Corydalis incisa
Prunus jamasakura
Stellaria uchiyamana
Euonymus alatus
Ampelopsis brevipedunculata
Hypericum pseudopetiolatum
Rabdosia trichocarpa
Torilis japonica
Vicia venosa
Persicaria pubescens
Aster ageratoides
Euptelea polyandra
Meliosma tenuis
Eupatorium chinense
Eupatorium chinense
Lonicera gracilipes
Rhododendron kaempferi
Ixeris dentata
Wisteria floribunda
Osterium sieboldii
Eriobotrya japonica
Swertia bimaculata
Paederia scandens
Impatiens textori
Achyranthes bidentata
Plantago asiatica
Valeriana flaccidissima
Rabdosia longituba
Persicaria conspicua
Digitaria ciliaris
Geranium nepalense
Potentilla sundaica
Impatiens noli-tangere
Swida macrophylla
Stellaria alsine
Houttuynia cordata
Dipsacus japonicus
Clethra barbinervis
Meehania urticifolia
Paeonia japonica
Persicaria yokusaiana
Actinidia arguta
Alangium platanifolium
Aster ageratoides ovatus
Aster subulatus
Aster subulatus
Calamagrostis arundinacea
Persicaria aestiva
Akebia quinata
Akebia quinata
Patrinia villosa
Senecio nikoensis
Senecio nikoensis
Clematis apiifolia
Ligustrum obtusifolium
Ledum palustre
Vaccinium uliginosum
Pyrola grandiflora
Saxifraga tricuspidata
Dryas integrifolia
Campanula gieseckiana
Salix sp1 M PL 045
Potentilla rubricaulis
Viscaria alpina
Epilobium latifolium
Saxifraga caespitosa
Pedicularis flammea
Draba sp1 M PL 020
Salix arctica
Salix arctica
Lesquerella arctica
Potentilla nivea
Papaver radicatum
Pedicularis arctica
Stellaria longipes
Erigeron compositus
Erigeron compositus
Saxifraga hirculus
Arnica alpina
Taraxacum arctogenum
Taraxacum arctogenum
Erysimum pallasii
Erigeron eriocephalus
Erigeron eriocephalus
Ranumculus sulphureus
Pedicularis capitata
Jatropa sp
Tillandsia didisticha
Heteropterys glabra
Borreria eryngioides
Eupatorium sp
Mollugo verticillata
